playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,substituteOn,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,lastPlayerTackle,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,blockedShots,ownGoalScored,shotsBlockedInBox,iboxBlocked,clearancesOffTheLine,handballsConceded,goalAssists,oboxBlocked,cornersTakenInclShortCorners,leftFootGoals,unsuccessfulCornersIntoBox,shotsBlockedOutsideBox,expectedGoalsFreekick,throughBalls,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,hitWoodwork,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,penaltiesConceded,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,redCards2ndYellow,setPiecesGoals,penaltiesTaken,headedGoals,penaltyGoals,secondGoalAssists,foulWonPenalty
15405,Alan Hutton,Defender,A Villa,7,Scotland,2014-15,93.0,30.0,3.0177,0.0,4.0,3.0,0.8365,49.0,11.0,185.0,30.0,4.0,27.0,264.0,78.0,1117.0,1.0,2.0,0.0,3.0,80.0,6.0,2.0,30.0,1.0,2417.0,1.0,1.0,28.0,168.0,5.0,49.0,116.0,797.0,30.0,54.0,3.0,38.8631,22.0,13.0,101.0,42.0,65.0,75.0,50.0,1.0,261.0,22.0,1.0,419.0,117.0,30.0,2.0,1.0,9.0,1.0,14.0,502.0,37.0,78.0,33.0,181.0,52.0,0.0,1089.0,7.0,13.0,458.0,40.0,18.0,15.0,445.0,19.0,36.0,56.0,178.0,1915.0,236.0,1.0,37.0,381.0,14.0,1.0526,8.0,79.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44354,Aly Cissokho,Defender,A Villa,7,France,2014-15,78.0,9.0,1.0244,0.0,,,,48.0,4.0,118.0,25.0,,24.0,207.0,86.0,817.0,,,0.0,1.0,55.0,6.0,,9.0,,2131.0,,,16.0,116.0,5.0,55.0,77.0,572.0,21.0,38.0,2.0,28.7983,8.0,19.0,99.0,31.0,62.0,259.0,12.0,0.0,194.0,23.0,0.0,334.0,90.0,25.0,,,10.0,1.0,18.0,322.0,26.0,86.0,28.0,139.0,39.0,0.0,805.0,4.0,11.0,373.0,38.0,17.0,7.0,25.0,22.0,31.0,38.0,199.0,1461.0,165.0,6.0,78.0,297.0,5.0,0.5299,1.0,89.0,79.0,5.0,1.0,5.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174597,Andre Green,Forward,A Villa,7,England,2014-15,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80979,Andreas Weimann,Forward,A Villa,7,Austria,2014-15,84.0,5.0,1.4036,0.0,12.0,2.0,3.0314,24.0,23.0,89.0,31.0,72.0,20.0,107.0,18.0,579.0,3.0,6.0,1.0,11.0,55.0,4.0,2.0,5.0,7.0,1777.0,7.0,2.0,40.0,63.0,1.0,35.0,48.0,449.0,54.0,,1.0,23.6079,18.0,3.0,10.0,22.0,44.0,136.0,14.0,2.0,147.0,25.0,2.0,132.0,67.0,31.0,2.0,2.0,9.0,,7.0,317.0,21.0,20.0,22.0,92.0,15.0,0.0,568.0,11.0,8.0,184.0,15.0,10.0,2.0,158.0,15.0,12.0,23.0,153.0,811.0,5.0,14.0,5.0,160.0,9.0,2.3355,5.0,18.0,21.0,10.0,,4.0,4.0,,3.0,2.0,6.0,2.0,1.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60551,Ashley Westwood,Midfielder,A Villa,7,England,2014-15,71.0,1.0,2.6672,0.0,5.0,,1.4544,33.0,13.0,145.0,27.0,27.0,25.0,216.0,13.0,1326.0,,,0.0,2.0,34.0,6.0,3.0,24.0,2.0,2152.0,2.0,,20.0,58.0,7.0,37.0,44.0,999.0,8.0,,2.0,32.8499,34.0,9.0,49.0,36.0,51.0,400.0,12.0,0.0,129.0,24.0,0.0,445.0,126.0,27.0,3.0,,9.0,,,627.0,29.0,66.0,13.0,95.0,14.0,0.0,1290.0,8.0,10.0,322.0,24.0,1.0,14.0,368.0,23.0,40.0,111.0,113.0,1670.0,1.0,5.0,22.0,507.0,15.0,0.8033,4.0,71.0,48.0,5.0,,,,,,1.0,5.0,58.0,,39.0,5.0,0.2617,4.0,18.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,
41705,Brad Guzan,Goalkeeper,A Villa,7,United States,2014-15,2.0,,0.0753,0.0,,,,,,2.0,34.0,,34.0,431.0,,954.0,,,0.0,,10.0,9.0,,,,3060.0,,,1.0,13.0,7.0,2.0,4.0,200.0,,,3.0,44.1513,,154.0,26.0,48.0,1.0,113.0,7.0,0.0,15.0,,0.0,775.0,356.0,34.0,,,,,,214.0,41.0,,,5.0,9.0,0.0,468.0,,2.0,446.0,,,,66.0,1.0,3.0,323.0,,1327.0,,,248.0,309.0,1.0,,2.0,429.0,75.0,,,,,,,,,,,,,,,,,,,69.0,38.0,282.0,15.0,3.0,1.0,16.0,101.0,5.0,3.0,6.0,291.0,140.0,20.0,63.0,,,,,,,
171975,Callum Robinson,Forward,A Villa,7,Ireland,2014-15,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88554,Carles Gil,Midfielder,A Villa,7,Spain,2014-15,31.0,2.0,0.5861,0.0,,1.0,,4.0,2.0,20.0,5.0,5.0,4.0,25.0,10.0,217.0,,,0.0,1.0,1.0,,,5.0,,359.0,,,1.0,30.0,1.0,9.0,30.0,184.0,8.0,,1.0,8.846,5.0,,,11.0,30.0,36.0,8.0,0.0,61.0,3.0,0.0,59.0,20.0,5.0,,,2.0,,8.0,128.0,10.0,27.0,18.0,60.0,,0.0,212.0,2.0,7.0,76.0,2.0,18.0,,58.0,3.0,3.0,8.0,64.0,316.0,3.0,1.0,1.0,69.0,1.0,0.13,1.0,5.0,3.0,1.0,,1.0,1.0,,,1.0,,18.0,,15.0,,0.0663,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
42824,Carlos Sánchez,Midfielder,A Villa,7,Colombia,2014-15,148.0,3.0,0.583,1.0,5.0,1.0,0.2159,77.0,11.0,174.0,28.0,11.0,20.0,217.0,4.0,1283.0,1.0,,1.0,8.0,105.0,3.0,4.0,3.0,,1985.0,,,44.0,164.0,4.0,38.0,103.0,965.0,5.0,,3.0,31.1275,9.0,4.0,42.0,33.0,104.0,363.0,12.0,0.0,312.0,23.0,0.0,382.0,171.0,28.0,4.0,1.0,26.0,,4.0,527.0,29.0,4.0,30.0,207.0,61.0,0.0,1268.0,6.0,3.0,276.0,51.0,15.0,6.0,407.0,46.0,38.0,101.0,131.0,1592.0,,5.0,14.0,542.0,28.0,0.5088,6.0,43.0,76.0,6.0,,,,,2.0,,6.0,,,,6.0,0.0643,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,
18737,Charles N'Zogbia,Midfielder,A Villa,7,France,2014-15,147.0,2.0,1.0546,0.0,6.0,4.0,1.7421,14.0,17.0,96.0,27.0,35.0,19.0,102.0,17.0,532.0,,3.0,0.0,8.0,34.0,,6.0,8.0,,1429.0,,1.0,25.0,63.0,1.0,25.0,54.0,422.0,35.0,2.0,1.0,18.3537,15.0,2.0,5.0,13.0,122.0,105.0,16.0,0.0,210.0,9.0,0.0,127.0,69.0,27.0,6.0,,4.0,,32.0,328.0,12.0,34.0,85.0,176.0,9.0,0.0,528.0,11.0,11.0,269.0,10.0,25.0,,141.0,31.0,5.0,8.0,159.0,837.0,11.0,18.0,2.0,110.0,17.0,1.188,3.0,6.0,19.0,10.0,,6.0,6.0,,1.0,2.0,4.0,20.0,,14.0,4.0,0.2593,2.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
