playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goals,awayGoals,oboxBlocked,substituteOn,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,unsuccessfulCrossesOpenPlay,throwInsToOppositionPlayer,unsuccessfulCrossesAndCorners,throwInsToOwnPlayer,offsides,lastPlayerTackle,goalKicks,cornersTakenInclShortCorners,successfulLaunches,gkSuccessfulDistribution,clearancesOffTheLine,handballsConceded,penaltiesSaved,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,goalAssists,penaltiesConceded,successfulCornersIntoBox,unsuccessfulCornersIntoBox,secondGoalAssists,foulWonPenalty,redCards2ndYellow,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,unsuccessfulLayoffs,penaltiesTaken,penaltyGoals
449871,Amadou Onana,Midfielder,A Villa,7,Belgium,2024-25,78.0,2.0,0.8416,0.0,4.0,6.0,1.0,3.8972,55.0,13.0,3.0,84.0,26.0,27.0,20.0,98.0,799.0,3.0,2.0,2.0,6.0,54.0,2.0,1.0,2.0,2.0,1624.0,2.0,21.0,131.0,3.0,20.0,98.0,683.0,23.0,1.0,23.9771,10.0,40.0,23.0,2.0,57.0,198.0,30.0,0.0,209.0,9.0,1.0,210.0,72.0,26.0,1.0,1.0,25.0,1.0,3.0,366.0,20.0,1.0,12.0,2.0,155.0,33.0,0.0,794.0,7.0,5.0,123.0,30.0,14.0,7.0,234.0,32.0,26.0,18.0,157.0,1057.0,13.0,2.0,2.0,2.0,337.0,22.0,2.1178,4.0,14.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606798,Andrés García,Defender,A Villa,7,Spain,2024-25,29.0,5.0,0.4492,0.0,1.0,,,,9.0,1.0,,9.0,7.0,,5.0,12.0,158.0,,,1.0,2.0,6.0,,,5.0,,317.0,,6.0,14.0,,7.0,14.0,143.0,2.0,,5.5718,3.0,8.0,5.0,,23.0,5.0,,0.0,43.0,2.0,,29.0,15.0,7.0,,,4.0,,12.0,99.0,5.0,,18.0,,37.0,,0.0,158.0,1.0,5.0,55.0,5.0,5.0,,77.0,1.0,2.0,3.0,47.0,268.0,4.0,,1.0,1.0,52.0,,0.0414,0.0,3.0,4.0,13.0,2.0,13.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220362,Axel Disasi,Defender,A Villa,7,France,2024-25,33.0,,0.0941,0.0,,1.0,1.0,0.8281,15.0,4.0,1.0,43.0,13.0,,9.0,52.0,542.0,1.0,1.0,,4.0,21.0,2.0,,,,853.0,,8.0,40.0,,13.0,27.0,479.0,8.0,1.0,8.1163,5.0,28.0,12.0,,25.0,92.0,2.0,0.0,73.0,6.0,0.0,187.0,30.0,13.0,,,6.0,,6.0,221.0,12.0,1.0,11.0,,52.0,13.0,0.0,523.0,3.0,3.0,81.0,9.0,10.0,2.0,225.0,5.0,7.0,11.0,38.0,678.0,2.0,,,6.0,269.0,,0.2833,3.0,9.0,23.0,1.0,9.0,1.0,19.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577731,Ben Broggio,Forward,A Villa,7,England,2024-25,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226944,Boubacar Kamara,Midfielder,A Villa,7,France,2024-25,108.0,,0.8304,0.0,3.0,3.0,,0.1767,50.0,7.0,5.0,79.0,26.0,14.0,20.0,105.0,930.0,1.0,0.0,2.0,6.0,47.0,6.0,,,2.0,1725.0,2.0,26.0,115.0,1.0,20.0,94.0,799.0,13.0,,24.3395,11.0,47.0,22.0,1.0,82.0,205.0,35.0,0.0,223.0,12.0,1.0,302.0,87.0,26.0,,,29.0,1.0,9.0,410.0,21.0,,26.0,1.0,176.0,21.0,0.0,903.0,4.0,1.0,144.0,21.0,9.0,7.0,294.0,30.0,19.0,26.0,129.0,1184.0,8.0,,2.0,9.0,415.0,17.0,0.8177,2.0,26.0,30.0,1.0,,1.0,,,1.0,2.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
204646,Donyell Malen,Forward,A Villa,7,Netherlands,2024-25,20.0,,0.1686,0.0,2.0,9.0,1.0,3.4179,7.0,13.0,,13.0,14.0,3.0,2.0,15.0,67.0,3.0,2.0,1.0,12.0,8.0,,3.0,,3.0,298.0,3.0,4.0,20.0,,5.0,16.0,50.0,26.0,1.0,5.9077,3.0,1.0,6.0,1.0,16.0,14.0,5.0,1.0,40.0,2.0,1.0,13.0,9.0,14.0,3.0,3.0,3.0,,5.0,43.0,6.0,,12.0,1.0,32.0,4.0,0.0,63.0,4.0,7.0,45.0,4.0,4.0,,20.0,1.0,,2.0,20.0,145.0,2.0,1.0,1.0,,9.0,,2.1661,0.0,2.0,2.0,8.0,,8.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98980,Emiliano Martínez,Goalkeeper,A Villa,7,Argentina,2024-25,2.0,,0.0632,1.0,,,,,3.0,,,13.0,37.0,,37.0,287.0,1248.0,,,,,12.0,8.0,,,,3195.0,,1.0,20.0,4.0,1.0,9.0,759.0,,1.0,46.1587,2.0,20.0,45.0,,1.0,333.0,6.0,0.0,22.0,1.0,,547.0,298.0,37.0,,,,,,135.0,41.0,,,,10.0,11.0,1.0,923.0,,,297.0,3.0,1.0,,368.0,2.0,,202.0,,1583.0,2.0,,,114.0,826.0,,,5.0,274.0,61.0,,,,,,2.0,172.0,,48.0,238.0,,,1.0,52.0,30.0,5.0,2.0,1.0,3.0,100.0,5.0,4.0,66.0,24.0,67.0,,,,,,,,,,,,,
199798,Ezri Konsa,Defender,A Villa,7,England,2024-25,54.0,,0.6256,0.0,2.0,5.0,1.0,1.812,34.0,9.0,6.0,71.0,34.0,2.0,33.0,110.0,1633.0,2.0,0.0,,1.0,55.0,8.0,1.0,,2.0,2937.0,2.0,24.0,120.0,5.0,30.0,89.0,1490.0,22.0,2.0,45.6966,6.0,107.0,45.0,2.0,30.0,273.0,47.0,2.0,174.0,9.0,2.0,504.0,97.0,34.0,1.0,2.0,16.0,,7.0,513.0,40.0,,17.0,2.0,119.0,31.0,0.0,1533.0,4.0,5.0,153.0,18.0,8.0,11.0,724.0,9.0,24.0,33.0,132.0,1987.0,1.0,1.0,,19.0,1010.0,4.0,1.2782,1.0,39.0,53.0,5.0,2.0,5.0,32.0,1.0,2.0,16.0,,3.0,16.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
441302,Ian Maatsen,Defender,A Villa,7,Netherlands,2024-25,65.0,8.0,2.4288,0.0,6.0,5.0,4.0,0.8611,29.0,13.0,1.0,68.0,29.0,2.0,10.0,81.0,616.0,1.0,0.0,1.0,19.0,16.0,2.0,1.0,10.0,3.0,1128.0,3.0,6.0,61.0,1.0,38.0,51.0,526.0,51.0,1.0,16.4923,17.0,27.0,16.0,5.0,59.0,278.0,9.0,1.0,126.0,13.0,1.0,146.0,67.0,29.0,1.0,,12.0,1.0,16.0,311.0,15.0,,41.0,5.0,110.0,10.0,0.0,599.0,8.0,17.0,205.0,17.0,13.0,,28.0,11.0,15.0,9.0,164.0,976.0,4.0,,1.0,5.0,234.0,7.0,0.8601,2.0,13.0,28.0,39.0,16.0,41.0,64.0,3.0,,,5.0,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,2.0,,,,,,,,
232653,Jacob Ramsey,Midfielder,A Villa,7,England,2024-25,71.0,2.0,2.1903,1.0,7.0,4.0,2.0,1.2903,30.0,12.0,3.0,71.0,29.0,11.0,19.0,76.0,569.0,1.0,0.0,4.0,10.0,20.0,,1.0,2.0,2.0,1628.0,2.0,13.0,90.0,3.0,34.0,83.0,487.0,80.0,1.0,23.2839,18.0,8.0,26.0,3.0,58.0,207.0,28.0,0.0,161.0,19.0,1.0,110.0,83.0,29.0,1.0,,15.0,1.0,13.0,341.0,23.0,,36.0,3.0,141.0,7.0,0.0,569.0,8.0,10.0,169.0,15.0,25.0,4.0,93.0,13.0,8.0,6.0,159.0,830.0,17.0,1.0,4.0,2.0,154.0,6.0,1.5697,2.0,5.0,14.0,10.0,,10.0,2.0,5.0,,,,,,,1.0,,,,,,,,,,,,,,3.0,,,,1.0,1.0,1.0,,,,,,
