playerId,playerName,position,team_name,team_id,nationality,season,groundDuels,straightRedCards,openPlayPasses,expectedGoalsOnTargetConceded,substituteOn,tacklesWon,totalRedCards,winningGoal,leftsidePasses,duels,appearances,timePlayed,touches,totalTackles,duelsWon,gamesPlayed,tacklesLost,groundDuelsWon,successfulPassesOwnHalf,successfulShortPasses,totalPasses,yellowCards,duelsLost,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,throughBalls,goals,offsides,awayGoals,oboxBlocked,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,goalsConcededOutsideBox,successfulCornersIntoBox,keyPassesAttemptAssists,successfulLaunches,shotsBlockedInBox,totalFoulsWon,recoveries,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,shotsOffTargetIncWoodwork,totalLossesOfPossession,attemptsFromSetPieces,totalFoulsConceded,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,throwInsToOwnPlayer,hitWoodwork,handballsConceded,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,successfulCrossesOpenPlay,expectedAssists,expectedGoalsFreekick,overruns,totalShots,unsuccessfulShortPasses,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,unsuccessfulLayoffs,putthroughBlockedDistribution,totalTouchesInOppositionBox,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,putthroughBlockedDistributionWon,homeGoals,forwardPasses,penaltiesTaken,oboxTarget,successfulPassesOppositionHalf,goalsConcededInsideBox,iboxBlocked,aerialDuelsWon,cornersWon,successfulDribbles,blocks,interceptions,penaltyGoals,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,foulAttemptedTackle,expectedGoals,rightFootGoals,throwInsToOppositionPlayer,penaltyGoalsConceded,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,punches,savesMade,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,headedGoals,penaltiesConceded,lastPlayerTackle,penaltiesFaced,goalkeeperSmother,otherGoals,redCards2ndYellow,foulWonPenalty,clearancesOffTheLine
133639,Dominic Gape,Midfielder,Southampton,20,England,2014-15,2.0,0.0,1.0,0.1006,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66228,Filip Djuricic,Midfielder,Southampton,20,Serbia,2014-15,46.0,0.0,148.0,5.3117,6.0,6.0,0.0,0.0,44.0,52.0,9.0,327.0,240.0,6.0,27.0,9.0,,24.0,27.0,116.0,153.0,1.0,25.0,3.0,1.0,0.1637,,,2.0,,1.0,1.0,1.0,3.0,1.0,,5.0,,2.0,7.0,27.0,,5.0,9.0,15.0,,3.0,70.0,,4.0,3.0,1.0,25.0,3.0,,,2.0,2.0,1.0,1.0,0.6884,,1.0,4.0,34.0,,4.0,3.0,36.0,5.0,4.0,6.0,,,2.0,,13.0,18.0,3.0,4.0,22.0,34.0,5.0,,50.0,,,92.0,3.0,2.0,3.0,6.0,11.0,,5.0,,3.0,1.0,1.0,1.0,0.3703,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
78091,Gastón Ramírez,Midfielder,Southampton,20,Uruguay,2014-15,163.0,1.0,472.0,9.9293,12.0,26.0,1.0,0.0,123.0,199.0,23.0,1008.0,773.0,35.0,89.0,23.0,9.0,78.0,154.0,381.0,487.0,1.0,110.0,4.0,6.0,0.8495,4.0,1.0,3.0,1.0,1.0,3.0,3.0,25.0,5.0,11.0,21.0,,2.0,22.0,74.0,1.0,12.0,35.0,46.0,2.0,7.0,205.0,2.0,15.0,20.0,25.0,102.0,2.0,1.0,,18.0,15.0,,2.0,1.4261,0.1643,10.0,13.0,63.0,2.0,14.0,11.0,81.0,5.0,32.0,36.0,,2.0,15.0,2.0,34.0,26.0,7.0,13.0,85.0,148.0,22.0,0.0,114.0,,2.0,267.0,8.0,2.0,11.0,13.0,23.0,1.0,9.0,,7.0,1.0,4.0,7.0,0.8592,,1.0,,,,,,,,,,,,,,,,,,,,,,
153366,Harrison Reed,Midfielder,Southampton,20,England,2014-15,72.0,0.0,227.0,3.0908,4.0,27.0,0.0,0.0,55.0,91.0,9.0,460.0,348.0,31.0,47.0,9.0,4.0,43.0,108.0,184.0,233.0,0.0,44.0,1.0,2.0,0.0978,,,,,,1.0,1.0,15.0,1.0,,,2.0,1.0,12.0,28.0,,4.0,4.0,5.0,,1.0,61.0,,7.0,,9.0,47.0,1.0,,,16.0,12.0,,,0.0668,,2.0,3.0,24.0,,1.0,5.0,40.0,4.0,,19.0,1.0,1.0,,,17.0,2.0,10.0,3.0,29.0,57.0,11.0,,74.0,,1.0,85.0,2.0,1.0,4.0,2.0,1.0,1.0,16.0,,2.0,,5.0,4.0,0.1376,,,,,,,,,,,,,,,,,,,,,,,,
153372,Jake Flannigan,Midfielder,Southampton,20,England,2014-15,,0.0,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158544,Jake Hesketh,Midfielder,Southampton,20,England,2014-15,5.0,0.0,18.0,0.5722,1.0,1.0,0.0,0.0,2.0,6.0,2.0,52.0,24.0,2.0,2.0,2.0,1.0,2.0,1.0,16.0,18.0,1.0,4.0,,1.0,0.115,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,1.0,4.0,,1.0,,,5.0,,,,,,,,0.0862,,,2.0,2.0,,,1.0,2.0,1.0,,1.0,,1.0,,,2.0,1.0,,1.0,3.0,5.0,,,6.0,,1.0,15.0,1.0,,,,,,,,1.0,,,1.0,0.0908,,,,,,,,,,,,,,,,,,,,,,,,
101178,James Ward-Prowse,Midfielder,Southampton,20,England,2014-15,109.0,1.0,659.0,14.7667,9.0,16.0,1.0,1.0,171.0,139.0,25.0,1478.0,982.0,20.0,45.0,25.0,4.0,35.0,191.0,568.0,685.0,0.0,94.0,9.0,12.0,3.3927,1.0,1.0,,0.0,8.0,6.0,6.0,20.0,3.0,18.0,27.0,1.0,1.0,11.0,69.0,,7.0,87.0,34.0,4.0,9.0,234.0,4.0,22.0,45.0,29.0,140.0,1.0,1.0,,21.0,16.0,,6.0,3.4665,0.3105,5.0,21.0,67.0,6.0,23.0,16.0,88.0,18.0,71.0,30.0,3.0,5.0,29.0,1.0,25.0,32.0,12.0,14.0,74.0,174.0,15.0,1.0,200.0,1.0,5.0,435.0,11.0,1.0,10.0,11.0,5.0,1.0,15.0,1.0,9.0,8.0,5.0,8.0,2.9658,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,
101179,Lloyd Isgrove,Midfielder,Southampton,20,Wales,2014-15,4.0,0.0,7.0,,1.0,,0.0,0.0,,4.0,1.0,8.0,13.0,2.0,3.0,1.0,2.0,3.0,2.0,4.0,7.0,0.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,2.0,,,,3.0,,,,2.0,1.0,1.0,,,,,,,0.0068,,,,1.0,,1.0,,1.0,2.0,,,,,,,,,,,1.0,4.0,,,2.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42774,Morgan Schneiderlin,Midfielder,Southampton,20,France,2014-15,233.0,0.0,1537.0,16.7136,2.0,79.0,1.0,1.0,434.0,332.0,26.0,2185.0,1991.0,96.0,174.0,26.0,17.0,127.0,696.0,1283.0,1589.0,5.0,158.0,7.0,10.0,4.2462,,4.0,1.0,3.0,3.0,4.0,4.0,52.0,2.0,4.0,19.0,9.0,4.0,19.0,187.0,1.0,6.0,23.0,25.0,2.0,13.0,241.0,2.0,48.0,12.0,136.0,193.0,2.0,2.0,,50.0,55.0,,2.0,1.857,0.1328,2.0,23.0,120.0,1.0,9.0,24.0,170.0,7.0,19.0,99.0,10.0,2.0,7.0,,39.0,37.0,42.0,16.0,106.0,440.0,27.0,1.0,522.0,,2.0,730.0,14.0,4.0,47.0,7.0,16.0,5.0,63.0,,3.0,3.0,15.0,36.0,2.8355,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,
17339,Steven Davis,Midfielder,Southampton,20,Northern Ireland,2014-15,201.0,0.0,1679.0,20.8209,3.0,55.0,0.0,0.0,391.0,245.0,35.0,2648.0,2175.0,65.0,101.0,35.0,10.0,91.0,647.0,1344.0,1702.0,3.0,144.0,7.0,5.0,1.9332,8.0,,4.0,,3.0,4.0,4.0,34.0,7.0,13.0,47.0,1.0,4.0,15.0,219.0,,12.0,73.0,58.0,1.0,18.0,418.0,1.0,16.0,25.0,110.0,381.0,15.0,2.0,1.0,57.0,50.0,,11.0,4.4583,0.0636,1.0,23.0,191.0,2.0,35.0,32.0,248.0,33.0,45.0,44.0,8.0,1.0,25.0,3.0,57.0,55.0,50.0,24.0,110.0,462.0,27.0,,468.0,,1.0,832.0,17.0,4.0,10.0,13.0,12.0,4.0,37.0,,16.0,3.0,10.0,9.0,2.8288,,,,,,,,,,,,,,,,,,,,,,,,
