playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,awayGoals,substituteOn,aerialDuels,cleanSheets,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,offsides,penaltyGoalsConceded,ownGoalScored,rightFootGoals,unsuccessfulCornersIntoBox,hitWoodwork,handballsConceded,foulWonPenalty,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,penaltiesTaken,oboxTarget,headedGoals,blocks,penaltyGoals,oboxBlocked,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,secondGoalAssists,expectedGoalsFreekick,throwInsToOppositionPlayer,shotsBlockedOutsideBox,lastPlayerTackle,clearancesOffTheLine,otherGoals,penaltiesSaved,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox
432793,Ali Koiki,Defender,Burnley,90,England,2018-19,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195471,Anthony Glennon,Defender,Burnley,90,England,2018-19,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83312,Ben Gibson,Defender,Burnley,90,England,2018-19,5.0,,0.0013,0.0,,1.0,,0.9949,1.0,1.0,,3.0,1.0,,,1.0,11.0,,33.0,1.0,0.0,,6.0,,,,63.0,,,4.0,3.0,1.0,,1.0,1.0,21.0,1.0,1.7921,,1.0,2.0,3.0,,1.0,7.0,,0.0,8.0,,1.0,20.0,3.0,1.0,,,,6.0,2.0,,,,2.0,2.0,0.0,33.0,,,11.0,1.0,,2.0,2.0,,1.0,4.0,39.0,1.0,1.0,4.0,16.0,1.0,0.7284,1.0,8.0,2.0,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
51927,Ben Mee,Defender,Burnley,90,England,2018-19,143.0,2.0,0.9388,0.0,1.0,4.0,,1.2266,54.0,20.0,1.0,184.0,38.0,2.0,,38.0,378.0,2.0,1502.0,,,,254.0,8.0,2.0,4.0,3420.0,4.0,,105.0,227.0,14.0,1.0,25.0,78.0,944.0,56.0,58.6634,6.0,35.0,232.0,68.0,1.0,38.0,383.0,18.0,0.0,370.0,9.0,,727.0,246.0,38.0,31.0,,1.0,424.0,54.0,2.0,6.0,1.0,116.0,149.0,0.0,1473.0,16.0,5.0,410.0,23.0,8.0,288.0,27.0,48.0,180.0,104.0,2037.0,7.0,,80.0,702.0,14.0,1.5782,9.0,194.0,112.0,,2.0,2.0,,,1.0,1.0,,,,,,,50.0,,,,,,1.0,,1.0,,1.0,3.0,,,,,,,,,,,,,,,,,
103914,Charlie Taylor,Defender,Burnley,90,England,2018-19,152.0,18.0,1.6065,0.0,1.0,,8.0,,54.0,5.0,,190.0,38.0,1.0,1.0,35.0,324.0,94.0,1175.0,,,3.0,133.0,7.0,22.0,,3240.0,,,61.0,213.0,12.0,,101.0,141.0,768.0,8.0,56.5024,10.0,27.0,83.0,64.0,,91.0,309.0,48.0,0.0,365.0,39.0,,549.0,205.0,38.0,28.0,,35.0,463.0,52.0,97.0,52.0,,232.0,72.0,0.0,1161.0,5.0,13.0,587.0,26.0,41.0,57.0,15.0,40.0,83.0,260.0,2285.0,360.0,,75.0,410.0,8.0,0.1589,2.0,134.0,122.0,1.0,2.0,,,2.0,,1.0,,4.0,,,,,35.0,,1.0,2.0,,,,,60.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
40145,Jack Cork,Defender,Burnley,90,England,2018-19,181.0,3.0,1.6371,0.0,7.0,2.0,3.0,0.8585,51.0,10.0,3.0,186.0,37.0,2.0,15.0,37.0,250.0,10.0,1329.0,1.0,0.0,,131.0,8.0,3.0,,3313.0,,2.0,79.0,167.0,14.0,,43.0,115.0,1003.0,35.0,54.9663,16.0,9.0,79.0,63.0,4.0,102.0,366.0,38.0,0.0,348.0,23.0,1.0,391.0,219.0,37.0,24.0,1.0,10.0,610.0,49.0,11.0,46.0,4.0,217.0,52.0,0.0,1322.0,8.0,2.0,359.0,27.0,27.0,384.0,30.0,29.0,76.0,188.0,1788.0,1.0,1.0,33.0,472.0,11.0,1.4642,6.0,64.0,67.0,4.0,2.0,,,1.0,,1.0,,1.0,1.0,,1.0,,16.0,,3.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
17761,James Tarkowski,Defender,Burnley,90,England,2018-19,144.0,1.0,0.3843,0.0,2.0,10.0,1.0,3.4842,72.0,20.0,,169.0,35.0,1.0,2.0,35.0,347.0,4.0,1135.0,3.0,1.0,,247.0,7.0,1.0,7.0,3087.0,7.0,1.0,78.0,274.0,12.0,,22.0,105.0,681.0,46.0,54.3293,5.0,21.0,235.0,63.0,2.0,66.0,186.0,31.0,1.0,418.0,16.0,2.0,556.0,134.0,35.0,35.0,1.0,2.0,304.0,51.0,4.0,12.0,2.0,171.0,169.0,0.0,1121.0,10.0,2.0,398.0,37.0,7.0,297.0,35.0,42.0,107.0,96.0,1732.0,3.0,1.0,89.0,485.0,12.0,3.5369,8.0,178.0,84.0,4.0,2.0,,,,1.0,,,,,,,1.0,56.0,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,
41674,Kevin Long,Defender,Burnley,90,Ireland,2018-19,31.0,,0.0248,0.0,,,,,18.0,1.0,,15.0,6.0,1.0,,5.0,32.0,,168.0,,,1.0,37.0,1.0,,,513.0,,,17.0,44.0,2.0,,5.0,24.0,115.0,3.0,7.1537,,5.0,34.0,9.0,,14.0,38.0,5.0,0.0,75.0,2.0,,66.0,24.0,6.0,8.0,,,40.0,7.0,,1.0,,38.0,20.0,0.0,164.0,1.0,1.0,33.0,10.0,1.0,49.0,3.0,7.0,21.0,15.0,254.0,2.0,,8.0,96.0,2.0,0.0608,0.0,17.0,7.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68983,Matthew Lowton,Defender,Burnley,90,England,2018-19,84.0,7.0,0.6848,0.0,1.0,1.0,2.0,,56.0,3.0,3.0,114.0,21.0,,,19.0,196.0,51.0,638.0,,,2.0,39.0,4.0,7.0,1.0,1748.0,1.0,,13.0,105.0,10.0,,41.0,79.0,370.0,7.0,31.3838,8.0,25.0,71.0,41.0,1.0,71.0,21.0,12.0,0.0,189.0,22.0,,320.0,128.0,21.0,21.0,,9.0,253.0,31.0,51.0,21.0,1.0,150.0,26.0,0.0,632.0,2.0,8.0,315.0,35.0,12.0,181.0,22.0,29.0,72.0,116.0,1199.0,179.0,,48.0,196.0,14.0,0.639,7.0,82.0,52.0,,1.0,,,,,,,,,,,,7.0,,,,,,,,34.0,,,1.0,,,,,,,,,,,,,,,,,
17997,Phil Bardsley,Defender,Burnley,90,Scotland,2018-19,69.0,10.0,1.4605,0.0,3.0,1.0,1.0,0.1136,32.0,9.0,,84.0,19.0,,,19.0,172.0,27.0,555.0,,,,60.0,4.0,10.0,1.0,1672.0,1.0,,28.0,79.0,4.0,,32.0,47.0,346.0,5.0,27.2796,7.0,10.0,66.0,27.0,1.0,41.0,35.0,11.0,0.0,148.0,13.0,,260.0,70.0,19.0,13.0,,4.0,233.0,23.0,27.0,10.0,1.0,88.0,32.0,0.0,546.0,8.0,8.0,277.0,19.0,4.0,181.0,22.0,31.0,37.0,79.0,1021.0,133.0,2.0,37.0,160.0,18.0,0.34,9.0,88.0,41.0,,1.0,1.0,,,,,,,,,,,12.0,,2.0,,,,,,53.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
