playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,fiftyFifty,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,throughBalls,penaltiesTaken,penaltyGoals,hitWoodwork,handballsConceded,goalAssists,oboxBlocked,successfulCornersIntoBox,shotsBlockedOutsideBox,secondGoalAssists,ownGoalScored,headedGoals,clearancesOffTheLine,leftFootGoals,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,setPiecesGoals,foulWonPenalty,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox
51927,Ben Mee,Defender,Burnley,90,England,2021-22,58.0,1.0,0.1201,36.0,0.0,3.0,4.0,1.3245,26.0,16.0,109.0,21.0,,25.0,21.0,222.0,3.0,751.0,3.0,2.0,1.0,,,109.0,6.0,,1.0,1.0,1840.0,1.0,,41.0,105.0,4.0,,18.0,37.0,440.0,32.0,,,20.4099,5.0,17.0,92.0,25.0,2.0,17.0,204.0,7.0,1.0,163.0,6.0,2.0,361.0,132.0,21.0,,,14.0,1.0,196.0,21.0,3.0,1.0,2.0,54.0,68.0,0.0,730.0,12.0,,234.0,12.0,4.0,22.0,130.0,9.0,24.0,,89.0,56.0,1003.0,5.0,1.0,44.0,334.0,8.0,2.3533,3.0,113.0,58.0,,,,1.0,,,1.0,,1.0,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,
461102,Bobby Thomas,Defender,Burnley,90,England,2021-22,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103914,Charlie Taylor,Defender,Burnley,90,England,2021-22,106.0,20.0,2.3613,48.0,0.0,1.0,,,45.0,6.0,147.0,31.0,,24.0,30.0,283.0,84.0,980.0,,,0.0,1.0,,88.0,5.0,,20.0,,2730.0,,,30.0,173.0,6.0,,61.0,115.0,623.0,13.0,29.0,5.0,40.0272,18.0,18.0,72.0,48.0,1.0,76.0,235.0,43.0,0.0,279.0,22.0,0.0,477.0,183.0,31.0,,,19.0,26.0,376.0,42.0,84.0,41.0,1.0,191.0,58.0,0.0,966.0,6.0,22.0,484.0,26.0,27.0,20.0,54.0,17.0,58.0,,74.0,214.0,1839.0,251.0,,56.0,341.0,13.0,0.1595,3.0,136.0,82.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
39487,Erik Pieters,Defender,Burnley,90,Netherlands,2021-22,36.0,1.0,0.3001,25.0,0.0,3.0,,,28.0,4.0,58.0,12.0,,8.0,8.0,82.0,12.0,254.0,,,0.0,4.0,,19.0,4.0,,2.0,,727.0,,,7.0,48.0,,,25.0,36.0,158.0,6.0,9.0,,8.0084,1.0,3.0,37.0,5.0,1.0,29.0,73.0,5.0,0.0,84.0,11.0,0.0,118.0,53.0,12.0,,,13.0,2.0,90.0,5.0,12.0,4.0,1.0,65.0,12.0,0.0,253.0,4.0,4.0,124.0,15.0,3.0,7.0,20.0,14.0,10.0,,14.0,43.0,498.0,68.0,1.0,14.0,84.0,11.0,0.2391,1.0,24.0,29.0,1.0,,,,,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,
40145,Jack Cork,Defender,Burnley,90,England,2021-22,91.0,3.0,0.3199,54.0,0.0,3.0,2.0,0.2666,20.0,4.0,114.0,20.0,4.0,32.0,20.0,146.0,5.0,565.0,1.0,1.0,1.0,,,47.0,6.0,,3.0,1.0,1676.0,1.0,,21.0,63.0,2.0,,23.0,37.0,394.0,10.0,,2.0,23.0636,6.0,5.0,27.0,26.0,2.0,70.0,134.0,10.0,0.0,154.0,13.0,0.0,226.0,96.0,20.0,,,14.0,6.0,244.0,24.0,5.0,26.0,2.0,107.0,26.0,0.0,559.0,2.0,1.0,200.0,6.0,7.0,4.0,125.0,31.0,17.0,,25.0,80.0,772.0,1.0,6.0,21.0,178.0,24.0,0.684,4.0,32.0,31.0,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
17761,James Tarkowski,Defender,Burnley,90,England,2021-22,111.0,,0.9449,61.0,0.0,2.0,6.0,1.3822,65.0,20.0,215.0,35.0,,34.0,35.0,368.0,1.0,1180.0,1.0,2.0,0.0,,,217.0,7.0,1.0,,4.0,3107.0,4.0,,64.0,242.0,6.0,,21.0,89.0,672.0,68.0,,4.0,44.3679,8.0,20.0,183.0,51.0,2.0,47.0,274.0,19.0,0.0,353.0,14.0,1.0,594.0,171.0,35.0,1.0,,20.0,2.0,321.0,45.0,1.0,7.0,2.0,136.0,153.0,0.0,1159.0,14.0,3.0,394.0,45.0,5.0,61.0,251.0,30.0,48.0,,140.0,61.0,1667.0,4.0,1.0,68.0,491.0,18.0,2.5406,11.0,153.0,107.0,1.0,,,1.0,2.0,2.0,,,,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,
41674,Kevin Long,Defender,Burnley,90,Ireland,2021-22,12.0,,0.0058,2.0,0.0,,,,3.0,4.0,15.0,6.0,,2.0,4.0,23.0,,102.0,,1.0,0.0,2.0,,20.0,,,,,408.0,,,7.0,18.0,,,4.0,5.0,71.0,7.0,,2.0,8.7856,,2.0,19.0,7.0,,5.0,25.0,3.0,0.0,30.0,3.0,0.0,38.0,11.0,6.0,,,1.0,,17.0,7.0,,,,10.0,13.0,0.0,101.0,4.0,,25.0,2.0,,1.0,30.0,4.0,1.0,,8.0,9.0,144.0,,,4.0,62.0,1.0,0.1545,1.0,8.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68983,Matthew Lowton,Defender,Burnley,90,England,2021-22,63.0,9.0,1.577,33.0,1.0,4.0,2.0,0.7795,38.0,6.0,103.0,25.0,,23.0,20.0,212.0,41.0,649.0,1.0,,0.0,5.0,,42.0,3.0,1.0,9.0,,1771.0,,,17.0,79.0,5.0,,39.0,54.0,375.0,5.0,29.0,1.0,22.7779,16.0,12.0,62.0,30.0,1.0,46.0,30.0,6.0,1.0,142.0,14.0,1.0,336.0,118.0,25.0,1.0,,14.0,11.0,261.0,25.0,42.0,17.0,1.0,100.0,25.0,1.0,632.0,4.0,11.0,316.0,24.0,10.0,11.0,183.0,13.0,26.0,,62.0,100.0,1128.0,153.0,3.0,40.0,185.0,10.0,0.6662,3.0,109.0,45.0,4.0,,,,,2.0,3.0,,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,
432830,Nathan Collins,Defender,Burnley,90,Ireland,2021-22,66.0,1.0,0.7729,44.0,1.0,3.0,5.0,1.7968,37.0,12.0,108.0,19.0,,24.0,18.0,194.0,2.0,630.0,2.0,4.0,0.0,1.0,,91.0,5.0,,1.0,3.0,1669.0,3.0,,32.0,111.0,2.0,2.0,16.0,52.0,390.0,38.0,5.0,4.0,25.4084,6.0,7.0,81.0,25.0,3.0,34.0,107.0,12.0,0.0,177.0,13.0,2.0,320.0,128.0,19.0,,1.0,22.0,3.0,161.0,23.0,2.0,7.0,3.0,86.0,59.0,1.0,623.0,7.0,1.0,221.0,15.0,5.0,25.0,148.0,20.0,24.0,,46.0,55.0,911.0,11.0,,36.0,276.0,7.0,1.5462,2.0,86.0,61.0,1.0,,,,1.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,
461567,Owen Dodgson,Defender,Burnley,90,England,2021-22,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17997,Phil Bardsley,Defender,Burnley,90,Scotland,2021-22,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
