playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,redCards2ndYellow,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,throwInsToOppositionPlayer,clearancesOffTheLine,throwInsToOwnPlayer,leftFootGoals,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,penaltiesTaken,penaltyGoals,cornersTakenInclShortCorners,penaltiesConceded,successfulCornersIntoBox,unsuccessfulCornersIntoBox,secondGoalAssists,gkSuccessfulDistribution,goalKicks,ownGoalScored,lastPlayerTackle,foulWonPenalty,setPiecesGoals,penaltiesSaved,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox
51927,Ben Mee,Defender,Burnley,90,England,2014-15,130.0,7.0,1.0068,0.0,2.0,5.0,3.0,1.3251,65.0,18.0,,214.0,33.0,1.0,1.0,32.0,378.0,49.0,1114.0,2.0,,1.0,1.0,1.0,134.0,8.0,,7.0,3.0,2887.0,3.0,,48.0,191.0,5.0,52.0,105.0,637.0,39.0,3.0,44.0981,16.0,34.0,182.0,44.0,1.0,82.0,354.0,29.0,0.0,321.0,22.0,1.0,554.0,173.0,33.0,,,19.0,10.0,409.0,39.0,,2.0,49.0,26.0,1.0,187.0,86.0,0.0,1088.0,13.0,7.0,562.0,46.0,17.0,29.0,52.0,29.0,65.0,99.0,154.0,2042.0,2.0,1.0,1.0,116.0,334.0,16.0,,2.1958,10.0,164.0,80.0,74.0,1.0,257.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151099,Cameron Dummigan,Defender,Burnley,90,Northern Ireland,2014-15,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80788,Daniel Lafferty,Defender,Burnley,90,Northern Ireland,2014-15,2.0,,,0.0,,,,,1.0,,,1.0,1.0,,,,2.0,,2.0,,,,,1.0,2.0,,,,,16.0,,,2.0,1.0,,,1.0,,,,0.0946,,,1.0,,,,,,0.0,3.0,,,1.0,,1.0,,,,,,,,,,,,1.0,,0.0,2.0,,,3.0,1.0,,,1.0,1.0,,,,5.0,,,,1.0,,,,,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15706,Jason Shackell,Defender,Burnley,90,England,2014-15,101.0,3.0,1.57,0.0,1.0,2.0,1.0,0.3588,23.0,8.0,,134.0,38.0,,2.0,38.0,276.0,3.0,1245.0,,,,,,240.0,10.0,1.0,3.0,1.0,3347.0,1.0,,70.0,227.0,5.0,19.0,57.0,793.0,32.0,3.0,51.0346,9.0,58.0,436.0,51.0,1.0,31.0,463.0,48.0,0.0,328.0,11.0,,563.0,145.0,38.0,1.0,,6.0,,316.0,46.0,,,3.0,3.0,1.0,88.0,170.0,0.0,1171.0,6.0,,294.0,17.0,2.0,52.0,143.0,23.0,49.0,176.0,76.0,1921.0,1.0,,,97.0,656.0,5.0,1.0,0.7843,3.0,142.0,54.0,,3.0,2.0,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,
41674,Kevin Long,Defender,Burnley,90,Ireland,2014-15,,,,0.0,,,,,,,,,1.0,,,,1.0,,3.0,,,,,1.0,1.0,,,,,20.0,,,,2.0,1.0,,1.0,2.0,,,0.3093,,,4.0,1.0,,,,1.0,0.0,2.0,,,1.0,,1.0,,,,,,,,,,,,1.0,1.0,0.0,3.0,,,1.0,,,,2.0,,,,,8.0,1.0,,,1.0,2.0,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77794,Kieran Trippier,Defender,Burnley,90,England,2014-15,163.0,58.0,6.9589,0.0,5.0,3.0,7.0,0.3513,73.0,6.0,2.0,306.0,38.0,4.0,4.0,38.0,663.0,176.0,1682.0,,2.0,,5.0,,125.0,10.0,3.0,92.0,,3416.0,,,52.0,214.0,6.0,107.0,141.0,802.0,4.0,3.0,51.4499,61.0,65.0,151.0,53.0,,111.0,42.0,47.0,0.0,377.0,28.0,,956.0,257.0,38.0,3.0,,16.0,28.0,656.0,47.0,,,249.0,47.0,,252.0,73.0,0.0,1594.0,3.0,36.0,1112.0,57.0,26.0,13.0,472.0,17.0,82.0,217.0,212.0,3163.0,1.0,,5.0,229.0,455.0,13.0,,0.5625,2.0,357.0,93.0,105.0,1.0,460.0,,8.0,8.0,0.4994,,,82.0,,22.0,58.0,1.0,,,,,,,,,,,,,,,,,,,,
2907,Michael Duff,Defender,Burnley,90,Northern Ireland,2014-15,91.0,,0.5831,1.0,1.0,1.0,,0.3674,24.0,1.0,,76.0,21.0,,,21.0,184.0,4.0,640.0,,,,,,139.0,8.0,,,1.0,1809.0,1.0,1.0,55.0,124.0,1.0,11.0,40.0,359.0,17.0,,23.355,4.0,38.0,199.0,25.0,1.0,36.0,84.0,15.0,0.0,215.0,7.0,,339.0,102.0,21.0,,,7.0,,178.0,24.0,,,4.0,2.0,1.0,76.0,84.0,1.0,612.0,,2.0,195.0,17.0,4.0,22.0,160.0,19.0,34.0,97.0,57.0,983.0,1.0,,,75.0,278.0,5.0,2.0,0.0998,4.0,108.0,37.0,,,6.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
106611,Michael Keane,Defender,Burnley,90,England,2014-15,48.0,,0.1981,0.0,2.0,4.0,1.0,0.2312,22.0,10.0,1.0,56.0,22.0,1.0,2.0,17.0,144.0,,644.0,,,,,5.0,112.0,2.0,,,3.0,1641.0,3.0,,33.0,108.0,5.0,15.0,29.0,442.0,19.0,2.0,26.8107,4.0,21.0,170.0,27.0,2.0,15.0,129.0,5.0,0.0,156.0,7.0,,292.0,71.0,22.0,,,6.0,2.0,144.0,22.0,,,,3.0,2.0,44.0,79.0,0.0,628.0,6.0,2.0,155.0,16.0,3.0,9.0,183.0,5.0,43.0,58.0,40.0,946.0,,,,67.0,356.0,1.0,1.0,1.0565,1.0,88.0,31.0,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
40616,Stephen Ward,Defender,Burnley,90,Ireland,2014-15,28.0,2.0,0.1651,0.0,1.0,,2.0,,17.0,,,39.0,9.0,,3.0,7.0,70.0,14.0,223.0,,,,,2.0,26.0,1.0,,2.0,,623.0,,,12.0,38.0,1.0,15.0,24.0,133.0,1.0,,9.1092,7.0,11.0,31.0,11.0,1.0,16.0,61.0,5.0,0.0,66.0,7.0,,110.0,26.0,9.0,,,6.0,,79.0,10.0,,,14.0,,1.0,40.0,14.0,0.0,221.0,,,107.0,11.0,3.0,5.0,20.0,4.0,17.0,20.0,32.0,407.0,1.0,,,24.0,76.0,3.0,,0.0224,3.0,31.0,14.0,16.0,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3332,Steven Reid,Defender,Burnley,90,Ireland,2014-15,4.0,,0.0189,0.0,,,,,5.0,,,6.0,7.0,,1.0,1.0,12.0,,52.0,,,,,6.0,4.0,,,,,109.0,,,1.0,11.0,,3.0,8.0,33.0,,,2.0685,,3.0,7.0,3.0,,3.0,9.0,3.0,0.0,15.0,2.0,,16.0,12.0,7.0,,,,,16.0,3.0,,,,,,11.0,3.0,0.0,50.0,,,14.0,5.0,,3.0,19.0,2.0,2.0,7.0,8.0,86.0,1.0,,,4.0,24.0,,,,1.0,6.0,4.0,2.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
