playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,totalRedCards,blockedShots,shotsOnTargetIncGoals,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,foulWonPenalty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,awayGoals,substituteOn,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,totalFoulsWon,winningGoal,duels,homeGoals,recoveries,appearances,rightFootGoals,tacklesLost,lastPlayerTackle,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,totalFoulsConceded,interceptions,successfulLongPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,handballsConceded,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,penaltiesSaved,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,forwardPasses,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,goalAssists,offsides,cornersTakenInclShortCorners,successfulCornersIntoBox,throwInsToOppositionPlayer,leftFootGoals,attemptsFromSetPieces,unsuccessfulCornersIntoBox,hitWoodwork,ownGoalScored,clearancesOffTheLine,setPiecesGoals,headedGoals,penaltiesTaken,penaltyGoals,redCards2ndYellow
31881,André Bikey,Defender,Burnley,90,Cameroon,2009-10,164.0,2.0,0.0,5.0,7.0,53.0,25.0,4.0,141.0,28.0,6.0,1.0,26.0,202.0,3.0,721.0,1.0,0.0,2.0,104.0,3.0,2.0,2190.0,1.0,46.0,161.0,7.0,1.0,103.0,446.0,25.0,3.0,8.0,9.0,110.0,55.0,118.0,29.0,2.0,325.0,1.0,130.0,28.0,1.0,14.0,2.0,9.0,264.0,48.0,3.0,46.0,221.0,58.0,0.0,708.0,18.0,3.0,306.0,39.0,21.0,15.0,51.0,55.0,73.0,1142.0,2.0,8.0,47.0,257.0,1.0,5.0,61.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50464,Brian Easton,Defender,Burnley,90,Scotland,2009-10,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3011,Clarke Carlisle,Defender,Burnley,90,England,2009-10,94.0,,0.0,2.0,3.0,51.0,11.0,,187.0,27.0,1.0,,27.0,289.0,3.0,756.0,,,,149.0,3.0,,2374.0,,43.0,186.0,6.0,2.0,80.0,414.0,25.0,4.0,5.0,23.0,363.0,56.0,51.0,26.0,0.0,280.0,,78.0,27.0,,9.0,3.0,1.0,155.0,50.0,3.0,6.0,131.0,106.0,0.0,738.0,8.0,2.0,440.0,42.0,3.0,17.0,26.0,71.0,53.0,1349.0,2.0,1.0,94.0,312.0,,8.0,102.0,76.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,1.0,2.0,,,,,
18421,Daniel Fox,Defender,Burnley,90,Scotland,2009-10,39.0,2.0,0.0,1.0,6.0,29.0,13.0,1.0,91.0,14.0,4.0,,13.0,144.0,15.0,480.0,1.0,0.0,1.0,34.0,,10.0,1149.0,1.0,12.0,63.0,5.0,,41.0,296.0,6.0,1.0,9.0,13.0,62.0,33.0,27.0,8.0,2.0,102.0,1.0,54.0,14.0,,10.0,,5.0,195.0,28.0,39.0,11.0,68.0,22.0,0.0,455.0,7.0,8.0,237.0,19.0,4.0,5.0,11.0,30.0,40.0,836.0,90.0,3.0,34.0,151.0,,3.0,53.0,28.0,,,,,,,,,,,,,,,,,,1.0,,29.0,6.0,24.0,1.0,8.0,17.0,,,,1.0,,,,
40345,David Edgar,Defender,Burnley,90,Canada,2009-10,11.0,,0.0,,,11.0,,,11.0,4.0,,,2.0,19.0,,78.0,,,2.0,4.0,,,239.0,,2.0,15.0,1.0,,13.0,52.0,,,,2.0,22.0,7.0,9.0,1.0,0.0,26.0,,3.0,4.0,,1.0,,,21.0,6.0,,,22.0,2.0,0.0,74.0,,,26.0,10.0,1.0,2.0,7.0,4.0,7.0,128.0,3.0,,8.0,38.0,,0.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
40145,Jack Cork,Defender,Burnley,90,England,2009-10,61.0,2.0,0.0,3.0,4.0,22.0,7.0,8.0,50.0,11.0,10.0,,8.0,55.0,10.0,298.0,1.0,0.0,3.0,22.0,,2.0,772.0,1.0,16.0,44.0,4.0,,38.0,237.0,12.0,1.0,11.0,2.0,7.0,22.0,45.0,15.0,0.0,105.0,1.0,47.0,11.0,,3.0,,7.0,167.0,18.0,10.0,28.0,83.0,6.0,0.0,297.0,3.0,3.0,96.0,19.0,1.0,,7.0,18.0,6.0,447.0,1.0,2.0,4.0,78.0,,1.0,5.0,6.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,1.0,,,
3390,Leon Cort,Defender,Burnley,90,Guyana,2009-10,42.0,,0.0,,2.0,11.0,4.0,,92.0,15.0,1.0,,15.0,103.0,,252.0,,,,88.0,,,1291.0,,31.0,77.0,4.0,,20.0,141.0,13.0,2.0,2.0,4.0,156.0,35.0,11.0,9.0,0.0,119.0,,28.0,15.0,,2.0,2.0,,51.0,31.0,,3.0,31.0,57.0,0.0,251.0,2.0,,164.0,9.0,,18.0,7.0,13.0,8.0,482.0,,1.0,20.0,98.0,,0.0,11.0,31.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,
2907,Michael Duff,Defender,Burnley,90,Northern Ireland,2009-10,39.0,,0.0,,1.0,25.0,4.0,,67.0,11.0,2.0,1.0,10.0,114.0,2.0,288.0,,,1.0,54.0,,,951.0,,20.0,67.0,3.0,,33.0,152.0,9.0,1.0,2.0,13.0,139.0,23.0,19.0,8.0,0.0,106.0,,35.0,11.0,,7.0,1.0,,73.0,20.0,2.0,1.0,52.0,34.0,0.0,276.0,3.0,2.0,168.0,18.0,,10.0,12.0,24.0,22.0,512.0,,1.0,41.0,101.0,1.0,5.0,47.0,23.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
43248,Richard Eckersley,Defender,Burnley,90,England,2009-10,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14926,Stephen Jordan,Defender,Burnley,90,England,2009-10,70.0,4.0,1.0,1.0,1.0,57.0,1.0,,175.0,25.0,2.0,,23.0,238.0,28.0,819.0,,,2.0,49.0,3.0,4.0,2024.0,,22.0,110.0,4.0,,83.0,545.0,12.0,3.0,9.0,13.0,134.0,43.0,48.0,15.0,0.0,180.0,,90.0,25.0,,9.0,2.0,3.0,303.0,39.0,28.0,10.0,131.0,27.0,0.0,806.0,,4.0,371.0,48.0,11.0,4.0,26.0,45.0,36.0,1419.0,200.0,2.0,58.0,282.0,,2.0,63.0,48.0,,,,,,,,,,,,,,,,,,1.0,,,,44.0,,,,,1.0,,,,,,1.0
