matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
803162,1.0,2015-08-08 15:00:00,7,Aston Villa,Away,154.0,15.0,1.0,1.0,,,,157.0,5.0,,6.0,6.0,13.0,32.0,310.0,1.0,,15.0,17.0,17.0,3.0,,,,,,1.0,,,,5.0,,,,,,8.0,8.0,3.0,,,,66.0,61.0,1.0,,1.0,5.0,15.0,2.0,3.0,,,3.0,6.0,7.0,,7.0,,45.0,64.0,5.0,30.0,18.0,,1.0,,,,,56.0,13.0,13.0,,1.0,1.0,,1.0,149.0,1.0,1.0,1.0,,1.0,,13.0,,,,4.0,,,,,23.0,,28.0,28.0,4.0,6.0,87.0,71.0,37.0,6.0,,1.0,3.0,3.0,363.0,,,2.0,3.0,,62.0,61.0,18.0,,,,,,135.0,126.0,3.0,33.0,18.0,41.6,,1.0,15.0,0.0,,,,89.0,2.0,,2.0,,,,2.0,,,3.0,73.0,294.0,5.0,4.0,178.0,35.0,39.0,17.0,2.0,15.0,13.0,,102.0,8.0,228.0,4.0,,22.0,16.0,72.0,,391.0,2.0,0.0,7.0,24.0,,19.0,4.0,604.0,,9.0,10.0,3.0,20.0,0.0
803177,2.0,2015-08-14 19:45:00,7,Aston Villa,Home,222.0,18.0,3.0,3.0,,3.0,,137.0,6.0,1.0,5.0,8.0,9.0,33.0,356.0,,1.0,20.0,12.0,12.0,2.0,2.0,,,,,,,,,3.0,,,,,,8.0,5.0,4.0,,,,62.0,68.0,,,,1.0,13.0,1.0,5.0,,,3.0,5.0,5.0,,4.0,1.0,54.0,55.0,1.0,7.0,4.0,,,,,,,57.0,14.0,10.0,,1.0,2.0,2.0,,151.0,,,,,,,7.0,,,,2.0,,,,,7.0,,19.0,19.0,1.0,5.0,107.0,80.0,41.0,5.0,,2.0,2.0,1.0,419.0,,,3.0,1.0,,49.0,38.0,29.0,,,,,,151.0,145.0,2.0,31.0,26.0,45.6,,1.0,13.0,0.0,,,,121.0,,1.0,1.0,,,,3.0,,,2.0,52.0,340.0,8.0,4.0,234.0,40.0,13.0,32.0,3.0,15.0,12.0,,97.0,8.0,222.0,2.0,2.0,19.0,12.0,60.0,4.0,441.0,,0.0,5.0,22.0,1.0,24.0,2.0,630.0,,14.0,12.0,3.0,18.0,0.0
803182,3.0,2015-08-22 15:00:00,7,Aston Villa,Away,142.0,16.0,2.0,5.0,3.0,7.0,,146.0,7.0,1.0,5.0,10.0,8.0,38.0,283.0,,1.0,20.0,24.0,27.0,7.0,2.0,,,,,,,,1.0,8.0,,,,,2.0,8.0,10.0,6.0,,,,60.0,60.0,1.0,1.0,,3.0,7.0,3.0,6.0,,,4.0,8.0,7.0,,5.0,2.0,59.0,61.0,3.0,22.0,18.0,1.0,1.0,,,,,42.0,15.0,12.0,,1.0,2.0,2.0,,134.0,,,,,,,14.0,,,,4.0,,,,1.0,18.0,,18.0,18.0,4.0,5.0,91.0,78.0,44.0,6.0,,4.0,5.0,2.0,332.0,,,3.0,1.0,,65.0,30.0,29.0,,,,,,129.0,127.0,3.0,24.0,25.0,50.1,,1.0,7.0,0.0,,,,78.0,3.0,1.0,4.0,,1.0,,6.0,,,1.0,78.0,265.0,6.0,9.0,158.0,29.0,24.0,19.0,4.0,21.0,17.0,,106.0,17.0,226.0,4.0,1.0,28.0,10.0,73.0,,363.0,1.0,0.0,11.0,13.0,1.0,22.0,3.0,548.0,,12.0,9.0,4.0,10.0,0.0
803198,4.0,2015-08-29 15:00:00,7,Aston Villa,Home,186.0,16.0,3.0,14.0,11.0,3.0,2.0,267.0,2.0,2.0,7.0,6.0,30.0,31.0,439.0,,,26.0,22.0,29.0,14.0,2.0,,1.0,,,,,,,18.0,1.0,,,,1.0,4.0,4.0,3.0,,,,87.0,66.0,2.0,1.0,2.0,2.0,12.0,4.0,5.0,,,5.0,14.0,13.0,,15.0,1.0,67.0,78.0,2.0,21.0,15.0,,,,,,,55.0,10.0,14.0,2.0,,3.0,2.0,,173.0,1.0,,1.0,1.0,,,5.0,,,1.0,2.0,,,,1.0,17.0,,14.0,14.0,3.0,7.0,137.0,93.0,60.0,4.0,,9.0,8.0,6.0,503.0,,,1.0,4.0,,71.0,55.0,41.0,,,,,1.0,165.0,159.0,4.0,18.0,37.0,62.0,,,12.0,0.0,,,,126.0,1.0,,1.0,,1.0,1.0,11.0,,,1.0,118.0,422.0,5.0,18.0,203.0,33.0,27.0,32.0,5.0,34.0,29.0,1.0,157.0,7.0,354.0,2.0,2.0,16.0,35.0,56.0,,523.0,,0.0,21.0,20.0,,27.0,2.0,772.0,,18.0,15.0,5.0,17.0,0.0
803202,5.0,2015-09-13 16:00:00,7,Aston Villa,Away,177.0,7.0,3.0,3.0,,2.0,,136.0,6.0,,1.0,9.0,9.0,28.0,310.0,,,23.0,18.0,28.0,6.0,2.0,,1.0,,,,,,,6.0,,,,,1.0,5.0,9.0,12.0,,,,60.0,79.0,1.0,1.0,,3.0,24.0,4.0,25.0,,,5.0,5.0,2.0,,9.0,2.0,88.0,74.0,3.0,24.0,11.0,1.0,3.0,,,,,48.0,13.0,8.0,,,,,,168.0,2.0,,1.0,2.0,,1.0,14.0,,,1.0,1.0,,,,,14.0,,18.0,18.0,1.0,1.0,94.0,77.0,37.0,4.0,2.0,3.0,7.0,4.0,387.0,,,6.0,,,58.0,47.0,21.0,,,,,,173.0,167.0,1.0,34.0,35.0,51.3,,,24.0,0.0,,,,94.0,,3.0,3.0,,,1.0,3.0,,,3.0,58.0,292.0,10.0,10.0,211.0,21.0,30.0,32.0,5.0,12.0,7.0,2.0,92.0,10.0,217.0,1.0,1.0,28.0,12.0,68.0,1.0,416.0,,0.0,11.0,29.0,,26.0,1.0,639.0,,16.0,9.0,5.0,22.0,0.0
803220,6.0,2015-09-19 15:00:00,7,Aston Villa,Home,151.0,11.0,1.0,4.0,3.0,4.0,,201.0,5.0,,6.0,9.0,14.0,40.0,348.0,1.0,,26.0,24.0,35.0,6.0,1.0,,,1.0,1.0,3.0,,,,9.0,,,,,1.0,5.0,7.0,3.0,,,,64.0,57.0,1.0,1.0,,5.0,16.0,5.0,8.0,,1.0,2.0,12.0,12.0,,4.0,3.0,57.0,87.0,5.0,24.0,20.0,,,,,,,53.0,10.0,10.0,,,4.0,,3.0,167.0,,,,,,,8.0,,,,2.0,,,,,21.0,,20.0,20.0,4.0,6.0,109.0,67.0,42.0,7.0,,3.0,4.0,3.0,431.0,,,2.0,1.0,,61.0,73.0,34.0,,,,,,161.0,152.0,5.0,29.0,16.0,59.8,,,16.0,0.0,,,,111.0,3.0,2.0,5.0,,2.0,,5.0,,,3.0,89.0,333.0,7.0,7.0,177.0,28.0,33.0,23.0,2.0,26.0,24.0,,136.0,14.0,300.0,2.0,,26.0,15.0,69.0,2.0,451.0,1.0,0.0,13.0,30.0,,29.0,2.0,680.0,,6.0,12.0,2.0,24.0,0.0
803223,7.0,2015-09-26 15:00:00,7,Aston Villa,Away,154.0,6.0,,7.0,7.0,1.0,1.0,126.0,7.0,1.0,11.0,5.0,10.0,22.0,273.0,,,12.0,7.0,14.0,4.0,1.0,,,,,,,,,8.0,,,,,1.0,7.0,14.0,7.0,,,,44.0,61.0,1.0,,1.0,5.0,17.0,1.0,7.0,,,1.0,5.0,5.0,,9.0,4.0,53.0,51.0,5.0,26.0,14.0,1.0,3.0,,,,,39.0,13.0,8.0,2.0,,,1.0,,122.0,2.0,,2.0,2.0,,,10.0,,,2.0,2.0,,,,1.0,17.0,,18.0,18.0,4.0,11.0,84.0,61.0,33.0,11.0,,4.0,3.0,4.0,316.0,,,7.0,7.0,,34.0,63.0,15.0,,,,,,127.0,121.0,,31.0,14.0,37.6,,2.0,17.0,0.0,,,,93.0,5.0,4.0,9.0,,2.0,,5.0,,,2.0,48.0,254.0,9.0,7.0,176.0,15.0,32.0,29.0,,11.0,11.0,,74.0,7.0,178.0,2.0,1.0,19.0,11.0,51.0,1.0,343.0,,0.0,10.0,18.0,,14.0,0.0,558.0,,10.0,11.0,1.0,13.0,0.0
803237,8.0,2015-10-03 15:00:00,7,Aston Villa,Home,142.0,14.0,3.0,4.0,1.0,4.0,,262.0,2.0,,8.0,4.0,18.0,22.0,400.0,,,27.0,17.0,18.0,7.0,1.0,,,,,2.0,,,,8.0,,,,,3.0,6.0,8.0,4.0,,,,71.0,69.0,1.0,1.0,,4.0,14.0,7.0,12.0,,,9.0,15.0,7.0,,10.0,2.0,68.0,70.0,4.0,13.0,8.0,,,,,,,60.0,12.0,12.0,,,4.0,,2.0,164.0,,,,,,,2.0,,,,2.0,,,,,10.0,,14.0,14.0,2.0,8.0,125.0,77.0,45.0,5.0,,3.0,5.0,2.0,458.0,,,3.0,1.0,,75.0,56.0,35.0,,,,,,150.0,146.0,7.0,21.0,28.0,56.3,,1.0,14.0,0.0,,,,118.0,1.0,3.0,4.0,,,,4.0,1.0,,3.0,127.0,387.0,9.0,8.0,159.0,27.0,17.0,39.0,8.0,29.0,22.0,,165.0,9.0,348.0,2.0,,21.0,20.0,54.0,2.0,478.0,,0.0,13.0,18.0,,29.0,1.0,711.0,,11.0,22.0,9.0,17.0,0.0
803243,9.0,2015-10-17 15:00:00,7,Aston Villa,Away,165.0,11.0,1.0,4.0,3.0,6.0,1.0,169.0,3.0,1.0,4.0,10.0,19.0,29.0,330.0,,,26.0,24.0,28.0,4.0,2.0,,,1.0,,1.0,1.0,,,5.0,,,,,3.0,11.0,7.0,3.0,,,,71.0,67.0,1.0,1.0,,2.0,24.0,3.0,8.0,,,4.0,8.0,3.0,,9.0,,80.0,78.0,2.0,27.0,19.0,1.0,,,,,,54.0,17.0,21.0,,,5.0,3.0,1.0,161.0,,,,,,,6.0,,,,,,,,,19.0,,27.0,27.0,4.0,4.0,100.0,70.0,36.0,4.0,,3.0,3.0,1.0,395.0,,,3.0,5.0,1.0,83.0,43.0,19.0,,,,,,169.0,169.0,1.0,28.0,29.0,51.0,,,24.0,0.0,,,,92.0,1.0,1.0,2.0,,,,6.0,1.0,,2.0,73.0,308.0,11.0,6.0,197.0,23.0,27.0,32.0,4.0,18.0,14.0,,101.0,15.0,245.0,1.0,1.0,32.0,23.0,66.0,,424.0,,0.0,10.0,19.0,,31.0,3.0,673.0,,20.0,10.0,4.0,15.0,0.0
803258,10.0,2015-10-24 15:00:00,7,Aston Villa,Home,118.0,13.0,3.0,7.0,4.0,5.0,,162.0,4.0,1.0,3.0,19.0,13.0,35.0,273.0,,,21.0,22.0,22.0,5.0,2.0,,,,1.0,1.0,,1.0,,6.0,,,,,,4.0,5.0,5.0,,,,55.0,71.0,2.0,1.0,1.0,1.0,24.0,1.0,6.0,,,4.0,18.0,2.0,,6.0,1.0,54.0,58.0,1.0,15.0,12.0,,,,,,,47.0,10.0,7.0,,,3.0,1.0,1.0,171.0,1.0,,1.0,1.0,,,10.0,,,1.0,1.0,,,,,13.0,,19.0,19.0,1.0,3.0,61.0,84.0,39.0,6.0,1.0,5.0,3.0,3.0,353.0,,,1.0,3.0,,36.0,76.0,27.0,,,,,,166.0,163.0,3.0,30.0,34.0,47.9,,,24.0,0.0,,,,90.0,2.0,,2.0,,,,5.0,,,2.0,77.0,257.0,14.0,8.0,141.0,31.0,18.0,25.0,4.0,25.0,21.0,,115.0,26.0,261.0,1.0,1.0,41.0,14.0,70.0,,377.0,1.0,0.0,9.0,14.0,1.0,29.0,2.0,573.0,,14.0,15.0,4.0,11.0,0.0
