matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
694911,2.0,2013-08-24 17:30:00,7,Aston Villa,Home,178.0,10.0,2.0,6.0,4.0,4.0,1.0,232.0,1.0,2.0,2.0,6.0,6.0,38.0,404.0,,2.0,18.0,18.0,15.0,10.0,2.0,,,,1.0,,2.0,,,,,10.0,,,,,,2.0,3.0,3.0,2.0,,,,82.0,56.0,1.0,1.0,,1.0,15.0,5.0,9.0,,,8.0,11.0,3.0,,20.0,,57.0,64.0,1.0,18.0,4.0,,,76.0,10.0,8.0,,1.0,3.0,1.0,2.0,160.0,,,,,,,6.0,,,,3.0,,,,1.0,4.0,,20.0,20.0,,2.0,126.0,85.0,57.0,2.0,,5.0,7.0,3.0,469.0,,,2.0,2.0,,93.0,66.0,17.0,,,,,,152.0,152.0,3.0,18.0,28.0,47.4,,,,15.0,0.0,,,,113.0,,,,,,9.0,,3.0,81.0,394.0,9.0,12.0,190.0,24.0,18.0,14.0,8.0,23.0,15.0,1.0,127.0,11.0,314.0,3.0,2.0,13.0,6.0,57.0,2.0,481.0,,0.0,17.0,31.0,2.0,25.0,3.0,704.0,,18.0,11.0,8.0,24.0,0.0
694922,3.0,2013-08-21 19:45:00,7,Aston Villa,Away,92.0,12.0,,2.0,2.0,2.0,,107.0,4.0,2.0,2.0,12.0,8.0,26.0,197.0,,,20.0,18.0,22.0,5.0,,,,,,,,1.0,,,,5.0,,,,,,2.0,4.0,6.0,10.0,,,,43.0,42.0,2.0,2.0,,2.0,7.0,,6.0,,2.0,2.0,4.0,3.0,,11.0,2.0,53.0,49.0,2.0,26.0,7.0,,,54.0,16.0,12.0,1.0,,1.0,,,138.0,1.0,,1.0,1.0,,,13.0,,,1.0,1.0,,,,2.0,7.0,,11.0,11.0,1.0,2.0,51.0,79.0,40.0,1.0,,3.0,3.0,3.0,262.0,,,3.0,2.0,1.0,47.0,39.0,12.0,,,,,,143.0,143.0,,23.0,10.0,30.8,,,,7.0,0.0,,,,54.0,1.0,1.0,2.0,1.0,,4.0,,2.0,50.0,181.0,3.0,6.0,110.0,26.0,26.0,11.0,2.0,9.0,7.0,,100.0,14.0,185.0,1.0,2.0,32.0,8.0,52.0,5.0,286.0,,0.0,7.0,13.0,,24.0,4.0,459.0,,11.0,6.0,2.0,10.0,0.0
694931,4.0,2013-09-14 15:00:00,7,Aston Villa,Home,193.0,11.0,4.0,6.0,2.0,4.0,,180.0,7.0,,6.0,17.0,20.0,40.0,367.0,,1.0,22.0,22.0,26.0,6.0,1.0,,1.0,,,,,,,,,8.0,,,,,,,5.0,8.0,9.0,,,,82.0,53.0,1.0,1.0,,2.0,16.0,4.0,14.0,,,4.0,8.0,4.0,,5.0,3.0,59.0,70.0,2.0,20.0,12.0,,,84.0,10.0,11.0,1.0,1.0,2.0,1.0,,183.0,1.0,1.0,1.0,,1.0,,10.0,,,,,,,,1.0,12.0,,16.0,16.0,,6.0,101.0,92.0,60.0,2.0,,4.0,4.0,1.0,448.0,,,1.0,2.0,,47.0,55.0,19.0,,,,,,144.0,144.0,1.0,20.0,20.0,54.7,,,,16.0,0.0,,,,103.0,1.0,5.0,6.0,,1.0,5.0,,3.0,89.0,355.0,8.0,8.0,209.0,25.0,20.0,20.0,4.0,17.0,13.0,1.0,154.0,16.0,277.0,,,39.0,22.0,65.0,1.0,469.0,,0.0,10.0,24.0,3.0,25.0,1.0,665.0,,7.0,11.0,4.0,20.0,0.0
694947,5.0,2013-09-21 12:45:00,7,Aston Villa,Away,82.0,2.0,3.0,4.0,1.0,3.0,,105.0,3.0,,3.0,10.0,6.0,17.0,183.0,,1.0,13.0,21.0,22.0,12.0,1.0,,1.0,,,,1.0,,,,1.0,13.0,,,,,1.0,,4.0,9.0,4.0,,,,45.0,55.0,2.0,1.0,1.0,7.0,11.0,4.0,5.0,,,4.0,6.0,1.0,,5.0,3.0,50.0,64.0,7.0,45.0,25.0,,,46.0,12.0,15.0,1.0,,3.0,2.0,1.0,119.0,1.0,,1.0,1.0,,,12.0,,,1.0,9.0,,,,2.0,25.0,1.0,9.0,9.0,,4.0,52.0,75.0,31.0,7.0,,8.0,6.0,4.0,243.0,,,4.0,,,39.0,18.0,14.0,,1.0,1.0,1.0,,136.0,136.0,3.0,15.0,23.0,35.8,1.0,,,11.0,0.0,,,,48.0,2.0,,2.0,1.0,1.0,8.0,,3.0,47.0,178.0,6.0,14.0,102.0,6.0,45.0,15.0,4.0,13.0,9.0,1.0,81.0,11.0,175.0,9.0,,43.0,6.0,48.0,2.0,264.0,,0.0,16.0,25.0,1.0,18.0,0.0,493.0,,15.0,6.0,4.0,20.0,0.0
694951,6.0,2013-09-28 15:00:00,7,Aston Villa,Home,112.0,9.0,,,,4.0,,80.0,7.0,,2.0,5.0,8.0,17.0,192.0,,1.0,14.0,21.0,19.0,3.0,,,,1.0,1.0,,2.0,,,,1.0,5.0,,,,,,1.0,4.0,12.0,9.0,,,,43.0,42.0,1.0,,1.0,3.0,10.0,1.0,14.0,,,2.0,3.0,1.0,,5.0,2.0,60.0,51.0,3.0,29.0,11.0,1.0,,50.0,13.0,9.0,1.0,1.0,2.0,,2.0,115.0,2.0,,1.0,2.0,,,18.0,,,2.0,5.0,,,,,11.0,,11.0,11.0,2.0,3.0,58.0,67.0,28.0,13.0,2.0,2.0,3.0,4.0,251.0,,,6.0,1.0,,35.0,18.0,6.0,,,,,,125.0,125.0,3.0,15.0,13.0,33.3,,,1.0,10.0,0.0,,,,57.0,3.0,2.0,5.0,1.0,,3.0,,1.0,34.0,180.0,9.0,5.0,140.0,21.0,29.0,16.0,2.0,6.0,4.0,,70.0,9.0,139.0,5.0,,27.0,10.0,49.0,,273.0,,0.0,8.0,18.0,1.0,17.0,1.0,451.0,,7.0,7.0,2.0,14.0,0.0
694963,7.0,2013-10-05 15:00:00,7,Aston Villa,Away,228.0,12.0,3.0,5.0,2.0,3.0,,153.0,1.0,,7.0,7.0,9.0,52.0,376.0,1.0,,22.0,24.0,15.0,11.0,2.0,,,,,,,,,,,14.0,,,,,,1.0,4.0,4.0,2.0,,,,84.0,50.0,,,,2.0,13.0,8.0,2.0,,,7.0,5.0,4.0,,8.0,,49.0,56.0,2.0,48.0,25.0,,,70.0,11.0,7.0,,2.0,2.0,2.0,,154.0,,,,,,,6.0,,,,5.0,,,,2.0,25.0,,8.0,8.0,3.0,7.0,104.0,84.0,41.0,7.0,,5.0,8.0,4.0,449.0,,,1.0,1.0,,34.0,45.0,14.0,,,,,,132.0,132.0,,26.0,13.0,54.3,,,,13.0,0.0,,,,119.0,,1.0,1.0,,,6.0,,2.0,64.0,370.0,5.0,13.0,240.0,19.0,48.0,20.0,6.0,17.0,11.0,,112.0,8.0,238.0,5.0,,30.0,14.0,82.0,2.0,461.0,1.0,0.0,18.0,20.0,,25.0,1.0,677.0,,8.0,14.0,7.0,19.0,0.0
694971,8.0,2013-10-20 16:00:00,7,Aston Villa,Home,109.0,10.0,1.0,6.0,5.0,1.0,,111.0,6.0,2.0,1.0,3.0,10.0,17.0,214.0,,,28.0,15.0,17.0,9.0,1.0,,,,1.0,,1.0,,,,,11.0,,,,,,1.0,3.0,7.0,6.0,,,,48.0,62.0,1.0,1.0,,1.0,22.0,2.0,11.0,,,4.0,8.0,4.0,,12.0,3.0,54.0,55.0,1.0,29.0,12.0,,1.0,58.0,13.0,12.0,,,4.0,3.0,1.0,137.0,,,,,,,9.0,,,,1.0,,,,1.0,12.0,,20.0,20.0,1.0,1.0,69.0,73.0,32.0,7.0,,7.0,3.0,2.0,291.0,,,1.0,2.0,,41.0,32.0,15.0,,,,,,155.0,155.0,1.0,23.0,27.0,37.1,,,,22.0,0.0,,,,56.0,2.0,2.0,4.0,1.0,,11.0,1.0,3.0,51.0,205.0,12.0,10.0,127.0,23.0,29.0,15.0,4.0,19.0,15.0,,103.0,16.0,202.0,1.0,2.0,19.0,11.0,44.0,2.0,310.0,,0.0,15.0,17.0,3.0,34.0,3.0,537.0,,15.0,9.0,4.0,11.0,0.0
694981,9.0,2013-10-26 15:00:00,7,Aston Villa,Home,148.0,12.0,1.0,2.0,1.0,2.0,,153.0,3.0,,7.0,8.0,12.0,25.0,299.0,,1.0,17.0,18.0,15.0,7.0,1.0,,,,,,,,1.0,,1.0,12.0,,1.0,,,,,6.0,8.0,7.0,,,,58.0,47.0,1.0,2.0,,3.0,16.0,5.0,6.0,,,8.0,9.0,5.0,,12.0,2.0,63.0,46.0,3.0,17.0,6.0,,,71.0,14.0,8.0,,,1.0,,,161.0,,,,,,,9.0,,,,4.0,,,,,6.0,,11.0,11.0,1.0,7.0,79.0,91.0,51.0,6.0,,4.0,4.0,3.0,369.0,,,6.0,4.0,,60.0,38.0,12.0,,,,,1.0,163.0,163.0,,18.0,21.0,46.9,,,,16.0,0.0,,,,85.0,2.0,,2.0,,,6.0,,2.0,60.0,289.0,10.0,8.0,162.0,20.0,17.0,23.0,8.0,22.0,14.0,,106.0,7.0,243.0,4.0,,28.0,13.0,53.0,2.0,383.0,,0.0,14.0,15.0,3.0,23.0,0.0,596.0,,15.0,9.0,8.0,14.0,0.0
694999,10.0,2013-11-02 15:00:00,7,Aston Villa,Away,147.0,11.0,1.0,3.0,2.0,2.0,,124.0,4.0,,4.0,6.0,19.0,28.0,268.0,,,15.0,15.0,21.0,7.0,1.0,,,,,,,,,,,7.0,,,1.0,,,,6.0,10.0,7.0,,,,72.0,58.0,2.0,2.0,,1.0,8.0,2.0,10.0,,,1.0,2.0,5.0,,3.0,1.0,45.0,57.0,1.0,45.0,22.0,,,66.0,15.0,8.0,,,,,,149.0,,,,,,,14.0,,,,4.0,,,,1.0,22.0,1.0,13.0,13.0,3.0,4.0,66.0,101.0,40.0,5.0,,4.0,4.0,2.0,359.0,,,6.0,1.0,,34.0,46.0,13.0,,,,,,140.0,140.0,4.0,21.0,22.0,40.6,1.0,,2.0,8.0,0.0,,,,88.0,3.0,1.0,4.0,,,4.0,,1.0,45.0,259.0,6.0,8.0,172.0,21.0,45.0,7.0,1.0,8.0,7.0,,87.0,8.0,211.0,5.0,1.0,40.0,23.0,65.0,1.0,375.0,,0.0,8.0,24.0,,18.0,2.0,561.0,,7.0,4.0,1.0,20.0,0.0
695001,11.0,2013-11-09 15:00:00,7,Aston Villa,Home,110.0,12.0,3.0,7.0,4.0,2.0,,136.0,3.0,1.0,,9.0,2.0,32.0,239.0,1.0,,23.0,26.0,26.0,10.0,1.0,,1.0,1.0,,,1.0,,,1.0,,15.0,,,,,,,2.0,5.0,3.0,,,,54.0,49.0,,,,1.0,22.0,4.0,3.0,,,5.0,12.0,9.0,,9.0,1.0,52.0,58.0,1.0,24.0,13.0,,1.0,66.0,10.0,3.0,1.0,,2.0,,1.0,146.0,1.0,,1.0,1.0,,,7.0,,,1.0,1.0,,,,,13.0,,10.0,10.0,2.0,,74.0,96.0,53.0,3.0,1.0,5.0,7.0,6.0,325.0,,,1.0,1.0,,62.0,37.0,19.0,,,,,,164.0,164.0,4.0,19.0,21.0,43.1,,,1.0,22.0,0.0,,,,67.0,1.0,1.0,2.0,1.0,1.0,7.0,,2.0,63.0,228.0,13.0,12.0,136.0,22.0,24.0,14.0,4.0,25.0,21.0,1.0,107.0,14.0,230.0,1.0,1.0,43.0,2.0,69.0,5.0,341.0,2.0,0.0,17.0,22.0,1.0,31.0,1.0,543.0,,11.0,8.0,5.0,18.0,0.0
