matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
755412,11.0,2014-11-08 15:00:00,7,Aston Villa,Away,100.0,6.0,,2.0,2.0,,,126.0,5.0,1.0,3.0,4.0,9.0,17.0,224.0,,,13.0,23.0,9.0,7.0,,,,,,,1.0,,,,,10.0,,,,,1.0,5.0,16.0,5.0,,,,48.0,46.0,,,,12.0,11.0,2.0,5.0,,,2.0,5.0,7.0,,11.0,3.0,50.0,40.0,12.0,54.0,34.0,,,62.0,10.0,9.0,,,1.0,1.0,1.0,155.0,,,,,,,13.0,,,,5.0,,,,1.0,34.0,,17.0,17.0,2.0,3.0,63.0,89.0,40.0,13.0,,5.0,2.0,4.0,308.0,,,9.0,,,73.0,53.0,14.0,,,,,146.0,146.0,1.0,17.0,16.0,42.1,,2.0,11.0,0.0,,,,69.0,5.0,,5.0,,,,6.0,,2.0,43.0,213.0,6.0,7.0,123.0,25.0,54.0,8.0,2.0,15.0,13.0,,95.0,3.0,227.0,5.0,1.0,34.0,9.0,71.0,1.0,335.0,,0.0,12.0,16.0,,14.0,3.0,543.0,,7.0,6.0,2.0,14.0,0.0
755414,12.0,2014-11-24 20:00:00,7,Aston Villa,Home,84.0,10.0,,5.0,5.0,2.0,,128.0,8.0,,,10.0,6.0,27.0,207.0,,,15.0,22.0,18.0,4.0,,1.0,,,,,1.0,,1.0,,,4.0,,,,,,6.0,11.0,5.0,,,,48.0,43.0,2.0,1.0,1.0,7.0,17.0,4.0,4.0,,,2.0,10.0,11.0,,9.0,1.0,51.0,45.0,7.0,44.0,26.0,,,59.0,15.0,14.0,1.0,,1.0,,1.0,133.0,1.0,,,1.0,,,12.0,,,1.0,5.0,,,,,26.0,,7.0,7.0,,,64.0,71.0,35.0,8.0,,2.0,3.0,1.0,263.0,,,6.0,1.0,,63.0,51.0,17.0,,,,,132.0,132.0,5.0,21.0,11.0,35.9,,,17.0,0.0,,,,54.0,2.0,1.0,3.0,,1.0,1.0,2.0,1.0,2.0,57.0,187.0,11.0,5.0,106.0,20.0,44.0,2.0,2.0,23.0,21.0,1.0,101.0,4.0,216.0,5.0,,34.0,8.0,63.0,1.0,299.0,,0.0,7.0,13.0,,17.0,1.0,486.0,,8.0,1.0,2.0,10.0,0.0
755423,13.0,2014-11-29 15:00:00,7,Aston Villa,Away,194.0,11.0,3.0,6.0,3.0,3.0,,209.0,2.0,,2.0,10.0,13.0,50.0,397.0,,1.0,22.0,19.0,24.0,11.0,2.0,,,1.0,,,1.0,,,,,13.0,,,,,1.0,3.0,8.0,3.0,,,,82.0,64.0,,,,1.0,18.0,9.0,9.0,,,5.0,16.0,3.0,,15.0,2.0,54.0,51.0,1.0,38.0,21.0,,,68.0,8.0,7.0,1.0,,2.0,1.0,1.0,193.0,1.0,,1.0,1.0,,,8.0,,,1.0,1.0,,,,1.0,21.0,,11.0,11.0,,2.0,112.0,94.0,45.0,1.0,,1.0,13.0,7.0,485.0,,,3.0,1.0,,59.0,87.0,13.0,1.0,1.0,1.0,,155.0,155.0,1.0,30.0,21.0,53.4,,1.0,18.0,0.0,,,,115.0,1.0,2.0,3.0,,1.0,,2.0,1.0,3.0,100.0,390.0,9.0,14.0,224.0,25.0,38.0,11.0,5.0,25.0,20.0,,140.0,8.0,303.0,1.0,,34.0,13.0,97.0,2.0,502.0,1.0,0.0,18.0,14.0,1.0,24.0,4.0,701.0,,7.0,7.0,5.0,12.0,0.0
755435,14.0,2014-12-02 20:00:00,7,Aston Villa,Away,171.0,13.0,1.0,1.0,,3.0,,139.0,4.0,1.0,1.0,9.0,14.0,36.0,309.0,,,11.0,23.0,21.0,2.0,,,,,,,,,,,,3.0,,,,,2.0,8.0,9.0,8.0,,,,54.0,60.0,,,,5.0,12.0,1.0,11.0,,,2.0,4.0,1.0,,9.0,,62.0,81.0,5.0,54.0,31.0,,,56.0,15.0,15.0,1.0,,3.0,2.0,,162.0,,,,,,,7.0,,,1.0,2.0,,,,1.0,31.0,,15.0,15.0,1.0,1.0,106.0,94.0,38.0,8.0,,,2.0,3.0,399.0,,,6.0,1.0,,76.0,47.0,11.0,,,,,162.0,162.0,4.0,26.0,18.0,53.8,,,12.0,0.0,,,,105.0,3.0,2.0,5.0,,,,1.0,,2.0,55.0,294.0,8.0,2.0,200.0,30.0,54.0,12.0,2.0,9.0,7.0,,103.0,8.0,236.0,2.0,1.0,40.0,15.0,87.0,2.0,427.0,,0.0,5.0,40.0,,17.0,2.0,654.0,,12.0,6.0,2.0,27.0,0.0
755443,15.0,2014-12-07 16:00:00,7,Aston Villa,Home,223.0,19.0,3.0,9.0,6.0,2.0,,260.0,9.0,1.0,5.0,7.0,11.0,52.0,474.0,,1.0,18.0,23.0,21.0,12.0,2.0,1.0,,,,,,,,,1.0,13.0,,,,,1.0,6.0,5.0,5.0,,,,92.0,55.0,3.0,2.0,1.0,6.0,18.0,4.0,5.0,,,5.0,7.0,6.0,2.0,12.0,1.0,58.0,61.0,6.0,44.0,31.0,1.0,,74.0,9.0,14.0,,,2.0,,,167.0,2.0,1.0,2.0,1.0,1.0,,10.0,,,1.0,3.0,,,,1.0,31.0,,15.0,15.0,2.0,5.0,150.0,75.0,55.0,5.0,,5.0,11.0,7.0,520.0,,,1.0,1.0,,76.0,85.0,15.0,,,,,127.0,127.0,1.0,19.0,27.0,64.8,,1.0,18.0,0.0,,,,138.0,1.0,2.0,3.0,,,1.0,5.0,,3.0,100.0,453.0,6.0,16.0,241.0,27.0,44.0,23.0,5.0,18.0,13.0,1.0,130.0,10.0,324.0,3.0,1.0,20.0,13.0,75.0,6.0,547.0,,0.0,16.0,12.0,1.0,21.0,4.0,770.0,,13.0,13.0,5.0,10.0,0.0
755462,16.0,2014-12-13 15:00:00,7,Aston Villa,Away,227.0,21.0,,3.0,3.0,4.0,,133.0,8.0,,6.0,10.0,14.0,43.0,357.0,,,22.0,9.0,18.0,4.0,,,,,,,,,,,,5.0,,,,,2.0,6.0,7.0,6.0,,,,65.0,57.0,,,,5.0,11.0,2.0,9.0,,,2.0,3.0,5.0,,9.0,1.0,47.0,63.0,5.0,33.0,17.0,1.0,,48.0,12.0,15.0,,,5.0,3.0,,153.0,,,,,,,12.0,,,,4.0,,,,1.0,17.0,,12.0,12.0,3.0,6.0,100.0,68.0,42.0,4.0,,2.0,2.0,2.0,408.0,,,2.0,2.0,,48.0,39.0,18.0,,,,,129.0,129.0,1.0,32.0,12.0,51.4,,1.0,11.0,0.0,,,,121.0,3.0,1.0,4.0,,,,3.0,,3.0,52.0,333.0,3.0,4.0,255.0,33.0,33.0,15.0,2.0,13.0,11.0,,82.0,9.0,197.0,4.0,,27.0,15.0,76.0,2.0,439.0,,1.0,7.0,27.0,,25.0,2.0,644.0,,11.0,5.0,2.0,20.0,0.0
755463,17.0,2014-12-20 15:00:00,7,Aston Villa,Home,165.0,13.0,2.0,2.0,,1.0,,108.0,5.0,,5.0,13.0,5.0,45.0,271.0,,,7.0,8.0,12.0,5.0,2.0,,,,,,,,,,,5.0,,,,,3.0,7.0,9.0,7.0,,,,60.0,45.0,,,,4.0,9.0,4.0,6.0,,1.0,3.0,1.0,2.0,,5.0,4.0,33.0,36.0,4.0,32.0,19.0,,,28.0,9.0,10.0,1.0,,1.0,1.0,,113.0,,,,,,,7.0,,,,5.0,,,,,19.0,,17.0,17.0,5.0,5.0,82.0,59.0,31.0,9.0,,2.0,5.0,4.0,307.0,,,3.0,2.0,,52.0,28.0,7.0,,,,,98.0,98.0,3.0,13.0,13.0,35.3,,,9.0,0.0,,,,74.0,5.0,3.0,8.0,,,,2.0,1.0,2.0,36.0,255.0,6.0,7.0,190.0,19.0,32.0,11.0,3.0,7.0,4.0,,50.0,2.0,146.0,5.0,,34.0,5.0,76.0,2.0,329.0,,1.0,10.0,9.0,,15.0,1.0,496.0,,13.0,6.0,3.0,7.0,0.0
755481,18.0,2014-12-26 15:00:00,7,Aston Villa,Away,250.0,18.0,,6.0,6.0,4.0,1.0,291.0,5.0,,4.0,6.0,8.0,28.0,535.0,1.0,1.0,9.0,12.0,14.0,7.0,1.0,,,1.0,,,1.0,,,,,7.0,,,,,3.0,8.0,4.0,3.0,,,,94.0,62.0,3.0,3.0,,2.0,14.0,1.0,7.0,,,,8.0,9.0,,6.0,,40.0,63.0,2.0,22.0,15.0,,,71.0,12.0,17.0,,,6.0,4.0,1.0,181.0,,,,,,,6.0,,,,1.0,,,,,15.0,,11.0,11.0,2.0,4.0,165.0,61.0,48.0,4.0,,4.0,4.0,3.0,579.0,,,2.0,4.0,,68.0,76.0,23.0,,,,,112.0,112.0,3.0,28.0,26.0,56.6,,1.0,14.0,0.0,,,,162.0,1.0,,1.0,,,,7.0,,2.0,104.0,517.0,6.0,8.0,269.0,27.0,22.0,15.0,,21.0,21.0,,134.0,5.0,354.0,1.0,,15.0,10.0,45.0,2.0,602.0,2.0,0.0,11.0,20.0,1.0,13.0,4.0,773.0,,11.0,12.0,,15.0,0.0
755483,19.0,2014-12-28 15:00:00,7,Aston Villa,Home,175.0,21.0,2.0,7.0,5.0,2.0,1.0,232.0,4.0,1.0,6.0,3.0,25.0,32.0,400.0,,,11.0,8.0,8.0,11.0,2.0,1.0,,,,,,,,,,11.0,,,,,,3.0,7.0,7.0,,,,78.0,56.0,,,,,17.0,3.0,7.0,,,4.0,11.0,7.0,,7.0,,29.0,45.0,,43.0,25.0,,,58.0,4.0,9.0,,,3.0,5.0,,165.0,,,,,,,5.0,,,,,,,,,25.0,,13.0,13.0,2.0,7.0,110.0,68.0,44.0,4.0,,8.0,5.0,2.0,447.0,,,5.0,1.0,,62.0,74.0,24.0,,,,,110.0,110.0,2.0,21.0,21.0,48.1,,,17.0,0.0,,,,113.0,1.0,2.0,3.0,,,1.0,9.0,,3.0,90.0,387.0,9.0,13.0,196.0,36.0,43.0,10.0,4.0,27.0,23.0,1.0,117.0,6.0,297.0,,1.0,15.0,27.0,61.0,,466.0,,1.0,14.0,23.0,,12.0,1.0,674.0,,10.0,6.0,4.0,17.0,0.0
755493,20.0,2015-01-01 15:00:00,7,Aston Villa,Home,224.0,12.0,2.0,5.0,3.0,4.0,1.0,295.0,4.0,,8.0,3.0,34.0,39.0,514.0,,,18.0,16.0,14.0,8.0,2.0,,,1.0,,1.0,3.0,,,,,7.0,,,,,2.0,5.0,2.0,4.0,,,,77.0,55.0,1.0,2.0,,1.0,10.0,4.0,9.0,,,5.0,11.0,1.0,,14.0,,57.0,60.0,1.0,14.0,10.0,,,63.0,11.0,12.0,,1.0,5.0,2.0,3.0,166.0,,,,,,,4.0,,,,4.0,,,,,10.0,,11.0,11.0,2.0,10.0,189.0,79.0,56.0,2.0,,6.0,4.0,3.0,584.0,,,2.0,1.0,,73.0,69.0,16.0,,,,,137.0,137.0,1.0,22.0,21.0,69.2,,,10.0,0.0,,,,169.0,,,,,,,7.0,,3.0,79.0,499.0,6.0,10.0,241.0,37.0,14.0,17.0,4.0,18.0,14.0,1.0,121.0,9.0,378.0,4.0,,11.0,36.0,65.0,1.0,601.0,,0.0,14.0,25.0,,18.0,1.0,784.0,,10.0,9.0,5.0,19.0,0.0
