matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,goalsConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
321657,1,2010-08-14 15:00:00,"Villa Park, Birmingham",36604.0,Home,Aston Villa,West Ham,3,0,W,2,0,0,0,3.0,27.0,5.0,12.0,10.0,3.0,1.0,5.0,3.0,2.0,22.0,13.0,18.0,54.0,395.0,325.0,56.8,27.0,20.0,23.0,24.0,11.0,3.0,,,10.0,9.0,153.0,,1.0,,67.0,54.0,13.0,11.0,15.0,16.0,2.0,16.0,16.0,0.0,0.0,,,1.0
321672,2,2010-08-22 13:30:00,"St. James' Park, Newcastle",43546.0,Away,Aston Villa,Newcastle,0,6,L,0,3,0,0,,6.0,,4.0,2.0,1.0,,2.0,,,5.0,2.0,15.0,58.0,394.0,315.0,49.9,26.0,16.0,22.0,33.0,18.0,5.0,,1.0,6.0,12.0,153.0,6.0,,,53.0,51.0,12.0,14.0,2.0,2.0,,13.0,15.0,0.0,0.0,1.0,,5.0
321677,3,2010-08-29 16:00:00,"Villa Park, Birmingham",34725.0,Home,Aston Villa,Everton,1,0,W,1,0,0,0,1.0,15.0,5.0,5.0,5.0,,,2.0,,1.0,10.0,6.0,12.0,46.0,243.0,146.0,31.7,22.0,17.0,20.0,50.0,28.0,12.0,,,10.0,6.0,169.0,,1.0,,50.0,49.0,14.0,8.0,4.0,4.0,1.0,20.0,9.0,0.0,0.0,,,1.0
321693,4,2010-09-13 20:00:00,"bet365 Stadium, Stoke",25899.0,Away,Aston Villa,Stoke,1,2,L,1,0,0,0,1.0,11.0,5.0,4.0,2.0,1.0,,1.0,,1.0,10.0,7.0,22.0,55.0,382.0,277.0,56.7,20.0,15.0,7.0,49.0,25.0,4.0,,,6.0,10.0,190.0,2.0,,,52.0,64.0,14.0,29.0,7.0,7.0,,14.0,11.0,0.0,0.0,,,1.0
321697,5,2010-09-18 15:00:00,"Villa Park, Birmingham",34655.0,Home,Aston Villa,Bolton,1,1,D,1,1,0,0,1.0,17.0,2.0,9.0,6.0,,,,,,9.0,4.0,19.0,64.0,399.0,300.0,56.7,11.0,9.0,17.0,32.0,17.0,3.0,1.0,,3.0,6.0,189.0,1.0,,,44.0,61.0,16.0,23.0,8.0,8.0,,16.0,6.0,0.0,0.0,,,3.0
321716,6,2010-09-26 14:05:00,"Molineux Stadium, Wolverhampton",27511.0,Away,Aston Villa,Wolves,2,1,W,1,0,0,0,2.0,10.0,8.0,2.0,,2.0,1.0,1.0,,2.0,8.0,6.0,15.0,63.0,324.0,220.0,42.3,25.0,17.0,16.0,62.0,37.0,5.0,,,7.0,3.0,182.0,1.0,,,68.0,55.0,28.0,20.0,4.0,4.0,,20.0,14.0,0.0,0.0,,,3.0
321723,7,2010-10-02 15:00:00,"White Hart Lane, London",35871.0,Away,Aston Villa,Spurs,1,2,L,1,1,0,0,1.0,13.0,3.0,9.0,1.0,2.0,1.0,1.0,,1.0,9.0,3.0,20.0,60.0,357.0,271.0,46.9,18.0,14.0,32.0,25.0,14.0,12.0,,,6.0,9.0,150.0,2.0,,,41.0,53.0,6.0,15.0,4.0,4.0,,19.0,12.0,0.0,0.0,,,6.0
321728,8,2010-10-16 17:30:00,"Villa Park, Birmingham",40122.0,Home,Aston Villa,Chelsea,0,0,D,0,0,0,0,,12.0,2.0,7.0,3.0,1.0,,2.0,1.0,,9.0,4.0,15.0,48.0,355.0,278.0,40.0,24.0,18.0,22.0,25.0,15.0,1.0,1.0,,10.0,11.0,153.0,,1.0,,49.0,54.0,14.0,10.0,9.0,9.0,2.0,11.0,11.0,0.0,0.0,,,2.0
321742,9,2010-10-23 15:00:00,"Stadium of Light, Sunderland",41506.0,Away,Aston Villa,Sunderland,0,1,L,0,1,0,0,,12.0,3.0,5.0,4.0,4.0,,5.0,1.0,,9.0,5.0,18.0,67.0,350.0,245.0,52.3,18.0,13.0,20.0,20.0,13.0,4.0,,,6.0,10.0,190.0,1.0,,1.0,59.0,58.0,22.0,20.0,11.0,11.0,1.0,13.0,12.0,0.0,0.0,,,2.0
321748,10,2010-10-31 12:00:00,"Villa Park, Birmingham",40688.0,Home,Aston Villa,Birmingham,0,0,D,0,0,0,0,,9.0,4.0,4.0,1.0,1.0,,1.0,1.0,,8.0,4.0,20.0,55.0,385.0,279.0,48.3,16.0,12.0,9.0,39.0,21.0,5.0,,,2.0,11.0,177.0,,1.0,,47.0,64.0,19.0,29.0,1.0,1.0,,15.0,11.0,0.0,0.0,,,3.0
