matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenPost,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
2128290,1.0,2021-01-20 18:00:00,7,Aston Villa,Away,117.0,14.0,,1.0,1.0,,,91.0,3.0,,3.0,4.0,4.0,24.0,207.0,,,11.0,21.0,11.0,6.0,,,2.0,,,,1.0,,,,,,9.0,,,,,,1.0,5.0,20.0,8.0,6.0,5.0,,51.0,50.0,,,,,7.0,3.0,12.0,,,2.0,4.0,,,11.0,2.0,55.0,45.0,,29.0,13.0,,,,,,,25.0,36.0,9.0,10.0,,,2.0,1.0,1.0,109.0,,,,,,,8.0,,,,2.0,,,,1.0,13.0,,15.0,15.0,4.0,,3.0,59.0,56.0,26.0,16.0,,3.0,3.0,4.0,255.0,,,10.0,1.0,,55.0,21.0,10.0,1.0,1.0,1.0,,,109.0,109.0,3.0,23.0,12.0,30.9,,,,,7.0,0.0,,,,66.0,5.0,2.0,7.0,,,2.0,4.0,,,3.0,9.0,46.0,191.0,4.0,6.0,138.0,30.0,29.0,13.0,2.0,7.0,5.0,2.0,81.0,4.0,154.0,2.0,,23.0,4.0,64.0,1.0,285.0,1.0,0.0,11.0,14.0,,13.0,2.0,458.0,16.0,7.0,,10.0,2.0,6.0,0.0
2128297,2.0,2020-09-21 18:00:00,7,Aston Villa,Home,174.0,19.0,3.0,6.0,4.0,1.0,1.0,318.0,2.0,,8.0,4.0,7.0,26.0,486.0,,,17.0,22.0,32.0,15.0,2.0,4.0,1.0,,,,,,,,,,13.0,,,,,,1.0,9.0,3.0,1.0,11.0,7.0,,69.0,50.0,,,,,11.0,5.0,6.0,,,10.0,15.0,16.0,1.0,6.0,1.0,49.0,54.0,,14.0,9.0,,,,,,,15.0,68.0,12.0,13.0,,,4.0,4.0,,147.0,1.0,,1.0,,1.0,,3.0,,,,1.0,,,,,9.0,,7.0,7.0,,,8.0,168.0,59.0,36.0,4.0,,11.0,7.0,2.0,535.0,,,1.0,,,91.0,63.0,55.0,,1.0,1.0,1.0,,127.0,127.0,2.0,20.0,19.0,71.9,,,,,11.0,0.0,,,,169.0,1.0,,1.0,,,1.0,11.0,,,1.0,7.0,205.0,470.0,4.0,18.0,188.0,35.0,14.0,7.0,7.0,41.0,35.0,1.0,243.0,6.0,406.0,1.0,,13.0,7.0,49.0,1.0,553.0,,0.0,18.0,5.0,,20.0,3.0,732.0,45.0,12.0,,4.0,10.0,4.0,0.0
2128309,3.0,2020-09-28 17:45:00,7,Aston Villa,Away,106.0,14.0,1.0,5.0,4.0,2.0,2.0,112.0,5.0,,5.0,3.0,2.0,29.0,213.0,,1.0,13.0,19.0,20.0,7.0,1.0,1.0,,,,,,,,,,,8.0,,,,,,3.0,8.0,11.0,5.0,10.0,2.0,,47.0,55.0,4.0,1.0,3.0,2.0,12.0,3.0,22.0,1.0,,3.0,1.0,1.0,1.0,7.0,,64.0,71.0,2.0,34.0,19.0,,1.0,,,,,21.0,49.0,14.0,18.0,1.0,,4.0,5.0,,129.0,3.0,1.0,3.0,2.0,1.0,,11.0,,,2.0,2.0,,,,,19.0,,11.0,11.0,,,5.0,65.0,65.0,28.0,5.0,1.0,4.0,7.0,5.0,269.0,,,5.0,2.0,,62.0,29.0,20.0,,,,,,123.0,123.0,3.0,24.0,17.0,35.0,,,,,12.0,0.0,,,,61.0,3.0,,2.0,,,,4.0,,,3.0,9.0,64.0,195.0,7.0,11.0,125.0,33.0,34.0,12.0,1.0,8.0,7.0,,102.0,12.0,185.0,2.0,,18.0,3.0,72.0,3.0,302.0,2.0,0.0,12.0,23.0,1.0,17.0,3.0,513.0,26.0,13.0,,10.0,3.0,16.0,0.0
2128317,4.0,2020-10-04 19:15:00,7,Aston Villa,Home,73.0,24.0,,2.0,2.0,4.0,,123.0,2.0,,,5.0,4.0,33.0,194.0,,1.0,12.0,15.0,13.0,7.0,,1.0,1.0,,,,,,,,,2.0,16.0,,,1.0,,,1.0,2.0,10.0,4.0,13.0,5.0,,42.0,74.0,6.0,3.0,3.0,4.0,21.0,3.0,13.0,,1.0,2.0,5.0,2.0,,10.0,1.0,49.0,49.0,4.0,31.0,14.0,,,,,,,29.0,48.0,7.0,10.0,3.0,,1.0,1.0,,125.0,6.0,,3.0,5.0,1.0,,4.0,,,5.0,2.0,,,,,14.0,1.0,12.0,12.0,1.0,,,53.0,66.0,29.0,7.0,4.0,3.0,10.0,11.0,256.0,,,5.0,1.0,,64.0,49.0,22.0,,,,,,137.0,137.0,4.0,30.0,28.0,30.2,1.0,,,,21.0,0.0,,,,65.0,4.0,2.0,6.0,,,1.0,4.0,,,3.0,16.0,57.0,179.0,11.0,13.0,89.0,39.0,31.0,15.0,1.0,9.0,8.0,1.0,101.0,11.0,205.0,2.0,,21.0,5.0,68.0,2.0,285.0,1.0,0.0,18.0,15.0,2.0,18.0,2.0,490.0,31.0,16.0,,11.0,2.0,7.0,0.0
2128330,5.0,2020-10-18 19:15:00,7,Aston Villa,Away,169.0,22.0,3.0,8.0,5.0,,1.0,142.0,2.0,,2.0,1.0,5.0,21.0,303.0,1.0,,14.0,21.0,19.0,5.0,1.0,3.0,,,1.0,,1.0,,,,,,5.0,,,,,,1.0,9.0,6.0,5.0,5.0,5.0,,55.0,62.0,1.0,1.0,,1.0,17.0,1.0,9.0,,,7.0,10.0,6.0,,12.0,3.0,67.0,63.0,1.0,11.0,8.0,,,,,,,26.0,52.0,18.0,17.0,,,4.0,3.0,1.0,125.0,1.0,,,1.0,,,6.0,,,1.0,,,,,,8.0,,24.0,24.0,4.0,,2.0,111.0,64.0,30.0,2.0,1.0,2.0,5.0,4.0,369.0,,,4.0,2.0,,59.0,48.0,34.0,,,,,,155.0,155.0,1.0,26.0,27.0,49.5,,,,,17.0,0.0,,,,106.0,1.0,4.0,5.0,,1.0,,5.0,,,1.0,20.0,74.0,292.0,10.0,7.0,189.0,47.0,11.0,23.0,7.0,26.0,19.0,,120.0,1.0,234.0,,,15.0,5.0,57.0,3.0,397.0,1.0,0.0,10.0,14.0,1.0,16.0,3.0,612.0,35.0,15.0,,14.0,7.0,8.0,0.0
2128337,6.0,2020-10-23 20:00:00,7,Aston Villa,Home,99.0,8.0,2.0,2.0,,2.0,,120.0,5.0,,4.0,4.0,2.0,26.0,217.0,1.0,,13.0,13.0,17.0,9.0,1.0,1.0,,,,,,,,,,,11.0,,,,,,,9.0,20.0,7.0,7.0,5.0,,33.0,55.0,2.0,3.0,,1.0,15.0,3.0,6.0,,1.0,6.0,7.0,1.0,,11.0,4.0,46.0,60.0,1.0,22.0,12.0,,,,,,,33.0,53.0,14.0,17.0,,,3.0,1.0,,129.0,,,,,,,12.0,,,,3.0,,,,,12.0,,13.0,13.0,2.0,,6.0,81.0,62.0,27.0,5.0,,5.0,5.0,4.0,265.0,,,4.0,1.0,,54.0,32.0,20.0,,,,,,132.0,132.0,3.0,18.0,21.0,40.8,,,,,15.0,0.0,,,,62.0,4.0,2.0,6.0,,,,5.0,,,1.0,17.0,69.0,192.0,7.0,10.0,118.0,23.0,22.0,15.0,5.0,14.0,9.0,,114.0,11.0,201.0,3.0,,15.0,3.0,62.0,,305.0,2.0,0.0,12.0,14.0,,17.0,2.0,496.0,27.0,11.0,,12.0,6.0,3.0,0.0
2128346,7.0,2020-11-01 12:00:00,7,Aston Villa,Home,133.0,25.0,5.0,11.0,6.0,2.0,,154.0,4.0,,,4.0,4.0,34.0,276.0,,,28.0,15.0,25.0,9.0,4.0,5.0,1.0,,,,1.0,,,,,,10.0,1.0,,,,,2.0,9.0,4.0,5.0,14.0,5.0,,61.0,50.0,3.0,2.0,2.0,,12.0,7.0,6.0,,1.0,11.0,15.0,7.0,1.0,13.0,,51.0,68.0,,3.0,,,,,,,,27.0,54.0,12.0,17.0,1.0,,7.0,2.0,1.0,144.0,2.0,,1.0,1.0,1.0,,4.0,,,1.0,,,,,1.0,,,6.0,6.0,,,,82.0,71.0,37.0,1.0,1.0,1.0,14.0,10.0,343.0,,,1.0,4.0,,80.0,35.0,40.0,,,,,1.0,160.0,160.0,4.0,22.0,24.0,55.9,,,,,12.0,0.0,,,,84.0,,,,,,1.0,2.0,,,2.0,14.0,95.0,249.0,5.0,15.0,162.0,51.0,3.0,18.0,7.0,31.0,24.0,1.0,133.0,12.0,240.0,,,14.0,4.0,67.0,2.0,371.0,1.0,0.0,19.0,14.0,,34.0,1.0,567.0,39.0,14.0,,12.0,11.0,9.0,0.0
2128356,8.0,2020-11-08 19:15:00,7,Aston Villa,Away,113.0,26.0,3.0,5.0,2.0,3.0,,185.0,5.0,,3.0,5.0,6.0,31.0,293.0,,,11.0,11.0,15.0,11.0,1.0,1.0,2.0,,,,,,,,,,13.0,,,,,,1.0,5.0,8.0,5.0,14.0,1.0,,75.0,56.0,2.0,,2.0,,11.0,9.0,8.0,,1.0,8.0,2.0,6.0,,4.0,,39.0,52.0,,26.0,14.0,,1.0,,,,,25.0,45.0,13.0,11.0,2.0,,3.0,1.0,,131.0,2.0,,2.0,2.0,,1.0,10.0,,,2.0,2.0,,,,,14.0,,8.0,8.0,2.0,,3.0,91.0,61.0,31.0,3.0,,,14.0,6.0,351.0,,,3.0,,,69.0,67.0,31.0,,,,,,122.0,122.0,6.0,19.0,24.0,41.2,,,,,11.0,0.0,,,,81.0,2.0,,2.0,,,2.0,,,,1.0,15.0,85.0,276.0,4.0,14.0,130.0,45.0,26.0,15.0,6.0,15.0,9.0,3.0,129.0,7.0,263.0,2.0,,19.0,7.0,69.0,1.0,378.0,1.0,0.0,15.0,14.0,,11.0,0.0,550.0,33.0,19.0,,12.0,8.0,6.0,0.0
2128366,9.0,2020-11-21 15:00:00,7,Aston Villa,Home,141.0,17.0,1.0,5.0,4.0,2.0,3.0,245.0,5.0,,8.0,,10.0,16.0,381.0,,,24.0,12.0,11.0,7.0,2.0,2.0,,,,,,,,,,,10.0,,,,,,3.0,1.0,6.0,1.0,8.0,7.0,,54.0,57.0,2.0,3.0,1.0,2.0,14.0,5.0,2.0,,1.0,12.0,22.0,6.0,1.0,13.0,,37.0,44.0,2.0,12.0,6.0,,1.0,,,,,21.0,54.0,5.0,18.0,,,7.0,7.0,,146.0,1.0,1.0,1.0,,1.0,,5.0,,,,,,,,,6.0,1.0,7.0,7.0,1.0,,8.0,134.0,55.0,38.0,3.0,,3.0,7.0,4.0,431.0,,,1.0,,,91.0,87.0,51.0,,,,,,144.0,144.0,7.0,21.0,20.0,55.4,,,,,14.0,0.0,,,,123.0,,1.0,1.0,,,,6.0,3.0,,3.0,8.0,137.0,355.0,3.0,10.0,156.0,36.0,12.0,13.0,6.0,41.0,35.0,,180.0,4.0,342.0,1.0,,8.0,10.0,39.0,2.0,457.0,2.0,0.0,15.0,7.0,,25.0,2.0,654.0,31.0,11.0,,8.0,12.0,5.0,0.0
2128385,10.0,2020-11-30 20:00:00,7,Aston Villa,Away,220.0,30.0,1.0,5.0,4.0,1.0,,217.0,6.0,,4.0,1.0,5.0,24.0,432.0,,,16.0,30.0,30.0,13.0,,3.0,1.0,,1.0,1.0,2.0,,,,,,9.0,,1.0,1.0,,,1.0,4.0,4.0,2.0,10.0,6.0,,75.0,54.0,2.0,3.0,,,9.0,3.0,5.0,,1.0,7.0,11.0,12.0,,4.0,,49.0,68.0,,9.0,5.0,,1.0,,,,,29.0,66.0,7.0,18.0,1.0,,5.0,2.0,2.0,159.0,1.0,,,1.0,,,8.0,,,1.0,1.0,,,,1.0,5.0,1.0,6.0,6.0,,,4.0,137.0,68.0,38.0,3.0,,6.0,8.0,6.0,487.0,,,3.0,1.0,,85.0,68.0,39.0,,,,,1.0,150.0,150.0,2.0,20.0,28.0,66.0,1.0,,,,9.0,0.0,,,,147.0,,,,,2.0,1.0,7.0,,,3.0,15.0,118.0,405.0,4.0,14.0,241.0,58.0,9.0,19.0,5.0,30.0,25.0,1.0,160.0,3.0,307.0,1.0,,8.0,5.0,54.0,3.0,518.0,,0.0,16.0,6.0,,20.0,1.0,699.0,23.0,22.0,,14.0,7.0,4.0,0.0
