matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,punches,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
442007,1.0,2012-08-18 15:00:00,7,Aston Villa,Away,272.0,7.0,2.0,2.0,,3.0,,188.0,6.0,,8.0,5.0,16.0,30.0,458.0,,,22.0,18.0,29.0,8.0,4.0,,,,1.0,,1.0,,1.0,,,8.0,,,,,,5.0,3.0,,,,93.0,46.0,,,,2.0,6.0,3.0,1.0,1.0,4.0,6.0,2.0,,14.0,,48.0,75.0,2.0,16.0,9.0,,2.0,70.0,9.0,17.0,,,2.0,2.0,1.0,209.0,,,,,,,9.0,,,,3.0,,,,,15.0,,7.0,4.0,1.0,8.0,120.0,94.0,50.0,6.0,,5.0,7.0,2.0,538.0,,,3.0,1.0,,37.0,72.0,20.0,,,,,,172.0,151.0,1.0,18.0,16.0,65.8,,,,0.0,,,,144.0,1.0,,,,1.0,,5.0,,3.0,64.0,436.0,12.0,293.0,24.0,37.0,9.0,3.0,13.0,10.0,,120.0,10.0,286.0,3.0,,27.0,16.0,60.0,2.0,566.0,,0.0,13.0,24.0,4.0,27.0,1.0,759.0,9.0,6.0,5.0,4.0,20.0,0.0
442009,2.0,2012-08-25 15:00:00,7,Aston Villa,Home,104.0,11.0,,1.0,1.0,2.0,,130.0,8.0,,3.0,3.0,3.0,23.0,233.0,,1.0,18.0,19.0,18.0,5.0,,,,,,,,,,,,9.0,,,1.0,,,13.0,8.0,,,,36.0,40.0,,,,5.0,2.0,4.0,1.0,,1.0,6.0,2.0,,14.0,1.0,49.0,54.0,5.0,8.0,5.0,1.0,,76.0,12.0,9.0,,,2.0,5.0,,126.0,1.0,,,1.0,,,11.0,,,1.0,,,,,,9.0,1.0,22.0,12.0,2.0,4.0,80.0,73.0,32.0,9.0,1.0,4.0,2.0,3.0,,,,7.0,2.0,,59.0,40.0,21.0,,,,,,144.0,130.0,1.0,17.0,15.0,39.2,1.0,,,0.0,,,,79.0,2.0,1.0,,,,,4.0,,3.0,45.0,,6.0,119.0,27.0,22.0,9.0,1.0,14.0,13.0,,90.0,10.0,216.0,,,13.0,3.0,50.0,2.0,321.0,,1.0,9.0,18.0,1.0,21.0,1.0,496.0,,4.0,9.0,1.0,13.0,0.0
442022,3.0,2012-09-02 16:00:00,7,Aston Villa,Away,121.0,9.0,4.0,7.0,3.0,8.0,,171.0,10.0,,8.0,7.0,5.0,20.0,285.0,,,16.0,14.0,18.0,8.0,2.0,,1.0,,,,,,,,,12.0,,,,,1.0,9.0,8.0,,,,55.0,38.0,3.0,2.0,1.0,4.0,4.0,6.0,,,6.0,6.0,8.0,1.0,10.0,2.0,51.0,59.0,4.0,12.0,6.0,,1.0,72.0,21.0,6.0,,,1.0,,,132.0,1.0,,1.0,1.0,,,14.0,,,1.0,8.0,,,,1.0,13.0,,16.0,10.0,2.0,9.0,99.0,84.0,48.0,10.0,,4.0,7.0,5.0,,,,3.0,1.0,,36.0,55.0,15.0,,,,,,143.0,130.0,2.0,9.0,14.0,48.3,,,,0.0,,,,78.0,2.0,1.0,,,,1.0,4.0,,2.0,77.0,,11.0,136.0,24.0,25.0,7.0,6.0,20.0,14.0,1.0,123.0,17.0,248.0,8.0,,13.0,5.0,39.0,,364.0,1.0,0.0,13.0,29.0,1.0,19.0,4.0,566.0,,18.0,6.0,6.0,19.0,0.0
442030,4.0,2012-09-15 15:00:00,7,Aston Villa,Home,64.0,5.0,4.0,7.0,3.0,4.0,,171.0,6.0,1.0,5.0,4.0,11.0,13.0,228.0,,,22.0,28.0,21.0,9.0,3.0,,,,,,,,,,,10.0,,,,,,6.0,4.0,,,,65.0,59.0,1.0,1.0,1.0,2.0,5.0,3.0,,,10.0,11.0,7.0,1.0,16.0,1.0,62.0,53.0,2.0,11.0,3.0,,,84.0,13.0,4.0,1.0,,1.0,,,131.0,,,,,,,10.0,,,1.0,3.0,,,,1.0,7.0,,14.0,11.0,1.0,5.0,69.0,68.0,30.0,4.0,,3.0,9.0,8.0,,,,3.0,,,61.0,64.0,27.0,,,,,,178.0,165.0,6.0,19.0,22.0,42.1,,,,0.0,,,,62.0,2.0,1.0,,,3.0,,3.0,1.0,3.0,93.0,,12.0,74.0,19.0,24.0,13.0,10.0,28.0,18.0,,163.0,12.0,281.0,3.0,1.0,30.0,11.0,42.0,2.0,327.0,,0.0,16.0,18.0,1.0,32.0,3.0,552.0,,10.0,10.0,10.0,9.0,0.0
442043,5.0,2012-09-22 15:00:00,7,Aston Villa,Away,89.0,15.0,3.0,6.0,3.0,2.0,,126.0,8.0,1.0,3.0,13.0,10.0,30.0,209.0,,1.0,17.0,26.0,19.0,4.0,2.0,,,,1.0,,1.0,,,,,8.0,,,,,,9.0,7.0,,,,47.0,50.0,2.0,1.0,1.0,2.0,2.0,10.0,,,4.0,5.0,7.0,,21.0,1.0,75.0,48.0,2.0,24.0,11.0,,,78.0,15.0,6.0,1.0,,1.0,1.0,1.0,147.0,1.0,,,1.0,,,13.0,,,1.0,3.0,,,,1.0,15.0,,24.0,16.0,2.0,3.0,57.0,92.0,42.0,1.0,,4.0,3.0,2.0,,,,,1.0,,46.0,39.0,21.0,1.0,1.0,1.0,,,173.0,161.0,2.0,15.0,21.0,39.6,,,,0.0,,,,63.0,3.0,,,,,,7.0,1.0,3.0,46.0,,7.0,107.0,34.0,36.0,7.0,4.0,17.0,13.0,,106.0,13.0,224.0,3.0,1.0,28.0,11.0,62.0,3.0,314.0,,0.0,11.0,20.0,2.0,25.0,3.0,525.0,,3.0,3.0,4.0,13.0,0.0
442050,6.0,2012-09-30 16:00:00,7,Aston Villa,Home,171.0,15.0,5.0,10.0,5.0,3.0,2.0,181.0,9.0,2.0,3.0,8.0,24.0,29.0,342.0,,,29.0,24.0,13.0,12.0,5.0,,1.0,,1.0,,1.0,,,1.0,,12.0,,,,,3.0,6.0,8.0,,,,62.0,38.0,,1.0,1.0,2.0,8.0,4.0,,,11.0,14.0,10.0,,23.0,1.0,62.0,48.0,2.0,9.0,3.0,1.0,,77.0,8.0,10.0,1.0,,5.0,3.0,1.0,151.0,,,,,,,12.0,,,,,,,,,5.0,,9.0,6.0,,3.0,100.0,70.0,39.0,4.0,,8.0,9.0,3.0,,,,5.0,,,51.0,64.0,23.0,,,,,,157.0,150.0,2.0,15.0,15.0,57.4,,,2.0,0.0,,,,109.0,1.0,1.0,,,1.0,1.0,10.0,2.0,3.0,80.0,,17.0,183.0,31.0,16.0,9.0,11.0,38.0,27.0,2.0,128.0,6.0,277.0,,2.0,19.0,25.0,46.0,3.0,422.0,,0.0,21.0,19.0,,30.0,1.0,634.0,,9.0,6.0,11.0,17.0,0.0
442065,7.0,2012-10-07 15:00:00,7,Aston Villa,Away,144.0,15.0,,2.0,2.0,3.0,,131.0,15.0,2.0,4.0,6.0,25.0,25.0,273.0,,1.0,22.0,14.0,17.0,7.0,,,,,,,,,,,,6.0,,,,,2.0,7.0,15.0,,,,66.0,41.0,1.0,1.0,,9.0,2.0,12.0,,,,4.0,3.0,,15.0,3.0,55.0,46.0,9.0,15.0,6.0,,1.0,63.0,10.0,10.0,,,1.0,1.0,,132.0,,,,,,,22.0,,,,1.0,,,,,12.0,,16.0,8.0,2.0,4.0,79.0,80.0,42.0,8.0,,3.0,4.0,3.0,,,,5.0,,,71.0,31.0,15.0,,,,,,146.0,134.0,1.0,19.0,13.0,44.1,,,,0.0,,,,83.0,1.0,3.0,,,1.0,,3.0,,3.0,64.0,,7.0,163.0,34.0,27.0,6.0,,8.0,8.0,,107.0,8.0,205.0,1.0,2.0,20.0,28.0,56.0,3.0,360.0,,0.0,8.0,17.0,1.0,24.0,3.0,550.0,,10.0,2.0,,14.0,0.0
442069,8.0,2012-10-20 15:00:00,7,Aston Villa,Away,181.0,9.0,,8.0,8.0,6.0,,175.0,5.0,,3.0,10.0,13.0,29.0,348.0,,,24.0,27.0,14.0,12.0,,,,,,,,,,,,12.0,,,,,,15.0,4.0,,,,79.0,54.0,1.0,1.0,,10.0,4.0,5.0,,,4.0,13.0,3.0,,7.0,1.0,51.0,44.0,10.0,18.0,8.0,,4.0,94.0,12.0,7.0,,,,,,150.0,,,,,,,12.0,,,,3.0,,,,1.0,16.0,,18.0,15.0,2.0,3.0,104.0,89.0,35.0,6.0,,7.0,5.0,1.0,,,,4.0,2.0,,76.0,49.0,16.0,,,,,,171.0,149.0,4.0,27.0,17.0,49.3,,,,0.0,,,,118.0,4.0,,,,,,7.0,,3.0,79.0,,12.0,198.0,23.0,40.0,6.0,4.0,20.0,16.0,,148.0,12.0,273.0,3.0,,45.0,15.0,68.0,2.0,451.0,,0.0,12.0,18.0,1.0,29.0,2.0,652.0,,10.0,5.0,4.0,15.0,0.0
442080,9.0,2012-10-27 12:45:00,7,Aston Villa,Home,124.0,13.0,1.0,3.0,2.0,1.0,,103.0,7.0,,2.0,8.0,15.0,26.0,224.0,,,19.0,21.0,27.0,3.0,2.0,,,,,,,,,,,5.0,,,,,1.0,9.0,8.0,,,,41.0,53.0,1.0,,1.0,3.0,1.0,11.0,,,3.0,4.0,3.0,,8.0,1.0,57.0,52.0,3.0,22.0,8.0,,2.0,73.0,12.0,6.0,1.0,,1.0,1.0,,138.0,1.0,,1.0,1.0,,,13.0,,,1.0,3.0,,,,,19.0,,14.0,10.0,,2.0,75.0,84.0,36.0,8.0,,2.0,4.0,4.0,,,,7.0,1.0,,57.0,42.0,19.0,,,,,,176.0,153.0,1.0,20.0,19.0,41.5,,,3.0,0.0,,,,76.0,3.0,,,1.0,,,2.0,,3.0,39.0,,6.0,144.0,33.0,45.0,8.0,3.0,11.0,8.0,,98.0,9.0,197.0,3.0,,27.0,20.0,62.0,2.0,330.0,2.0,1.0,7.0,16.0,,22.0,1.0,524.0,,14.0,3.0,3.0,12.0,0.0
442094,10.0,2012-11-03 15:00:00,7,Aston Villa,Away,95.0,16.0,7.0,9.0,2.0,3.0,,176.0,4.0,,3.0,11.0,29.0,25.0,262.0,,,15.0,15.0,23.0,3.0,3.0,,,,,,,,,,,5.0,,,,,,9.0,3.0,,,,57.0,51.0,1.0,,1.0,9.0,2.0,5.0,,,7.0,7.0,3.0,,13.0,,57.0,54.0,9.0,27.0,16.0,,,67.0,17.0,9.0,1.0,,,,,118.0,1.0,,1.0,1.0,,,11.0,,,1.0,4.0,,,,,26.0,,16.0,9.0,2.0,4.0,70.0,72.0,40.0,6.0,,3.0,4.0,3.0,,,,2.0,2.0,,41.0,58.0,22.0,,,,,,158.0,125.0,1.0,21.0,19.0,44.4,,,,0.0,,,,91.0,,,,,,,4.0,,3.0,77.0,,7.0,105.0,34.0,60.0,9.0,7.0,17.0,10.0,,122.0,6.0,248.0,4.0,,24.0,31.0,51.0,2.0,336.0,,0.0,9.0,20.0,,20.0,3.0,551.0,,6.0,2.0,7.0,13.0,0.0
