matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalDistance,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2444476,1.0,2024-08-17 17:30:00,7,Aston Villa,Away,172.0,11.0,2.0,3.0,1.0,3.0,1.0,160.0,6.0,1.0,4.0,1.0,10.0,19.0,329.0,,1.0,12.0,14.0,13.0,9.0,1.0,2.0,5.0,,,,,,,1.0,12.0,,,,,1.0,,3.0,11.0,3.0,10.0,5.0,,69.0,48.0,4.0,2.0,2.0,2.0,9.0,6.0,4.0,,,3.0,6.0,3.0,,7.0,2.0,43.0,62.0,2.0,20.0,13.0,,,,,,,,51.0,11.0,18.0,,3.0,3.0,,121.0,2.0,1.0,2.0,1.0,1.0,,6.0,,,1.0,1.0,,,,,13.0,1.0,7.0,7.0,,4.0,94.0,46.0,23.0,5.0,1.0,5.0,7.0,3.0,368.0,,,4.0,2.0,38.0,51.0,32.0,1.0,1.0,1.0,,,116.0,116.0,4.0,16.0,18.0,47.9,1.0,,,,20.0,0.0,,,,110.0,2.0,,3.0,,1.0,5.0,6.0,1.0,1.0,5.0,81.0,310.0,9.0,12.0,190.0,28.0,20.0,15.0,3.0,15.0,12.0,,5.0,117.0,7.0,219.0,1.0,1.0,10.0,10.0,42.0,1.0,394.0,,0.0,15.0,24.0,4.0,19.0,2.0,598.0,23.0,15.0,8.0,3.0,15.0,0.0
2444481,2.0,2024-08-24 17:30:00,7,Aston Villa,Home,159.0,12.0,1.0,3.0,2.0,1.0,,115.0,9.0,,5.0,2.0,4.0,16.0,271.0,,1.0,8.0,7.0,10.0,8.0,1.0,1.0,1.0,,,,,,,,10.0,,,,,,,7.0,5.0,4.0,7.0,4.0,,56.0,41.0,1.0,2.0,,1.0,3.0,5.0,6.0,,,4.0,4.0,1.0,,10.0,1.0,38.0,58.0,1.0,16.0,8.0,,1.0,,,,,,28.0,8.0,16.0,,,1.0,,102.0,,,,,,,9.0,,,,1.0,,,,,8.0,1.0,4.0,4.0,,5.0,74.0,35.0,22.0,1.0,,3.0,6.0,3.0,301.0,,,1.0,2.0,32.0,28.0,17.0,,,,,,100.0,100.0,1.0,19.0,13.0,39.3,,,,,11.0,0.0,,,,97.0,2.0,,2.0,,1.0,1.0,3.0,1.0,,5.0,57.0,244.0,3.0,9.0,183.0,31.0,16.0,18.0,4.0,10.0,6.0,,1.0,78.0,2.0,156.0,1.0,,9.0,7.0,38.0,3.0,329.0,,0.0,11.0,22.0,2.0,11.0,1.0,495.0,17.0,10.0,11.0,4.0,10.0,0.0
2444495,3.0,2024-08-31 15:00:00,7,Aston Villa,Away,177.0,14.0,,3.0,3.0,2.0,,144.0,8.0,3.0,2.0,4.0,10.0,22.0,318.0,,2.0,10.0,9.0,10.0,5.0,,,1.0,,,,,1.0,,1.0,8.0,,,,,,2.0,12.0,3.0,6.0,8.0,2.0,,63.0,45.0,4.0,2.0,2.0,1.0,6.0,2.0,6.0,,,4.0,5.0,1.0,,15.0,1.0,58.0,53.0,1.0,25.0,13.0,,1.0,,,,,,33.0,21.0,13.0,,1.0,,,117.0,2.0,,1.0,1.0,1.0,,10.0,,,1.0,2.0,,,,,13.0,,7.0,7.0,,2.0,98.0,46.0,32.0,1.0,1.0,2.0,5.0,5.0,351.0,,,1.0,,41.0,46.0,21.0,,,,,,119.0,119.0,2.0,15.0,21.0,42.4,,,,,14.0,0.0,,,,105.0,1.0,1.0,2.0,,1.0,1.0,3.0,,1.0,5.0,52.0,292.0,6.0,7.0,194.0,27.0,25.0,20.0,4.0,10.0,6.0,102785.05,1.0,82.0,6.0,199.0,2.0,3.0,8.0,13.0,38.0,1.0,383.0,2.0,0.0,10.0,17.0,3.0,15.0,5.0,567.0,22.0,19.0,13.0,4.0,10.0,0.0
2444501,4.0,2024-09-14 17:30:00,7,Aston Villa,Home,187.0,12.0,2.0,7.0,5.0,1.0,1.0,422.0,1.0,1.0,4.0,2.0,7.0,20.0,602.0,1.0,1.0,15.0,11.0,9.0,7.0,3.0,3.0,1.0,,,,,,,,13.0,,,,,,1.0,6.0,5.0,1.0,13.0,4.0,,101.0,44.0,5.0,4.0,2.0,,8.0,3.0,7.0,,,6.0,8.0,3.0,,16.0,,51.0,46.0,,9.0,3.0,1.0,1.0,2.00259,2.125,,2.3582,1.1424,97.0,10.0,12.0,2.0,3.0,4.0,,159.0,2.0,,1.0,2.0,,,1.0,,,3.0,2.0,,,,1.0,3.0,,4.0,4.0,1.0,4.0,196.0,59.0,44.0,2.0,,5.0,7.0,8.0,648.0,,,1.0,,108.0,61.0,39.0,,,,,,118.0,118.0,1.0,15.0,21.0,72.9,,,3.0,,15.0,0.0,,,,209.0,,,,,,1.0,6.0,,1.0,5.0,201.0,585.0,8.0,13.0,202.0,27.0,9.0,14.0,6.0,21.0,15.0,107118.47,1.0,237.0,4.0,484.0,2.0,1.0,7.0,7.0,38.0,1.0,665.0,1.0,0.0,17.0,20.0,5.0,18.0,1.0,839.0,31.0,13.0,6.0,6.0,15.0,0.0
2444510,5.0,2024-09-21 15:00:00,7,Aston Villa,Home,153.0,10.0,2.0,4.0,2.0,,,244.0,1.0,1.0,4.0,1.0,5.0,8.0,393.0,1.0,1.0,11.0,10.0,7.0,3.0,1.0,2.0,,1.0,,,1.0,,,,4.0,,,,,,1.0,5.0,8.0,2.0,6.0,3.0,,70.0,43.0,5.0,2.0,3.0,,6.0,3.0,7.0,,,6.0,7.0,2.0,1.0,12.0,1.0,51.0,46.0,,15.0,5.0,1.0,,,,,,,58.0,11.0,15.0,1.0,6.0,3.0,1.0,136.0,3.0,,3.0,2.0,1.0,,1.0,,,2.0,,,,,,5.0,,5.0,5.0,,4.0,112.0,40.0,28.0,5.0,,1.0,6.0,4.0,426.0,,,5.0,1.0,56.0,50.0,29.0,,,,,,106.0,106.0,3.0,11.0,22.0,53.0,,,3.0,,17.0,0.0,,,,129.0,3.0,,3.0,,1.0,,2.0,,1.0,5.0,118.0,375.0,6.0,7.0,166.0,22.0,15.0,20.0,5.0,17.0,12.0,101842.7,,149.0,,298.0,,1.0,6.0,5.0,21.0,1.0,447.0,2.0,0.0,9.0,15.0,2.0,11.0,3.0,618.0,31.0,14.0,9.0,6.0,10.0,0.0
2444525,6.0,2024-09-29 14:00:00,7,Aston Villa,Away,201.0,15.0,,1.0,1.0,1.0,,280.0,7.0,,2.0,3.0,5.0,25.0,480.0,,1.0,10.0,10.0,7.0,4.0,,,,1.0,,,1.0,,,1.0,6.0,,,,,,,6.0,10.0,5.0,4.0,3.0,,81.0,38.0,2.0,1.0,1.0,2.0,7.0,,10.0,,,,3.0,1.0,,13.0,1.0,50.0,37.0,2.0,16.0,9.0,,,,,,,,83.0,14.0,10.0,1.0,3.0,,1.0,153.0,2.0,,2.0,2.0,,,10.0,,,2.0,1.0,,,,,9.0,,5.0,5.0,,2.0,156.0,65.0,44.0,10.0,1.0,3.0,3.0,3.0,516.0,,,3.0,1.0,69.0,61.0,19.0,,,,,,101.0,101.0,2.0,11.0,20.0,56.2,,2.0,1.0,,14.0,0.0,,,,152.0,1.0,2.0,3.0,,2.0,,4.0,,,5.0,151.0,462.0,7.0,6.0,214.0,24.0,16.0,10.0,,4.0,4.0,105392.23,,190.0,3.0,332.0,2.0,,15.0,5.0,49.0,1.0,542.0,,0.0,7.0,15.0,4.0,12.0,1.0,684.0,18.0,14.0,5.0,,9.0,0.0
2444531,7.0,2024-10-06 14:00:00,7,Aston Villa,Home,175.0,12.0,1.0,2.0,1.0,1.0,,172.0,4.0,1.0,3.0,,5.0,11.0,345.0,1.0,,9.0,15.0,8.0,7.0,1.0,2.0,,1.0,,,1.0,,,,7.0,,,,,,1.0,6.0,4.0,6.0,6.0,5.0,,64.0,45.0,,,,,2.0,3.0,4.0,,,6.0,9.0,2.0,,12.0,3.0,51.0,38.0,,14.0,4.0,,,,,,,,41.0,12.0,11.0,,8.0,6.0,1.0,138.0,,,,,,,5.0,,,,1.0,,,,,4.0,,6.0,6.0,1.0,3.0,103.0,47.0,32.0,3.0,,5.0,3.0,1.0,401.0,,,2.0,2.0,46.0,42.0,32.0,,,,,,130.0,130.0,4.0,24.0,11.0,53.5,,,,,12.0,0.0,,,,111.0,2.0,2.0,4.0,,,,7.0,1.0,,3.0,84.0,333.0,2.0,8.0,206.0,24.0,14.0,16.0,3.0,20.0,17.0,101094.51,,110.0,3.0,230.0,1.0,1.0,15.0,5.0,35.0,,416.0,1.0,0.0,11.0,12.0,1.0,15.0,1.0,573.0,25.0,12.0,7.0,6.0,10.0,0.0
2444541,8.0,2024-10-19 15:00:00,7,Aston Villa,Away,192.0,18.0,3.0,3.0,,,,172.0,7.0,1.0,2.0,1.0,4.0,15.0,361.0,1.0,3.0,8.0,14.0,5.0,7.0,2.0,4.0,,,,,1.0,,,,7.0,,,,,,2.0,6.0,9.0,1.0,10.0,4.0,,56.0,41.0,2.0,2.0,,4.0,8.0,4.0,3.0,,,11.0,5.0,2.0,,12.0,1.0,45.0,32.0,4.0,19.0,11.0,,,,,,,,48.0,11.0,8.0,1.0,2.0,1.0,1.0,109.0,2.0,1.0,1.0,1.0,1.0,,7.0,,,1.0,2.0,,,,1.0,11.0,,14.0,14.0,2.0,2.0,119.0,51.0,36.0,6.0,1.0,5.0,6.0,5.0,389.0,,,1.0,1.0,50.0,33.0,33.0,,1.0,1.0,1.0,,104.0,104.0,5.0,13.0,15.0,47.9,,,3.0,,13.0,0.0,,,,124.0,3.0,,3.0,1.0,,,5.0,1.0,,5.0,75.0,343.0,8.0,11.0,201.0,26.0,19.0,14.0,11.0,19.0,8.0,,,104.0,2.0,226.0,2.0,1.0,3.0,5.0,26.0,2.0,408.0,3.0,1.0,14.0,11.0,5.0,13.0,3.0,581.0,27.0,15.0,8.0,11.0,5.0,0.0
2444551,9.0,2024-10-26 15:00:00,7,Aston Villa,Home,185.0,13.0,3.0,6.0,3.0,,,183.0,6.0,1.0,2.0,1.0,4.0,18.0,362.0,,1.0,13.0,16.0,13.0,9.0,3.0,4.0,,,,,,,,,11.0,,,,,,2.0,7.0,4.0,6.0,13.0,5.0,,64.0,43.0,3.0,2.0,1.0,2.0,4.0,5.0,5.0,,1.0,9.0,9.0,4.0,,12.0,2.0,49.0,43.0,2.0,15.0,8.0,,,,,,,,54.0,12.0,13.0,,2.0,1.0,,136.0,1.0,,1.0,1.0,,,9.0,,,1.0,3.0,,,,,8.0,,11.0,11.0,2.0,2.0,119.0,60.0,37.0,7.0,,4.0,9.0,8.0,406.0,,,3.0,,42.0,25.0,34.0,,,,,,115.0,115.0,5.0,20.0,12.0,56.6,,2.0,,,13.0,0.0,,,,119.0,,2.0,2.0,,1.0,,5.0,1.0,1.0,5.0,98.0,339.0,4.0,13.0,203.0,34.0,15.0,11.0,7.0,21.0,14.0,,,138.0,6.0,256.0,5.0,1.0,6.0,4.0,43.0,,438.0,2.0,0.0,18.0,11.0,2.0,14.0,7.0,603.0,34.0,6.0,6.0,9.0,5.0,0.0
2444568,10.0,2024-11-03 14:00:00,7,Aston Villa,Away,206.0,18.0,,3.0,3.0,,,121.0,9.0,,6.0,1.0,7.0,16.0,324.0,,1.0,9.0,12.0,11.0,10.0,1.0,2.0,1.0,,,,,,,,7.0,,,,,1.0,3.0,8.0,8.0,8.0,7.0,5.0,,67.0,50.0,3.0,3.0,1.0,5.0,7.0,3.0,5.0,,,4.0,4.0,3.0,,7.0,1.0,47.0,58.0,5.0,21.0,12.0,1.0,2.0,,,,,,31.0,14.0,14.0,,2.0,1.0,,119.0,,,,,,,12.0,,,,3.0,,,,1.0,12.0,1.0,11.0,11.0,1.0,6.0,102.0,45.0,31.0,6.0,1.0,8.0,3.0,1.0,350.0,,,2.0,3.0,34.0,33.0,19.0,,,,,,109.0,109.0,,25.0,11.0,48.9,1.0,3.0,,,19.0,0.0,,,,98.0,1.0,1.0,2.0,,,1.0,8.0,,,5.0,54.0,296.0,7.0,11.0,236.0,31.0,21.0,24.0,4.0,12.0,8.0,,1.0,70.0,3.0,162.0,3.0,,7.0,9.0,37.0,,386.0,,0.0,12.0,19.0,2.0,16.0,0.0,577.0,15.0,11.0,14.0,4.0,11.0,0.0
