playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,expectedGoalsFreekick,goalAssists,goals,successfulLaunches,shotsBlockedInBox,leftFootGoals,freekickTotal,iboxBlocked,attemptsFromSetPieces,handballsConceded,blocks,clearancesOffTheLine,secondGoalAssists,punches,catches,savesMade,drops,savesMadeFromOutsideBox,gkSuccessfulDistribution,savesMadeCaught,gkUnsuccessfulDistribution,penaltiesFaced,savesMadeParried,savesMadeFromInsideBox,rightFootGoals,headedGoals,foulWonPenalty,penaltiesTaken,penaltyGoals,redCards2ndYellow,crossesNotClaimed
198869,Ben White,Defender,Brighton,36,England,2018-19,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209362,Bernardo,Defender,Brighton,36,Brazil,2018-19,79.0,6.0,0.8002,0.0,2.0,3.0,0.2421,62.0,6.0,,138.0,22.0,1.0,19.0,214.0,25.0,785.0,2.0,2.0,3.0,,74.0,2.0,1.0,6.0,2.0,1750.0,2.0,,30.0,143.0,6.0,,52.0,99.0,548.0,,11.0,58.0,4.0,25.5141,9.0,66.0,29.0,49.0,236.0,23.0,222.0,19.0,374.0,120.0,22.0,1.0,19.0,8.0,301.0,23.0,25.0,148.0,44.0,0.0,772.0,3.0,6.0,350.0,43.0,14.0,47.0,17.0,34.0,,23.0,128.0,1363.0,152.0,1.0,,2.0,46.0,276.0,12.0,0.4462,4.0,76.0,70.0,,1.0,,6.0,,,,,,1.0,13.0,1.0,,,,,,,,,,,,,,,,,,,
11352,Bruno,Defender,Brighton,36,Spain,2018-19,28.0,5.0,0.2659,0.0,1.0,,,25.0,1.0,,46.0,14.0,,14.0,90.0,12.0,510.0,3.0,1.0,,1.0,24.0,2.0,,5.0,,1136.0,,,16.0,46.0,5.0,,12.0,38.0,398.0,,2.0,35.0,2.0,17.827,5.0,26.0,17.0,12.0,26.0,9.0,74.0,5.0,236.0,67.0,14.0,,9.0,2.0,202.0,12.0,12.0,50.0,8.0,0.0,503.0,1.0,4.0,147.0,16.0,4.0,171.0,4.0,11.0,,22.0,77.0,755.0,82.0,5.0,,1.0,31.0,223.0,3.0,0.0839,2.0,44.0,32.0,,1.0,,8.0,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,
78916,Dan Burn,Defender,Brighton,36,England,2018-19,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42748,Gaëtan Bong,Defender,Brighton,36,Cameroon,2018-19,74.0,9.0,0.6022,0.0,,,,15.0,2.0,,77.0,22.0,,19.0,155.0,48.0,602.0,,,3.0,,56.0,5.0,,9.0,,1805.0,,,32.0,54.0,4.0,2.0,36.0,30.0,422.0,,3.0,80.0,6.0,34.1377,9.0,45.0,34.0,42.0,157.0,4.0,128.0,10.0,337.0,112.0,22.0,,6.0,13.0,230.0,30.0,48.0,72.0,24.0,0.0,589.0,2.0,6.0,334.0,9.0,11.0,28.0,11.0,26.0,,25.0,80.0,1109.0,147.0,,,,51.0,226.0,8.0,0.0927,0.0,78.0,69.0,,,,10.0,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,
52484,Leon Balogun,Defender,Brighton,36,Nigeria,2018-19,19.0,,0.1016,0.0,,1.0,0.1432,12.0,1.0,,25.0,8.0,,5.0,52.0,,216.0,1.0,,3.0,,23.0,,,,,591.0,,,10.0,27.0,1.0,1.0,6.0,14.0,149.0,,6.0,,2.0,9.7271,,32.0,10.0,9.0,43.0,2.0,46.0,2.0,74.0,27.0,8.0,,6.0,1.0,23.0,9.0,,23.0,13.0,0.0,212.0,,1.0,66.0,6.0,,83.0,5.0,17.0,,15.0,16.0,308.0,4.0,,,,18.0,141.0,3.0,0.0651,2.0,27.0,21.0,,,1.0,3.0,,,,,,,3.0,,,,,,,,,,,,,,1.0,,,,,,
83299,Lewis Dunk,Defender,Brighton,36,England,2018-19,114.0,,0.7158,1.0,2.0,4.0,1.5182,42.0,18.0,2.0,105.0,36.0,1.0,36.0,257.0,2.0,1490.0,,1.0,,,183.0,7.0,1.0,,1.0,3153.0,1.0,,63.0,175.0,10.0,,27.0,55.0,1071.0,,44.0,,9.0,52.0763,10.0,194.0,55.0,51.0,583.0,14.0,289.0,11.0,526.0,207.0,36.0,1.0,16.0,4.0,341.0,45.0,2.0,106.0,120.0,0.0,1454.0,14.0,7.0,287.0,26.0,,274.0,22.0,45.0,,162.0,107.0,1963.0,13.0,1.0,,1.0,53.0,892.0,8.0,1.7786,5.0,152.0,83.0,0.0652,1.0,2.0,12.0,1.0,,2.0,1.0,2.0,,38.0,1.0,,,,,,,,,,,,,,2.0,,,,1.0,
43808,Markus Suttner,Defender,Brighton,36,Austria,2018-19,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86153,Martín Montoya,Defender,Brighton,36,Spain,2018-19,98.0,16.0,1.5439,0.0,3.0,1.0,0.3349,58.0,5.0,1.0,116.0,25.0,,24.0,172.0,20.0,858.0,,3.0,1.0,,51.0,3.0,1.0,16.0,,2166.0,,,27.0,108.0,5.0,,45.0,84.0,648.0,,11.0,59.0,8.0,37.0474,17.0,63.0,41.0,71.0,39.0,16.0,206.0,20.0,402.0,97.0,25.0,1.0,23.0,11.0,332.0,36.0,20.0,155.0,24.0,0.0,851.0,4.0,4.0,297.0,35.0,12.0,329.0,29.0,48.0,,38.0,88.0,1482.0,198.0,,1.0,3.0,43.0,370.0,22.0,0.1951,4.0,56.0,68.0,,1.0,,12.0,,,,,,1.0,10.0,,,,,,,,,,,,,,,,,,,,
61933,Shane Duffy,Defender,Brighton,36,Ireland,2018-19,102.0,1.0,0.3449,1.0,2.0,16.0,2.9812,35.0,35.0,,168.0,35.0,1.0,35.0,324.0,1.0,1305.0,4.0,1.0,,,259.0,7.0,,1.0,11.0,3088.0,11.0,,71.0,238.0,9.0,1.0,15.0,50.0,873.0,,75.0,,9.0,52.0168,6.0,243.0,54.0,31.0,318.0,10.0,340.0,10.0,506.0,144.0,35.0,,15.0,,201.0,45.0,1.0,81.0,188.0,1.0,1279.0,19.0,1.0,350.0,20.0,5.0,418.0,22.0,36.0,,108.0,63.0,1805.0,5.0,,1.0,1.0,80.0,781.0,8.0,3.0853,4.0,156.0,92.0,,1.0,5.0,17.0,1.0,1.0,,1.0,,1.0,47.0,4.0,,,,,,,,,,,,,1.0,3.0,1.0,,,,
