season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385502,1,14,Liverpool,Away,51501,60914,Joël Matip,joel-matip,D,False,,,3.0,28.0,51.0,79.0,4.0,,8.0,,,,1.0,,1.0,8.0,5.0,,,0.0279257,0.0,0.0,,,,,,,2.0,,90.0,,1.0,,,,,,,17.0,,6.7,,,,,4.0,3.0,,,6.0,,39.0,54.0,93.0,0,3.0,110.0,,1.0,1.0,3.0
2022-23,10385502,1,14,Liverpool,Away,151545,97032,Virgil van Dijk,virgil-van-dijk,D,False,,,7.0,15.0,64.0,79.0,,3.0,9.0,,,,1.0,,,2.0,5.0,,,0.0078039,0.0,0.0,1.0,,,,,,,,90.0,,,,1.0,,,,,17.0,,6.4,,,,,6.0,,,,14.0,,24.0,71.0,95.0,0,2.0,107.0,,,,1.0
2022-23,10385502,1,14,Liverpool,Away,262911,122798,Andy Robertson,andy-robertson,D,False,1.0,,1.0,19.0,25.0,43.0,3.0,3.0,2.0,,,,,,,8.0,6.0,,,0.0729387,0.0,0.0,2.0,,,,,,,,90.0,,1.0,,,,,,,25.0,,6.4,,,,,1.0,3.0,4.0,,4.0,1.0,32.0,30.0,58.0,0,2.0,93.0,2.0,1.0,,1.0
2022-23,10385502,1,14,Liverpool,Away,318927,171287,Joe Gomez,joe-gomez,D,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385502,1,14,Liverpool,Away,795064,169187,Trent Alexander-Arnold,trent-alexander-arnold,D,False,2.0,,5.0,22.0,16.0,36.0,2.0,,6.0,,,,,,,3.0,2.0,,,0.0897017,0.0,0.0,2.0,,,,,,1.0,1.0,90.0,,,,,,,,,37.0,,6.9,,,,,2.0,,9.0,,14.0,,49.0,21.0,61.0,0,2.0,93.0,1.0,,,2.0
2022-23,10385502,1,14,Liverpool,Away,924378,444765,Sepp van den Berg,sepp-van-den-berg,D,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385740,2,14,Liverpool,Home,151545,97032,Virgil van Dijk,virgil-van-dijk,D,False,,,5.0,27.0,45.0,72.0,,,14.0,,,,,,,,,,,0.0265294,0.013,0.0,,,,,,,,,90.0,,,,,,,,,8.0,,6.9,,,1.0,,3.0,,,,7.0,,35.0,45.0,80.0,1,,87.0,,,,
2022-23,10385740,2,14,Liverpool,Home,262911,122798,Andy Robertson,andy-robertson,D,False,1.0,,,26.0,20.0,45.0,3.0,1.0,6.0,,,1.0,1.0,,,5.0,1.0,,,0.027624,0.0999,0.0,,,,,,,1.0,,63.0,,,,,,,,,13.0,,6.2,,,,,,1.0,3.0,,2.0,,35.0,23.0,55.0,1,,72.0,,,,
2022-23,10385740,2,14,Liverpool,Home,318927,171287,Joe Gomez,joe-gomez,D,True,,,2.0,23.0,21.0,44.0,1.0,1.0,4.0,,,,,,,1.0,1.0,,,0.0208386,0.0,0.0,,,,,,,1.0,,27.0,,,,,,,,,1.0,,6.8,,,,,1.0,,,,3.0,,24.0,21.0,45.0,0,,48.0,,,,
2022-23,10385740,2,14,Liverpool,Home,786259,214285,Kostas Tsimikas,kostas-tsimikas,D,True,,,,11.0,6.0,17.0,1.0,,2.0,,,1.0,1.0,,,3.0,3.0,,,0.0134671,0.0557,0.0,,,,,,,,,27.0,,,,,,,,,7.0,,6.7,,,,,,1.0,6.0,,,,17.0,6.0,17.0,1,2.0,31.0,,1.0,,2.0
2022-23,10385740,2,14,Liverpool,Home,795064,169187,Trent Alexander-Arnold,trent-alexander-arnold,D,False,4.0,,11.0,56.0,22.0,74.0,,1.0,5.0,2.0,,3.0,3.0,,,3.0,2.0,,,0.876926,0.2113,0.0,,,,,,,1.0,5.0,90.0,,,,,,,,,27.0,,8.0,,,1.0,,1.0,,10.0,,19.0,1.0,81.0,23.0,94.0,4,1.0,127.0,,,,1.0
2022-23,10385740,2,14,Liverpool,Home,920393,197464,Nathaniel Phillips,nathaniel-phillips,D,False,,,7.0,29.0,39.0,68.0,,4.0,14.0,,,1.0,,,,1.0,6.0,,,0.00942449,0.0433,0.0,1.0,,,,,,2.0,,63.0,,,,,,,,,13.0,,7.1,,,,,1.0,,,,12.0,,37.0,42.0,79.0,1,2.0,87.0,2.0,,,1.0
2022-23,10385740,2,14,Liverpool,Home,924378,444765,Sepp van den Berg,sepp-van-den-berg,D,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
