season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2023-24,11352512,26,14,Liverpool,Home,151545,97032,Virgil van Dijk,virgil-van-dijk,D,False,,,3.0,18.0,41.0,59.0,,7.0,7.0,,,,,,,,8.0,,,0.0206476,0.1663,0.1405,,,1.0,,,,,,,90.0,2.0,2.0,,,,,,7.0,,8.3,,,,,7.0,,,,5.0,,23.0,43.0,66.0,2,,79.0,,1.0,,
2023-24,11352512,26,14,Liverpool,Home,262911,122798,Andy Robertson,andy-robertson,D,True,,,1.0,5.0,10.0,15.0,,,1.0,1.0,,,,,1.0,1.0,2.0,,,0.00220559,,,,1.0,,,,,,1.0,,22.0,,,,,,,,4.0,,7.2,,,,,1.0,1.0,2.0,,1.0,,8.0,10.0,16.0,0,1.0,26.0,,,1.0,1.0
2023-24,11352512,26,14,Liverpool,Home,318927,171287,Joe Gomez,joe-gomez,D,False,,,2.0,29.0,18.0,47.0,2.0,,3.0,,,,4.0,,,8.0,3.0,,,0.0307822,0.0372,,2.0,,,,,,,1.0,,90.0,,,,,,,,7.0,,6.7,,,1.0,,3.0,2.0,,,3.0,,32.0,18.0,50.0,1,1.0,71.0,1.0,,2.0,
2023-24,11352512,26,14,Liverpool,Home,786259,214285,Kostas Tsimikas,kostas-tsimikas,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352512,26,14,Liverpool,Home,826215,204716,Ibrahima Konaté,ibrahima-konate,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352512,26,14,Liverpool,Home,1003339,441428,Jarell Quansah,jarell-quansah,D,False,,,1.0,9.0,34.0,43.0,3.0,2.0,,,,,,,,5.0,4.0,,,0.00645991,,,2.0,,,,,,1.0,,,90.0,,1.0,,,,,,8.0,,6.7,,,,,2.0,,,,4.0,,17.0,34.0,51.0,0,1.0,57.0,,1.0,,1.0
2023-24,11352512,26,14,Liverpool,Home,1008402,492777,Conor Bradley,conor-bradley,D,False,,,1.0,12.0,12.0,24.0,,2.0,4.0,1.0,,,1.0,,2.0,3.0,7.0,,,0.205132,0.0965,0.1214,,,,,,,,3.0,,68.0,1.0,,,,,,,16.0,,7.7,,,,,1.0,2.0,3.0,,2.0,,21.0,15.0,33.0,1,3.0,54.0,2.0,,2.0,3.0
2023-24,11352556,27,14,Liverpool,Away,151545,97032,Virgil van Dijk,virgil-van-dijk,D,False,,,6.0,44.0,52.0,96.0,,3.0,2.0,,,,,,,1.0,4.0,,,0.0169076,,,1.0,,,,,,1.0,,,90.0,,1.0,,,,,,6.0,,7.5,,,,,3.0,,,,8.0,1.0,49.0,53.0,102.0,0,,110.0,,1.0,,
2023-24,11352556,27,14,Liverpool,Away,262911,122798,Andy Robertson,andy-robertson,D,False,3.0,,1.0,28.0,24.0,49.0,1.0,1.0,2.0,,,,,,,2.0,4.0,,,0.0610141,0.169,,1.0,,,,,,,4.0,,60.0,1.0,,,,,,,15.0,,7.7,,,,,1.0,,9.0,,3.0,,37.0,27.0,55.0,1,2.0,81.0,1.0,1.0,,2.0
2023-24,11352556,27,14,Liverpool,Away,318927,171287,Joe Gomez,joe-gomez,D,False,,,2.0,36.0,15.0,51.0,,4.0,2.0,,,,2.0,,,5.0,5.0,,,0.0441222,,,3.0,,,,,,1.0,2.0,,90.0,,,,,,,,13.0,,7.1,,,,,2.0,,,,6.0,,46.0,18.0,64.0,0,1.0,72.0,,,,1.0
2023-24,11352556,27,14,Liverpool,Away,786259,214285,Kostas Tsimikas,kostas-tsimikas,D,True,2.0,,,5.0,1.0,4.0,,,,,,1.0,,,,,,,,0.0781776,0.0499,,,,,,,,,1.0,,17.0,,,,,,,,4.0,,6.8,,,,,,,5.0,,,,9.0,1.0,5.0,1,,11.0,,,,
2023-24,11352556,27,14,Liverpool,Away,826215,204716,Ibrahima Konaté,ibrahima-konate,D,False,,,2.0,39.0,39.0,78.0,3.0,2.0,5.0,,,,,,,3.0,7.0,,,0.0357383,,,,,,,,,2.0,,,90.0,,1.0,,,,,,8.0,,7.7,,,,,2.0,1.0,,,5.0,,44.0,41.0,85.0,0,4.0,98.0,1.0,,1.0,2.0
2023-24,11352556,27,14,Liverpool,Away,1003339,441428,Jarell Quansah,jarell-quansah,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352556,27,14,Liverpool,Away,1008402,492777,Conor Bradley,conor-bradley,D,False,1.0,,1.0,26.0,14.0,39.0,,1.0,7.0,,,,3.0,,,8.0,10.0,,,0.0448237,,,1.0,,,,,,1.0,2.0,,84.0,,,,,,,,23.0,,7.2,,,,,,6.0,1.0,,2.0,,37.0,16.0,52.0,0,5.0,85.0,5.0,2.0,2.0,4.0
2023-24,11352588,28,14,Liverpool,Home,151545,97032,Virgil van Dijk,virgil-van-dijk,D,False,,,6.0,24.0,53.0,77.0,,1.0,5.0,,,,1.0,,1.0,3.0,5.0,,,0.00883791,0.0142,,1.0,,,,,,4.0,,2.0,90.0,,,,,,,,3.0,,7.6,,,1.0,,2.0,,,,7.0,,26.0,53.0,79.0,1,4.0,92.0,,,,3.0
2023-24,11352588,28,14,Liverpool,Home,262911,122798,Andy Robertson,andy-robertson,D,True,3.0,,1.0,9.0,8.0,14.0,,,,1.0,,,,,,2.0,1.0,,,0.206781,,,1.0,,,,,,,3.0,,29.0,,,,,,,,11.0,,7.1,,,,,1.0,1.0,10.0,,1.0,,18.0,9.0,17.0,0,1.0,33.0,,,,
