season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2021-22,9576193,1,14,Liverpool,Away,51501,60914,Joël Matip,joel-matip,D,False,,,3.0,19.0,50.0,69.0,,2.0,4.0,,,,,,,,1.0,2.0,,,1.0,,,,,,,,,90.0,1.0,,,,,6.0,,7.2,,,,,2.0,,,,5.0,,24.0,50.0,74.0,1,,82.0,1.0,,,
2021-22,9576193,1,14,Liverpool,Away,151545,97032,Virgil van Dijk,virgil-van-dijk,D,False,,,7.0,31.0,51.0,82.0,1.0,3.0,4.0,,,,,,,,1.0,3.0,,,,,,,,,,1.0,,90.0,,,,,,7.0,,7.6,,,1.0,,4.0,,,,9.0,,37.0,52.0,89.0,1,,95.0,,,,
2021-22,9576193,1,14,Liverpool,Away,318927,171287,Joe Gomez,joe-gomez,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576193,1,14,Liverpool,Away,786259,214285,Kostas Tsimikas,kostas-tsimikas,D,False,,,3.0,16.0,20.0,36.0,,,9.0,,,1.0,1.0,,,1.0,9.0,6.0,,2.0,4.0,,,,,,,,,90.0,1.0,,,,,27.0,,6.8,,,,,6.0,5.0,12.0,,3.0,,32.0,26.0,46.0,2,3.0,82.0,1.0,1.0,2.0,1.0
2021-22,9576193,1,14,Liverpool,Away,795064,169187,Trent Alexander-Arnold,trent-alexander-arnold,D,False,4.0,,2.0,21.0,10.0,27.0,1.0,1.0,10.0,,,,2.0,,,2.0,9.0,2.0,,,1.0,,,,,,2.0,3.0,,90.0,,1.0,,,,20.0,,6.8,,,2.0,,,3.0,8.0,,6.0,,31.0,12.0,35.0,2,1.0,70.0,1.0,,,1.0
2021-22,9576193,1,14,Liverpool,Away,826215,204716,Ibrahima Konaté,ibrahima-konate,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576069,2,14,Liverpool,Home,51501,60914,Joël Matip,joel-matip,D,False,,,1.0,12.0,36.0,48.0,2.0,8.0,7.0,,,2.0,,,,,2.0,12.0,,,,,,,,,1.0,,,90.0,,,,,,12.0,,7.6,,,1.0,,6.0,,,,4.0,,17.0,43.0,60.0,3,2.0,75.0,,2.0,,1.0
2021-22,9576069,2,14,Liverpool,Home,151545,97032,Virgil van Dijk,virgil-van-dijk,D,False,,,4.0,7.0,35.0,42.0,7.0,5.0,6.0,,,1.0,,,,,7.0,5.0,,,,,,,,,1.0,1.0,,90.0,,1.0,,,,10.0,,7.3,,,2.0,,7.0,,,,11.0,,14.0,38.0,52.0,3,,65.0,,,,
2021-22,9576069,2,14,Liverpool,Home,262911,122798,Andy Robertson,andy-robertson,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576069,2,14,Liverpool,Home,318927,171287,Joe Gomez,joe-gomez,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576069,2,14,Liverpool,Home,786259,214285,Kostas Tsimikas,kostas-tsimikas,D,False,4.0,,,22.0,11.0,29.0,1.0,2.0,6.0,1.0,,,1.0,,,,5.0,6.0,,,2.0,1.0,,,,,1.0,4.0,,89.0,,,,,,19.0,,7.6,,,,,3.0,1.0,9.0,,4.0,,32.0,16.0,39.0,0,3.0,71.0,2.0,1.0,,2.0
2021-22,9576069,2,14,Liverpool,Home,795064,169187,Trent Alexander-Arnold,trent-alexander-arnold,D,False,5.0,,3.0,37.0,22.0,54.0,2.0,2.0,8.0,2.0,,,3.0,,,1.0,7.0,4.0,,,,1.0,,,,,1.0,7.0,,90.0,1.0,,,,,22.0,,8.6,,,,,3.0,1.0,12.0,,7.0,,54.0,24.0,66.0,1,2.0,101.0,1.0,,,1.0
