playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,aerialDuels,cleanSheets,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,blocks,leftsidePasses,interceptions,successfulLongPasses,backwardPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,goals,offsides,awayGoals,oboxBlocked,iboxTarget,shotsOnTargetInBox,goalsConcededOutsideBox,successfulCornersIntoBox,penaltyGoalsConceded,shotsBlockedInBox,totalFoulsWon,rightFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,totalFoulsConceded,clearancesOffTheLine,throwInsToOwnPlayer,hitWoodwork,handballsConceded,successfulCrossesOpenPlay,overruns,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCrossesAndCorners,penaltiesConceded,throwInsToOppositionPlayer,homeGoals,oboxTarget,headedGoals,iboxBlocked,successfulDribbles,substituteOff,shotsBlockedOutsideBox,foulAttemptedTackle,substituteOn,lastPlayerTackle,penaltiesSaved,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,leftFootGoals,throughBalls,unsuccessfulCornersIntoBox,ownGoalScored,expectedGoalsFreekick,freekickTotal,attemptsFromSetPieces,penaltiesTaken,foulWonPenalty,penaltyGoals,secondGoalAssists,setPiecesGoals,redCards2ndYellow
14055,Abdoulaye Faye,Defender,Hull,88,Senegal,2013-14,10.0,0.3876,0.0,4.0,2.0,11.0,3.0,3.0,21.0,62.0,19.0,2.0,270.0,1.0,7.0,16.0,1.0,4.0,38.0,4.0,2.3096,1.0,1.0,18.0,2.0,3.0,15.0,0.0,26.0,1.0,31.0,8.0,3.0,3.0,11.0,2.0,7.0,12.0,0.0,58.0,2.0,1.0,21.0,1.0,3.0,12.0,3.0,3.0,4.0,95.0,7.0,30.0,0.2633,0.0,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37339,Ahmed El Mohamady,Defender,Hull,88,Egypt,2013-14,178.0,3.465,0.0,67.0,16.0,264.0,38.0,38.0,377.0,1751.0,147.0,8.0,3329.0,1.0,73.0,212.0,70.0,138.0,1291.0,35.0,45.9136,40.0,18.0,69.0,51.0,105.0,76.0,1.0,390.0,29.0,636.0,235.0,38.0,13.0,806.0,43.0,243.0,74.0,0.0,1731.0,7.0,32.0,743.0,54.0,3.0,742.0,70.0,83.0,297.0,2807.0,99.0,618.0,1.1933,3.0,113.0,90.0,3.0,9.0,2.7151,2.0,3.0,1.0,2.0,4.0,4.0,8.0,2.0,3.0,1.0,29.0,1.0,32.0,193.0,60.0,34.0,2.0,282.0,2.0,2.0,48.0,11.0,2.0,39.0,193.0,2.0,3.0,50.0,1.0,56.0,1.0,3.0,1.0,1.0,42.0,5.0,2.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19687,Alex Bruce,Defender,Hull,88,Northern Ireland,2013-14,52.0,0.2959,0.0,33.0,9.0,64.0,20.0,19.0,97.0,460.0,76.0,,1594.0,,34.0,76.0,8.0,34.0,321.0,17.0,25.6516,3.0,11.0,109.0,29.0,18.0,88.0,0.0,128.0,6.0,201.0,54.0,20.0,12.0,80.0,24.0,52.0,42.0,0.0,444.0,7.0,,104.0,21.0,17.0,135.0,26.0,42.0,36.0,679.0,25.0,284.0,1.6995,2.0,33.0,26.0,1.0,2.0,1.0424,,,,,2.0,2.0,5.0,,1.0,1.0,2.0,,,1.0,1.0,12.0,,1.0,1.0,2.0,1.0,,,,1.0,,,1.0,,,,,,1.0,,6.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12390,Allan McGregor,Goalkeeper,Hull,88,Scotland,2013-14,5.0,0.0749,2.0,,,11.0,26.0,26.0,402.0,688.0,5.0,7.0,2227.0,,1.0,7.0,,3.0,59.0,,29.6806,,99.0,22.0,31.0,4.0,19.0,0.0,12.0,,642.0,201.0,26.0,,189.0,24.0,7.0,4.0,2.0,259.0,,,410.0,,,27.0,,227.0,,869.0,189.0,97.0,,0.0,391.0,33.0,,,,,,,,,,7.0,,,,5.0,,,,1.0,2.0,,,,,,,,,,,,,2.0,,,,,,,1.0,,1.0,,,1.0,14.0,28.0,238.0,10.0,1.0,1.0,16.0,69.0,3.0,2.0,2.0,156.0,139.0,18.0,41.0,,,,,,,,,,,,,
19115,Curtis Davies,Defender,Hull,88,Sierra Leone,2013-14,157.0,0.6017,0.0,73.0,23.0,179.0,37.0,37.0,232.0,1101.0,267.0,10.0,3326.0,,96.0,273.0,19.0,102.0,814.0,50.0,43.9924,3.0,11.0,326.0,50.0,61.0,299.0,0.0,430.0,15.0,489.0,140.0,37.0,17.0,202.0,42.0,163.0,171.0,0.0,1093.0,18.0,2.0,260.0,56.0,32.0,243.0,104.0,55.0,70.0,1761.0,59.0,667.0,2.1519,6.0,53.0,92.0,3.0,5.0,1.2153,2.0,,0.0,,3.0,3.0,8.0,,3.0,3.0,26.0,,3.0,4.0,10.0,25.0,1.0,2.0,1.0,1.0,,1.0,1.0,2.0,4.0,,,,,,2.0,,2.0,3.0,11.0,1.0,,9.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53371,David Meyler,Midfielder,Hull,88,Ireland,2013-14,137.0,0.5314,0.0,53.0,10.0,151.0,30.0,27.0,188.0,997.0,63.0,4.0,2135.0,,39.0,129.0,47.0,105.0,761.0,24.0,34.7302,14.0,2.0,28.0,38.0,98.0,318.0,1.0,266.0,31.0,271.0,133.0,30.0,9.0,438.0,31.0,203.0,24.0,0.0,991.0,6.0,3.0,286.0,44.0,6.0,215.0,30.0,48.0,193.0,1340.0,30.0,373.0,0.8233,8.0,37.0,44.0,6.0,4.0,0.706,2.0,3.0,0.0,2.0,,,7.0,,3.0,4.0,45.0,1.0,5.0,22.0,38.0,32.0,1.0,6.0,,2.0,2.0,3.0,1.0,57.0,22.0,,2.0,2.0,,,2.0,2.0,,4.0,7.0,12.0,2.0,13.0,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
11974,Eldin Jakupovic,Goalkeeper,Hull,88,Switzerland,2013-14,,0.0016,0.0,,,,1.0,1.0,13.0,27.0,,,90.0,,,,,,1.0,,2.1965,,6.0,,3.0,,1.0,0.0,,,26.0,11.0,1.0,,11.0,3.0,,,0.0,12.0,,,13.0,,,,,13.0,,40.0,9.0,3.0,,0.0,13.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,6.0,,,,,4.0,1.0,,,8.0,2.0,1.0,2.0,,,,,,,,,,,,,
28244,George Boyd,Forward,Hull,88,Scotland,2013-14,96.0,1.5923,0.0,39.0,20.0,57.0,29.0,9.0,65.0,412.0,27.0,2.0,1197.0,1.0,16.0,78.0,25.0,67.0,335.0,45.0,17.7754,15.0,1.0,12.0,17.0,80.0,130.0,1.0,174.0,18.0,102.0,65.0,29.0,15.0,228.0,15.0,147.0,11.0,0.0,403.0,11.0,10.0,183.0,24.0,,64.0,18.0,12.0,116.0,706.0,5.0,137.0,1.8194,2.0,8.0,20.0,4.0,9.0,2.3694,2.0,8.0,0.0,,4.0,4.0,2.0,5.0,2.0,4.0,16.0,,13.0,39.0,45.0,20.0,,9.0,,2.0,9.0,6.0,2.0,23.0,20.0,24.0,3.0,18.0,,2.0,2.0,3.0,1.0,4.0,13.0,5.0,,9.0,20.0,,,,,,,,,,,,,,,,,,1.0,3.0,16.0,,,,,,,,,,
49944,Jake Livermore,Midfielder,Hull,88,England,2013-14,152.0,2.2791,0.0,69.0,21.0,229.0,36.0,34.0,283.0,1662.0,47.0,9.0,3054.0,6.0,21.0,142.0,61.0,116.0,1261.0,35.0,39.8257,31.0,1.0,27.0,46.0,131.0,529.0,0.0,294.0,44.0,510.0,199.0,36.0,14.0,777.0,39.0,247.0,26.0,0.0,1641.0,14.0,13.0,418.0,55.0,13.0,350.0,52.0,118.0,273.0,2130.0,22.0,604.0,1.7082,6.0,54.0,58.0,18.0,7.0,1.4262,3.0,,2.0,10.0,2.0,2.0,7.0,,2.0,8.0,32.0,3.0,8.0,20.0,55.0,42.0,,11.0,4.0,1.0,2.0,3.0,4.0,91.0,20.0,1.0,2.0,2.0,,3.0,1.0,2.0,,8.0,21.0,2.0,10.0,16.0,2.0,1.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
43252,James Chester,Defender,Hull,88,Wales,2013-14,85.0,0.2346,0.0,43.0,9.0,104.0,24.0,22.0,136.0,707.0,91.0,5.0,1868.0,1.0,45.0,107.0,24.0,61.0,525.0,19.0,24.7967,4.0,4.0,105.0,30.0,40.0,147.0,0.0,192.0,19.0,314.0,109.0,24.0,13.0,195.0,23.0,101.0,46.0,0.0,695.0,7.0,3.0,164.0,30.0,21.0,191.0,47.0,46.0,55.0,1017.0,27.0,377.0,1.7805,0.0,32.0,43.0,1.0,2.0,1.4608,1.0,,0.0,,1.0,1.0,7.0,,1.0,1.0,10.0,,2.0,2.0,11.0,14.0,,3.0,,,1.0,,,3.0,2.0,,,1.0,,3.0,1.0,,,1.0,10.0,3.0,,6.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,
