playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,expectedGoalsFreekick,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,substituteOff,shotsBlockedOutsideBox,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,successfulCrossesAndCorners,blocks,penaltiesConceded,throwInsToOppositionPlayer,ownGoalScored,successfulLaunches,clearancesOffTheLine,throwInsToOwnPlayer,unsuccessfulLaunches,hitWoodwork,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,foulWonPenalty,penaltiesSaved,savesFromPenalty,secondGoalAssists,penaltiesTaken,penaltyGoals
59856,Abel Hernández,Forward,Hull,88,Uruguay,2016-17,103.0,0.5482,0.0,0.1417,6.0,18.0,6.2601,7.0,33.0,1.0,69.0,24.0,3.0,34.0,16.0,70.0,1.0,252.0,4.0,11.0,1.0,2.0,8.0,72.0,1.0,5.0,9.0,1428.0,9.0,2.0,50.0,41.0,3.0,19.0,19.0,181.0,54.0,5.0,27.6356,10.0,3.0,23.0,4.0,53.0,44.0,11.0,2.0,144.0,10.0,3.0,54.0,29.0,24.0,5.0,1.0,2.0,2.0,8.0,117.0,20.0,1.0,1.0,26.0,1.0,4.0,72.0,22.0,0.0,229.0,15.0,6.0,141.0,5.0,2.0,1.0,63.0,19.0,3.0,1.0,91.0,409.0,10.0,2.0,65.0,3.0,2.0,4.9317,0.0,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111847,Adama Diomande,Forward,Hull,88,Norway,2016-17,132.0,0.5867,0.0,,3.0,6.0,2.9199,25.0,20.0,3.0,69.0,22.0,,19.0,13.0,69.0,3.0,321.0,2.0,10.0,0.0,1.0,9.0,74.0,,2.0,2.0,1169.0,2.0,7.0,39.0,98.0,,25.0,63.0,246.0,43.0,6.0,26.8391,13.0,7.0,29.0,2.0,93.0,88.0,16.0,0.0,230.0,18.0,2.0,64.0,53.0,22.0,2.0,2.0,6.0,,8.0,162.0,29.0,,3.0,52.0,,2.0,156.0,35.0,0.0,315.0,14.0,5.0,162.0,19.0,22.0,,61.0,19.0,7.0,6.0,108.0,557.0,6.0,1.0,91.0,4.0,,2.8074,1.0,,11.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37339,Ahmed El Mohamady,Defender,Hull,88,Egypt,2016-17,105.0,1.5389,1.0,,2.0,2.0,0.2098,42.0,7.0,1.0,180.0,33.0,2.0,6.0,28.0,315.0,104.0,1370.0,,1.0,,,5.0,97.0,3.0,1.0,1.0,2520.0,1.0,,38.0,125.0,6.0,53.0,66.0,985.0,21.0,8.0,48.6421,24.0,91.0,59.0,2.0,67.0,46.0,13.0,0.0,230.0,15.0,,533.0,186.0,33.0,1.0,,8.0,,8.0,529.0,53.0,,104.0,27.0,,2.0,133.0,59.0,1.0,1354.0,5.0,12.0,504.0,34.0,11.0,,541.0,22.0,48.0,70.0,250.0,2095.0,1.0,,545.0,6.0,3.0,0.3065,3.0,135.0,89.0,19.0,19.0,8.0,1.0,28.0,1.0,27.0,1.0,240.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,
49688,Alfred N'Diaye,Midfielder,Hull,88,Senegal,2016-17,104.0,0.2986,0.0,,3.0,3.0,0.8002,37.0,7.0,2.0,71.0,15.0,,20.0,15.0,98.0,4.0,562.0,1.0,1.0,0.0,2.0,,39.0,3.0,1.0,1.0,1277.0,1.0,,26.0,67.0,4.0,26.0,54.0,435.0,12.0,2.0,29.3438,4.0,16.0,30.0,1.0,78.0,130.0,9.0,1.0,171.0,13.0,1.0,161.0,85.0,15.0,1.0,1.0,2.0,,2.0,201.0,26.0,,4.0,21.0,,1.0,132.0,13.0,0.0,536.0,4.0,5.0,141.0,35.0,8.0,,155.0,34.0,21.0,29.0,116.0,740.0,4.0,2.0,265.0,18.0,1.0,0.9699,7.0,27.0,34.0,2.0,2.0,6.0,1.0,,,1.0,,1.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
39167,Andrea Ranocchia,Defender,Hull,88,Italy,2016-17,62.0,0.2498,0.0,,2.0,5.0,1.2215,28.0,6.0,1.0,72.0,16.0,2.0,,15.0,128.0,2.0,550.0,2.0,,1.0,1.0,1.0,78.0,3.0,,3.0,1329.0,3.0,,35.0,89.0,4.0,14.0,46.0,386.0,13.0,1.0,29.9516,1.0,114.0,31.0,1.0,27.0,86.0,17.0,1.0,151.0,9.0,1.0,257.0,58.0,16.0,,1.0,6.0,,,111.0,27.0,1.0,2.0,2.0,,1.0,73.0,43.0,0.0,522.0,1.0,,139.0,22.0,1.0,,181.0,13.0,23.0,36.0,26.0,799.0,1.0,1.0,311.0,6.0,,0.6578,2.0,56.0,30.0,,,12.0,,,,10.0,,1.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,
122798,Andy Robertson,Defender,Hull,88,Scotland,2016-17,90.0,1.7982,0.0,,3.0,1.0,0.5036,54.0,4.0,1.0,155.0,33.0,2.0,2.0,31.0,295.0,87.0,1231.0,1.0,1.0,0.0,2.0,2.0,22.0,5.0,,,2736.0,,,13.0,99.0,6.0,48.0,90.0,857.0,23.0,9.0,59.2329,17.0,75.0,59.0,1.0,77.0,532.0,10.0,0.0,189.0,21.0,1.0,460.0,183.0,33.0,,,18.0,1.0,16.0,490.0,53.0,,98.0,36.0,,1.0,167.0,9.0,0.0,1211.0,3.0,19.0,498.0,36.0,26.0,,31.0,18.0,55.0,79.0,208.0,1953.0,2.0,2.0,467.0,13.0,,0.258,5.0,140.0,86.0,19.0,21.0,15.0,2.0,45.0,,28.0,2.0,190.0,90.0,1.0,9.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,
221268,Ben Hinchcliffe,Midfielder,Hull,88,England,2016-17,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19115,Curtis Davies,Defender,Hull,88,Sierra Leone,2016-17,77.0,0.3087,0.0,,,3.0,0.6301,40.0,10.0,,93.0,26.0,2.0,2.0,25.0,146.0,4.0,856.0,,,,,1.0,127.0,1.0,,3.0,2137.0,3.0,,52.0,133.0,6.0,16.0,58.0,677.0,20.0,10.0,45.9735,,176.0,53.0,,25.0,287.0,20.0,0.0,210.0,9.0,,342.0,73.0,26.0,,,16.0,,1.0,162.0,47.0,,4.0,3.0,,,83.0,75.0,0.0,840.0,7.0,2.0,162.0,24.0,4.0,,160.0,12.0,91.0,33.0,67.0,1289.0,5.0,,548.0,9.0,1.0,0.8286,4.0,53.0,58.0,,,35.0,1.0,,1.0,11.0,1.0,,36.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
240499,Daniel Batty,Midfielder,Hull,88,England,2016-17,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15144,David Marshall,Goalkeeper,Hull,88,Scotland,2016-17,2.0,0.0255,0.0,,,,,,,,2.0,16.0,,,16.0,234.0,,411.0,,,,,,3.0,,,,1440.0,,,1.0,3.0,5.0,,1.0,62.0,,7.0,34.2991,,9.0,44.0,,1.0,25.0,1.0,0.0,5.0,,,366.0,145.0,16.0,,,,,,85.0,39.0,,,,,,2.0,2.0,0.0,172.0,,,244.0,,,,20.0,,,115.0,,583.0,,,92.0,,,,0.0,232.0,33.0,,,,,,1.0,54.0,,,101.0,,,,,20.0,28.0,149.0,7.0,7.0,7.0,63.0,1.0,3.0,2.0,115.0,96.0,20.0,35.0,,,,,,
