playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,totalRedCards,blockedShots,shotsOnTargetIncGoals,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,substituteOn,aerialDuels,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,keyPassesAttemptAssists,goalsConceded,groundDuelsLost,totalFoulsWon,winningGoal,duels,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,attemptsFromSetPieces,totalFoulsConceded,interceptions,successfulLongPasses,touches,substituteOff,successfulPassesOwnHalf,handballsConceded,yellowCards,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,setPiecesGoals,goals,awayGoals,cornersTakenInclShortCorners,cleanSheets,successfulCrossesAndCorners,goalsConcededOutsideBox,throwInsToOppositionPlayer,penaltyGoalsConceded,ownGoalScored,successfulLaunches,totalClearances,homeGoals,leftFootGoals,lastPlayerTackle,blocks,gkUnsuccessfulDistribution,unsuccessfulCornersIntoBox,throwInsToOwnPlayer,unsuccessfulLaunches,unsuccessfulLongPasses,penaltiesConceded,penaltiesSaved,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,forwardPasses,drops,crossesNotClaimed,gkSuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,throughBalls,rightFootGoals,goalAssists,foulWonPenalty,penaltiesTaken,redCards2ndYellow,headedGoals,penaltyGoals,hitWoodwork,successfulCornersIntoBox,clearancesOffTheLine,leftsidePasses,otherGoals
33749,Amr Zaki,Forward,Hull,88,Egypt,2009-10,52.0,0.0,1.0,1.0,2.0,4.0,15.0,6.0,8.0,2.0,15.0,6.0,81.0,2.0,4.0,29.0,227.0,1.0,24.0,16.0,11.0,59.0,9.0,1.0,5.0,28.0,7.0,0.0,68.0,12.0,6.0,1.0,10.0,55.0,5.0,6.0,21.0,39.0,5.0,0.0,81.0,3.0,1.0,42.0,1.0,2.0,1.0,9.0,2.0,7.0,147.0,2.0,11.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730,Andy Dawson,Defender,Hull,88,England,2009-10,95.0,0.0,3.0,4.0,69.0,6.0,203.0,35.0,2.0,35.0,324.0,33.0,1242.0,,,61.0,3068.0,,27.0,129.0,95.0,828.0,2.0,18.0,63.0,68.0,22.0,0.0,224.0,162.0,35.0,18.0,6.0,545.0,54.0,42.0,22.0,163.0,34.0,0.0,1181.0,2.0,1.0,549.0,51.0,4.0,5.0,30.0,47.0,90.0,2125.0,3.0,391.0,1.0,7.0,65.0,16.0,1.0,1.0,0.0,3.0,6.0,18.0,9.0,83.0,5.0,1.0,49.0,162.0,1.0,1.0,2.0,13.0,1.0,3.0,316.0,104.0,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1433,Anthony Gardner,Defender,Hull,88,England,2009-10,66.0,0.0,1.0,3.0,43.0,6.0,122.0,24.0,,24.0,150.0,1.0,515.0,1.0,,87.0,2154.0,,37.0,112.0,62.0,335.0,20.0,4.0,41.0,29.0,16.0,0.0,178.0,84.0,24.0,12.0,,124.0,33.0,1.0,5.0,91.0,50.0,0.0,497.0,3.0,,271.0,31.0,3.0,,19.0,45.0,30.0,937.0,,242.0,,1.0,46.0,1.0,,,,,5.0,1.0,8.0,2.0,3.0,1.0,11.0,236.0,,,2.0,22.0,,,2.0,42.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6224,Bernard Mendy,Midfielder,Hull,88,France,2009-10,93.0,1.0,2.0,3.0,41.0,8.0,89.0,21.0,2.0,15.0,120.0,42.0,428.0,1.0,6.0,58.0,1391.0,,30.0,108.0,80.0,287.0,12.0,6.0,35.0,63.0,20.0,0.0,201.0,61.0,21.0,8.0,13.0,192.0,29.0,42.0,31.0,143.0,28.0,1.0,412.0,5.0,8.0,253.0,33.0,19.0,,25.0,26.0,21.0,864.0,3.0,123.0,,6.0,22.0,7.0,,,,,1.0,7.0,6.0,38.0,2.0,,8.0,60.0,,,,7.0,,,92.0,20.0,31.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12086,Boaz Myhill,Goalkeeper,Hull,88,Wales,2009-10,3.0,0.0,,,,,11.0,27.0,,27.0,593.0,,928.0,,,3.0,2430.0,,1.0,6.0,4.0,23.0,,1.0,58.0,2.0,4.0,0.0,9.0,312.0,27.0,,,284.0,50.0,,,6.0,2.0,0.0,292.0,,2.0,610.0,,,,1.0,,312.0,1221.0,,51.0,,2.0,26.0,,,,,,5.0,,8.0,,3.0,,121.0,52.0,,,,,203.0,,,274.0,582.0,,1.0,34.0,38.0,331.0,29.0,4.0,1.0,37.0,108.0,1.0,3.0,1.0,208.0,14.0,70.0,,,,,,,,,,,,,
11607,Caleb Folan,Forward,Hull,88,Ireland,2009-10,63.0,0.0,,4.0,6.0,7.0,70.0,8.0,22.0,7.0,70.0,2.0,171.0,10.0,1.0,67.0,568.0,12.0,38.0,39.0,10.0,98.0,25.0,4.0,14.0,25.0,3.0,0.0,102.0,11.0,8.0,2.0,4.0,73.0,11.0,2.0,12.0,35.0,29.0,0.0,171.0,3.0,3.0,91.0,4.0,1.0,,13.0,2.0,3.0,232.0,3.0,28.0,1.0,1.0,4.0,,,2.0,2.0,,,,3.0,,,,,8.0,0.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,
14913,Craig Fagan,Midfielder,Hull,88,England,2009-10,202.0,1.0,6.0,4.0,34.0,16.0,135.0,25.0,48.0,20.0,168.0,42.0,505.0,6.0,5.0,64.0,1827.0,8.0,40.0,98.0,74.0,323.0,48.0,9.0,36.0,162.0,30.0,0.0,300.0,88.0,25.0,10.0,28.0,281.0,31.0,44.0,97.0,236.0,24.0,0.0,504.0,12.0,17.0,327.0,24.0,10.0,,62.0,24.0,14.0,913.0,4.0,75.0,6.0,6.0,30.0,19.0,,2.0,0.0,3.0,3.0,19.0,5.0,3.0,5.0,,2.0,11.0,2.0,,,,,2.0,11.0,23.0,33.0,1.0,,,,,,,,,,,,,,,,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,
28137,Daniel Cousin,Forward,Hull,88,Gabon,2009-10,7.0,0.0,,1.0,,3.0,8.0,3.0,1.0,1.0,9.0,1.0,27.0,,2.0,8.0,77.0,,2.0,8.0,2.0,18.0,2.0,1.0,5.0,5.0,1.0,0.0,15.0,3.0,3.0,,,13.0,5.0,1.0,3.0,7.0,6.0,0.0,26.0,2.0,,13.0,,1.0,,1.0,,,38.0,1.0,5.0,,0.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
15982,Dean Marney,Midfielder,Hull,88,England,2009-10,43.0,0.0,7.0,5.0,28.0,12.0,66.0,16.0,18.0,15.0,83.0,12.0,424.0,,1.0,17.0,1224.0,,10.0,43.0,36.0,308.0,5.0,8.0,22.0,33.0,7.0,0.0,86.0,59.0,16.0,8.0,4.0,195.0,17.0,19.0,11.0,69.0,7.0,0.0,415.0,7.0,2.0,126.0,20.0,1.0,,17.0,24.0,33.0,593.0,7.0,150.0,1.0,4.0,11.0,3.0,,1.0,0.0,7.0,1.0,4.0,5.0,,2.0,,1.0,16.0,1.0,1.0,,2.0,,6.0,4.0,9.0,17.0,,,,,,,,,,,,,,,,,2.0,,3.0,,,,,,,1.0,,,
1600,George Boateng,Midfielder,Hull,88,Netherlands,2009-10,152.0,2.0,11.0,4.0,51.0,14.0,187.0,29.0,5.0,26.0,239.0,18.0,942.0,1.0,3.0,45.0,2221.0,1.0,17.0,128.0,100.0,626.0,6.0,12.0,52.0,135.0,38.0,2.0,280.0,175.0,29.0,14.0,13.0,399.0,45.0,18.0,43.0,235.0,28.0,1.0,929.0,10.0,4.0,340.0,37.0,11.0,,60.0,69.0,77.0,1338.0,4.0,308.0,,3.0,55.0,4.0,,1.0,0.0,,5.0,4.0,7.0,,5.0,,8.0,63.0,1.0,1.0,,12.0,,,2.0,35.0,52.0,1.0,,,,,,,,,,,,,,,,5.0,,1.0,,,1.0,,,,,2.0,,
10143,Geovanni,Midfielder,Hull,88,Brazil,2009-10,117.0,1.0,16.0,14.0,47.0,30.0,92.0,26.0,29.0,16.0,110.0,27.0,555.0,5.0,10.0,24.0,1538.0,2.0,19.0,121.0,116.0,406.0,25.0,17.0,31.0,98.0,49.0,2.0,238.0,77.0,26.0,8.0,17.0,300.0,26.0,48.0,55.0,214.0,5.0,0.0,547.0,16.0,14.0,220.0,39.0,20.0,11.0,28.0,22.0,39.0,917.0,8.0,158.0,,3.0,16.0,9.0,,3.0,2.0,13.0,2.0,13.0,5.0,1.0,5.0,,4.0,6.0,1.0,1.0,,2.0,,11.0,8.0,8.0,18.0,,,,,,,,,,,,,,,,,5.0,1.0,,1.0,1.0,1.0,1.0,,,2.0,,,
14158,Ibrahima Sonko,Defender,Hull,88,Senegal,2009-10,22.0,0.0,1.0,,20.0,1.0,39.0,9.0,,9.0,62.0,4.0,206.0,,,31.0,810.0,,10.0,50.0,29.0,124.0,8.0,3.0,20.0,12.0,6.0,0.0,72.0,42.0,9.0,2.0,,50.0,18.0,4.0,2.0,41.0,21.0,0.0,206.0,1.0,4.0,125.0,18.0,3.0,,3.0,12.0,20.0,392.0,,94.0,,0.0,14.0,,,,,,2.0,,2.0,28.0,4.0,,6.0,78.0,,,,7.0,,,15.0,24.0,23.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,
4706,Jan Vennegoor of Hesselink,Forward,Hull,88,Netherlands,2009-10,164.0,0.0,5.0,9.0,19.0,25.0,178.0,31.0,49.0,17.0,182.0,8.0,454.0,14.0,14.0,157.0,1490.0,16.0,85.0,115.0,43.0,269.0,78.0,15.0,29.0,79.0,22.0,2.0,279.0,29.0,31.0,4.0,2.0,208.0,26.0,8.0,34.0,122.0,72.0,0.0,454.0,16.0,7.0,234.0,15.0,2.0,,38.0,9.0,3.0,640.0,14.0,64.0,2.0,0.0,19.0,,,3.0,0.0,,1.0,,3.0,,2.0,,,14.0,3.0,1.0,,,,,,3.0,4.0,,,,,,,,,,,,,,,,,2.0,1.0,2.0,2.0,,,1.0,,1.0,,,1.0,
8876,Jimmy Bullard,Midfielder,Hull,88,England,2009-10,47.0,0.0,11.0,12.0,13.0,31.0,67.0,14.0,16.0,13.0,102.0,12.0,639.0,1.0,1.0,4.0,1054.0,1.0,3.0,42.0,41.0,482.0,12.0,13.0,24.0,44.0,23.0,2.0,89.0,86.0,14.0,3.0,10.0,319.0,21.0,47.0,34.0,85.0,1.0,0.0,613.0,19.0,6.0,187.0,10.0,5.0,9.0,8.0,17.0,55.0,863.0,4.0,229.0,,0.0,10.0,3.0,,5.0,1.0,25.0,1.0,11.0,3.0,,3.0,,4.0,2.0,4.0,,,,,21.0,6.0,10.0,35.0,,,,,,,,,,,,,,,,,3.0,5.0,,,5.0,,,4.0,1.0,4.0,,,
41574,Jozy Altidore,Forward,Hull,88,United States,2009-10,178.0,1.0,8.0,8.0,17.0,22.0,73.0,28.0,46.0,16.0,76.0,9.0,277.0,14.0,12.0,65.0,1461.0,13.0,50.0,105.0,90.0,193.0,61.0,20.0,34.0,128.0,57.0,0.0,283.0,34.0,28.0,6.0,43.0,160.0,28.0,9.0,96.0,218.0,15.0,1.0,277.0,14.0,14.0,185.0,11.0,16.0,2.0,32.0,13.0,8.0,599.0,13.0,43.0,6.0,4.0,9.0,2.0,,1.0,0.0,,,2.0,6.0,1.0,4.0,,1.0,4.0,1.0,,,1.0,,,2.0,2.0,3.0,,,,,,,,,,,,,,,,,3.0,1.0,3.0,3.0,,,,,,,,,
44799,Kamel Ghilas,Forward,Hull,88,Algeria,2009-10,39.0,0.0,3.0,4.0,14.0,9.0,31.0,13.0,10.0,6.0,33.0,14.0,126.0,14.0,7.0,10.0,582.0,,8.0,30.0,28.0,90.0,22.0,6.0,20.0,31.0,10.0,2.0,69.0,21.0,13.0,4.0,9.0,64.0,17.0,18.0,21.0,59.0,2.0,0.0,120.0,5.0,6.0,76.0,10.0,4.0,,5.0,5.0,3.0,250.0,4.0,32.0,,0.0,10.0,2.0,,1.0,0.0,9.0,,3.0,3.0,1.0,2.0,,1.0,,1.0,,,,,4.0,2.0,4.0,2.0,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,1.0,2.0,,,
42056,Kamil Zayatte,Defender,Hull,88,Guinea,2009-10,100.0,0.0,3.0,4.0,50.0,10.0,165.0,23.0,2.0,21.0,251.0,6.0,579.0,2.0,2.0,132.0,1872.0,,43.0,163.0,74.0,289.0,26.0,4.0,38.0,57.0,17.0,0.0,263.0,103.0,23.0,13.0,5.0,143.0,33.0,6.0,17.0,131.0,89.0,0.0,559.0,6.0,1.0,385.0,37.0,7.0,1.0,31.0,75.0,39.0,1068.0,2.0,186.0,,3.0,68.0,1.0,,2.0,1.0,,4.0,1.0,5.0,13.0,4.0,2.0,22.0,224.0,1.0,,3.0,16.0,1.0,,14.0,80.0,86.0,2.0,,,,2.0,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,1.0
1019,Kevin Kilbane,Midfielder,Hull,88,Ireland,2009-10,68.0,0.0,2.0,4.0,20.0,8.0,121.0,21.0,19.0,15.0,149.0,18.0,467.0,2.0,6.0,54.0,1351.0,,30.0,68.0,44.0,294.0,15.0,5.0,34.0,38.0,16.0,0.0,136.0,56.0,21.0,6.0,5.0,187.0,31.0,20.0,20.0,82.0,24.0,0.0,465.0,4.0,6.0,231.0,14.0,8.0,,11.0,38.0,24.0,748.0,4.0,136.0,1.0,2.0,30.0,5.0,,1.0,0.0,1.0,3.0,5.0,3.0,18.0,4.0,,6.0,55.0,1.0,,,4.0,,1.0,31.0,22.0,28.0,,,,,,,,,,,,,,,,,2.0,,1.0,,,,1.0,,,,,,
55914,Liam Cooper,Defender,Hull,88,Scotland,2009-10,3.0,0.0,,,3.0,,5.0,2.0,,1.0,8.0,,21.0,,1.0,6.0,124.0,,3.0,8.0,5.0,10.0,,,7.0,,1.0,0.0,11.0,2.0,2.0,,,6.0,6.0,,,5.0,3.0,0.0,21.0,,,20.0,3.0,1.0,,,4.0,3.0,57.0,,7.0,,0.0,,,,,,,,,1.0,,,,2.0,22.0,,,,2.0,,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
