playerId,playerName,position,team,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,crossesNotClaimed,lastPlayerTackle,successfulPassesOppositionHalf,goalsConcededInsideBox,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,substituteOn,putthroughBlockedDistribution,penaltyGoalsConceded,substituteOff,successfulCrossesOpenPlay,blockedShots,overruns,totalShots,unsuccessfulShortPasses,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,oboxBlocked,successfulCrossesAndCorners,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,putthroughBlockedDistributionWon,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,shotsOffTargetIncWoodwork,cornersWon,successfulDribbles,blocks,interceptions,clearancesOffTheLine,backwardPasses,throwInsToOwnPlayer,hitWoodwork,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,shotsOnTargetIncGoals,expectedGoalsOnTarget,offsides,shotsOnTargetOutsideBox,iboxTarget,shotsOnTargetInBox,oboxTarget,handballsConceded,penaltiesConceded,goals,awayGoals,shotsBlockedInBox,homeGoals,headedGoals,iboxBlocked,leftFootGoals,throughBalls,cornersTakenInclShortCorners,rightFootGoals,unsuccessfulLayoffs,expectedGoalsFreekick,successfulCornersIntoBox,redCards2ndYellow,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,secondGoalAssists,foulWonPenalty,penaltiesTaken,penaltyGoals
90517,Robert Brady,Midfielder,Preston North End,Ireland,2014-15,114.0,,2.6572,0.0,,43.0,,27.0,17.0,229.0,743.0,,,69.0,4.0,,1755.0,28.0,137.0,6.0,96.0,471.0,,,19.7572,11.0,62.0,23.0,86.0,281.0,,27.0,0.0,251.0,,305.0,131.0,27.0,,,354.0,17.0,46.0,182.0,41.0,0.0,,703.0,470.0,32.0,,,33.0,16.0,43.0,1373.0,64.0,209.0,,2.0,98.0,50.0,10.0,37.0,,6.0,22.0,11.0,6.0,12.0,131.0,2.0,12.0,72.0,9.0,49.0,18.0,42.0,33.0,16.0,11.0,23.0,126.0,6.0,22.0,29.0,3.0,30.0,,124.0,77.0,2.0,9.0,11.0,1.2779,6.0,1.2832,4.0,3.0,3.0,3.0,3.0,,,,,2.0,,,2.0,,,63.0,,1.0,0.5228,22.0,,7.0,7.0,36.0,1.0,,,
49944,Jake Livermore,Midfielder,Watford,England,2014-15,161.0,,1.0404,0.0,,96.0,,35.0,35.0,251.0,1523.0,,,57.0,8.0,,3031.0,37.0,139.0,13.0,119.0,1163.0,,,41.0956,5.0,25.0,46.0,124.0,453.0,,13.0,0.0,300.0,,416.0,202.0,35.0,,,635.0,33.0,38.0,243.0,20.0,0.0,,1507.0,331.0,73.0,,,415.0,53.0,109.0,1917.0,17.0,639.0,,10.0,55.0,60.0,,55.0,1.0,5.0,2.0,6.0,2.0,28.0,196.0,1.0,35.0,6.0,3.0,2.0,19.0,,26.0,32.0,23.0,3.0,6.0,17.0,6.0,11.0,13.0,60.0,,239.0,8.0,1.0,3.0,38.0,1.3482,11.0,0.9043,1.0,7.0,3.0,3.0,7.0,1.0,1.0,1.0,0.0,3.0,1.0,,3.0,,3.0,,1.0,5.0,,,,,,,,,,
28147,Mohamed Diamé,Midfielder,Newcastle United,Senegal,2014-15,103.0,,0.2283,0.0,,46.0,,15.0,10.0,48.0,323.0,,,21.0,1.0,,934.0,9.0,88.0,5.0,76.0,260.0,,,15.5297,1.0,11.0,21.0,94.0,93.0,,13.0,1.0,191.0,,81.0,53.0,15.0,,,145.0,16.0,55.0,170.0,12.0,0.0,,321.0,133.0,38.0,,,92.0,21.0,15.0,557.0,3.0,131.0,,2.0,12.0,12.0,5.0,18.0,,4.0,1.0,5.0,7.0,12.0,36.0,,12.0,4.0,4.0,1.0,21.0,,3.0,15.0,8.0,22.0,4.0,8.0,5.0,17.0,2.0,17.0,,57.0,,,4.0,11.0,1.247,4.0,2.1652,,,,,,1.0,,4.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,,2.0,1.0,,,,,,,,,,
86176,Tom Ince,Midfielder,Watford,England,2014-15,25.0,,0.0746,0.0,,2.0,,7.0,3.0,9.0,95.0,,,11.0,,,300.0,11.0,10.0,1.0,10.0,82.0,,,1.7364,,3.0,4.0,14.0,22.0,,5.0,0.0,35.0,,15.0,5.0,7.0,,,64.0,3.0,5.0,24.0,,0.0,,94.0,27.0,2.0,,,32.0,5.0,4.0,139.0,,22.0,,0.0,1.0,1.0,4.0,2.0,,3.0,,3.0,1.0,4.0,8.0,,6.0,3.0,1.0,,11.0,,2.0,2.0,,2.0,4.0,1.0,3.0,3.0,,1.0,,26.0,2.0,,1.0,2.0,0.756,3.0,0.5644,1.0,2.0,1.0,1.0,2.0,,,,,2.0,,,2.0,,,1.0,,,0.0555,,,1.0,1.0,1.0,,,,
78091,Gastón Ramírez,Midfielder,Middlesbrough,Uruguay,2014-15,110.0,,1.4261,1.0,,35.0,,23.0,11.0,81.0,487.0,,,36.0,,,1008.0,25.0,89.0,5.0,78.0,381.0,,,9.9293,,7.0,13.0,85.0,148.0,,22.0,0.0,199.0,,114.0,74.0,23.0,,,267.0,8.0,46.0,163.0,11.0,1.0,,472.0,205.0,26.0,,,123.0,15.0,25.0,773.0,4.0,154.0,,1.0,18.0,15.0,12.0,34.0,,7.0,2.0,4.0,10.0,13.0,63.0,2.0,14.0,5.0,1.0,15.0,26.0,1.0,21.0,22.0,9.0,12.0,35.0,7.0,13.0,23.0,1.0,9.0,,102.0,2.0,1.0,1.0,7.0,0.8592,6.0,0.8495,3.0,2.0,3.0,3.0,2.0,,,1.0,1.0,2.0,0.0,,2.0,1.0,4.0,32.0,,2.0,0.1643,11.0,,2.0,2.0,20.0,,,,
20462,Stephen Quinn,Midfielder,Mansfield Town,Ireland,2014-15,92.0,,1.065,1.0,,31.0,,28.0,17.0,148.0,945.0,,,42.0,1.0,,1637.0,27.0,87.0,5.0,72.0,764.0,,,23.6366,3.0,22.0,25.0,65.0,285.0,,35.0,0.0,179.0,,269.0,124.0,28.0,,,508.0,20.0,30.0,137.0,15.0,1.0,,931.0,259.0,21.0,,,222.0,18.0,33.0,1271.0,17.0,297.0,,3.0,31.0,35.0,11.0,47.0,1.0,8.0,6.0,4.0,4.0,12.0,117.0,3.0,37.0,38.0,2.0,8.0,34.0,,19.0,32.0,10.0,5.0,51.0,5.0,10.0,6.0,3.0,35.0,,169.0,14.0,,2.0,15.0,0.9861,7.0,1.408,3.0,2.0,4.0,4.0,2.0,2.0,,1.0,0.0,2.0,1.0,1.0,2.0,,1.0,15.0,,4.0,,2.0,,,,11.0,,,,
48337,Dame N'Doye,Forward,FC København,Senegal,2014-15,123.0,,0.7973,0.0,,13.0,,15.0,13.0,77.0,337.0,,,48.0,2.0,,1195.0,32.0,71.0,3.0,55.0,241.0,,,15.1407,,6.0,18.0,91.0,117.0,,32.0,2.0,194.0,,74.0,58.0,15.0,,,180.0,15.0,57.0,146.0,16.0,0.0,,318.0,193.0,9.0,,,67.0,33.0,19.0,582.0,1.0,81.0,,3.0,12.0,8.0,2.0,14.0,1.0,3.0,1.0,7.0,9.0,35.0,65.0,1.0,27.0,5.0,5.0,1.0,53.0,,11.0,3.0,4.0,21.0,5.0,18.0,13.0,11.0,1.0,5.0,,79.0,3.0,,5.0,16.0,6.1271,17.0,6.5548,10.0,3.0,9.0,9.0,3.0,2.0,,5.0,2.0,2.0,3.0,1.0,2.0,,4.0,,4.0,1.0,0.1135,,,2.0,2.0,,,,,
59856,Abel Hernández,Forward,Peñarol,Uruguay,2014-15,112.0,,0.6337,0.0,,14.0,,25.0,15.0,78.0,298.0,,,73.0,2.0,,1312.0,48.0,65.0,6.0,40.0,219.0,,,16.2879,,2.0,17.0,64.0,70.0,,13.0,0.0,177.0,,63.0,46.0,25.0,,,157.0,11.0,49.0,104.0,25.0,0.0,,280.0,176.0,10.0,,,82.0,17.0,1.0,521.0,2.0,63.0,,2.0,2.0,15.0,10.0,20.0,,9.0,,10.0,5.0,41.0,76.0,1.0,35.0,7.0,3.0,,69.0,,8.0,13.0,4.0,13.0,7.0,22.0,8.0,14.0,,5.0,,83.0,4.0,2.0,3.0,3.0,5.326,19.0,4.2482,15.0,6.0,9.0,9.0,6.0,4.0,,4.0,1.0,7.0,3.0,2.0,7.0,2.0,,,,2.0,,,,,,,,1.0,1.0,1.0
62419,Nikica Jelavic,Forward,West Ham United,Croatia,2014-15,203.0,,0.443,0.0,,8.0,,26.0,21.0,125.0,384.0,,,198.0,4.0,,1810.0,125.0,108.0,8.0,35.0,258.0,,,18.9293,,20.0,25.0,78.0,88.0,,24.0,1.0,311.0,,95.0,51.0,26.0,,,185.0,17.0,43.0,113.0,73.0,0.0,,360.0,223.0,7.0,,,80.0,29.0,1.0,634.0,2.0,75.0,,3.0,6.0,12.0,5.0,17.0,,9.0,1.0,11.0,6.0,46.0,119.0,1.0,34.0,10.0,6.0,1.0,78.0,1.0,16.0,10.0,1.0,10.0,10.0,31.0,10.0,3.0,4.0,7.0,,121.0,4.0,1.0,6.0,10.0,5.0735,15.0,5.5056,23.0,1.0,6.0,6.0,1.0,3.0,,8.0,3.0,5.0,5.0,1.0,5.0,2.0,1.0,,5.0,7.0,0.3732,,,4.0,4.0,,,,,
51627,Yannick Sagbo,Forward,Hull City,Cote d’Ivoire,2014-15,7.0,,0.0308,0.0,,4.0,,4.0,,7.0,34.0,,,5.0,,,55.0,3.0,7.0,,5.0,27.0,,,1.7568,,,2.0,4.0,9.0,,2.0,0.0,14.0,,7.0,3.0,4.0,,,18.0,2.0,2.0,9.0,2.0,0.0,,33.0,12.0,3.0,,,8.0,3.0,,46.0,,9.0,,0.0,1.0,,4.0,1.0,,,,,,,6.0,,6.0,1.0,,,2.0,,1.0,,1.0,,1.0,,,,,1.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27503,Sone Aluko,Forward,Ipswich Town,Nigeria,2014-15,124.0,,0.978,0.0,,13.0,,25.0,13.0,68.0,395.0,,,20.0,,,1242.0,19.0,69.0,5.0,68.0,311.0,,,18.3289,1.0,3.0,19.0,105.0,87.0,,29.0,0.0,193.0,,60.0,62.0,25.0,,,240.0,14.0,78.0,173.0,1.0,0.0,,388.0,220.0,9.0,,,102.0,15.0,16.0,701.0,5.0,97.0,,2.0,11.0,7.0,12.0,19.0,1.0,12.0,7.0,8.0,20.0,23.0,57.0,,36.0,13.0,5.0,10.0,47.0,,13.0,9.0,4.0,26.0,16.0,11.0,9.0,26.0,,10.0,,146.0,8.0,,5.0,4.0,1.9667,12.0,0.7262,5.0,7.0,4.0,4.0,7.0,,,1.0,1.0,3.0,0.0,,3.0,,1.0,4.0,1.0,4.0,,3.0,,,,1.0,,,,
