season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2024-25,12436875,1,17,Nottingham_Forest,Home,78152,85633,Matz Sels,matz-sels,G,False,,,15.0,13.0,20.0,33.0,,,5.0,,,,,,,,1.0,,,0.00361557,,,,0.0,,0.1878,,,,,,90.0,,,,,,12.0,1.0,7.3,1.0,3.0,,,1.0,,,,26.0,,24.0,20.0,44.0,0,1.0,53.0,,,,1.0
2024-25,12436875,1,17,Nottingham_Forest,Home,973738,475123,Carlos Miguel,carlos-miguel,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436900,2,17,Nottingham_Forest,Away,78152,85633,Matz Sels,matz-sels,G,False,,,4.0,4.0,2.0,6.0,,,3.0,,,,,,,,,,,0.00116777,,,,0.0,,0.0243,2.0,,,,,90.0,,,,,,12.0,,6.8,,1.0,,,,,,,16.0,,15.0,3.0,18.0,0,,21.0,,,,
2024-25,12436900,2,17,Nottingham_Forest,Away,973738,475123,Carlos Miguel,carlos-miguel,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436926,3,17,Nottingham_Forest,Home,78152,85633,Matz Sels,matz-sels,G,False,,,4.0,4.0,5.0,9.0,,,2.0,,,,,,,,1.0,,,0.00302047,,,,0.0,,-0.4166,,,,,,90.0,,,,,,12.0,1.0,6.4,1.0,1.0,,,1.0,,,,15.0,,13.0,7.0,20.0,0,,26.0,,1.0,,
2024-25,12436926,3,17,Nottingham_Forest,Home,973738,475123,Carlos Miguel,carlos-miguel,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436944,4,17,Nottingham_Forest,Away,78152,85633,Matz Sels,matz-sels,G,False,,1.0,9.0,9.0,,9.0,,,9.0,,,,,,,,,,,0.0033951,,,,0.0,,0.5723,,,,,,90.0,,,,,,21.0,1.0,7.8,4.0,5.0,,,2.0,,,1.0,30.0,,27.0,3.0,30.0,0,,39.0,,,,
2024-25,12436944,4,17,Nottingham_Forest,Away,973738,475123,Carlos Miguel,carlos-miguel,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436959,5,17,Nottingham_Forest,Away,78152,85633,Matz Sels,matz-sels,G,False,,,5.0,5.0,3.0,8.0,,,5.0,,,,,,,,,,,0.00160574,,,,0.0,,-0.9058,,,,,,90.0,,,,,,18.0,,6.0,1.0,1.0,,,1.0,,,,23.0,,23.0,3.0,26.0,0,,29.0,,,,
2024-25,12436959,5,17,Nottingham_Forest,Away,973738,475123,Carlos Miguel,carlos-miguel,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12437001,6,17,Nottingham_Forest,Home,78152,85633,Matz Sels,matz-sels,G,False,,,2.0,2.0,7.0,9.0,,1.0,2.0,,,,,,,,1.0,,,0.0376942,,,,0.0,,-0.2174,,,,,,90.0,,,,1.0,,11.0,1.0,6.7,1.0,1.0,,,2.0,,,,12.0,,11.0,8.0,19.0,0,,24.0,,,,
2024-25,12437001,6,17,Nottingham_Forest,Home,973738,475123,Carlos Miguel,carlos-miguel,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12437013,7,17,Nottingham_Forest,Away,78152,85633,Matz Sels,matz-sels,G,False,,,9.0,8.0,3.0,11.0,,1.0,9.0,,,,,,,,1.0,,,0.00271062,,,,0.0,,0.9829,,,,,,90.0,,,,,,20.0,,8.0,6.0,7.0,,,1.0,,,,28.0,,26.0,5.0,31.0,0,,45.0,,1.0,,
2024-25,12437013,7,17,Nottingham_Forest,Away,973738,475123,Carlos Miguel,carlos-miguel,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
