matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2367542,1.0,2023-08-12 15:00:00,54,Fulham,Away,285.0,20.0,1.0,3.0,3.0,2.0,,188.0,7.0,,8.0,2.0,2.0,26.0,470.0,,,17.0,9.0,15.0,6.0,1.0,2.0,,,,,,,,,7.0,,,1.0,,,3.0,14.0,5.0,6.0,3.0,,96.0,56.0,1.0,1.0,1.0,4.0,6.0,1.0,7.0,,,4.0,6.0,3.0,,9.0,3.0,35.0,42.0,4.0,29.0,16.0,,,53.0,6.0,12.0,,,2.0,,,190.0,,,,,,,7.0,,,1.0,,,,,,16.0,1.0,4.0,4.0,,8.0,135.0,70.0,49.0,10.0,,6.0,1.0,2.0,527.0,,,4.0,3.0,,89.0,59.0,20.0,,,,,126.0,126.0,2.0,22.0,19.0,59.4,1.0,,,2.0,18.0,0.0,,,,135.0,8.0,1.0,9.0,,,,6.0,,1.0,3.0,81.0,443.0,6.0,7.0,316.0,37.0,29.0,10.0,3.0,11.0,9.0,,114.0,5.0,251.0,,,8.0,3.0,45.0,3.0,556.0,,0.0,9.0,10.0,,22.0,2.0,726.0,18.0,8.0,6.0,4.0,4.0,0.0
2367550,2.0,2023-08-19 15:00:00,54,Fulham,Home,185.0,22.0,,1.0,1.0,,,212.0,6.0,,4.0,,4.0,25.0,396.0,,1.0,18.0,12.0,12.0,6.0,,2.0,,1.0,,,1.0,,1.0,,6.0,,1.0,,,1.0,10.0,15.0,2.0,4.0,6.0,,67.0,51.0,,,,1.0,5.0,4.0,8.0,,,5.0,6.0,3.0,,8.0,2.0,46.0,42.0,1.0,22.0,10.0,1.0,,58.0,13.0,12.0,,,1.0,2.0,1.0,135.0,,,,,,,7.0,,,,2.0,,,,,10.0,1.0,3.0,3.0,,4.0,139.0,56.0,29.0,5.0,,1.0,5.0,2.0,450.0,,,2.0,,,40.0,75.0,30.0,1.0,1.0,1.0,,118.0,118.0,5.0,18.0,20.0,54.6,1.0,,,,14.0,0.0,,,,133.0,4.0,1.0,5.0,1.0,1.0,,4.0,,,5.0,90.0,375.0,5.0,6.0,203.0,54.0,22.0,13.0,5.0,16.0,11.0,,126.0,1.0,287.0,2.0,,3.0,5.0,52.0,1.0,474.0,,1.0,10.0,10.0,1.0,18.0,2.0,632.0,20.0,11.0,8.0,5.0,9.0,0.0
2367559,3.0,2023-08-26 15:00:00,54,Fulham,Away,122.0,22.0,1.0,2.0,1.0,3.0,,76.0,7.0,,7.0,1.0,2.0,22.0,196.0,,1.0,6.0,9.0,14.0,2.0,1.0,3.0,1.0,,,,,,,1.0,4.0,,,,,1.0,4.0,16.0,3.0,6.0,2.0,,46.0,64.0,1.0,1.0,,,8.0,2.0,15.0,1.0,,3.0,4.0,4.0,,9.0,2.0,43.0,38.0,,38.0,21.0,,,29.0,5.0,5.0,,,,,,122.0,1.0,1.0,1.0,,1.0,,9.0,,,1.0,,,,,,21.0,,6.0,6.0,1.0,7.0,55.0,47.0,21.0,8.0,2.0,1.0,3.0,3.0,250.0,,,4.0,,,29.0,21.0,13.0,1.0,1.0,1.0,,113.0,113.0,2.0,30.0,18.0,28.9,,2.0,1.0,1.0,20.0,0.0,,,,51.0,7.0,2.0,8.0,1.0,1.0,1.0,3.0,,,4.0,27.0,179.0,8.0,4.0,158.0,46.0,38.0,6.0,3.0,11.0,8.0,1.0,44.0,7.0,127.0,,,14.0,3.0,54.0,1.0,274.0,,1.0,8.0,18.0,3.0,6.0,4.0,440.0,11.0,11.0,1.0,3.0,10.0,0.0
2367576,4.0,2023-09-02 15:00:00,54,Fulham,Away,195.0,18.0,2.0,2.0,,2.0,,79.0,1.0,,4.0,,2.0,22.0,272.0,1.0,,12.0,8.0,6.0,3.0,1.0,3.0,,,,,,,,,3.0,,,,,,6.0,7.0,,5.0,1.0,,62.0,53.0,2.0,2.0,1.0,2.0,9.0,1.0,12.0,,,5.0,3.0,2.0,1.0,11.0,,48.0,32.0,2.0,10.0,5.0,1.0,,30.0,12.0,11.0,,,1.0,1.0,,109.0,,,,,,,1.0,,,,,,,,1.0,5.0,,7.0,7.0,,4.0,78.0,47.0,31.0,4.0,,1.0,3.0,4.0,317.0,,,1.0,1.0,,25.0,37.0,16.0,1.0,1.0,1.0,,105.0,105.0,2.0,28.0,17.0,32.1,,,,,12.0,0.0,,,,87.0,,,,,,,1.0,1.0,,5.0,41.0,255.0,9.0,4.0,226.0,32.0,10.0,10.0,5.0,11.0,6.0,,64.0,7.0,121.0,,,4.0,3.0,40.0,1.0,336.0,1.0,0.0,6.0,11.0,,15.0,4.0,479.0,15.0,10.0,4.0,5.0,9.0,0.0
2367581,5.0,2023-09-16 15:00:00,54,Fulham,Home,275.0,23.0,2.0,7.0,5.0,3.0,1.0,465.0,4.0,,2.0,1.0,5.0,26.0,733.0,,,23.0,19.0,12.0,9.0,1.0,2.0,,1.0,,1.0,2.0,,,,8.0,,,,,1.0,4.0,7.0,,6.0,7.0,,128.0,53.0,1.0,1.0,1.0,,5.0,6.0,4.0,,,6.0,11.0,8.0,,12.0,,48.0,45.0,,10.0,3.0,,,80.0,6.0,13.0,,,7.0,1.0,2.0,211.0,,,,,,,6.0,,,1.0,,,,,,3.0,,7.0,7.0,,2.0,230.0,78.0,59.0,2.0,,4.0,6.0,2.0,788.0,,,1.0,2.0,,94.0,147.0,38.0,,,,,134.0,134.0,5.0,21.0,25.0,77.6,,,,,11.0,0.0,,,,240.0,2.0,,2.0,,1.0,,5.0,,1.0,5.0,170.0,715.0,5.0,10.0,294.0,49.0,10.0,12.0,4.0,24.0,20.0,,209.0,4.0,539.0,,,3.0,6.0,45.0,,809.0,,0.0,13.0,17.0,3.0,23.0,2.0,983.0,22.0,19.0,4.0,6.0,9.0,0.0
2367593,6.0,2023-09-23 15:00:00,54,Fulham,Away,188.0,24.0,,2.0,2.0,,,197.0,2.0,1.0,6.0,3.0,6.0,30.0,383.0,,1.0,13.0,14.0,17.0,8.0,,,,,,,1.0,,,,8.0,,,,,1.0,6.0,4.0,3.0,5.0,5.0,,79.0,74.0,,,,2.0,7.0,2.0,15.0,,,2.0,13.0,4.0,,9.0,1.0,57.0,60.0,2.0,18.0,9.0,,,50.0,15.0,10.0,,,1.0,1.0,1.0,150.0,,,,,,,2.0,,,,1.0,,,,,9.0,,9.0,9.0,,6.0,123.0,50.0,32.0,3.0,,2.0,6.0,5.0,446.0,,,2.0,3.0,,66.0,86.0,32.0,,,,,131.0,131.0,3.0,32.0,31.0,49.5,,,,,15.0,0.0,,,,110.0,1.0,2.0,3.0,,,,3.0,,,3.0,103.0,370.0,7.0,8.0,216.0,44.0,18.0,12.0,,18.0,18.0,,137.0,2.0,264.0,1.0,1.0,14.0,6.0,54.0,1.0,462.0,,0.0,10.0,27.0,1.0,15.0,2.0,651.0,15.0,16.0,7.0,2.0,11.0,0.0
2367601,7.0,2023-10-02 20:00:00,54,Fulham,Home,304.0,35.0,3.0,6.0,3.0,,,195.0,6.0,,11.0,2.0,10.0,38.0,493.0,,1.0,20.0,9.0,10.0,6.0,3.0,4.0,,,,,,,,,6.0,,,,,,9.0,8.0,3.0,9.0,1.0,,93.0,57.0,1.0,1.0,,,9.0,3.0,8.0,,,8.0,12.0,4.0,,18.0,1.0,54.0,39.0,,5.0,,1.0,,62.0,15.0,11.0,,,,,,169.0,,,,,,,6.0,,,,1.0,,,,1.0,,,13.0,13.0,2.0,11.0,151.0,62.0,48.0,1.0,,4.0,5.0,3.0,535.0,,,1.0,2.0,,54.0,98.0,37.0,,,,,128.0,128.0,4.0,28.0,14.0,55.7,,,,,21.0,0.0,,,,148.0,1.0,1.0,2.0,,,,4.0,,,4.0,113.0,467.0,9.0,9.0,324.0,58.0,5.0,9.0,6.0,22.0,16.0,,152.0,1.0,259.0,1.0,,9.0,10.0,62.0,2.0,561.0,2.0,0.0,10.0,16.0,1.0,21.0,1.0,748.0,27.0,15.0,3.0,8.0,7.0,0.0
2367613,8.0,2023-10-07 15:00:00,54,Fulham,Home,196.0,20.0,2.0,5.0,3.0,3.0,,223.0,5.0,,4.0,3.0,5.0,30.0,414.0,,1.0,22.0,18.0,21.0,11.0,1.0,2.0,2.0,,,,,1.0,,,18.0,,1.0,1.0,,,6.0,4.0,2.0,9.0,11.0,,86.0,66.0,2.0,2.0,1.0,,12.0,6.0,8.0,,,9.0,18.0,4.0,,15.0,,54.0,68.0,,13.0,9.0,,,63.0,8.0,10.0,2.0,,2.0,,,162.0,1.0,,1.0,1.0,,1.0,5.0,,,2.0,,,,,,9.0,2.0,12.0,12.0,,4.0,128.0,67.0,37.0,4.0,,4.0,9.0,6.0,497.0,,,1.0,,1.0,83.0,70.0,43.0,,,,,169.0,169.0,10.0,23.0,26.0,60.3,2.0,,,,31.0,0.0,,,,141.0,2.0,,2.0,,,2.0,8.0,1.0,,5.0,129.0,394.0,12.0,13.0,223.0,53.0,13.0,19.0,7.0,29.0,22.0,3.0,186.0,6.0,323.0,,,10.0,5.0,57.0,2.0,517.0,,0.0,20.0,24.0,2.0,29.0,1.0,749.0,36.0,13.0,14.0,9.0,15.0,0.0
2367627,9.0,2023-10-23 20:00:00,54,Fulham,Away,244.0,38.0,2.0,4.0,2.0,,,151.0,9.0,,3.0,1.0,4.0,41.0,391.0,,2.0,21.0,5.0,4.0,7.0,2.0,2.0,,,,,,,,,8.0,,,,,,11.0,10.0,5.0,7.0,3.0,,73.0,61.0,1.0,1.0,,1.0,18.0,3.0,9.0,,,5.0,8.0,6.0,,9.0,,47.0,45.0,1.0,12.0,6.0,1.0,1.0,46.0,14.0,10.0,,,2.0,,,151.0,,,,,,,10.0,,,,,,,,,6.0,,12.0,12.0,3.0,3.0,121.0,56.0,32.0,3.0,,3.0,6.0,3.0,436.0,,,6.0,,,59.0,49.0,22.0,,,,,127.0,127.0,9.0,25.0,23.0,44.4,,,,,31.0,0.0,,,,118.0,1.0,2.0,3.0,,1.0,,4.0,,,5.0,76.0,367.0,18.0,9.0,274.0,61.0,12.0,22.0,5.0,19.0,14.0,,100.0,2.0,208.0,,,4.0,5.0,62.0,6.0,463.0,,0.0,10.0,19.0,3.0,22.0,0.0,663.0,14.0,14.0,12.0,5.0,11.0,0.0
2367631,10.0,2023-10-29 14:00:00,54,Fulham,Away,158.0,20.0,,1.0,1.0,1.0,,104.0,6.0,1.0,1.0,,2.0,21.0,261.0,,,13.0,13.0,10.0,6.0,,2.0,,,,,,,,,8.0,,,,,,5.0,10.0,8.0,5.0,5.0,,51.0,55.0,,,,2.0,3.0,1.0,6.0,1.0,,3.0,4.0,3.0,,13.0,3.0,48.0,57.0,2.0,14.0,8.0,,1.0,43.0,8.0,11.0,,,3.0,1.0,,112.0,1.0,,1.0,1.0,,,8.0,,,1.0,,,,,,8.0,,19.0,19.0,3.0,1.0,76.0,50.0,24.0,7.0,1.0,2.0,5.0,5.0,310.0,,,4.0,1.0,,48.0,32.0,16.0,,,,,116.0,116.0,5.0,22.0,24.0,28.9,,,1.0,,12.0,0.0,,,,92.0,4.0,2.0,5.0,,,,4.0,,,5.0,51.0,244.0,3.0,7.0,178.0,43.0,14.0,17.0,3.0,11.0,8.0,,82.0,4.0,164.0,,1.0,6.0,2.0,44.0,1.0,331.0,1.0,0.0,10.0,27.0,,14.0,3.0,512.0,20.0,12.0,9.0,3.0,17.0,0.0
