matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdRight,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,rightsidePass,savedIbox,savedObox,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
321660,1,2010-08-14 15:00:00,54,Fulham,Away,114.0,12.0,2.0,5.0,3.0,1.0,,174.0,1.0,,3.0,9.0,27.0,13.0,283.0,,1.0,27.0,19.0,13.0,10.0,1.0,,,,,,,,,11.0,,,,,,,3.0,8.0,81.0,55.0,,,,3.0,4.0,5.0,,8.0,11.0,10.0,,19.0,3.0,64.0,46.0,3.0,32.0,20.0,,,100.0,14.0,11.0,,1.0,3.0,2.0,,195.0,,,,,,,11.0,,4.0,,34.0,,8.0,6.0,,4.0,53.0,101.0,40.0,4.0,,6.0,5.0,4.0,,,,52.0,53.0,29.0,,,,,216.0,196.0,1.0,23.0,17.0,53.5,,2.0,0.0,65.0,3.0,2.0,4.0,,7.0,,1.0,86.0,11.0,141.0,26.0,52.0,11.0,7.0,30.0,23.0,,151.0,6.0,283.0,5.0,,45.0,28.0,51.0,3.0,394.0,,0.0,15.0,18.0,8.0,34.0,3.0,636.0,12.0,4.0,8.0,15.0,0.0
321670,2,2010-08-22 16:00:00,54,Fulham,Home,135.0,17.0,3.0,17.0,14.0,3.0,,213.0,7.0,,8.0,4.0,22.0,26.0,331.0,1.0,2.0,6.0,12.0,14.0,14.0,1.0,,,,,1.0,1.0,,,15.0,,,,,,2.0,17.0,6.0,57.0,65.0,3.0,3.0,1.0,2.0,3.0,3.0,,5.0,9.0,21.0,1.0,4.0,3.0,28.0,36.0,2.0,19.0,8.0,,,71.0,10.0,6.0,,,2.0,,1.0,153.0,2.0,1.0,2.0,1.0,1.0,,13.0,1.0,,3.0,20.0,,22.0,18.0,4.0,8.0,103.0,62.0,31.0,11.0,1.0,8.0,9.0,8.0,5.0,1.0,1.0,42.0,55.0,40.0,1.0,1.0,1.0,,145.0,126.0,3.0,30.0,20.0,42.8,,,0.0,97.0,6.0,1.0,1.0,,9.0,,3.0,115.0,17.0,149.0,32.0,38.0,4.0,4.0,34.0,30.0,,163.0,8.0,295.0,,,14.0,25.0,42.0,,410.0,1.0,0.0,20.0,14.0,5.0,8.0,2.0,629.0,15.0,2.0,5.0,11.0,0.0
321679,3,2010-08-28 15:00:00,54,Fulham,Away,128.0,13.0,1.0,3.0,2.0,4.0,1.0,188.0,6.0,,3.0,12.0,23.0,19.0,313.0,1.0,1.0,17.0,7.0,19.0,5.0,3.0,1.0,,,,1.0,1.0,,,7.0,,,,,,1.0,10.0,8.0,78.0,53.0,3.0,1.0,2.0,4.0,4.0,7.0,,5.0,8.0,2.0,,18.0,2.0,58.0,53.0,4.0,33.0,20.0,,1.0,80.0,16.0,12.0,1.0,,3.0,2.0,1.0,178.0,2.0,,2.0,2.0,,1.0,17.0,2.0,,,29.0,,10.0,9.0,,3.0,82.0,102.0,56.0,4.0,1.0,4.0,6.0,5.0,3.0,,1.0,42.0,44.0,16.0,,,,,182.0,165.0,2.0,20.0,23.0,46.0,,,0.0,64.0,2.0,2.0,1.0,1.0,4.0,1.0,3.0,90.0,10.0,146.0,20.0,50.0,15.0,3.0,15.0,12.0,2.0,141.0,10.0,271.0,,,39.0,26.0,44.0,7.0,402.0,1.0,0.0,13.0,17.0,1.0,23.0,0.0,629.0,12.0,5.0,5.0,11.0,0.0
321690,4,2010-09-11 15:00:00,54,Fulham,Home,211.0,12.0,1.0,4.0,3.0,4.0,,257.0,,,8.0,8.0,31.0,23.0,464.0,,1.0,21.0,17.0,12.0,11.0,1.0,,1.0,2.0,,3.0,,,,10.0,,,,,,2.0,7.0,,85.0,47.0,2.0,3.0,,,6.0,2.0,,6.0,11.0,2.0,,12.0,,46.0,53.0,,25.0,10.0,1.0,,86.0,9.0,19.0,,,4.0,,3.0,226.0,1.0,,1.0,1.0,,,4.0,1.0,2.0,,20.0,,12.0,9.0,1.0,8.0,113.0,110.0,65.0,6.0,2.0,5.0,8.0,3.0,3.0,2.0,,36.0,60.0,25.0,,,,,189.0,171.0,1.0,21.0,15.0,61.3,,3.0,0.0,146.0,1.0,,,,8.0,,3.0,99.0,13.0,228.0,31.0,43.0,11.0,5.0,18.0,13.0,,155.0,6.0,360.0,2.0,,31.0,35.0,54.0,6.0,570.0,1.0,0.0,17.0,17.0,3.0,23.0,3.0,780.0,19.0,5.0,6.0,12.0,0.0
321698,5,2010-09-18 15:00:00,54,Fulham,Away,152.0,18.0,,6.0,6.0,3.0,,233.0,4.0,,5.0,8.0,13.0,26.0,379.0,,,27.0,23.0,21.0,5.0,,,,3.0,,3.0,,,,6.0,,,,,,,4.0,7.0,64.0,57.0,,,,4.0,2.0,4.0,1.0,3.0,12.0,6.0,,17.0,,61.0,59.0,4.0,24.0,14.0,1.0,1.0,81.0,10.0,17.0,1.0,,5.0,,3.0,204.0,1.0,,1.0,1.0,,,10.0,1.0,2.0,,31.0,,12.0,10.0,1.0,5.0,110.0,105.0,54.0,3.0,,3.0,3.0,2.0,4.0,1.0,,73.0,71.0,19.0,,,,,216.0,190.0,1.0,25.0,22.0,61.1,,3.0,0.0,116.0,1.0,2.0,,,5.0,,2.0,124.0,6.0,180.0,35.0,50.0,12.0,1.0,19.0,18.0,,176.0,10.0,333.0,4.0,,32.0,14.0,54.0,1.0,494.0,,0.0,9.0,16.0,2.0,31.0,1.0,727.0,26.0,5.0,3.0,12.0,0.0
321711,6,2010-09-25 15:00:00,54,Fulham,Home,135.0,12.0,1.0,4.0,3.0,5.0,,176.0,3.0,1.0,12.0,5.0,16.0,17.0,307.0,,,18.0,24.0,19.0,8.0,1.0,,,,,,,,,10.0,,,,,,,5.0,11.0,74.0,62.0,,,,,1.0,13.0,,4.0,5.0,8.0,,14.0,4.0,74.0,56.0,,20.0,12.0,,,86.0,14.0,12.0,,,2.0,1.0,,178.0,,,,,,,10.0,,3.0,,27.0,,24.0,17.0,1.0,14.0,77.0,87.0,37.0,5.0,,6.0,3.0,2.0,4.0,1.0,,33.0,64.0,21.0,,,,,189.0,165.0,1.0,20.0,19.0,45.8,,,0.0,77.0,2.0,3.0,,,8.0,,3.0,86.0,9.0,153.0,26.0,44.0,11.0,3.0,17.0,14.0,,143.0,12.0,270.0,3.0,1.0,29.0,20.0,50.0,3.0,406.0,,0.0,11.0,23.0,2.0,26.0,2.0,637.0,9.0,2.0,4.0,15.0,0.0
321725,7,2010-10-02 15:00:00,54,Fulham,Away,175.0,7.0,,6.0,6.0,3.0,1.0,212.0,4.0,1.0,5.0,6.0,11.0,24.0,381.0,,,18.0,18.0,16.0,15.0,1.0,2.0,,,,,,,,15.0,,,,,,3.0,10.0,2.0,82.0,72.0,1.0,1.0,1.0,4.0,2.0,12.0,,3.0,10.0,10.0,,11.0,,55.0,58.0,4.0,37.0,24.0,,,91.0,8.0,20.0,1.0,,3.0,5.0,,187.0,,,,,,,8.0,1.0,4.0,,35.0,,14.0,12.0,2.0,5.0,119.0,100.0,51.0,2.0,,10.0,6.0,5.0,1.0,2.0,,65.0,72.0,27.0,,,,,188.0,173.0,,25.0,34.0,54.4,,2.0,0.0,109.0,2.0,,1.0,2.0,11.0,,3.0,90.0,16.0,196.0,28.0,52.0,11.0,2.0,27.0,25.0,2.0,144.0,13.0,328.0,4.0,1.0,29.0,13.0,60.0,,497.0,,0.0,18.0,17.0,,19.0,1.0,718.0,12.0,5.0,3.0,14.0,0.0
321733,8,2010-10-16 15:00:00,54,Fulham,Home,162.0,18.0,3.0,8.0,5.0,8.0,,203.0,7.0,1.0,4.0,11.0,21.0,20.0,357.0,1.0,,15.0,18.0,19.0,10.0,4.0,,,,,1.0,,,,9.0,,,,,,4.0,10.0,8.0,67.0,54.0,3.0,2.0,1.0,7.0,4.0,10.0,,4.0,13.0,3.0,,17.0,1.0,60.0,64.0,7.0,14.0,5.0,,,74.0,9.0,11.0,1.0,,3.0,1.0,1.0,196.0,1.0,,1.0,1.0,,,16.0,1.0,1.0,2.0,12.0,,22.0,15.0,3.0,4.0,91.0,106.0,60.0,11.0,,8.0,7.0,5.0,4.0,2.0,,33.0,44.0,23.0,,,,,181.0,163.0,1.0,22.0,23.0,49.4,,,0.0,100.0,3.0,,,,9.0,1.0,3.0,71.0,15.0,184.0,31.0,32.0,10.0,3.0,20.0,17.0,,115.0,20.0,290.0,1.0,1.0,33.0,21.0,52.0,4.0,454.0,1.0,0.0,18.0,32.0,5.0,17.0,1.0,690.0,12.0,2.0,4.0,21.0,0.0
321744,9,2010-10-23 15:00:00,54,Fulham,Away,165.0,11.0,1.0,2.0,1.0,3.0,,176.0,9.0,,9.0,5.0,16.0,21.0,339.0,,,24.0,8.0,2.0,5.0,,,,,,,,,,8.0,,,,,,,10.0,6.0,62.0,56.0,,,,4.0,3.0,9.0,1.0,5.0,9.0,9.0,,15.0,1.0,51.0,27.0,4.0,14.0,7.0,,,77.0,11.0,4.0,,,1.0,1.0,,178.0,,,,,,,12.0,,4.0,3.0,13.0,1.0,13.0,13.0,,9.0,95.0,86.0,51.0,7.0,,3.0,2.0,1.0,2.0,,,55.0,54.0,22.0,,,,,165.0,156.0,5.0,21.0,17.0,50.1,,2.0,0.0,98.0,2.0,2.0,1.0,,5.0,1.0,2.0,72.0,5.0,181.0,30.0,23.0,16.0,4.0,23.0,19.0,,130.0,10.0,275.0,4.0,,20.0,18.0,41.0,1.0,433.0,,0.0,9.0,16.0,5.0,26.0,0.0,629.0,9.0,5.0,5.0,11.0,0.0
321753,10,2010-10-30 15:00:00,54,Fulham,Home,143.0,25.0,,6.0,6.0,3.0,1.0,309.0,3.0,,3.0,11.0,18.0,28.0,446.0,,,24.0,20.0,16.0,6.0,1.0,,,1.0,,2.0,,,,11.0,,,,,,1.0,3.0,6.0,96.0,78.0,2.0,2.0,1.0,1.0,6.0,14.0,,7.0,13.0,7.0,,16.0,1.0,69.0,71.0,1.0,9.0,7.0,,,127.0,8.0,12.0,2.0,,6.0,1.0,2.0,218.0,2.0,,2.0,2.0,,,5.0,2.0,,,13.0,1.0,19.0,17.0,,3.0,126.0,110.0,57.0,1.0,,3.0,6.0,5.0,,,,61.0,99.0,23.0,,,,,206.0,196.0,1.0,26.0,41.0,59.1,,,0.0,120.0,1.0,2.0,,,5.0,,2.0,130.0,9.0,152.0,54.0,19.0,21.0,7.0,28.0,21.0,,207.0,14.0,436.0,,,28.0,19.0,63.0,5.0,560.0,,0.0,16.0,33.0,2.0,30.0,0.0,799.0,20.0,10.0,7.0,24.0,0.0
