matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgLeft,attLgRight,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
987594,1,2018-08-11 15:00:00,54,Fulham,Home,292.0,16.0,2.0,8.0,6.0,,,307.0,5.0,1.0,9.0,2.0,13.0,40.0,591.0,,1.0,14.0,20.0,10.0,9.0,1.0,,,,,1.0,,,,,,,11.0,,,,,,2.0,4.0,8.0,4.0,6.0,9.0,83.0,67.0,,,,1.0,9.0,5.0,13.0,,1.0,5.0,11.0,16.0,15.0,3.0,63.0,55.0,1.0,22.0,7.0,1.0,,78.0,9.0,11.0,,,1.0,,1.0,180.0,,,,,,5.0,,,,7.0,,15.0,15.0,1.0,9.0,196.0,79.0,62.0,5.0,,3.0,7.0,6.0,652.0,2.0,,,99.0,94.0,45.0,,,,,,144.0,144.0,3.0,28.0,27.0,66.3,,,,,9.0,0.0,213.0,5.0,3.0,8.0,,,,4.0,,3.0,126.0,572.0,3.0,10.0,312.0,36.0,22.0,15.0,5.0,32.0,27.0,,173.0,1.0,392.0,,2.0,14.0,13.0,70.0,2.0,672.0,,0.0,15.0,25.0,3.0,16.0,1.0,893.0,19.0,14.0,9.0,5.0,19.0,0.0
987610,2,2018-08-18 15:00:00,54,Fulham,Away,222.0,25.0,,2.0,2.0,3.0,,136.0,6.0,1.0,5.0,3.0,8.0,33.0,356.0,,1.0,11.0,14.0,7.0,8.0,,,,,,,,,,,,1.0,10.0,,,,1.0,,,2.0,18.0,7.0,5.0,5.0,76.0,53.0,3.0,2.0,1.0,3.0,9.0,2.0,6.0,,,2.0,3.0,3.0,11.0,2.0,37.0,40.0,3.0,39.0,13.0,,3.0,37.0,5.0,9.0,1.0,1.0,,,,131.0,1.0,1.0,1.0,,,9.0,1.0,1.0,,13.0,1.0,10.0,10.0,2.0,5.0,112.0,55.0,33.0,6.0,,5.0,4.0,3.0,406.0,4.0,3.0,,37.0,36.0,14.0,,,,,,119.0,119.0,2.0,25.0,15.0,40.4,1.0,,,,9.0,0.0,116.0,7.0,1.0,8.0,,,,5.0,1.0,3.0,49.0,334.0,6.0,9.0,252.0,42.0,39.0,12.0,1.0,7.0,6.0,,78.0,7.0,190.0,2.0,1.0,12.0,9.0,62.0,3.0,435.0,,0.0,10.0,13.0,2.0,12.0,0.0,615.0,14.0,15.0,11.0,3.0,8.0,0.0
987614,3,2018-08-26 16:00:00,54,Fulham,Home,271.0,21.0,,5.0,5.0,4.0,,222.0,3.0,,3.0,4.0,14.0,37.0,488.0,,,15.0,17.0,14.0,19.0,,,,,,,,,,,,,22.0,,,1.0,,,,5.0,9.0,3.0,8.0,17.0,88.0,64.0,2.0,,2.0,3.0,10.0,3.0,7.0,,1.0,6.0,6.0,8.0,12.0,,55.0,34.0,3.0,25.0,15.0,,,62.0,11.0,8.0,3.0,,1.0,,,191.0,3.0,2.0,2.0,1.0,,9.0,3.0,,1.0,15.0,2.0,4.0,4.0,,3.0,156.0,94.0,57.0,4.0,1.0,10.0,12.0,12.0,541.0,5.0,1.0,,65.0,61.0,32.0,,,,,,129.0,129.0,3.0,33.0,22.0,63.8,1.0,,,1.0,10.0,0.0,137.0,,,,,,,10.0,,3.0,113.0,464.0,3.0,22.0,294.0,45.0,25.0,13.0,2.0,16.0,14.0,,152.0,5.0,294.0,,,14.0,14.0,72.0,1.0,572.0,1.0,0.0,25.0,9.0,,18.0,2.0,735.0,25.0,8.0,4.0,6.0,8.0,0.0
987622,4,2018-09-01 15:00:00,54,Fulham,Away,229.0,15.0,,1.0,1.0,1.0,,238.0,5.0,,4.0,4.0,8.0,33.0,466.0,,1.0,18.0,15.0,15.0,5.0,,,,1.0,,1.0,,,,,,1.0,9.0,,,,,,,5.0,12.0,3.0,7.0,3.0,82.0,58.0,1.0,1.0,2.0,3.0,18.0,2.0,7.0,,,1.0,7.0,2.0,9.0,3.0,50.0,52.0,3.0,26.0,14.0,1.0,,50.0,14.0,12.0,2.0,,,,1.0,157.0,1.0,1.0,1.0,,,9.0,2.0,,3.0,14.0,,9.0,9.0,1.0,4.0,171.0,71.0,47.0,7.0,,2.0,4.0,5.0,523.0,2.0,2.0,,63.0,85.0,15.0,1.0,2.0,2.0,1.0,,134.0,134.0,4.0,28.0,19.0,58.5,,2.0,,1.0,18.0,0.0,141.0,3.0,,3.0,,,,3.0,,3.0,87.0,443.0,8.0,6.0,264.0,28.0,26.0,19.0,1.0,10.0,9.0,,113.0,3.0,297.0,,,13.0,8.0,57.0,4.0,551.0,,0.0,10.0,14.0,1.0,21.0,3.0,739.0,14.0,14.0,11.0,1.0,12.0,0.0
987636,5,2018-09-15 15:00:00,54,Fulham,Away,186.0,17.0,,,,3.0,,136.0,3.0,,4.0,4.0,2.0,30.0,322.0,1.0,,13.0,10.0,8.0,7.0,,,,,,,,,,,,,8.0,,,,,,,5.0,18.0,10.0,2.0,7.0,74.0,53.0,,,,,22.0,1.0,13.0,,,4.0,6.0,2.0,9.0,5.0,46.0,35.0,,22.0,11.0,1.0,,38.0,7.0,6.0,,,,,,143.0,,,,,,11.0,,,,11.0,,16.0,16.0,4.0,4.0,97.0,60.0,30.0,10.0,,4.0,3.0,3.0,372.0,10.0,,,43.0,56.0,17.0,,,,,,122.0,122.0,3.0,31.0,14.0,35.3,,,,1.0,22.0,0.0,86.0,5.0,1.0,6.0,,,,5.0,,2.0,59.0,304.0,13.0,7.0,216.0,31.0,22.0,15.0,3.0,11.0,8.0,,80.0,6.0,195.0,,,18.0,4.0,65.0,2.0,400.0,1.0,0.0,9.0,14.0,,15.0,0.0,576.0,10.0,13.0,8.0,4.0,6.0,0.0
987647,6,2018-09-22 12:30:00,54,Fulham,Home,222.0,22.0,3.0,6.0,3.0,,,183.0,7.0,,7.0,6.0,5.0,35.0,399.0,,1.0,14.0,17.0,28.0,10.0,2.0,,2.0,,,,,,,,,,11.0,,,1.0,,,,5.0,8.0,3.0,9.0,6.0,86.0,79.0,3.0,2.0,1.0,2.0,15.0,6.0,4.0,,,8.0,7.0,10.0,8.0,3.0,42.0,55.0,2.0,35.0,17.0,,1.0,47.0,11.0,9.0,1.0,,1.0,1.0,,195.0,1.0,1.0,1.0,,,9.0,1.0,,,17.0,1.0,14.0,14.0,4.0,7.0,127.0,84.0,50.0,8.0,,4.0,9.0,3.0,496.0,1.0,2.0,,51.0,61.0,34.0,,,,,,183.0,183.0,2.0,35.0,32.0,60.7,1.0,,1.0,1.0,15.0,0.0,116.0,4.0,1.0,5.0,,,2.0,6.0,,3.0,71.0,377.0,5.0,13.0,278.0,40.0,35.0,7.0,8.0,26.0,18.0,2.0,105.0,7.0,272.0,,,23.0,6.0,71.0,5.0,524.0,1.0,0.0,15.0,14.0,1.0,18.0,2.0,724.0,20.0,16.0,4.0,8.0,9.0,0.0
987656,7,2018-09-29 15:00:00,54,Fulham,Away,150.0,13.0,,1.0,1.0,1.0,,164.0,3.0,1.0,2.0,3.0,3.0,18.0,313.0,,,21.0,16.0,20.0,6.0,,,,,,,,,,,,,6.0,,,1.0,,,,8.0,13.0,6.0,3.0,3.0,60.0,47.0,2.0,2.0,,4.0,14.0,,7.0,,,1.0,3.0,4.0,14.0,2.0,62.0,58.0,4.0,33.0,18.0,,,54.0,13.0,13.0,,,,,,138.0,,,,,,6.0,,,,18.0,1.0,14.0,14.0,1.0,2.0,94.0,65.0,39.0,12.0,,6.0,,,362.0,6.0,3.0,,53.0,61.0,16.0,,1.0,1.0,,,135.0,135.0,1.0,17.0,25.0,48.8,1.0,,,1.0,14.0,0.0,99.0,1.0,2.0,3.0,,1.0,,6.0,,3.0,69.0,290.0,7.0,7.0,167.0,27.0,33.0,19.0,1.0,8.0,7.0,,108.0,5.0,232.0,,1.0,15.0,4.0,44.0,,391.0,,0.0,6.0,18.0,,28.0,3.0,597.0,12.0,14.0,7.0,1.0,10.0,0.0
987665,8,2018-10-07 12:00:00,54,Fulham,Home,157.0,17.0,1.0,4.0,3.0,1.0,,230.0,5.0,2.0,7.0,12.0,9.0,30.0,383.0,,2.0,10.0,14.0,20.0,13.0,2.0,,,,,,,,,,,1.0,16.0,,,,,,1.0,6.0,6.0,3.0,7.0,14.0,76.0,62.0,2.0,1.0,1.0,1.0,19.0,9.0,8.0,,,4.0,11.0,4.0,16.0,2.0,54.0,51.0,1.0,21.0,4.0,,,68.0,11.0,12.0,1.0,,2.0,,,163.0,1.0,1.0,1.0,,,10.0,1.0,,,4.0,,10.0,10.0,2.0,7.0,119.0,89.0,59.0,2.0,,7.0,9.0,4.0,441.0,,3.0,,54.0,69.0,33.0,,,,,,147.0,147.0,3.0,22.0,29.0,48.9,,,,1.0,19.0,0.0,115.0,2.0,,2.0,,,,8.0,,3.0,90.0,357.0,8.0,16.0,170.0,41.0,21.0,8.0,2.0,17.0,15.0,,140.0,6.0,320.0,,2.0,22.0,11.0,63.0,4.0,473.0,,0.0,21.0,16.0,3.0,12.0,2.0,667.0,16.0,14.0,3.0,4.0,8.0,0.0
987674,9,2018-10-20 15:00:00,54,Fulham,Away,189.0,15.0,2.0,4.0,2.0,2.0,,183.0,8.0,2.0,5.0,11.0,6.0,34.0,368.0,,,13.0,26.0,24.0,3.0,2.0,,,1.0,,2.0,,,,,,1.0,5.0,,,,,,,5.0,13.0,9.0,3.0,6.0,63.0,60.0,2.0,2.0,1.0,1.0,15.0,2.0,9.0,,,4.0,5.0,1.0,12.0,1.0,61.0,57.0,1.0,32.0,14.0,,1.0,49.0,16.0,14.0,2.0,,2.0,,2.0,178.0,2.0,1.0,2.0,,,13.0,2.0,1.0,1.0,14.0,,6.0,6.0,,5.0,118.0,79.0,45.0,4.0,,2.0,5.0,4.0,446.0,7.0,,,48.0,47.0,20.0,,,,,,152.0,152.0,5.0,25.0,23.0,59.5,,3.0,,2.0,15.0,0.0,120.0,1.0,,1.0,,1.0,,3.0,,3.0,77.0,342.0,7.0,7.0,223.0,32.0,32.0,4.0,3.0,9.0,6.0,,111.0,7.0,265.0,1.0,2.0,29.0,7.0,73.0,,479.0,,0.0,9.0,16.0,,17.0,3.0,663.0,11.0,20.0,4.0,4.0,7.0,0.0
987685,10,2018-10-27 15:00:00,54,Fulham,Home,203.0,5.0,3.0,4.0,1.0,,,254.0,6.0,1.0,4.0,6.0,4.0,22.0,453.0,,,13.0,9.0,27.0,6.0,4.0,,,,,,,,,,,,7.0,,,,,,,11.0,8.0,4.0,7.0,4.0,73.0,56.0,,,,4.0,17.0,1.0,7.0,,,5.0,7.0,5.0,5.0,2.0,37.0,45.0,4.0,34.0,11.0,,,65.0,16.0,3.0,,,,,,162.0,,,,,,11.0,,,,11.0,,13.0,13.0,3.0,5.0,159.0,73.0,36.0,5.0,,8.0,2.0,1.0,527.0,1.0,1.0,,44.0,80.0,26.0,1.0,1.0,1.0,,,126.0,126.0,1.0,26.0,23.0,52.0,,,,2.0,17.0,0.0,153.0,,2.0,2.0,1.0,,,9.0,1.0,2.0,86.0,439.0,6.0,10.0,223.0,29.0,34.0,7.0,4.0,16.0,12.0,,132.0,5.0,340.0,,1.0,16.0,4.0,56.0,1.0,547.0,1.0,1.0,11.0,10.0,1.0,15.0,2.0,704.0,11.0,8.0,5.0,5.0,8.0,0.0
