matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attLgCentre,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
442099,11.0,2012-11-10 15:00:00,54,Fulham,Away,220.0,16.0,2.0,4.0,2.0,1.0,,162.0,5.0,,7.0,6.0,4.0,36.0,378.0,,,14.0,16.0,15.0,5.0,1.0,2.0,4.0,,,,,,,8.0,1.0,,,,,8.0,6.0,7.0,4.0,,79.0,58.0,1.0,,2.0,11.0,2.0,10.0,,1.0,6.0,6.0,4.0,,16.0,2.0,59.0,44.0,11.0,20.0,12.0,,1.0,42.0,12.0,11.0,2.0,2.0,1.0,,147.0,2.0,1.0,2.0,1.0,1.0,,8.0,,,1.0,2.0,,,,2.0,18.0,,18.0,9.0,2.0,,8.0,106.0,78.0,47.0,8.0,,3.0,5.0,5.0,426.0,,,2.0,,,39.0,55.0,22.0,,1.0,1.0,1.0,1.0,118.0,118.0,2.0,20.0,24.0,43.6,,2.0,1.0,,0.0,,,,115.0,2.0,1.0,3.0,,4.0,4.0,,1.0,2.0,61.0,363.0,8.0,235.0,27.0,37.0,11.0,5.0,16.0,11.0,4.0,86.0,7.0,228.0,2.0,,26.0,4.0,65.0,5.0,447.0,1.0,0.0,11.0,14.0,,15.0,2.0,645.0,17.0,7.0,,4.0,6.0,12.0,0.0
442110,12.0,2012-11-18 16:00:00,54,Fulham,Home,169.0,17.0,,4.0,4.0,2.0,,227.0,3.0,,8.0,12.0,6.0,37.0,392.0,,,13.0,20.0,22.0,14.0,1.0,,,,,,3.0,,2.0,14.0,,,,,2.0,4.0,7.0,,,,69.0,71.0,3.0,2.0,1.0,2.0,7.0,6.0,,,4.0,7.0,7.0,,4.0,1.0,47.0,57.0,2.0,14.0,12.0,,1.0,59.0,10.0,13.0,1.0,3.0,,3.0,158.0,1.0,,1.0,1.0,,,4.0,,,1.0,2.0,,,,1.0,19.0,1.0,24.0,21.0,3.0,,8.0,122.0,72.0,40.0,4.0,,5.0,11.0,7.0,,,,2.0,1.0,,68.0,46.0,33.0,,,,,,146.0,128.0,2.0,23.0,34.0,49.3,,,,,0.0,,,,131.0,1.0,2.0,,,,6.0,,,3.0,105.0,,16.0,185.0,42.0,32.0,15.0,4.0,18.0,14.0,,152.0,3.0,313.0,2.0,,25.0,6.0,57.0,4.0,480.0,,1.0,20.0,15.0,2.0,15.0,1.0,661.0,,6.0,,7.0,4.0,12.0,0.0
442124,13.0,2012-11-24 15:00:00,54,Fulham,Away,153.0,13.0,,5.0,5.0,1.0,,250.0,5.0,1.0,7.0,4.0,7.0,27.0,398.0,,,24.0,25.0,15.0,9.0,,,,,,,,,,8.0,,,,,1.0,9.0,7.0,,,,79.0,48.0,1.0,1.0,,2.0,3.0,6.0,,,2.0,16.0,2.0,,11.0,,61.0,54.0,2.0,21.0,8.0,,,63.0,11.0,16.0,,4.0,2.0,,167.0,,,,,,,13.0,,,,1.0,,,,,19.0,,18.0,11.0,2.0,,8.0,133.0,81.0,48.0,7.0,,4.0,5.0,2.0,,,,3.0,2.0,,56.0,89.0,13.0,,,,,,179.0,153.0,2.0,21.0,17.0,59.7,,,,2.0,0.0,,,,110.0,1.0,,,,,4.0,,,2.0,113.0,,9.0,179.0,29.0,47.0,14.0,2.0,22.0,20.0,,153.0,1.0,332.0,2.0,1.0,21.0,8.0,43.0,2.0,489.0,,0.0,9.0,17.0,1.0,31.0,1.0,710.0,,6.0,,6.0,2.0,14.0,0.0
442137,14.0,2012-11-28 19:45:00,54,Fulham,Away,184.0,12.0,,1.0,1.0,3.0,,145.0,3.0,,4.0,11.0,5.0,29.0,328.0,,,14.0,15.0,13.0,6.0,1.0,,,,,1.0,2.0,,1.0,7.0,,,,,,4.0,13.0,,,,81.0,53.0,1.0,1.0,,4.0,3.0,2.0,1.0,1.0,2.0,4.0,3.0,,7.0,1.0,42.0,56.0,4.0,34.0,10.0,,1.0,43.0,12.0,10.0,,1.0,,2.0,128.0,,,,,,,6.0,,,,,,,,1.0,20.0,,29.0,14.0,6.0,,5.0,96.0,72.0,40.0,10.0,,2.0,5.0,4.0,,,,11.0,1.0,,56.0,49.0,5.0,,,,,,135.0,114.0,,29.0,15.0,40.3,,,,1.0,0.0,,,,100.0,2.0,1.0,,,,2.0,,,3.0,61.0,,7.0,211.0,28.0,55.0,14.0,1.0,8.0,7.0,,82.0,9.0,202.0,,,29.0,5.0,48.0,2.0,405.0,,0.0,9.0,26.0,,17.0,0.0,623.0,,6.0,,7.0,2.0,24.0,0.0
442140,15.0,2012-12-01 15:00:00,54,Fulham,Home,204.0,19.0,1.0,6.0,5.0,2.0,,175.0,6.0,1.0,2.0,16.0,3.0,37.0,373.0,,,19.0,15.0,24.0,5.0,1.0,,,,1.0,,1.0,,,6.0,,,,,,6.0,4.0,,,,83.0,69.0,1.0,1.0,,5.0,,5.0,,,2.0,16.0,4.0,,14.0,,51.0,57.0,5.0,8.0,2.0,1.0,,85.0,10.0,9.0,,3.0,1.0,1.0,165.0,,,,,,,7.0,,,,,,,,1.0,6.0,,16.0,14.0,1.0,,2.0,107.0,99.0,57.0,1.0,,4.0,2.0,2.0,,,,,2.0,,50.0,54.0,15.0,,,,,,153.0,147.0,3.0,24.0,39.0,45.8,,,,,0.0,,,,104.0,2.0,1.0,,1.0,,6.0,,,3.0,76.0,,6.0,218.0,36.0,14.0,12.0,2.0,23.0,21.0,,121.0,10.0,264.0,,1.0,37.0,3.0,62.0,2.0,459.0,,0.0,8.0,20.0,1.0,21.0,0.0,641.0,,15.0,,4.0,2.0,13.0,0.0
442152,16.0,2012-12-10 20:00:00,54,Fulham,Home,125.0,21.0,1.0,5.0,4.0,2.0,1.0,178.0,6.0,2.0,5.0,12.0,4.0,33.0,298.0,,,17.0,24.0,23.0,11.0,1.0,,,,,,,,1.0,14.0,,,1.0,,1.0,8.0,12.0,,,,64.0,74.0,2.0,2.0,1.0,2.0,,10.0,2.0,,5.0,11.0,4.0,,8.0,4.0,66.0,63.0,2.0,19.0,11.0,,,62.0,14.0,11.0,1.0,2.0,1.0,,176.0,2.0,1.0,2.0,1.0,1.0,,11.0,,,1.0,4.0,,,,1.0,28.0,1.0,18.0,9.0,,,5.0,79.0,92.0,49.0,4.0,1.0,9.0,5.0,7.0,,,,7.0,2.0,,35.0,78.0,16.0,,,,,,187.0,163.0,2.0,28.0,28.0,45.3,1.0,,,3.0,0.0,,,,82.0,2.0,5.0,,,,9.0,,,2.0,89.0,,14.0,143.0,38.0,43.0,15.0,5.0,21.0,16.0,2.0,134.0,8.0,279.0,4.0,2.0,31.0,4.0,59.0,,401.0,,0.0,16.0,25.0,,21.0,0.0,635.0,,14.0,,4.0,5.0,18.0,0.0
442164,17.0,2012-12-15 15:00:00,54,Fulham,Away,217.0,12.0,1.0,2.0,1.0,3.0,,176.0,7.0,1.0,6.0,6.0,11.0,35.0,391.0,,,31.0,18.0,17.0,1.0,1.0,,,,,1.0,1.0,,,2.0,,,,,1.0,9.0,11.0,,,,77.0,57.0,,,,2.0,1.0,8.0,,2.0,3.0,7.0,6.0,,14.0,2.0,57.0,37.0,2.0,11.0,10.0,,1.0,62.0,15.0,10.0,1.0,2.0,1.0,1.0,175.0,1.0,,,1.0,,,13.0,,,1.0,3.0,,,,1.0,16.0,,15.0,13.0,1.0,,6.0,118.0,110.0,53.0,3.0,,1.0,2.0,2.0,,,,3.0,,,62.0,58.0,18.0,,,,,,166.0,154.0,,26.0,18.0,55.1,,,,1.0,0.0,,,,116.0,2.0,2.0,,1.0,,2.0,,,3.0,66.0,,3.0,230.0,33.0,23.0,4.0,3.0,17.0,14.0,,110.0,8.0,273.0,3.0,1.0,33.0,11.0,71.0,2.0,486.0,,0.0,5.0,9.0,,35.0,2.0,675.0,,15.0,,1.0,3.0,3.0,0.0
442170,18.0,2012-12-22 17:30:00,54,Fulham,Away,175.0,11.0,1.0,1.0,,,,186.0,5.0,,11.0,7.0,6.0,20.0,360.0,,,21.0,14.0,5.0,6.0,1.0,,,,,1.0,1.0,,,6.0,,,,,,17.0,6.0,,,,75.0,58.0,1.0,1.0,,1.0,2.0,8.0,,,2.0,5.0,1.0,,17.0,1.0,52.0,45.0,1.0,12.0,5.0,1.0,,41.0,6.0,13.0,,3.0,2.0,1.0,147.0,,,,,,,12.0,,,,1.0,,,,,5.0,1.0,17.0,12.0,3.0,,11.0,119.0,77.0,46.0,8.0,,2.0,5.0,4.0,,,,5.0,2.0,,39.0,57.0,9.0,,,,,,131.0,122.0,1.0,29.0,14.0,44.4,,,,1.0,0.0,,,,90.0,4.0,1.0,,,,2.0,,,2.0,76.0,,7.0,198.0,25.0,21.0,15.0,2.0,10.0,8.0,,96.0,3.0,243.0,1.0,,21.0,6.0,38.0,,431.0,1.0,0.0,8.0,19.0,,22.0,2.0,622.0,,8.0,,8.0,2.0,15.0,0.0
442182,19.0,2012-12-26 15:00:00,54,Fulham,Home,140.0,4.0,,3.0,3.0,3.0,1.0,170.0,6.0,1.0,3.0,11.0,13.0,22.0,307.0,,,23.0,25.0,11.0,4.0,1.0,,,,,,,,,7.0,,,,,2.0,4.0,4.0,,,,77.0,67.0,,,1.0,5.0,,8.0,,,3.0,11.0,1.0,,9.0,1.0,63.0,45.0,5.0,18.0,12.0,,1.0,90.0,14.0,12.0,1.0,1.0,2.0,,166.0,,,,,,,8.0,,,1.0,3.0,,,,1.0,21.0,,21.0,18.0,,,3.0,100.0,107.0,42.0,5.0,,5.0,,1.0,,,,1.0,2.0,,57.0,75.0,17.0,1.0,1.0,1.0,,,190.0,174.0,2.0,18.0,28.0,50.6,,,,,0.0,,,,87.0,,2.0,,,,8.0,,,3.0,66.0,,5.0,156.0,15.0,34.0,11.0,2.0,16.0,14.0,,133.0,6.0,290.0,3.0,1.0,54.0,14.0,79.0,2.0,430.0,,0.0,9.0,19.0,2.0,27.0,3.0,635.0,,11.0,,3.0,3.0,15.0,0.0
442192,20.0,2012-12-29 15:00:00,54,Fulham,Home,158.0,17.0,3.0,9.0,6.0,1.0,1.0,269.0,1.0,,3.0,8.0,6.0,32.0,418.0,,,27.0,13.0,11.0,13.0,3.0,,,,2.0,,3.0,,,16.0,,1.0,,,1.0,6.0,4.0,,,,85.0,67.0,,,1.0,3.0,7.0,5.0,,,9.0,19.0,10.0,,8.0,2.0,50.0,44.0,3.0,7.0,5.0,2.0,,78.0,14.0,12.0,1.0,7.0,3.0,3.0,161.0,,,,,,,2.0,,,1.0,1.0,,,,,11.0,2.0,21.0,12.0,2.0,,3.0,123.0,78.0,47.0,8.0,,8.0,8.0,6.0,,,,2.0,3.0,,67.0,79.0,36.0,,,,,,154.0,145.0,5.0,16.0,40.0,59.4,1.0,,,,0.0,,,,131.0,4.0,1.0,,,,10.0,1.0,,2.0,136.0,,16.0,168.0,31.0,16.0,18.0,8.0,40.0,32.0,,184.0,7.0,372.0,2.0,,27.0,6.0,54.0,1.0,500.0,,0.0,23.0,13.0,,27.0,2.0,719.0,,9.0,,8.0,9.0,11.0,0.0
