playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,substituteOn,cornersTakenInclShortCorners,aerialDuels,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,homeGoals,forwardPasses,recoveries,appearances,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,unsuccessfulLaunches,successfulPassesOwnHalf,handballsConceded,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,penaltiesSaved,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,cleanSheets,penaltiesFaced,savesFromPenalty,punches,successfulLaunches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,aerialDuelsWon,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltiesConceded,lastPlayerTackle,headedGoals,blocks,goalAssists,unsuccessfulLayoffs,successfulCornersIntoBox,penaltiesTaken,rightFootGoals,attemptsFromSetPieces,unsuccessfulCornersIntoBox,penaltyGoals,secondGoalAssists,foulWonPenalty,ownGoalScored,clearancesOffTheLine,setPiecesGoals,redCards2ndYellow
14469,Albert Crusat,Midfielder,Wigan,111,Spain,2011-12,26.0,3.0,0.0,2.0,5.0,3.0,10.0,6.0,2.0,20.0,15.0,13.0,4.0,25.0,23.0,160.0,1.0,3.0,0.0,11.0,1.0,3.0,3.0,486.0,3.0,21.0,2.0,21.0,129.0,13.0,1.0,1.0,6.0,3.0,11.0,23.0,34.0,7.0,0.0,47.0,1.0,32.0,25.0,15.0,5.0,1.0,7.0,84.0,9.0,24.0,12.0,44.0,0.0,159.0,1.0,4.0,75.0,5.0,4.0,27.0,4.0,5.0,6.0,67.0,262.0,3.0,4.0,1.0,3.0,54.0,1.0,1.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28491,Ali Al Habsi,Goalkeeper,Wigan,111,Oman,2011-12,4.0,,0.0,,,,1.0,,,13.0,38.0,,38.0,360.0,,817.0,,,,,,2.0,,3420.0,1.0,4.0,13.0,3.0,176.0,,,4.0,,30.0,62.0,3.0,73.0,,0.0,8.0,,678.0,281.0,38.0,1.0,,,208.0,49.0,,,6.0,0.0,321.0,,,366.0,,1.0,66.0,1.0,,281.0,,1169.0,,,,140.0,249.0,,1.0,347.0,51.0,4.0,39.0,50.0,351.0,15.0,8.0,8.0,4.0,23.0,88.0,119.0,1.0,3.0,2.0,1.0,355.0,150.0,38.0,69.0,,,,,,,,,,,,,,,,,,
43035,Antolin Alcaraz,Defender,Wigan,111,Paraguay,2011-12,87.0,1.0,0.0,4.0,3.0,1.0,61.0,11.0,2.0,184.0,25.0,,25.0,247.0,2.0,1091.0,2.0,,1.0,,1.0,59.0,1.0,2174.0,30.0,111.0,9.0,82.0,746.0,21.0,4.0,2.0,14.0,127.0,34.0,57.0,153.0,16.0,4.0,198.0,1.0,569.0,102.0,25.0,16.0,,1.0,317.0,25.0,2.0,4.0,139.0,0.0,1051.0,8.0,,270.0,45.0,5.0,321.0,32.0,65.0,98.0,48.0,1451.0,10.0,2.0,,40.0,528.0,3.0,5.0,63.0,103.0,,,,,,6.0,,,,11.0,,,,,29.0,,,,,1.0,1.0,2.0,13.0,,,,,,,,,,,,,,
16045,Ben Watson,Midfielder,Wigan,111,England,2011-12,68.0,2.0,0.0,4.0,7.0,1.0,35.0,16.0,3.0,110.0,21.0,22.0,14.0,147.0,9.0,944.0,3.0,,2.0,7.0,43.0,13.0,13.0,1262.0,2.0,57.0,7.0,46.0,680.0,13.0,,1.0,24.0,26.0,30.0,66.0,269.0,3.0,0.0,125.0,1.0,309.0,64.0,21.0,7.0,1.0,5.0,455.0,23.0,40.0,15.0,112.0,0.0,900.0,9.0,9.0,216.0,28.0,8.0,269.0,29.0,36.0,117.0,97.0,1185.0,6.0,7.0,2.0,10.0,355.0,,1.0,37.0,29.0,,,,,,2.0,,,,4.0,,,,,11.0,,,,,,,,8.0,1.0,1.0,8.0,4.0,2.0,1.0,26.0,2.0,1.0,,,,,
61538,Callum McManaman,Midfielder,Wigan,111,England,2011-12,1.0,,0.0,,,,,2.0,,,2.0,,,,,7.0,,,,2.0,,,,18.0,,,,,7.0,3.0,,,1.0,,,1.0,3.0,,0.0,1.0,,2.0,,2.0,,,,6.0,,,,1.0,0.0,7.0,2.0,,1.0,,,1.0,1.0,,,1.0,10.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55415,Conor Sammon,Forward,Wigan,111,Ireland,2011-12,82.0,1.0,1.0,5.0,2.0,4.0,5.0,11.0,,34.0,25.0,21.0,8.0,34.0,5.0,150.0,,5.0,,17.0,,36.0,1.0,835.0,28.0,25.0,6.0,17.0,110.0,38.0,,,15.0,7.0,15.0,54.0,40.0,5.0,0.0,107.0,,25.0,11.0,25.0,1.0,,7.0,93.0,9.0,5.0,31.0,71.0,1.0,150.0,9.0,3.0,106.0,4.0,7.0,40.0,18.0,1.0,6.0,45.0,278.0,1.0,7.0,,,24.0,,1.0,,2.0,,,,,,,,,,,,,,,8.0,,,,,,,,,,1.0,,,,,,,,,,,,
19556,David Jones,Midfielder,Wigan,111,England,2011-12,38.0,1.0,0.0,6.0,2.0,,19.0,12.0,2.0,82.0,16.0,19.0,13.0,89.0,20.0,662.0,,1.0,,3.0,47.0,5.0,16.0,1165.0,,41.0,6.0,36.0,553.0,17.0,6.0,3.0,25.0,28.0,33.0,38.0,231.0,11.0,0.0,79.0,,208.0,44.0,16.0,5.0,,4.0,378.0,27.0,47.0,15.0,74.0,0.0,633.0,10.0,11.0,171.0,14.0,6.0,98.0,11.0,13.0,20.0,125.0,921.0,53.0,4.0,2.0,3.0,211.0,,2.0,7.0,30.0,,,,,,,,,,,,,,,5.0,,,,,1.0,,,2.0,1.0,,14.0,,,4.0,24.0,,,,,,,
3296,Emmerson Boyce,Defender,Wigan,111,Barbados,2011-12,79.0,20.0,0.0,1.0,5.0,6.0,37.0,16.0,,152.0,26.0,6.0,26.0,190.0,47.0,760.0,3.0,1.0,1.0,,,54.0,20.0,2270.0,21.0,92.0,7.0,59.0,553.0,32.0,34.0,1.0,12.0,72.0,31.0,58.0,31.0,13.0,2.0,171.0,2.0,336.0,51.0,26.0,7.0,,11.0,336.0,24.0,47.0,23.0,117.0,0.0,751.0,11.0,13.0,325.0,30.0,9.0,281.0,20.0,34.0,17.0,112.0,1310.0,175.0,3.0,2.0,31.0,254.0,1.0,3.0,38.0,64.0,,,,,,7.0,,,,5.0,,,,,33.0,,,,,,3.0,1.0,6.0,1.0,,,,2.0,,,,,1.0,,,,
49724,Franco Di Santo,Forward,Wigan,111,Argentina,2011-12,189.0,4.0,0.0,20.0,27.0,7.0,25.0,49.0,6.0,124.0,32.0,60.0,24.0,132.0,31.0,512.0,7.0,17.0,3.0,8.0,1.0,75.0,4.0,2038.0,52.0,118.0,5.0,95.0,356.0,94.0,,1.0,20.0,12.0,34.0,137.0,131.0,45.0,4.0,307.0,4.0,114.0,36.0,32.0,3.0,,31.0,271.0,29.0,31.0,90.0,232.0,0.0,508.0,22.0,27.0,319.0,22.0,25.0,109.0,46.0,23.0,24.0,158.0,944.0,6.0,17.0,,,113.0,4.0,4.0,8.0,21.0,,,,,,1.0,,,,,,,,,23.0,,,,,,,,3.0,1.0,12.0,1.0,,7.0,1.0,,,,1.0,,,,
11911,Gary Caldwell,Defender,Wigan,111,Scotland,2011-12,90.0,2.0,1.0,,3.0,,23.0,9.0,1.0,138.0,36.0,5.0,36.0,262.0,2.0,1472.0,3.0,1.0,2.0,,,85.0,2.0,3225.0,36.0,95.0,11.0,46.0,1063.0,22.0,,3.0,12.0,208.0,53.0,54.0,293.0,20.0,2.0,185.0,1.0,602.0,124.0,36.0,6.0,,,323.0,42.0,2.0,6.0,100.0,1.0,1387.0,6.0,2.0,283.0,17.0,3.0,519.0,36.0,52.0,147.0,58.0,1877.0,9.0,,,61.0,889.0,2.0,9.0,124.0,74.0,,,,,,8.0,,,,21.0,,,,,49.0,1.0,,,,4.0,2.0,2.0,37.0,,,,,1.0,,,,,,1.0,1.0,,
