playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,gamesPlayed,totalRedCards,yellowCards,duelsLost,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,substituteOn,cornersTakenInclShortCorners,aerialDuels,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,penaltyGoalsConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,groundDuelsLost,winningGoal,duels,homeGoals,recoveries,appearances,rightFootGoals,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,openPlayPasses,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,attemptsFromSetPieces,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,touches,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,goalAssists,cleanSheets,unsuccessfulLayoffs,throwInsToOppositionPlayer,successfulLaunches,totalFoulsWon,leftFootGoals,unsuccessfulDribbles,shotsOffTargetIncWoodwork,blocks,clearancesOffTheLine,throwInsToOwnPlayer,hitWoodwork,handballsConceded,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,ownGoalScored,savesMade,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltiesConceded,lastPlayerTackle,headedGoals,redCards2ndYellow,foulWonPenalty,penaltiesTaken,otherGoals,penaltyGoals,setPiecesGoals
1235,Jason Koumas,Midfielder,Wigan,111,Wales,2009-10,0.0,8.0,0.0,0.0,27.0,1.0,2.0,3.0,10.0,5.0,3.0,33.0,4.0,6.0,39.0,14.0,136.0,1.0,2.0,1.0,2.0,7.0,7.0,6.0,423.0,4.0,26.0,1.0,23.0,86.0,3.0,11.0,,11.0,1.0,7.0,23.0,0.0,53.0,0.0,14.0,8.0,1.0,2.0,75.0,6.0,22.0,17.0,46.0,3.0,133.0,2.0,79.0,8.0,6.0,,2.0,5.0,3.0,11.0,239.0,6.0,2.0,28.0,6.0,7.0,,,1.0,,,7.0,,7.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18921,Jason Scotland,Forward,Wigan,111,Trinidad & Tobago,2009-10,0.0,32.0,0.0,1.0,139.0,2.0,10.0,13.0,11.0,30.0,16.0,84.0,41.0,14.0,89.0,6.0,440.0,1.0,8.0,1.0,18.0,,61.0,2.0,1549.0,49.0,48.0,4.0,36.0,347.0,,68.0,3.0,27.0,,34.0,90.0,0.0,187.0,0.0,40.0,32.0,,3.0,281.0,30.0,6.0,72.0,126.0,12.0,440.0,12.0,170.0,8.0,11.0,,16.0,6.0,,4.0,661.0,7.0,1.0,72.0,5.0,7.0,2.0,,9.0,,1.0,14.0,1.0,24.0,17.0,4.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
83325,Jordan Mustoe,Defender,Wigan,111,England,2009-10,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50023,Jordi Gómez,Midfielder,Wigan,111,Spain,2009-10,0.0,23.0,0.0,3.0,86.0,7.0,16.0,12.0,21.0,31.0,8.0,96.0,45.0,11.0,112.0,13.0,606.0,1.0,2.0,0.0,12.0,25.0,15.0,10.0,1259.0,9.0,87.0,3.0,81.0,466.0,3.0,27.0,2.0,23.0,17.0,31.0,77.0,0.0,173.0,1.0,81.0,23.0,,5.0,360.0,28.0,29.0,46.0,158.0,6.0,586.0,15.0,197.0,16.0,15.0,6.0,24.0,23.0,12.0,28.0,902.0,4.0,11.0,144.0,16.0,26.0,,1.0,1.0,,1.0,45.0,1.0,12.0,19.0,5.0,,4.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0
48824,Marcelo Moreno,Forward,Wigan,111,Bolivia,2009-10,0.0,12.0,0.0,0.0,94.0,,10.0,3.0,9.0,11.0,1.0,43.0,22.0,9.0,46.0,13.0,193.0,,4.0,,3.0,,60.0,,727.0,47.0,34.0,1.0,21.0,145.0,,27.0,,11.0,9.0,10.0,47.0,0.0,128.0,,17.0,12.0,,3.0,105.0,9.0,13.0,33.0,68.0,13.0,193.0,8.0,96.0,6.0,2.0,2.0,9.0,5.0,,2.0,336.0,7.0,,42.0,3.0,6.0,1.0,1.0,6.0,,,10.0,,6.0,8.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1688,Mario Melchiot,Defender,Wigan,111,Netherlands,2009-10,0.0,32.0,0.0,2.0,97.0,13.0,1.0,1.0,66.0,1.0,5.0,230.0,8.0,32.0,289.0,23.0,1372.0,,1.0,,,1.0,66.0,13.0,2853.0,24.0,159.0,6.0,117.0,1011.0,,8.0,6.0,27.0,128.0,66.0,73.0,0.0,256.0,,137.0,32.0,,19.0,612.0,60.0,24.0,40.0,190.0,42.0,1344.0,2.0,490.0,47.0,15.0,,27.0,54.0,,72.0,2146.0,2.0,52.0,484.0,59.0,69.0,1.0,7.0,,64.0,16.0,36.0,,15.0,,8.0,,278.0,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,
34285,Maynor Figueroa,Defender,Wigan,111,Honduras,2009-10,0.0,35.0,0.0,6.0,129.0,15.0,7.0,3.0,86.0,13.0,10.0,222.0,2.0,35.0,394.0,64.0,1322.0,1.0,,1.0,,,58.0,15.0,3088.0,20.0,187.0,7.0,149.0,839.0,,13.0,5.0,26.0,144.0,65.0,109.0,0.0,316.0,0.0,158.0,35.0,,23.0,581.0,58.0,67.0,49.0,258.0,38.0,1282.0,10.0,689.0,63.0,22.0,2.0,35.0,84.0,,89.0,2298.0,1.0,106.0,362.0,172.0,65.0,1.0,8.0,,106.0,12.0,41.0,1.0,12.0,10.0,9.0,1.0,261.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0
2521,Mike Pollitt,Goalkeeper,Wigan,111,England,2009-10,0.0,4.0,0.0,0.0,1.0,,,,,,,2.0,,2.0,72.0,,109.0,,,,2.0,,1.0,,291.0,1.0,,2.0,,8.0,,,3.0,,5.0,15.0,,0.0,1.0,,43.0,4.0,,,22.0,13.0,,,,,52.0,,74.0,,,,,,,29.0,147.0,,37.0,15.0,70.0,4.0,,,,,10.0,,,,,,,,,,6.0,2.0,27.0,3.0,3.0,3.0,,15.0,1.0,1.0,20.0,18.0,4.0,12.0,,,,,,,,,
28147,Mohamed Diamé,Midfielder,Wigan,111,Senegal,2009-10,0.0,34.0,0.0,6.0,282.0,3.0,12.0,7.0,176.0,22.0,8.0,195.0,23.0,34.0,247.0,9.0,1291.0,1.0,,1.0,,,87.0,3.0,2864.0,44.0,333.0,6.0,290.0,878.0,,26.0,6.0,22.0,47.0,63.0,238.0,0.0,615.0,0.0,253.0,34.0,1.0,51.0,612.0,57.0,9.0,120.0,528.0,43.0,1279.0,11.0,403.0,125.0,64.0,,67.0,110.0,,166.0,2002.0,10.0,9.0,435.0,52.0,61.0,1.0,6.0,1.0,,3.0,50.0,,42.0,15.0,7.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
6290,Olivier Kapo,Midfielder,Wigan,111,France,2009-10,0.0,1.0,0.0,0.0,7.0,,2.0,,,,1.0,3.0,,,3.0,1.0,15.0,,,,1.0,,1.0,,31.0,1.0,,,,11.0,,2.0,1.0,1.0,,2.0,6.0,0.0,7.0,,1.0,1.0,,,8.0,2.0,1.0,6.0,6.0,,15.0,,10.0,,,,,1.0,,1.0,25.0,,,4.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16210,Paul Scharner,Defender,Wigan,111,Austria,2009-10,0.0,38.0,0.0,7.0,198.0,2.0,5.0,20.0,72.0,57.0,6.0,247.0,101.0,30.0,299.0,27.0,1227.0,4.0,4.0,2.0,8.0,,208.0,2.0,2523.0,82.0,249.0,5.0,123.0,859.0,,82.0,4.0,25.0,108.0,58.0,116.0,0.0,447.0,2.0,136.0,38.0,2.0,17.0,553.0,53.0,27.0,47.0,239.0,126.0,1210.0,11.0,434.0,55.0,12.0,,45.0,73.0,,69.0,1758.0,10.0,39.0,377.0,52.0,49.0,3.0,4.0,8.0,1.0,6.0,39.0,,14.0,37.0,7.0,1.0,8.0,,2.0,,,,,,,,,,,,,,,,1.0,2.0,,,,,,
39267,Rachid Bouaouzan,Forward,Wigan,111,Morocco,2009-10,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33268,Richard Kingson,Goalkeeper,Wigan,111,Ghana,2009-10,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19688,Scott Sinclair,Midfielder,Wigan,111,England,2009-10,0.0,18.0,0.0,0.0,44.0,2.0,1.0,3.0,,8.0,,6.0,2.0,1.0,6.0,15.0,92.0,1.0,,1.0,17.0,2.0,9.0,2.0,341.0,8.0,12.0,2.0,11.0,84.0,,15.0,2.0,4.0,3.0,15.0,36.0,0.0,56.0,0.0,15.0,18.0,,,60.0,13.0,17.0,33.0,47.0,1.0,92.0,3.0,58.0,,7.0,,2.0,8.0,2.0,2.0,193.0,,,28.0,,2.0,,,1.0,,,4.0,,20.0,5.0,,,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,
15498,Steve Gohouri,Defender,Wigan,111,Cote d’Ivoire,2009-10,0.0,5.0,0.0,2.0,15.0,,1.0,1.0,13.0,2.0,,19.0,3.0,4.0,28.0,,188.0,1.0,,0.0,1.0,,19.0,,368.0,7.0,32.0,,20.0,148.0,,5.0,2.0,2.0,15.0,13.0,8.0,0.0,47.0,1.0,18.0,5.0,1.0,3.0,46.0,13.0,,1.0,28.0,12.0,187.0,,38.0,10.0,4.0,,7.0,8.0,,12.0,248.0,,5.0,114.0,9.0,6.0,,1.0,,,2.0,3.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1131,Titus Bramble,Defender,Wigan,111,England,2009-10,0.0,35.0,0.0,10.0,128.0,,3.0,4.0,73.0,13.0,5.0,230.0,1.0,35.0,462.0,2.0,1449.0,2.0,1.0,0.0,,,134.0,,3111.0,48.0,193.0,8.0,107.0,749.0,,30.0,5.0,15.0,348.0,66.0,80.0,0.0,321.0,2.0,184.0,35.0,,25.0,376.0,58.0,2.0,23.0,187.0,86.0,1401.0,1.0,671.0,48.0,13.0,,26.0,75.0,,238.0,2096.0,1.0,177.0,611.0,232.0,102.0,,7.0,,,60.0,21.0,,6.0,9.0,34.0,6.0,3.0,,,,,,,,,,,,,,,,,1.0,7.0,2.0,,,,,,
37804,Tomasz Cywka,Midfielder,Wigan,111,Poland,2009-10,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49013,Victor Moses,Midfielder,Wigan,111,Nigeria,2009-10,0.0,14.0,0.0,0.0,55.0,6.0,3.0,3.0,3.0,11.0,1.0,26.0,4.0,2.0,29.0,11.0,140.0,1.0,2.0,0.0,12.0,9.0,16.0,9.0,431.0,10.0,35.0,2.0,29.0,102.0,2.0,29.0,1.0,8.0,1.0,11.0,45.0,0.0,90.0,1.0,31.0,14.0,1.0,1.0,91.0,9.0,19.0,42.0,74.0,6.0,139.0,8.0,91.0,2.0,14.0,,3.0,9.0,6.0,9.0,298.0,1.0,2.0,29.0,3.0,8.0,3.0,,1.0,1.0,,12.0,,23.0,8.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
37188,Vladimir Stojkovic,Goalkeeper,Wigan,111,Serbia,2009-10,0.0,4.0,0.0,0.0,,,,,,,,1.0,,4.0,53.0,,101.0,,,,,,,,360.0,,1.0,1.0,1.0,20.0,,,,,5.0,8.0,,0.0,1.0,,42.0,4.0,,,22.0,7.0,,,1.0,,47.0,,53.0,,,,,,,28.0,145.0,,24.0,26.0,52.0,9.0,,,,,12.0,1.0,,,,,,,,,6.0,4.0,33.0,3.0,,5.0,,11.0,1.0,,34.0,17.0,4.0,7.0,,,,,,,,,
