playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,duels,putthroughBlockedDistributionWon,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,throughBalls,unsuccessfulCrossesOpenPlay,goals,offsides,oboxBlocked,shotsOnTargetOutsideBox,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,totalTouchesInOppositionBox,keyPassesAttemptAssists,shotsBlockedInBox,oboxTarget,tacklesLost,unsuccessfulDribbles,headedGoals,unsuccessfulCrossesAndCorners,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,blocks,totalFoulsConceded,interceptions,clearancesOffTheLine,backwardPasses,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,successfulCrossesOpenPlay,expectedGoalsFreekick,goalAssists,successfulLayoffs,foulWonPenalty,successfulCrossesAndCorners,unsuccessfulLayoffs,penaltiesConceded,throwInsToOppositionPlayer,leftFootGoals,freekickTotal,attemptsFromSetPieces,handballsConceded,substituteOn,redCards2ndYellow,penaltiesTaken,rightFootGoals,penaltyGoals,secondGoalAssists,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox
109533,Emerson,Defender,West Ham United,21,Italy,2018-19,34.0,,0.6536,0.0,,14.0,,36.0,10.0,7.0,44.0,436.0,,14.0,2.0,,660.0,35.0,2.0,23.0,30.0,386.0,,,,9.5111,,8.0,11.0,25.0,177.0,,6.0,69.0,10.0,,112.0,28.0,10.0,,,236.0,9.0,55.0,5.0,0.0,,431.0,93.0,9.0,10.0,,,46.0,6.0,625.0,4.0,159.0,,0.0,8.0,13.0,2.0,1.0,0.1672,3.0,2.0,25.0,,,,1.0,,,9.0,20.0,5.0,2.0,1.0,5.0,4.0,,25.0,2.0,2.0,5.0,1.0,8.0,8.0,,101.0,56.0,,,,7.0,0.2722,3.0,0.1876,,1.0,,3.0,,,3.0,,2.0,2.0,,3.0,,,,,,,,
199598,Ethan Ampadu,Defender,Leeds United,2,Wales,2018-19,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209036,Marc Guéhi,Defender,Manchester City,43,England,2018-19,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85955,Jorginho,Midfielder,Arsenal,3,Italy,2018-19,146.0,,5.208,0.0,,76.0,,302.0,37.0,37.0,337.0,3119.0,,34.0,13.0,,3165.0,125.0,8.0,72.0,112.0,2690.0,,,1.0,34.8913,1.0,35.0,37.0,125.0,738.0,,22.0,271.0,40.0,,1016.0,274.0,37.0,,,1613.0,29.0,237.0,13.0,0.0,,3070.0,427.0,38.0,15.0,,,1002.0,92.0,3551.0,3.0,1170.0,,8.0,35.0,87.0,5.0,7.0,1.8162,14.0,34.0,1.0,2.0,,5.0,4.0,1.0,1.0,21.0,5.0,30.0,,4.0,38.0,11.0,,1.0,,7.0,3.0,7.0,33.0,63.0,,363.0,1.0,9.0,,5.0,22.0,1.4085,1.0,,,30.0,,1.0,,,,,,,1.0,,,1.0,2.0,1.0,1.0,,,
61603,Danny Drinkwater,Midfielder,Reading,108,England,2018-19,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116594,N'Golo Kanté,Midfielder,Fenerbahçe,253,France,2018-19,200.0,,3.5374,0.0,,74.0,,232.0,36.0,36.0,245.0,2021.0,,68.0,13.0,,3095.0,146.0,8.0,111.0,119.0,1741.0,,,1.0,35.9856,,26.0,38.0,159.0,523.0,,13.0,346.0,57.0,,466.0,238.0,36.0,,,1164.0,30.0,278.0,27.0,0.0,,2012.0,412.0,41.0,32.0,,,636.0,35.0,2562.0,3.0,618.0,,3.0,13.0,78.0,13.0,6.0,2.1139,16.0,4.0,13.0,4.0,6.0,6.0,1.0,1.0,1.0,41.0,73.0,42.0,7.0,1.0,33.0,25.0,,13.0,7.0,10.0,7.0,6.0,35.0,44.0,,396.0,6.0,4.0,,6.0,21.0,2.9444,6.0,,4.0,66.0,,6.0,5.0,,,3.0,,,,,,,1.0,,,,,
88894,Ross Barkley,Midfielder,Aston Villa U21,15986,England,2018-19,71.0,,1.8473,0.0,,15.0,,78.0,27.0,13.0,84.0,954.0,,27.0,2.0,,1241.0,76.0,4.0,21.0,57.0,830.0,,,,12.1179,,13.0,13.0,63.0,376.0,,27.0,147.0,7.0,,165.0,89.0,27.0,,,517.0,9.0,120.0,19.0,0.0,,934.0,156.0,10.0,15.0,,,206.0,40.0,1194.0,1.0,354.0,,1.0,6.0,31.0,15.0,9.0,4.0051,26.0,4.0,6.0,3.0,,6.0,4.0,2.0,2.0,8.0,40.0,17.0,9.0,4.0,5.0,7.0,,6.0,9.0,17.0,7.0,1.0,14.0,9.0,,207.0,6.0,10.0,1.0,6.0,8.0,4.0346,1.0,0.0697,5.0,23.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,14.0,,,2.0,,,,,
126187,Ruben Loftus-Cheek,Midfielder,Milan,120,England,2018-19,85.0,,0.6277,0.0,,18.0,,72.0,24.0,6.0,74.0,610.0,,42.0,1.0,,983.0,103.0,2.0,19.0,82.0,525.0,,,,9.7848,,5.0,9.0,64.0,195.0,,23.0,188.0,6.0,,115.0,74.0,24.0,,,372.0,7.0,146.0,21.0,0.0,,590.0,157.0,12.0,41.0,,,165.0,11.0,874.0,,164.0,,0.0,2.0,15.0,8.0,8.0,3.3066,20.0,2.0,2.0,6.0,2.0,4.0,,2.0,2.0,21.0,62.0,15.0,4.0,,6.0,23.0,2.0,2.0,4.0,12.0,3.0,4.0,10.0,11.0,,135.0,3.0,3.0,,4.0,2.0,2.8542,,,2.0,22.0,,,1.0,,,1.0,,,2.0,18.0,,,3.0,,,2.0,,
167767,Kenedy,Midfielder,Real Valladolid,192,Brazil,2018-19,115.0,,0.921,0.0,,32.0,,89.0,25.0,14.0,129.0,464.0,,22.0,4.0,,1343.0,92.0,2.0,33.0,85.0,318.0,,,2.0,16.4592,3.0,19.0,18.0,100.0,131.0,,22.0,207.0,10.0,,159.0,111.0,25.0,,,221.0,16.0,185.0,7.0,0.0,,461.0,272.0,23.0,31.0,,,66.0,17.0,868.0,25.0,123.0,,1.0,40.0,42.0,11.0,6.0,2.0092,20.0,1.0,16.0,1.0,5.0,7.0,1.0,4.0,4.0,15.0,31.0,10.0,4.0,1.0,9.0,24.0,,19.0,4.0,14.0,6.0,,19.0,32.0,,108.0,30.0,7.0,2.0,7.0,17.0,2.2498,7.0,0.1049,1.0,4.0,,9.0,,,10.0,1.0,1.0,1.0,,11.0,,1.0,,,,5.0,2.0,3.0
91651,Mateo Kovacic,Midfielder,Manchester City,43,Croatia,2018-19,104.0,,1.9859,0.0,,45.0,,106.0,32.0,21.0,117.0,1468.0,,19.0,1.0,,1744.0,130.0,2.0,31.0,120.0,1323.0,,,1.0,19.6984,1.0,18.0,19.0,95.0,528.0,,33.0,234.0,17.0,,304.0,122.0,32.0,,,923.0,17.0,215.0,10.0,0.0,,1431.0,210.0,29.0,42.0,,,334.0,28.0,1812.0,1.0,429.0,,3.0,11.0,24.0,15.0,4.0,1.5402,13.0,8.0,7.0,,,13.0,1.0,3.0,3.0,9.0,33.0,23.0,2.0,1.0,16.0,12.0,,7.0,2.0,9.0,10.0,2.0,19.0,8.0,,302.0,7.0,19.0,1.0,13.0,14.0,2.1593,1.0,,2.0,39.0,,1.0,1.0,,,,,,1.0,11.0,,,,,,1.0,,
40232,Gonzalo Higuaín,Forward,Chelsea,8,Argentina,2018-19,60.0,,0.951,0.0,,10.0,,65.0,14.0,13.0,72.0,316.0,,20.0,1.0,,1092.0,28.0,3.0,18.0,21.0,231.0,,,1.0,14.1798,,5.0,15.0,47.0,102.0,,2.0,88.0,4.0,,44.0,28.0,14.0,,,183.0,12.0,68.0,7.0,0.0,,311.0,127.0,7.0,9.0,,,86.0,13.0,462.0,1.0,61.0,,0.0,7.0,8.0,19.0,15.0,3.7247,27.0,5.0,2.0,5.0,11.0,6.0,3.0,7.0,7.0,13.0,57.0,15.0,13.0,3.0,3.0,12.0,,2.0,13.0,12.0,14.0,,6.0,1.0,,84.0,,8.0,2.0,6.0,5.0,4.8844,,,,37.0,,,3.0,,,,,,,1.0,,,5.0,,,,,
47431,Willian,Forward,Fulham,54,Brazil,2018-19,110.0,,5.2243,0.0,,35.0,,164.0,32.0,26.0,176.0,1230.0,,34.0,3.0,,2108.0,115.0,4.0,53.0,104.0,1015.0,,,,21.0849,2.0,11.0,25.0,87.0,252.0,,31.0,225.0,16.0,,254.0,105.0,32.0,,,821.0,21.0,191.0,11.0,0.0,,1194.0,447.0,21.0,39.0,,,341.0,39.0,1791.0,3.0,272.0,,2.0,12.0,31.0,22.0,22.0,5.183,40.0,8.0,46.0,3.0,11.0,11.0,9.0,10.0,10.0,23.0,103.0,73.0,11.0,9.0,14.0,22.0,,130.0,11.0,18.0,40.0,1.0,12.0,13.0,,383.0,4.0,17.0,5.0,11.0,9.0,4.1784,9.0,0.6013,6.0,46.0,1.0,39.0,7.0,,2.0,,8.0,8.0,1.0,6.0,,,3.0,,2.0,111.0,29.0,67.0
42786,Eden Hazard,Forward,Real Madrid,186,Belgium,2018-19,206.0,,10.0044,0.0,,14.0,,267.0,37.0,32.0,285.0,1819.0,,53.0,9.0,,2925.0,275.0,7.0,57.0,255.0,1434.0,,,1.0,34.078,,4.0,35.0,173.0,750.0,,104.0,481.0,10.0,,387.0,103.0,37.0,,,1376.0,28.0,428.0,20.0,0.0,,1759.0,662.0,9.0,138.0,,,384.0,100.0,2678.0,,193.0,,2.0,18.0,29.0,34.0,43.0,15.2396,59.0,13.0,38.0,16.0,11.0,14.0,8.0,19.0,19.0,33.0,240.0,83.0,20.0,8.0,5.0,67.0,,110.0,20.0,16.0,41.0,,12.0,12.0,,298.0,12.0,8.0,3.0,14.0,6.0,10.5384,13.0,0.1951,15.0,52.0,1.0,35.0,3.0,,,5.0,2.0,2.0,1.0,5.0,,4.0,11.0,4.0,,92.0,19.0,58.0
49579,Pedro,Forward,Lazio,129,Spain,2018-19,104.0,,3.528,0.0,,27.0,,126.0,31.0,21.0,144.0,1066.0,,23.0,5.0,,1780.0,105.0,3.0,39.0,96.0,885.0,,,1.0,18.203,1.0,8.0,19.0,90.0,169.0,,26.0,209.0,11.0,,195.0,94.0,31.0,,,651.0,16.0,186.0,9.0,0.0,,1058.0,283.0,14.0,44.0,,,428.0,37.0,1438.0,7.0,281.0,,2.0,18.0,32.0,8.0,25.0,7.7955,49.0,7.0,48.0,8.0,8.0,2.0,7.0,10.0,10.0,14.0,113.0,27.0,6.0,7.0,13.0,15.0,,51.0,6.0,24.0,13.0,2.0,17.0,18.0,1.0,274.0,5.0,12.0,,2.0,12.0,5.7875,9.0,,2.0,28.0,,10.0,3.0,,,4.0,,,1.0,10.0,,,4.0,,1.0,5.0,1.0,3.0
44346,Olivier Giroud,Forward,Lille,429,France,2018-19,43.0,,0.5378,0.0,,3.0,,83.0,27.0,7.0,83.0,261.0,,60.0,1.0,,833.0,48.0,,11.0,10.0,173.0,,,,8.9582,,6.0,5.0,21.0,54.0,,6.0,91.0,5.0,,41.0,22.0,27.0,,,135.0,5.0,31.0,38.0,0.0,,256.0,116.0,2.0,2.0,,,89.0,5.0,371.0,,43.0,,1.0,,10.0,7.0,10.0,2.968,25.0,,1.0,2.0,6.0,2.0,,8.0,8.0,22.0,77.0,14.0,5.0,,1.0,3.0,1.0,1.0,5.0,15.0,5.0,1.0,12.0,3.0,,77.0,,5.0,1.0,2.0,3.0,4.5877,,,4.0,50.0,,,13.0,,,1.0,,,,20.0,,,,,,,,
209046,Callum Hudson-Odoi,Forward,Nottingham Forest,17,England,2018-19,17.0,,1.2081,0.0,,8.0,,25.0,10.0,4.0,29.0,207.0,,4.0,1.0,,391.0,28.0,3.0,2.0,26.0,174.0,,,,4.4737,,,5.0,15.0,37.0,,6.0,45.0,1.0,,28.0,27.0,10.0,,,125.0,2.0,41.0,2.0,0.0,,207.0,73.0,6.0,12.0,,,79.0,4.0,309.0,,59.0,,0.0,4.0,3.0,2.0,3.0,0.821,4.0,,13.0,,3.0,,1.0,2.0,2.0,2.0,23.0,8.0,2.0,1.0,2.0,5.0,,16.0,2.0,1.0,6.0,,1.0,3.0,,63.0,1.0,4.0,,,1.0,0.7204,6.0,,1.0,5.0,,6.0,,,1.0,,,,,6.0,,,,,,3.0,,3.0
94245,Michy Batshuayi,Forward,Eintracht Frankfurt,159,Belgium,2018-19,58.0,,0.2562,0.0,,2.0,,52.0,11.0,9.0,57.0,163.0,,44.0,,,756.0,25.0,3.0,14.0,13.0,98.0,,,,8.2133,2.0,,11.0,26.0,43.0,,2.0,83.0,5.0,,34.0,30.0,11.0,,,60.0,8.0,39.0,12.0,0.0,,155.0,95.0,1.0,9.0,,,43.0,8.0,273.0,1.0,46.0,,0.0,5.0,21.0,9.0,10.0,3.8601,18.0,1.0,1.0,5.0,12.0,2.0,2.0,3.0,3.0,32.0,46.0,2.0,7.0,2.0,1.0,7.0,,1.0,7.0,8.0,4.0,3.0,7.0,3.0,,43.0,,8.0,,2.0,3.0,3.9468,,,,8.0,,,5.0,,,,,,,2.0,,,5.0,,,,,
