playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,homeGoals,forwardPasses,recoveries,appearances,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,unsuccessfulLaunches,successfulPassesOwnHalf,handballsConceded,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,penaltiesConceded,headedGoals,clearancesOffTheLine,foulWonPenalty,lastPlayerTackle,goalKicks,ownGoalScored,gkSuccessfulDistribution,secondGoalAssists,penaltiesTaken,penaltyGoals,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,redCards2ndYellow,penaltiesSaved,savesFromPenalty,crossesNotClaimed
19958,David Wheater,Defender,Bolton,30,England,2011-12,84.0,,2.0,6.0,4.0,,43.0,13.0,,108.0,24.0,2.0,7.0,24.0,181.0,1.0,584.0,2.0,,0.0,,,92.0,2.0,,2009.0,,38.0,102.0,7.0,48.0,357.0,,35.0,,1.0,6.0,22.0,200.0,39.0,46.0,107.0,4.0,2.0,186.0,2.0,290.0,65.0,24.0,,8.0,,,135.0,32.0,1.0,2.0,94.0,54.0,2.0,580.0,9.0,4.0,199.0,35.0,1.0,34.0,,130.0,28.0,53.0,,46.0,57.0,991.0,,1.0,,69.0,268.0,,1.0,73.0,38.0,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
80235,Dedryck Boyata,Defender,Bolton,30,Belgium,2011-12,37.0,2.0,0.0,2.0,2.0,,32.0,5.0,4.0,65.0,14.0,,14.0,13.0,100.0,12.0,446.0,1.0,,0.0,1.0,,11.0,,2.0,1123.0,,4.0,53.0,6.0,46.0,329.0,,13.0,46.0,1.0,5.0,7.0,42.0,34.0,33.0,25.0,6.0,0.0,90.0,1.0,262.0,68.0,14.0,,7.0,,4.0,191.0,28.0,12.0,15.0,79.0,7.0,0.0,438.0,3.0,2.0,186.0,25.0,8.0,7.0,,117.0,11.0,34.0,,17.0,42.0,775.0,87.0,2.0,,20.0,157.0,,3.0,35.0,21.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
28183,Grétar Steinsson,Defender,Bolton,30,Iceland,2011-12,68.0,5.0,0.0,5.0,4.0,2.0,35.0,10.0,2.0,148.0,23.0,,15.0,20.0,212.0,40.0,637.0,1.0,3.0,0.0,3.0,,46.0,2.0,5.0,1882.0,4.0,21.0,71.0,7.0,46.0,390.0,,19.0,65.0,1.0,9.0,17.0,95.0,39.0,47.0,31.0,10.0,0.0,139.0,1.0,319.0,57.0,23.0,1.0,7.0,,4.0,240.0,32.0,41.0,14.0,93.0,25.0,0.0,619.0,6.0,11.0,349.0,28.0,1.0,16.0,,209.0,21.0,42.0,,35.0,78.0,1222.0,182.0,1.0,1.0,48.0,190.0,2.0,6.0,64.0,53.0,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
105322,Joe Riley,Defender,Bolton,30,England,2011-12,12.0,,0.0,1.0,,1.0,9.0,,2.0,30.0,3.0,,3.0,2.0,44.0,5.0,88.0,,,,1.0,,7.0,,,200.0,,4.0,15.0,1.0,12.0,37.0,,1.0,6.0,,,1.0,8.0,4.0,8.0,5.0,,0.0,27.0,,48.0,12.0,3.0,,2.0,,1.0,20.0,3.0,6.0,4.0,20.0,3.0,0.0,87.0,,3.0,62.0,7.0,3.0,,,20.0,,5.0,,7.0,15.0,148.0,13.0,1.0,,7.0,24.0,,0.0,14.0,11.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
82263,Marcos Alonso,Defender,Bolton,30,Spain,2011-12,28.0,,0.0,1.0,1.0,,9.0,4.0,2.0,34.0,5.0,,,4.0,49.0,8.0,166.0,1.0,,1.0,1.0,3.0,11.0,,,332.0,,5.0,22.0,2.0,16.0,109.0,,3.0,4.0,,3.0,3.0,27.0,7.0,23.0,54.0,2.0,0.0,50.0,0.0,81.0,33.0,5.0,,1.0,1.0,6.0,72.0,5.0,9.0,11.0,39.0,6.0,0.0,156.0,3.0,5.0,77.0,8.0,5.0,,,11.0,4.0,13.0,1.0,8.0,20.0,288.0,28.0,1.0,,11.0,45.0,,0.0,15.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Paul Robinson,Defender,Bolton,30,England,2011-12,54.0,2.0,0.0,,,,46.0,,3.0,127.0,17.0,1.0,36.0,15.0,162.0,7.0,699.0,,,,2.0,,37.0,2.0,2.0,1420.0,,16.0,83.0,7.0,62.0,497.0,,2.0,13.0,1.0,4.0,14.0,63.0,38.0,38.0,209.0,15.0,0.0,137.0,,370.0,72.0,17.0,,10.0,,2.0,291.0,31.0,7.0,9.0,100.0,21.0,0.0,665.0,,3.0,197.0,36.0,1.0,12.0,,47.0,15.0,40.0,,40.0,73.0,1039.0,97.0,,,23.0,248.0,1.0,4.0,35.0,55.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,
7712,Sam Ricketts,Defender,Bolton,30,Wales,2011-12,79.0,5.0,0.0,5.0,4.0,5.0,39.0,8.0,1.0,184.0,20.0,1.0,1.0,20.0,259.0,18.0,647.0,1.0,,0.0,,,49.0,1.0,5.0,1800.0,1.0,15.0,107.0,7.0,73.0,369.0,,14.0,68.0,1.0,10.0,14.0,67.0,36.0,64.0,131.0,18.0,0.0,186.0,1.0,387.0,82.0,20.0,1.0,12.0,,12.0,228.0,29.0,21.0,25.0,137.0,34.0,0.0,623.0,4.0,8.0,397.0,27.0,16.0,9.0,,60.0,23.0,36.0,,19.0,69.0,1162.0,147.0,,,50.0,165.0,1.0,3.0,75.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,
82514,Tim Ream,Defender,Bolton,30,United States,2011-12,40.0,1.0,0.0,,1.0,,18.0,1.0,,51.0,13.0,1.0,,13.0,81.0,1.0,397.0,,,,,,42.0,,1.0,1170.0,2.0,24.0,40.0,5.0,22.0,284.0,,3.0,,1.0,3.0,12.0,118.0,26.0,16.0,98.0,3.0,0.0,80.0,,215.0,60.0,13.0,,9.0,,,114.0,21.0,1.0,4.0,38.0,18.0,0.0,388.0,,3.0,92.0,9.0,1.0,13.0,,52.0,4.0,41.0,,32.0,32.0,623.0,,,,27.0,203.0,,1.0,30.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12780,Tyrone Mears,Defender,Bolton,30,Jamaica,2011-12,,1.0,0.0,1.0,,,1.0,,,6.0,1.0,,,1.0,8.0,3.0,40.0,,,,,,2.0,,1.0,90.0,,,4.0,,2.0,30.0,,1.0,2.0,,,1.0,6.0,2.0,,1.0,1.0,0.0,4.0,,25.0,3.0,1.0,,1.0,,,26.0,2.0,3.0,,2.0,2.0,0.0,39.0,,1.0,15.0,,,,,12.0,,3.0,,2.0,2.0,68.0,5.0,,,3.0,7.0,,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1587,Zat Knight,Defender,Bolton,30,England,2011-12,36.0,,0.0,4.0,,,46.0,2.0,2.0,99.0,25.0,,6.0,21.0,168.0,1.0,551.0,,,,4.0,,39.0,2.0,,1982.0,1.0,13.0,82.0,7.0,56.0,318.0,,13.0,,1.0,2.0,14.0,217.0,45.0,23.0,164.0,8.0,0.0,118.0,,243.0,79.0,25.0,,11.0,,,104.0,38.0,1.0,1.0,79.0,26.0,0.0,537.0,2.0,3.0,178.0,35.0,2.0,16.0,,79.0,8.0,49.0,,65.0,65.0,932.0,,,,54.0,279.0,,1.0,69.0,49.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
