playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,substituteOn,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,interceptions,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,totalTackles,tacklesWon,substituteOff,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalShots,throughBalls,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,offsides,oboxBlocked,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,ownGoalScored,keyPassesAttemptAssists,shotsBlockedInBox,putthroughBlockedDistributionWon,oboxTarget,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,iboxBlocked,shotsOffTargetIncWoodwork,successfulDribbles,blocks,totalFoulsConceded,backwardPasses,throwInsToOwnPlayer,shotsBlockedOutsideBox,foulAttemptedTackle,handballsConceded,expectedGoals,secondGoalAssists,goals,awayGoals,penaltiesConceded,homeGoals,lastPlayerTackle,headedGoals,rightFootGoals,otherGoals,foulWonPenalty,unsuccessfulLayoffs,leftFootGoals,clearancesOffTheLine,hitWoodwork,cornersTakenInclShortCorners,unsuccessfulCornersIntoBox,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,redCards2ndYellow,setPiecesGoals,penaltiesTaken,penaltyGoals,penaltiesSaved,savesFromPenalty
80201,Bernd Leno,Goalkeeper,Fulham,54,Germany,2018-19,5.0,0.019,0.0,9.0,37.0,4.0,32.0,31.0,284.0,922.0,227.0,6.0,1.0,8.0,6.0,7.0,2835.0,1.0,13.0,1.0,2.0,6.0,481.0,16.0,7.0,45.3521,37.0,32.0,42.0,4.0,188.0,105.0,5.0,0.0,18.0,8.0,538.0,298.0,32.0,1.0,6.0,75.0,41.0,1.0,10.0,7.0,0.0,325.0,558.0,1.0,289.0,83.0,31.0,196.0,4.0,157.0,1276.0,146.0,563.0,67.0,0.0,280.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11334,Petr Cech,Goalkeeper,Chelsea PL2,7140,Czech Republic,2018-19,1.0,0.0034,0.0,6.0,12.0,5.0,7.0,7.0,71.0,224.0,53.0,2.0,,3.0,1.0,,585.0,1.0,4.0,2.0,,2.0,115.0,2.0,,9.4904,7.0,7.0,9.0,,54.0,28.0,2.0,0.0,5.0,1.0,126.0,63.0,7.0,,,23.0,7.0,,2.0,2.0,0.0,77.0,140.0,,72.0,22.0,13.0,44.0,,38.0,315.0,26.0,130.0,16.0,0.0,66.0,21.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98980,Emiliano Martínez,Goalkeeper,Aston Villa,7,Argentina,2018-19,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18726,Artur Boruc,Goalkeeper,Legia Warsaw,263,Poland,2018-19,2.0,0.0131,0.0,3.0,15.0,1.0,12.0,12.0,123.0,286.0,,2.0,,2.0,4.0,3.0,1080.0,,3.0,3.0,,1.0,94.0,4.0,3.0,16.2511,25.0,5.0,18.0,2.0,31.0,41.0,,0.0,5.0,5.0,211.0,96.0,12.0,1.0,2.0,45.0,15.0,,3.0,2.0,0.0,128.0,118.0,,125.0,46.0,11.0,44.0,,69.0,408.0,66.0,118.0,23.0,2.0,122.0,24.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
40349,Asmir Begovic,Goalkeeper,Everton,11,Bosnia & Herzegovina,2018-19,4.0,0.0209,0.0,20.0,23.0,2.0,24.0,24.0,208.0,530.0,,5.0,,13.0,5.0,2.0,2160.0,1.0,14.0,3.0,1.0,2.0,185.0,4.0,2.0,35.2596,61.0,19.0,47.0,3.0,66.0,60.0,3.0,0.0,18.0,,379.0,190.0,24.0,5.0,5.0,96.0,44.0,,5.0,12.0,0.0,241.0,240.0,,211.0,79.0,18.0,85.0,1.0,137.0,773.0,105.0,226.0,36.0,0.0,206.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
229600,Mark Travers,Goalkeeper,Everton,11,Ireland,2018-19,,0.0004,0.0,,3.0,,2.0,2.0,15.0,43.0,,,,,1.0,,180.0,,,,1.0,,21.0,,,4.7462,3.0,2.0,5.0,,10.0,9.0,,0.0,,,26.0,16.0,2.0,,,4.0,5.0,,,,0.0,23.0,24.0,,15.0,4.0,4.0,7.0,,7.0,67.0,6.0,24.0,6.0,0.0,15.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
131897,Mathew Ryan,Goalkeeper,Roma,121,Australia,2018-19,3.0,0.0673,0.0,15.0,41.0,4.0,34.0,34.0,462.0,926.0,,4.0,,10.0,6.0,8.0,3060.0,1.0,12.0,10.0,1.0,3.0,133.0,7.0,8.0,52.3125,126.0,20.0,55.0,2.0,61.0,97.0,3.0,,15.0,,803.0,280.0,34.0,2.0,1.0,255.0,45.0,,5.0,9.0,0.0,247.0,402.0,,468.0,177.0,35.0,62.0,,331.0,1175.0,197.0,209.0,56.0,2.0,458.0,88.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
49262,Jason Steele,Goalkeeper,Brighton and Hove Albion U21,12947,England,2018-19,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50093,David Button,Goalkeeper,Ipswich Town U21,19599,England,2018-19,,0.0043,0.0,2.0,6.0,,4.0,4.0,62.0,99.0,,1.0,,1.0,1.0,2.0,360.0,,1.0,,,,10.0,2.0,2.0,4.7741,11.0,4.0,5.0,,7.0,14.0,,,1.0,,90.0,33.0,4.0,1.0,,22.0,5.0,,,1.0,0.0,21.0,37.0,,62.0,22.0,1.0,2.0,,27.0,129.0,27.0,15.0,7.0,0.0,62.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21205,Tom Heaton,Goalkeeper,Manchester United,1,England,2018-19,2.0,0.122,0.0,8.0,22.0,1.0,19.0,19.0,291.0,541.0,172.0,7.0,,4.0,4.0,1.0,1710.0,,6.0,3.0,,2.0,62.0,6.0,1.0,22.3386,96.0,14.0,27.0,2.0,15.0,63.0,2.0,0.0,8.0,7.0,491.0,162.0,19.0,,,168.0,24.0,,4.0,4.0,0.0,124.0,241.0,,298.0,93.0,14.0,35.0,,188.0,696.0,161.0,82.0,37.0,3.0,290.0,25.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,2.0,,,,,,,,1.0,1.0,,1.0,,,,,1.0,0.0472,,,,,,,,,,,,,,,,,,,,,,,,,,
