playerId,playerName,position,team_name,team_id,nationality,season,punches,expectedGoalsOnTargetConceded,successfulLaunches,expectedAssists,totalClearances,goalsConceded,totalRedCards,catches,rightsidePasses,savesMade,totalFoulsWon,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,savesMadeFromOutsideBox,crossesNotClaimed,gamesPlayed,successfulPassesOppositionHalf,starts,goalsConcededInsideBox,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,groundDuels,straightRedCards,gkSuccessfulDistribution,openPlayPasses,savesMadeCaught,totalLossesOfPossession,gkUnsuccessfulDistribution,cleanSheets,savesMadeParried,leftsidePasses,successfulLongPasses,timePlayed,touches,duelsWon,goalsConcededOutsideBox,groundDuelsWon,unsuccessfulLaunches,successfulPassesOwnHalf,successfulShortPasses,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,duelsLost,unsuccessfulShortPasses,aerialDuels,penaltiesFaced,keyPassesAttemptAssists,groundDuelsLost,drops,aerialDuelsWon,successfulDribbles,interceptions,blockedShots,totalTackles,unsuccessfulCrossesOpenPlay,aerialDuelsLost,putthroughBlockedDistribution,throwInsToOppositionPlayer,shotsBlockedInBox,putthroughBlockedDistributionWon,unsuccessfulCrossesAndCorners,iboxBlocked,tacklesWon,totalFoulsConceded,backwardPasses,throwInsToOwnPlayer,substituteOff,foulAttemptedTackle,expectedGoals,successfulCrossesOpenPlay,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,throughBalls,successfulLayoffs,goals,offsides,substituteOn,cornersTakenInclShortCorners,successfulCrossesAndCorners,tacklesLost,leftFootGoals,unsuccessfulDribbles,shotsOffTargetIncWoodwork,cornersWon,iboxTarget,shotsOnTargetInBox,blocks,headedGoals,hitWoodwork,shotsOnTargetOutsideBox,oboxTarget,rightFootGoals,handballsConceded,goalAssists,unsuccessfulLayoffs,penaltiesConceded,clearancesOffTheLine,ownGoalScored,oboxBlocked,shotsBlockedOutsideBox,successfulCornersIntoBox,unsuccessfulCornersIntoBox,expectedGoalsFreekick,freekickTotal,attemptsFromSetPieces,penaltiesTaken,redCards2ndYellow,setPiecesGoals,foulWonPenalty,penaltyGoals,goalKicks,penaltyGoalsConceded,winningGoal,lastPlayerTackle,penaltiesSaved,savesFromPenalty,overruns,awayGoals,totalTouchesInOppositionBox,homeGoals,timesTackled,secondGoalAssists,otherGoals
48844,David Ospina,Goalkeeper,Atlético Nacional,2302,Colombia,2015-16,1.0,4.2576,6.0,0.0089,1.0,5.0,0.0,3.0,11.0,17.0,1.0,1.0,2.0,93.0,49.0,4.0,9.0,1.0,4.0,25.0,4.0,4.0,49.0,110.0,1.0,0.0,33.0,39.0,2.0,49.0,12.0,2.0,8.0,6.0,35.0,360.0,151.0,1.0,1.0,1.0,26.0,36.0,26.0,8.0,0.0,49.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11334,Petr Cech,Goalkeeper,Chelsea PL2,7140,Czech Republic,2015-16,19.0,,127.0,,33.0,31.0,0.0,39.0,111.0,101.0,5.0,14.0,9.0,690.0,316.0,34.0,46.0,3.0,34.0,232.0,34.0,21.0,350.0,853.0,8.0,0.0,313.0,410.0,10.0,361.0,110.0,16.0,36.0,52.0,279.0,3060.0,1230.0,12.0,10.0,6.0,186.0,271.0,224.0,53.0,0.0,349.0,34.0,2.0,1.0,6.0,1.0,1.0,2.0,3.0,6.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113534,Matt Macey,Goalkeeper,Colchester United,99,England,2015-16,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41705,Brad Guzan,Goalkeeper,Middlesbrough,25,United States,2015-16,19.0,43.2122,137.0,0.07,26.0,58.0,0.0,54.0,52.0,89.0,1.0,8.0,7.0,617.0,259.0,28.0,35.0,4.0,28.0,210.0,28.0,53.0,346.0,721.0,4.0,0.0,231.0,345.0,12.0,351.0,111.0,2.0,27.0,52.0,264.0,2431.0,1031.0,8.0,5.0,4.0,195.0,165.0,111.0,54.0,2.0,340.0,50.0,,6.0,4.0,3.0,1.0,,2.0,4.0,,4.0,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.0,2.0,0.0,1.0,,,,,,,,,
10954,Mark Bunn,Goalkeeper,Aston Villa,7,England,2015-16,9.0,14.4331,39.0,0.025,9.0,18.0,0.0,9.0,9.0,27.0,,5.0,4.0,227.0,78.0,10.0,12.0,2.0,10.0,67.0,10.0,14.0,141.0,241.0,2.0,0.0,66.0,62.0,7.0,144.0,57.0,4.0,5.0,5.0,86.0,900.0,319.0,3.0,4.0,,54.0,33.0,14.0,13.0,2.0,140.0,23.0,2.0,1.0,3.0,2.0,,2.0,1.0,3.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,98.0,1.0,0.0,,1.0,1.0,,,,,,,
18726,Artur Boruc,Goalkeeper,Legia Warsaw,263,Poland,2015-16,8.0,45.5832,72.0,0.0199,17.0,51.0,0.0,47.0,69.0,77.0,1.0,8.0,2.0,553.0,261.0,32.0,20.0,,32.0,103.0,32.0,44.0,342.0,743.0,5.0,0.0,304.0,328.0,8.0,354.0,132.0,7.0,19.0,121.0,166.0,2880.0,1072.0,6.0,7.0,3.0,179.0,298.0,235.0,54.0,2.0,338.0,83.0,2.0,4.0,3.0,5.0,1.0,2.0,7.0,3.0,1.0,,,1.0,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,
61302,Ryan Allsop,Goalkeeper,Birmingham City,41,England,2015-16,,0.0438,,0.0001,,1.0,0.0,1.0,1.0,,,,,3.0,5.0,1.0,,,1.0,1.0,,1.0,1.0,8.0,,0.0,4.0,6.0,,1.0,,,,4.0,1.0,45.0,11.0,,,,1.0,6.0,6.0,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15885,Adam Federici,Goalkeeper,Stoke City U23,6927,Australia,2015-16,4.0,11.5537,11.0,0.002,5.0,15.0,0.0,3.0,17.0,13.0,,2.0,,76.0,36.0,6.0,4.0,1.0,6.0,20.0,6.0,15.0,31.0,108.0,2.0,0.0,42.0,66.0,2.0,32.0,11.0,,4.0,15.0,36.0,495.0,152.0,,,,15.0,57.0,41.0,9.0,0.0,31.0,8.0,2.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200369,Jordan Holmes,Goalkeeper,Ebbsfleet United,585,Australia,2015-16,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40349,Asmir Begovic,Goalkeeper,Everton,11,Bosnia & Herzegovina,2015-16,8.0,22.8118,36.0,0.0137,19.0,24.0,0.0,17.0,31.0,55.0,4.0,9.0,1.0,273.0,127.0,17.0,16.0,2.0,17.0,51.0,15.0,20.0,178.0,336.0,3.0,0.0,115.0,150.0,12.0,187.0,60.0,4.0,17.0,32.0,81.0,1397.0,509.0,8.0,4.0,2.0,89.0,107.0,77.0,39.0,0.0,178.0,23.0,1.0,,6.0,2.0,,1.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
