playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,throughBalls,gamesPlayed,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,goalsConcededOutsideBox,groundDuelsWon,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,shotsBlockedInBox,totalFoulsWon,winningGoal,recoveries,appearances,rightFootGoals,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,hitWoodwork,successfulPassesOwnHalf,handballsConceded,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,expectedAssists,totalRedCards,expectedGoalsFreekick,overruns,totalShots,unsuccessfulShortPasses,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,timePlayed,unsuccessfulLayoffs,duelsWon,putthroughBlockedDistribution,successfulShortPasses,totalTouchesInOppositionBox,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,oboxTarget,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,cornersWon,successfulDribbles,blocks,interceptions,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,foulAttemptedTackle,expectedGoals,yellowCards,successfulCrossesOpenPlay,foulWonPenalty,successfulCrossesAndCorners,penaltiesConceded,throwInsToOppositionPlayer,unsuccessfulCornersIntoBox,lastPlayerTackle,clearancesOffTheLine,redCards2ndYellow,catches,savesMade,savesMadeFromOutsideBox,goalKicks,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,ownGoalScored,successfulCornersIntoBox,penaltiesTaken,penaltyGoals,penaltiesSaved,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,goalkeeperSmother,drops,crossesNotClaimed,setPiecesGoals,otherGoals
17746,Emiliano Viviano,Goalkeeper,Arsenal,3,Italy,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37096,Lukasz Fabianski,Goalkeeper,Arsenal,3,Poland,2013-14,,,,,,,1.0,35.0,,,,,,,,,,,,0.8471,,4.0,,,0.0,11.0,1.0,,,,,,,23.0,,13.0,,,7.0,,6.0,,48.0,,,17.0,,13.0,1.0,,0.0011,0.0,,,,,,,1.0,13.0,,,,1.0,,90.0,,,,16.0,,,,,4.0,,,,24.0,,,5.0,,,,,,0.0,,,,,,,5.0,,,0.0,,,,,,,,,,2.0,5.0,2.0,8.0,7.0,7.0,2.0,3.0,,,,,,,,,,,,,,
59936,Wojciech Szczesny,Goalkeeper,Arsenal,3,Poland,2013-14,5.0,,,,3.0,,37.0,982.0,,,,,,,,1.0,5.0,7.0,5.0,48.4509,,174.0,,5.0,0.0,380.0,37.0,,,1.0,,1.0,,488.0,,379.0,1.0,,70.0,2.0,373.0,,1459.0,,,325.0,,357.0,41.0,,0.078,0.0,,,,13.0,,,37.0,370.0,,,15.0,16.0,,3330.0,,21.0,1.0,239.0,,47.0,41.0,4.0,117.0,26.0,,,795.0,,2.0,287.0,36.0,,,11.0,14.0,0.0,,3.0,,,,,191.0,2.0,,2.0,,,,2.0,,,2.0,,,63.0,111.0,61.0,317.0,386.0,136.0,33.0,49.0,,,,,1.0,27.0,6.0,1.0,27.0,21.0,5.0,5.0,,
41705,Brad Guzan,Goalkeeper,A Villa,7,United States,2013-14,5.0,,,,2.0,,38.0,1307.0,,,,,,,,2.0,10.0,6.0,5.0,54.1445,4.0,233.0,,7.0,0.0,430.0,38.0,,,,,,,566.0,,699.0,2.0,,41.0,1.0,474.0,,1699.0,,,201.0,,659.0,41.0,,0.1921,0.0,,,,18.0,1.0,,38.0,677.0,,,13.0,9.0,,3420.0,,17.0,1.0,156.0,,29.0,61.0,3.0,67.0,22.0,,,1199.0,,,429.0,51.0,,,9.0,11.0,0.0,1.0,,,,,,368.0,1.0,,1.0,,,,1.0,,,1.0,,,97.0,111.0,48.0,348.0,278.0,182.0,20.0,62.0,,,,,1.0,15.0,6.0,1.0,15.0,5.0,5.0,4.0,,
79852,Jed Steer,Goalkeeper,A Villa,7,England,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15144,David Marshall,Goalkeeper,Cardiff,97,Scotland,2013-14,2.0,,,,1.0,,37.0,1135.0,,,,,,,,1.0,12.0,5.0,2.0,73.269,1.0,129.0,,2.0,0.0,385.0,37.0,,,,,1.0,,500.0,,619.0,,,101.0,,294.0,,1551.0,,,316.0,,595.0,64.0,,0.1019,0.0,,,,14.0,,,37.0,609.0,,,6.0,7.0,,3330.0,,10.0,1.0,232.0,,23.0,73.0,1.0,79.0,12.0,1.0,,955.0,,1.0,210.0,61.0,,,6.0,5.0,0.0,1.0,1.0,,,,,313.0,,,2.0,,,,,,,1.0,,,58.0,153.0,62.0,390.0,329.0,221.0,49.0,87.0,,,,,,21.0,2.0,,9.0,4.0,1.0,3.0,,
19686,Joe Lewis,Goalkeeper,Cardiff,97,England,2013-14,,,,,,,1.0,43.0,,,,,,,,,,,,0.5354,,7.0,,,0.0,15.0,1.0,,,,,,,30.0,,15.0,,,12.0,,15.0,,64.0,,,18.0,,14.0,2.0,,0.0034,0.0,,,,,,,1.0,14.0,,,,,,90.0,,,,14.0,,4.0,1.0,,1.0,,,,30.0,,,11.0,1.0,,,,,0.0,,,,,,,11.0,,,0.0,,,,,,,,,,,4.0,2.0,11.0,20.0,4.0,1.0,2.0,,,,,,1.0,,,4.0,,,,,
74854,Simon Moore,Goalkeeper,Cardiff,97,England,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37634,Henrique Hilário,Goalkeeper,Chelsea,8,Portugal,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827,Mark Schwarzer,Goalkeeper,Chelsea,8,Australia,2013-14,,,,,,,4.0,81.0,,,,,,,,,,,1.0,,,6.0,,,0.0,42.0,4.0,,,,,,,34.0,,34.0,,,7.0,,25.0,,130.0,,,27.0,,34.0,5.0,,,0.0,,,,,,,4.0,34.0,,,1.0,2.0,,360.0,,1.0,,22.0,,4.0,3.0,,8.0,1.0,,,66.0,,,20.0,3.0,,,,1.0,0.0,,,,,,,13.0,,,0.0,,,,,,,,,,4.0,15.0,9.0,30.0,37.0,16.0,1.0,6.0,,,,,,8.0,1.0,,4.0,,1.0,,,
