playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,penaltiesConceded,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,handballsConceded,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,aerialDuelsLost,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,successfulLayoffs,unsuccessfulCrossesOpenPlay,offsides,oboxBlocked,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,tacklesLost,lastPlayerTackle,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,successfulDribbles,blocks,backwardPasses,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,expectedGoals,goalAssists,substituteOn,shotsBlockedInBox,iboxBlocked,goals,awayGoals,unsuccessfulLayoffs,homeGoals,headedGoals,expectedGoalsFreekick,shotsOnTargetOutsideBox,oboxTarget,freekickTotal,attemptsFromSetPieces,clearancesOffTheLine,rightFootGoals,cornersTakenInclShortCorners,leftFootGoals,redCards2ndYellow,unsuccessfulCornersIntoBox,hitWoodwork,successfulCornersIntoBox,penaltiesTaken,penaltyGoals,secondGoalAssists,foulWonPenalty,setPiecesGoals,ownGoalScored,otherGoals
59936,Wojciech Szczesny,Goalkeeper,Barcelona,178,Poland,2012-13,4.0,1.0,0.05,0.0,17.0,37.0,5.0,25.0,25.0,224.0,611.0,171.0,22.0,5.0,10.0,3.0,2250.0,7.0,6.0,1.0,2.0,181.0,1.0,14.0,2.0,28.0502,98.0,27.0,24.0,4.0,86.0,72.0,1.0,0.0,11.0,13.0,484.0,219.0,25.0,2.0,2.0,152.0,18.0,6.0,5.0,0.0,222.0,371.0,233.0,81.0,24.0,41.0,2.0,1.0,206.0,882.0,130.0,235.0,34.0,1.0,1.0,219.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37096,Lukasz Fabianski,Goalkeeper,West Ham United U21,12944,Poland,2012-13,,,0.0139,0.0,4.0,2.0,6.0,4.0,4.0,53.0,116.0,34.0,5.0,,1.0,1.0,360.0,,,,,21.0,,2.0,1.0,3.1033,17.0,3.0,3.0,,8.0,7.0,,0.0,,1.0,103.0,40.0,4.0,,2.0,36.0,3.0,,,0.0,37.0,61.0,54.0,17.0,2.0,5.0,,,42.0,152.0,31.0,27.0,5.0,,0.0,47.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20487,Vito Mannone,Goalkeeper,Lille,429,Italy,2012-13,1.0,,0.0281,0.0,7.0,9.0,5.0,9.0,9.0,95.0,224.0,71.0,6.0,5.0,3.0,2.0,810.0,5.0,1.0,,1.0,53.0,,4.0,1.0,10.1192,39.0,4.0,10.0,,23.0,23.0,1.0,0.0,6.0,4.0,186.0,70.0,9.0,1.0,2.0,61.0,9.0,1.0,4.0,0.0,76.0,122.0,95.0,37.0,9.0,15.0,,,76.0,308.0,43.0,68.0,14.0,,0.0,90.0,13.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98980,Emiliano Martínez,Goalkeeper,Aston Villa,7,Argentina,2012-13,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41705,Brad Guzan,Goalkeeper,Middlesbrough,25,United States,2012-13,9.0,1.0,,0.0,97.0,39.0,23.0,36.0,36.0,572.0,1156.0,390.0,17.0,13.0,5.0,8.0,3240.0,19.0,7.0,1.0,8.0,140.0,1.0,25.0,7.0,,177.0,35.0,65.0,7.0,58.0,114.0,5.0,0.0,28.0,13.0,1037.0,406.0,36.0,1.0,5.0,406.0,58.0,15.0,11.0,0.0,355.0,513.0,594.0,181.0,25.0,61.0,1.0,1.0,444.0,1598.0,269.0,178.0,75.0,,2.0,549.0,45.0,2.0,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822,Shay Given,Goalkeeper,Stoke City,110,Ireland,2012-13,1.0,,,0.0,3.0,1.0,1.0,2.0,2.0,25.0,64.0,20.0,,2.0,,,180.0,2.0,1.0,,,17.0,,,,,4.0,,4.0,1.0,8.0,2.0,,0.0,3.0,,46.0,22.0,2.0,,,13.0,3.0,1.0,2.0,0.0,25.0,33.0,27.0,7.0,1.0,10.0,,,22.0,82.0,15.0,26.0,1.0,,0.0,24.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,Andy Marshall,Goalkeeper,Aston Villa,7,England,2012-13,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11334,Petr Cech,Goalkeeper,Chelsea PL2,7140,Czech Republic,2012-13,,,0.1789,0.0,49.0,48.0,15.0,36.0,36.0,414.0,966.0,268.0,43.0,3.0,14.0,1.0,3195.0,8.0,6.0,,5.0,280.0,,28.0,,40.7321,101.0,31.0,36.0,,134.0,122.0,4.0,0.0,8.0,4.0,700.0,323.0,36.0,1.0,3.0,175.0,30.0,5.0,3.0,0.0,338.0,544.0,425.0,123.0,19.0,132.0,1.0,,272.0,1380.0,226.0,377.0,70.0,1.0,2.0,399.0,44.0,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17694,Ross Turnbull,Goalkeeper,Leeds United,2,England,2012-13,,,0.0024,0.0,3.0,2.0,1.0,3.0,2.0,22.0,58.0,15.0,3.0,1.0,,,225.0,1.0,1.0,,,23.0,,1.0,,2.032,5.0,1.0,3.0,,10.0,5.0,,0.0,1.0,1.0,41.0,23.0,3.0,,,8.0,2.0,,1.0,0.0,23.0,33.0,23.0,7.0,,7.0,,,13.0,83.0,12.0,28.0,3.0,,0.0,21.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
37634,Henrique Hilário,Goalkeeper,Chelsea,8,Portugal,2012-13,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
