season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025050,1,43,Manchester_City,Away,839956,223094,Erling Haaland,erling-haaland,F,False,,,,1.0,1.0,2.0,,4.0,,1.0,,2.0,,,,,,2.0,5.0,,,0.00162474,1.9919,1.0639,1.0,0.0,2.0,,,,,,,0.65,3.21,0.95,0.21,3.06,73.0,2.0,,,,,,,4.0,,,8.5,,,4.0,,,,1.0,,,,,2.0,2.0,4.0,,,6,1.0,13.0,1.0,,,
2025-26,14025050,1,43,Manchester_City,Away,873554,438234,Omar Marmoush,omar-marmoush,F,True,,,,4.0,1.0,5.0,,,,1.0,,,1.0,,,,1.0,2.0,2.0,,,0.00452855,0.1217,,,0.0,,,,,,,,0.31,1.31,0.44,0.17,1.07,24.0,,,,,,,,3.0,,,6.9,,,,,,,1.0,,,,,5.0,1.0,6.0,,,1,,12.0,,2.0,,
2025-26,14025083,2,43,Manchester_City,Home,839956,223094,Erling Haaland,erling-haaland,F,False,,,,6.0,4.0,10.0,,1.0,,3.0,1.0,1.0,,,,,1.0,2.0,2.0,,,0.29862,0.4709,,1.0,0.0,,,,,,1.0,,,,,,,90.0,,,,,,,,8.0,,,6.4,,,1.0,,,1.0,1.0,,,1.0,,9.0,5.0,14.0,,,1,,23.0,3.0,,1.0,
2025-26,14025083,2,43,Manchester_City,Home,873554,438234,Omar Marmoush,omar-marmoush,F,False,,,,7.0,4.0,11.0,,1.0,,1.0,,1.0,,1.0,,,1.0,2.0,4.0,,,0.00963131,0.6473,0.5919,,0.0,,,,,,,,,,,,,54.0,2.0,1.0,,,,,,9.0,,,6.6,,,1.0,,,1.0,1.0,2.0,,,,10.0,4.0,14.0,,,3,1.0,29.0,3.0,1.0,1.0,1.0
2025-26,14025094,3,43,Manchester_City,Away,839956,223094,Erling Haaland,erling-haaland,F,False,,,,3.0,3.0,6.0,,4.0,,1.0,,1.0,,,,,,1.0,5.0,,,0.00417895,1.4003,1.0956,1.0,0.0,1.0,,,,,,,,,,,,90.0,3.0,,,,,,,4.0,,,7.2,,,4.0,,,,,,,,,5.0,4.0,9.0,,,7,,20.0,1.0,1.0,,
2025-26,14025094,3,43,Manchester_City,Away,873554,438234,Omar Marmoush,omar-marmoush,F,False,,,,14.0,9.0,23.0,1.0,,,5.0,2.0,,,,,,4.0,7.0,8.0,,,0.444804,0.0546,,1.0,1.0,,,,,1.0,2.0,,,,,,,72.0,,,,,,,,11.0,,,7.9,,,1.0,,,,5.0,,,,,18.0,9.0,27.0,,,1,2.0,47.0,2.0,2.0,4.0,2.0
2025-26,14025142,4,43,Manchester_City,Home,839956,223094,Erling Haaland,erling-haaland,F,False,,,,7.0,4.0,11.0,,1.0,,2.0,1.0,1.0,,1.0,,,,2.0,3.0,,,0.148344,1.8767,1.2694,,0.0,2.0,,,1.0,,1.0,,,,,,,87.0,3.0,,,,,,,6.0,,,9.4,,,2.0,,,6.0,3.0,,,,,10.0,4.0,14.0,,,5,,31.0,2.0,,2.0,
2025-26,14025154,5,43,Manchester_City,Away,839956,223094,Erling Haaland,erling-haaland,F,False,,,,5.0,3.0,8.0,2.0,2.0,,3.0,,,,,,,2.0,7.0,3.0,,,0.0141265,0.5224,0.9416,3.0,0.0,1.0,,,,,,,,,,,,76.0,2.0,,,,,,,11.0,,,7.6,,,,,,2.0,,,,,,11.0,3.0,14.0,,,2,,26.0,3.0,1.0,,
2025-26,14025199,6,43,Manchester_City,Home,839956,223094,Erling Haaland,erling-haaland,F,False,,,,5.0,3.0,8.0,,2.0,,2.0,1.0,1.0,1.0,,,,1.0,1.0,2.0,,,0.243673,1.1653,1.574,,1.0,2.0,,,,,2.0,,,,,,,90.0,3.0,,,,,,,5.0,,,9.3,,,3.0,,,2.0,,,,,,8.0,4.0,12.0,,,7,,24.0,,,,
2025-26,14025219,7,43,Manchester_City,Away,839956,223094,Erling Haaland,erling-haaland,F,False,,,,7.0,3.0,10.0,1.0,2.0,4.0,,,,,,,,,2.0,3.0,,,0.0146781,0.2872,0.438,1.0,0.0,1.0,,,,,,,,,,,,90.0,1.0,,,,,,,6.0,,,7.5,,,,,35.627257316889,2.0,,,,,,13.0,3.0,16.0,-24.36,,1,,23.0,,1.0,,
