season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2016-17,7089877,1,43,Manchester_City,Home,17094,37572,Sergio Agüero,sergio-aguero,F,False,,,,19.0,7.0,26.0,6.0,,2.0,1.0,,2.0,5.0,,,1.0,13.0,2.0,,,,,1.0,,,,2.0,90.0,2.0,,,,,,,,11.0,,7.4,,,2.0,,,2.0,,,,1.0,23.0,10.0,33.0,6,,46.0,2.0,1.0,1.0,
2016-17,7089877,1,43,Manchester_City,Home,138534,103955,Raheem Sterling,raheem-sterling,F,False,,,,33.0,8.0,41.0,1.0,,6.0,,,,1.0,,,3.0,7.0,8.0,,,1.0,,,,,,1.0,90.0,,,,,,,,1.0,21.0,,7.0,,,1.0,,,7.0,3.0,,4.0,,44.0,10.0,51.0,1,,73.0,2.0,2.0,6.0,
2016-17,7089877,1,43,Manchester_City,Home,359642,173515,Kelechi Iheanacho,kelechi-iheanacho,F,True,,,,2.0,,2.0,2.0,,,,1.0,2.0,1.0,,,,4.0,,,,1.0,,,,,,,10.0,,,,,,,,,1.0,,5.8,,,,,2.0,,,,,,2.0,,2.0,2,,7.0,1.0,,,
2016-17,7090031,2,43,Manchester_City,Away,17094,37572,Sergio Agüero,sergio-aguero,F,False,,,1.0,12.0,5.0,17.0,,1.0,1.0,,,1.0,1.0,,,1.0,4.0,3.0,,,,,2.0,,,,1.0,83.0,3.0,1.0,,,,,,,11.0,,8.2,,,,,,4.0,1.0,,1.0,,17.0,5.0,21.0,4,,35.0,2.0,,2.0,
2016-17,7090031,2,43,Manchester_City,Away,138534,103955,Raheem Sterling,raheem-sterling,F,False,,,,20.0,6.0,26.0,3.0,,10.0,1.0,,,,,,5.0,11.0,8.0,,,2.0,1.0,,,,1.0,1.0,90.0,1.0,,,1.0,,,,,18.0,,7.0,,,1.0,,,2.0,,,,,27.0,7.0,34.0,2,4.0,57.0,4.0,3.0,1.0,4.0
2016-17,7090031,2,43,Manchester_City,Away,359642,173515,Kelechi Iheanacho,kelechi-iheanacho,F,True,,,,4.0,1.0,5.0,1.0,,,1.0,,,,,,2.0,3.0,2.0,,,,1.0,,,,,2.0,7.0,,,,,,,,,4.0,,,,,,,,1.0,,,1.0,,4.0,2.0,6.0,0,1.0,11.0,1.0,,1.0,1.0
2016-17,7090028,3,43,Manchester_City,Home,17094,37572,Sergio Agüero,sergio-aguero,F,False,,,,11.0,10.0,21.0,2.0,,2.0,1.0,,1.0,,,,1.0,4.0,4.0,,1.0,,,,,,,1.0,88.0,,,,,,,,,12.0,,7.3,,,4.0,,,5.0,1.0,,,2.0,18.0,10.0,27.0,5,,43.0,3.0,,4.0,
2016-17,7090028,3,43,Manchester_City,Home,138534,103955,Raheem Sterling,raheem-sterling,F,False,,,,25.0,8.0,33.0,,1.0,6.0,,,1.0,2.0,,,4.0,11.0,11.0,,,,,2.0,,,,2.0,90.0,2.0,,,,,,,,20.0,,8.5,,,1.0,,,8.0,3.0,,,,34.0,8.0,39.0,4,2.0,68.0,1.0,5.0,3.0,1.0
2016-17,7090028,3,43,Manchester_City,Home,359642,173515,Kelechi Iheanacho,kelechi-iheanacho,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090039,4,43,Manchester_City,Away,138534,103955,Raheem Sterling,raheem-sterling,F,False,,,,9.0,5.0,14.0,,,4.0,,,1.0,2.0,,,2.0,4.0,,,,,,,,,,,60.0,,,,,,,,,10.0,,6.5,,,,,,,,,,,17.0,5.0,22.0,1,,28.0,,,,
