playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,totalTackles,totalShots,successfulLayoffs,unsuccessfulCrossesOpenPlay,successfulCrossesAndCorners,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,tacklesWon,blocks,totalFoulsConceded,interceptions,backwardPasses,throwInsToOwnPlayer,substituteOff,blockedShots,shotsOnTargetIncGoals,overruns,throughBalls,goalAssists,goals,offsides,awayGoals,unsuccessfulLayoffs,homeGoals,tacklesLost,leftFootGoals,lastPlayerTackle,unsuccessfulDribbles,cornersWon,successfulDribbles,handballsConceded,ownGoalScored,clearancesOffTheLine,hitWoodwork,substituteOn,penaltiesConceded,rightFootGoals,headedGoals,attemptsFromSetPieces,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,setPiecesGoals,foulWonPenalty,penaltiesTaken,penaltyGoals
49493,Chris Herd,Midfielder,Gillingham,100,Australia,2010-11,8.0,0.0,,,11.0,6.0,1.0,14.0,66.0,,,11.0,,,107.0,6.0,16.0,,11.0,49.0,,,2.0,6.0,2.0,2.0,16.0,,4.0,0.0,24.0,,30.0,8.0,6.0,,,7.0,2.0,13.0,5.0,0.0,,63.0,17.0,,,16.0,3.0,89.0,5.0,45.0,,0.0,3.0,5.0,,7.0,,,2.0,,2.0,,,2.0,,,4.0,,1.0,3.0,4.0,,,,,,1.0,,,,,,,3.0,,,,,,,,,,5.0,,,,,,,,,,,
12002,Stewart Downing,Midfielder,Blackburn Rovers,5,England,2010-11,98.0,0.0,,,256.0,38.0,38.0,334.0,1487.0,,,27.0,7.0,,3387.0,18.0,102.0,7.0,93.0,1069.0,,4.0,6.0,28.0,59.0,80.0,296.0,,27.0,4.0,200.0,,511.0,235.0,38.0,,,829.0,52.0,173.0,9.0,0.0,,1455.0,703.0,,,412.0,84.0,2330.0,52.0,403.0,,0.0,78.0,73.0,44.0,38.0,62.0,79.0,167.0,79.0,122.0,3.0,78.0,245.0,56.0,36.0,28.0,2.0,6.0,65.0,268.0,60.0,2.0,36.0,26.0,7.0,17.0,7.0,7.0,4.0,2.0,7.0,5.0,10.0,4.0,,30.0,55.0,28.0,1.0,,,4.0,,,2.0,1.0,12.0,93.0,28.0,53.0,,,,
3884,Robert Pirès,Midfielder,Aston Villa,7,France,2010-11,18.0,0.0,,,17.0,9.0,2.0,19.0,183.0,,,6.0,,,248.0,5.0,16.0,,15.0,153.0,,,,1.0,3.0,13.0,74.0,,5.0,0.0,34.0,,37.0,20.0,9.0,,,104.0,3.0,28.0,1.0,0.0,,180.0,33.0,,,40.0,11.0,230.0,3.0,60.0,,0.0,2.0,3.0,,7.0,5.0,16.0,1.0,,6.0,,6.0,2.0,8.0,3.0,4.0,1.0,1.0,4.0,32.0,2.0,2.0,1.0,2.0,,,,,,,,,3.0,,,5.0,,3.0,,,,,7.0,,,,,1.0,,1.0,,,,
51938,Marc Albrighton,Midfielder,Leicester City,13,England,2010-11,175.0,0.0,,,110.0,29.0,20.0,133.0,480.0,,,29.0,2.0,,1804.0,25.0,138.0,4.0,134.0,325.0,,2.0,4.0,19.0,33.0,150.0,81.0,,29.0,0.0,313.0,,185.0,136.0,29.0,,,269.0,29.0,284.0,4.0,0.0,,476.0,414.0,,,114.0,22.0,1108.0,19.0,112.0,,3.0,23.0,32.0,30.0,66.0,33.0,18.0,119.0,34.0,70.0,2.0,32.0,127.0,86.0,14.0,48.0,3.0,36.0,46.0,100.0,17.0,12.0,9.0,19.0,23.0,1.0,4.0,5.0,,3.0,1.0,2.0,18.0,1.0,1.0,59.0,36.0,39.0,,,1.0,,9.0,1.0,4.0,,,11.0,4.0,5.0,,,,
37368,Michael Bradley,Midfielder,Aston Villa,7,United States,2010-11,2.0,0.0,,,7.0,3.0,,8.0,18.0,,,2.0,,,28.0,,3.0,,1.0,10.0,,,,,1.0,2.0,3.0,,,0.0,5.0,,7.0,3.0,3.0,,,6.0,1.0,3.0,2.0,0.0,,18.0,8.0,,,4.0,,22.0,,4.0,,0.0,1.0,4.0,,1.0,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
41823,Fabian Delph,Midfielder,Everton,11,England,2010-11,26.0,0.0,,,32.0,7.0,4.0,40.0,239.0,,,9.0,,,414.0,7.0,26.0,1.0,24.0,190.0,,,2.0,4.0,7.0,19.0,94.0,,5.0,0.0,52.0,,81.0,23.0,7.0,,,111.0,6.0,43.0,2.0,0.0,,237.0,61.0,,,39.0,9.0,325.0,5.0,89.0,,1.0,8.0,11.0,1.0,14.0,2.0,4.0,2.0,1.0,,2.0,4.0,2.0,10.0,1.0,9.0,1.0,5.0,11.0,25.0,8.0,4.0,,1.0,,1.0,,,,,,,5.0,,,4.0,2.0,5.0,,,,,3.0,,,,,,,,,,,
15154,Jean Makoun,Midfielder,Aston Villa,7,Cameroon,2010-11,45.0,1.0,,,80.0,7.0,7.0,84.0,393.0,,,13.0,,,554.0,9.0,38.0,,34.0,280.0,,1.0,2.0,,9.0,36.0,92.0,,8.0,0.0,83.0,,148.0,32.0,7.0,,,187.0,9.0,70.0,4.0,1.0,,388.0,114.0,,,110.0,29.0,479.0,2.0,122.0,,3.0,4.0,17.0,,25.0,2.0,22.0,4.0,,3.0,,7.0,4.0,11.0,2.0,9.0,,18.0,10.0,43.0,1.0,2.0,,,1.0,6.0,,,,,1.0,,16.0,,,5.0,3.0,1.0,,,,,,1.0,,,,,,,,,,
2160,Stiliyan Petrov,Midfielder,Aston Villa,7,Bulgaria,2010-11,117.0,0.0,,,117.0,27.0,23.0,148.0,1041.0,,,54.0,5.0,,2072.0,27.0,156.0,5.0,129.0,814.0,,3.0,11.0,42.0,36.0,90.0,286.0,,48.0,0.0,273.0,,318.0,156.0,27.0,,,491.0,31.0,219.0,27.0,0.0,,1024.0,201.0,,,285.0,79.0,1408.0,22.0,405.0,,6.0,31.0,29.0,2.0,72.0,15.0,43.0,4.0,3.0,18.0,,15.0,4.0,30.0,9.0,56.0,19.0,34.0,68.0,152.0,1.0,9.0,9.0,6.0,,8.0,2.0,1.0,2.0,0.0,2.0,1.0,16.0,,,10.0,7.0,9.0,,,,,4.0,,,1.0,1.0,,,,,,,
14668,Nigel Reo-Coker,Midfielder,MK Dons,22,England,2010-11,123.0,0.0,,,122.0,30.0,24.0,139.0,898.0,,,29.0,2.0,,2076.0,19.0,151.0,4.0,141.0,715.0,,4.0,,19.0,33.0,104.0,322.0,,27.0,0.0,274.0,,271.0,156.0,30.0,,,408.0,29.0,245.0,10.0,0.0,,892.0,211.0,,,187.0,44.0,1228.0,7.0,352.0,,5.0,17.0,35.0,1.0,102.0,4.0,35.0,2.0,1.0,14.0,,16.0,2.0,44.0,2.0,72.0,8.0,41.0,39.0,118.0,1.0,8.0,5.0,2.0,3.0,4.0,,,,,,,30.0,,,8.0,5.0,12.0,,,,,6.0,,,,,,,,,1.0,,
39954,Isaiah Osbourne,Midfielder,Walsall,42,England,2010-11,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79619,Jonathan Hogg,Midfielder,Huddersfield Town,38,England,2010-11,20.0,0.0,,,40.0,5.0,5.0,45.0,197.0,,,10.0,,,395.0,4.0,27.0,1.0,21.0,131.0,,,,5.0,9.0,16.0,66.0,,4.0,0.0,47.0,,44.0,29.0,5.0,,,67.0,8.0,37.0,6.0,0.0,,196.0,57.0,,,57.0,21.0,254.0,3.0,85.0,,1.0,5.0,15.0,,17.0,,10.0,1.0,,1.0,,3.0,1.0,4.0,,12.0,2.0,7.0,8.0,30.0,,3.0,,,,,,,,,,,5.0,,,,,,,,1.0,,,,,,,,,,,,,
90590,Daniel Johnson,Midfielder,Stoke City U21,12935,Jamaica,2010-11,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20481,Stephen Ireland,Midfielder,Bolton Wanderers,30,Ireland,2010-11,27.0,0.0,,,61.0,12.0,6.0,69.0,241.0,,,5.0,,,553.0,4.0,28.0,3.0,27.0,155.0,,,,7.0,16.0,23.0,67.0,,10.0,0.0,55.0,,89.0,33.0,12.0,,,102.0,13.0,50.0,1.0,0.0,,238.0,98.0,,,64.0,17.0,334.0,4.0,70.0,,1.0,8.0,11.0,,14.0,8.0,20.0,4.0,,12.0,,4.0,4.0,13.0,8.0,11.0,,5.0,14.0,21.0,1.0,4.0,2.0,,,5.0,,,1.0,,,,3.0,,,4.0,2.0,3.0,,,,,6.0,,,,,,,,,,,
59013,Barry Bannan,Midfielder,Millwall,103,Scotland,2010-11,30.0,0.0,,,50.0,12.0,7.0,71.0,323.0,,,7.0,,,636.0,7.0,20.0,2.0,20.0,225.0,,2.0,1.0,3.0,14.0,23.0,61.0,,,0.0,50.0,,122.0,49.0,12.0,,,140.0,12.0,43.0,,0.0,,320.0,103.0,,,97.0,27.0,410.0,5.0,115.0,,1.0,21.0,16.0,2.0,17.0,6.0,14.0,13.0,3.0,4.0,,7.0,14.0,10.0,4.0,10.0,,6.0,12.0,43.0,2.0,4.0,1.0,2.0,,7.0,1.0,,,,,,7.0,,,5.0,5.0,3.0,1.0,,,,5.0,,,,,2.0,1.0,1.0,,,,
