playerId,playerName,position,team_name,team_id,nationality,season,punches,penaltyGoalsConceded,successfulLaunches,totalClearances,goalsConceded,totalRedCards,catches,rightsidePasses,savesMade,winningGoal,forwardPasses,recoveries,appearances,savesMadeFromOutsideBox,unsuccessfulShortPasses,crossesNotClaimed,gamesPlayed,successfulPassesOppositionHalf,starts,goalsConcededInsideBox,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,straightRedCards,gkSuccessfulDistribution,openPlayPasses,savesMadeCaught,substituteOn,totalLossesOfPossession,gkUnsuccessfulDistribution,cleanSheets,penaltiesFaced,savesMadeParried,leftsidePasses,successfulLongPasses,timePlayed,touches,unsuccessfulLaunches,successfulPassesOwnHalf,successfulShortPasses,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,duelsLost,aerialDuels,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,groundDuelsLost,totalFoulsWon,duels,drops,groundDuels,aerialDuelsWon,substituteOff,totalTackles,totalShots,successfulLayoffs,unsuccessfulCrossesOpenPlay,totalTouchesInOppositionBox,tacklesLost,lastPlayerTackle,unsuccessfulCrossesAndCorners,shotsOffTargetIncWoodwork,tacklesWon,blocks,totalFoulsConceded,interceptions,backwardPasses,throwInsToOwnPlayer,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,throughBalls,goalAssists,goals,offsides,awayGoals,cornersTakenInclShortCorners,successfulCrossesAndCorners,successfulCornersIntoBox,throwInsToOppositionPlayer,ownGoalScored,keyPassesAttemptAssists,homeGoals,leftFootGoals,unsuccessfulDribbles,timesTackled,cornersWon,successfulDribbles,unsuccessfulCornersIntoBox,clearancesOffTheLine,hitWoodwork,penaltiesConceded,headedGoals,handballsConceded,unsuccessfulLayoffs,redCards2ndYellow,rightFootGoals,attemptsFromSetPieces,penaltiesTaken,penaltyGoals,foulWonPenalty,secondGoalAssists
49493,Chris Herd,Midfielder,Gillingham,100,Australia,2011-12,,2.0,6.0,43.0,18.0,1.0,,116.0,,0.0,253.0,78.0,19.0,,147.0,,19.0,230.0,19.0,17.0,178.0,542.0,,1.0,,539.0,,,235.0,,4.0,,,112.0,27.0,1475.0,806.0,25.0,138.0,337.0,,2.0,31.0,30.0,78.0,48.0,21.0,98.0,1.0,71.0,57.0,17.0,176.0,,128.0,27.0,10.0,42.0,11.0,12.0,8.0,18.0,10.0,,8.0,6.0,32.0,11.0,23.0,36.0,61.0,10.0,4.0,3.0,5.0,2.0,2.0,,1.0,1.0,1.0,,4.0,,9.0,,6.0,0.0,,8.0,19.0,5.0,12.0,,,,1.0,,1.0,,,1.0,,,,,
114283,Jack Grealish,Midfielder,Everton,11,England,2011-12,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51938,Marc Albrighton,Midfielder,Leicester City,13,England,2011-12,,3.0,9.0,18.0,22.0,0.0,,84.0,,0.0,155.0,114.0,26.0,,86.0,,26.0,267.0,15.0,21.0,129.0,452.0,,0.0,,429.0,,11.0,342.0,,3.0,,,109.0,16.0,1489.0,897.0,32.0,93.0,307.0,,3.0,43.0,33.0,99.0,18.0,14.0,80.0,1.0,76.0,85.0,18.0,179.0,,161.0,4.0,6.0,41.0,14.0,15.0,99.0,30.0,13.0,,126.0,8.0,28.0,3.0,20.0,32.0,104.0,7.0,25.0,8.0,6.0,11.0,2.0,2.0,2.0,1.0,1.0,57.0,37.0,12.0,1.0,,21.0,1.0,,31.0,45.0,31.0,17.0,26.0,1.0,1.0,,,2.0,,,2.0,,,,,
41823,Fabian Delph,Midfielder,Everton,11,England,2011-12,,1.0,6.0,9.0,11.0,0.0,,95.0,,0.0,132.0,50.0,11.0,,55.0,,11.0,185.0,10.0,10.0,72.0,384.0,,0.0,,384.0,,1.0,113.0,,2.0,,,82.0,13.0,855.0,529.0,12.0,131.0,299.0,,3.0,17.0,11.0,47.0,17.0,11.0,59.0,1.0,53.0,36.0,18.0,106.0,,89.0,6.0,5.0,23.0,3.0,5.0,6.0,2.0,5.0,,7.0,3.0,18.0,2.0,6.0,15.0,75.0,1.0,1.0,4.0,,1.0,,,,,,4.0,4.0,3.0,,,8.0,,,9.0,19.0,2.0,12.0,1.0,,,1.0,,,,,,,,,,
15154,Jean Makoun,Midfielder,Aston Villa,7,Cameroon,2011-12,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2160,Stiliyan Petrov,Midfielder,Aston Villa,7,Bulgaria,2011-12,,3.0,8.0,52.0,36.0,0.0,,311.0,,4.0,350.0,167.0,27.0,,153.0,,27.0,565.0,26.0,33.0,198.0,1165.0,,0.0,,1131.0,,1.0,290.0,,3.0,,,315.0,62.0,2328.0,1642.0,43.0,423.0,905.0,,7.0,45.0,43.0,107.0,30.0,14.0,129.0,3.0,113.0,93.0,39.0,236.0,,206.0,16.0,5.0,59.0,32.0,31.0,19.0,24.0,16.0,,44.0,19.0,43.0,15.0,31.0,97.0,189.0,3.0,4.0,12.0,13.0,2.0,8.0,2.0,4.0,,4.0,40.0,21.0,15.0,,,37.0,0.0,2.0,10.0,28.0,14.0,15.0,18.0,,1.0,,,,3.0,,2.0,6.0,,,,
77800,Gary Gardner,Midfielder,Cambridge United,101,England,2011-12,,1.0,1.0,10.0,15.0,0.0,,72.0,,0.0,92.0,27.0,14.0,,58.0,,14.0,102.0,5.0,14.0,75.0,257.0,,0.0,,255.0,,9.0,100.0,,,,,62.0,27.0,605.0,365.0,7.0,82.0,155.0,,1.0,17.0,13.0,40.0,14.0,7.0,25.0,1.0,18.0,33.0,5.0,65.0,,51.0,7.0,2.0,11.0,12.0,1.0,5.0,7.0,1.0,,6.0,8.0,10.0,7.0,12.0,12.0,31.0,3.0,2.0,4.0,4.0,1.0,,,,,,1.0,2.0,,,,1.0,,,7.0,12.0,2.0,2.0,1.0,,,,,,,,,2.0,,,,
114042,Samir Carruthers,Midfielder,Eastleigh,2625,Ireland,2011-12,,,,,1.0,0.0,,6.0,,0.0,5.0,3.0,3.0,,2.0,,3.0,10.0,,1.0,2.0,14.0,,0.0,,14.0,,3.0,6.0,,,,,2.0,1.0,20.0,26.0,,2.0,11.0,,1.0,,,5.0,,,5.0,,5.0,5.0,1.0,10.0,,10.0,,,3.0,1.0,,,1.0,1.0,,,1.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,
18737,Charles N'Zogbia,Midfielder,Aston Villa,7,France,2011-12,,5.0,,7.0,25.0,0.0,,164.0,,0.0,177.0,143.0,30.0,,156.0,,30.0,442.0,24.0,23.0,172.0,697.0,,0.0,,686.0,,6.0,474.0,,2.0,,,163.0,14.0,2083.0,1282.0,8.0,121.0,511.0,,4.0,16.0,33.0,202.0,26.0,21.0,117.0,2.0,112.0,181.0,32.0,319.0,,293.0,5.0,12.0,42.0,34.0,40.0,62.0,94.0,8.0,,98.0,24.0,34.0,1.0,38.0,28.0,193.0,4.0,19.0,19.0,10.0,17.0,7.0,4.0,2.0,1.0,1.0,51.0,38.0,19.0,1.0,,45.0,1.0,2.0,85.0,135.0,28.0,38.0,26.0,,1.0,,,,4.0,,,6.0,,,,
90590,Daniel Johnson,Midfielder,Stoke City U21,12935,Jamaica,2011-12,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
