playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,awayGoals,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,homeGoals,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,tacklesWon,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,putthroughBlockedDistribution,fiftyFifty,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,throughBalls,successfulFiftyFifty,goals,offsides,oboxBlocked,iboxTarget,shotsOnTargetInBox,keyPassesAttemptAssists,shotsBlockedInBox,rightFootGoals,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,totalFoulsConceded,clearancesOffTheLine,backwardPasses,throwInsToOwnPlayer,handballsConceded,secondGoalAssists,successfulCrossesOpenPlay,totalShots,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCrossesAndCorners,penaltiesConceded,totalTouchesInOppositionBox,throwInsToOppositionPlayer,putthroughBlockedDistributionWon,oboxTarget,tacklesLost,headedGoals,iboxBlocked,successfulDribbles,blocks,interceptions,substituteOff,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,successfulCornersIntoBox,ownGoalScored,unsuccessfulCornersIntoBox,redCards2ndYellow,substituteOn,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,unsuccessfulLayoffs,foulWonPenalty,penaltiesTaken,penaltyGoals,hitWoodwork
515597,Lamare Bogarde,Midfielder,Aston Villa U21,15986,Netherlands,2021-22,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122775,Morgan Sanson,Midfielder,Nice,1395,France,2021-22,26.0,,0.0704,0.0,,12.0,,26.0,10.0,3.0,33.0,153.0,0.0,,9.0,,,352.0,6.0,41.0,1.0,38.0,117.0,,,2.0,5.1362,,2.0,8.0,20.0,29.0,,13.0,0.0,67.0,0.0,,57.0,33.0,10.0,,,70.0,7.0,58.0,3.0,0.0,,152.0,3.0,58.0,8.0,,,32.0,3.0,258.0,1.0,52.0,,0.0,7.0,9.0,20.0,17.0,,,,3.0,11.0,,,,,,1.0,,,,3.0,6.0,13.0,1.0,3.0,,35.0,1.0,,,2.0,1.0,,1.0,6.0,,,2.0,,1.0,,13.0,,4.0,,,13.0,,10.0,3.0,,3.0,0.0169,,,,,7.0,,,,1.0,,,,
230046,Douglas Luiz,Midfielder,Aston Villa,7,Brazil,2021-22,153.0,,2.1815,0.0,,59.0,,147.0,34.0,31.0,192.0,1452.0,0.0,,58.0,5.0,,2720.0,32.0,150.0,7.0,124.0,1207.0,,,4.0,35.2027,2.0,22.0,38.0,121.0,383.0,,41.0,0.0,303.0,2.0,,436.0,183.0,34.0,,,624.0,31.0,245.0,26.0,0.0,,1323.0,5.0,350.0,39.0,,,429.0,53.0,1936.0,18.0,656.0,,7.0,45.0,56.0,33.0,89.0,8.0,8.0,2.0061,7.0,42.0,2.0,,8.0,1.0,1.0,34.0,,,2.0,19.0,63.0,36.0,7.0,37.0,,204.0,10.0,3.0,,3.0,15.0,3.0,7.0,18.0,57.0,5.0,20.0,,8.0,1.0,23.0,5.0,20.0,,,24.0,7.0,34.0,9.0,8.0,14.0,1.9606,17.0,,30.0,,3.0,8.0,8.0,0.2239,,,,,
122806,John McGinn,Midfielder,Aston Villa,7,Scotland,2021-22,176.0,,5.313,0.0,,106.0,,186.0,35.0,35.0,255.0,1241.0,2.0,,40.0,9.0,,3092.0,17.0,253.0,9.0,230.0,871.0,,,2.0,42.4942,3.0,28.0,48.0,159.0,208.0,,81.0,1.0,429.0,1.0,,479.0,200.0,35.0,,,663.0,39.0,389.0,23.0,0.0,,1179.0,23.0,446.0,64.0,,,437.0,115.0,1917.0,9.0,356.0,,8.0,69.0,55.0,65.0,89.0,10.0,16.0,2.6184,15.0,44.0,3.0,,10.0,3.0,3.0,47.0,,,3.0,24.0,77.0,52.0,17.0,57.0,,117.0,4.0,,,13.0,33.0,4.0,14.0,28.0,52.0,10.0,33.0,,28.0,2.0,47.0,10.0,42.0,,,44.0,6.0,35.0,3.0,10.0,48.0,1.5137,14.0,,35.0,,,,,,2.0,,,,
195546,Emiliano Buendía,Midfielder,Aston Villa,7,Argentina,2021-22,147.0,,4.1666,0.0,,38.0,,138.0,35.0,22.0,157.0,851.0,2.0,,54.0,,,1901.0,35.0,141.0,8.0,122.0,667.0,,,2.0,25.7503,2.0,9.0,32.0,112.0,207.0,,44.0,2.0,288.0,2.0,,235.0,110.0,35.0,,,478.0,24.0,234.0,19.0,0.0,,819.0,15.0,301.0,18.0,,,217.0,27.0,1267.0,5.0,221.0,,1.0,19.0,27.0,37.0,79.0,13.0,13.0,3.5637,21.0,39.0,4.0,3.0,6.0,6.0,6.0,42.0,7.0,3.0,,24.0,29.0,65.0,18.0,17.0,,192.0,12.0,,,3.0,31.0,6.0,18.0,12.0,17.0,3.0,5.0,1.0,73.0,,18.0,3.0,20.0,1.0,7.0,40.0,3.0,9.0,17.0,6.0,11.0,3.3735,,,13.0,,13.0,,,,,,,,
85242,Conor Hourihane,Midfielder,Barnsley,37,Ireland,2021-22,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148508,Trézéguet,Midfielder,Trabzonspor,383,Egypt,2021-22,,,0.0053,0.0,,,,,1.0,,,6.0,0.0,,,,,10.0,,1.0,,1.0,5.0,,,,0.1567,,,1.0,,1.0,,,0.0,1.0,0.0,,1.0,,1.0,,,5.0,1.0,1.0,,0.0,,6.0,,2.0,,,,2.0,1.0,11.0,,1.0,,0.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,1.0,,0.047,,,,,1.0,,,,,,,,
184704,Marvelous Nakamba,Midfielder,Luton Town,102,Zimbabwe,2021-22,62.0,,0.1524,0.0,,32.0,,50.0,16.0,10.0,57.0,384.0,0.0,,23.0,1.0,,905.0,13.0,65.0,5.0,55.0,314.0,,,,17.8576,2.0,16.0,20.0,49.0,96.0,,9.0,0.0,127.0,0.0,,123.0,82.0,16.0,,,151.0,15.0,104.0,10.0,0.0,,373.0,1.0,84.0,19.0,,,115.0,13.0,533.0,5.0,176.0,,5.0,7.0,28.0,15.0,24.0,,,,1.0,13.0,,,,,,2.0,,,,2.0,1.0,12.0,,16.0,,50.0,,,,,,,1.0,1.0,,,,,,,10.0,,13.0,,,14.0,4.0,12.0,5.0,,14.0,,,,,,6.0,,,,,,,,
84583,Philippe Coutinho,Midfielder,Aston Villa,7,Brazil,2021-22,82.0,,1.7307,0.0,,17.0,,93.0,19.0,16.0,105.0,629.0,2.0,,22.0,,,1339.0,17.0,63.0,2.0,58.0,497.0,,,,13.4579,,4.0,17.0,65.0,167.0,,20.0,1.0,145.0,3.0,,182.0,53.0,19.0,,,374.0,15.0,123.0,5.0,0.0,,605.0,6.0,202.0,12.0,,,137.0,27.0,882.0,2.0,154.0,,0.0,12.0,14.0,19.0,43.0,9.0,16.0,3.3455,3.0,20.0,5.0,4.0,6.0,5.0,5.0,22.0,3.0,5.0,,22.0,14.0,42.0,18.0,8.0,,143.0,3.0,,,3.0,34.0,3.0,12.0,7.0,6.0,6.0,4.0,,51.0,,10.0,6.0,5.0,,3.0,21.0,1.0,7.0,11.0,6.0,6.0,3.7791,1.0,,5.0,,3.0,6.0,6.0,0.3418,1.0,,,,
478912,Carney Chukwuemeka,Midfielder,Chelsea,8,England,2021-22,24.0,,0.5865,0.0,,7.0,,21.0,12.0,2.0,22.0,120.0,0.0,,16.0,,,295.0,9.0,29.0,,22.0,96.0,,,2.0,5.2315,,2.0,6.0,15.0,38.0,,9.0,0.0,53.0,0.0,,22.0,16.0,12.0,,,59.0,6.0,37.0,7.0,0.0,,118.0,2.0,45.0,1.0,,,25.0,2.0,186.0,1.0,39.0,,0.0,1.0,8.0,6.0,15.0,3.0,1.0,0.4325,,5.0,,,2.0,1.0,1.0,1.0,1.0,,,4.0,,10.0,,3.0,,35.0,,,,,1.0,1.0,4.0,,,,,,11.0,,3.0,,6.0,,1.0,6.0,,1.0,2.0,2.0,3.0,0.627,,,,,10.0,,,,,,,,
