season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2015-16,6767934,1,110,Stoke_City,Home,1204,9047,Glen Johnson,glen-johnson,D,False,1.0,,1.0,14.0,14.0,27.0,1.0,1.0,5.0,,,,4.0,,,,7.0,8.0,,,,,,,,1.0,,,90.0,,1.0,,,,,6.3,,,1.0,,,6.0,6.0,,2.0,,23.0,18.0,35.0,1,2.0,68.0,,1.0,4.0,
2015-16,6767934,1,110,Stoke_City,Home,17063,39487,Erik Pieters,erik-pieters,D,False,,,1.0,8.0,10.0,18.0,1.0,1.0,,,,,2.0,,,2.0,6.0,5.0,,,1.0,,,,,3.0,,,45.0,,1.0,,,,,6.6,,,,,1.0,,,,1.0,,10.0,11.0,21.0,0,3.0,38.0,,1.0,,
2015-16,6767934,1,110,Stoke_City,Home,48988,50089,Geoff Cameron,geoff-cameron,D,False,,,1.0,9.0,18.0,27.0,1.0,1.0,7.0,,,,,,,,2.0,3.0,,,,,,,,3.0,,,90.0,,1.0,,,,,6.8,,,,,5.0,1.0,,,7.0,,19.0,21.0,40.0,0,2.0,53.0,,,,
2015-16,6767934,1,110,Stoke_City,Home,54311,61595,Marc Muniesa,marc-muniesa,D,False,,,4.0,15.0,32.0,47.0,3.0,1.0,4.0,,,,2.0,,,,6.0,8.0,,1.0,1.0,,,,,2.0,,,90.0,,,,,,,6.9,,,,,2.0,,,,7.0,,21.0,34.0,55.0,0,5.0,80.0,3.0,2.0,,
2015-16,6767934,1,110,Stoke_City,Home,94329,69960,Philipp Wollscheid,philipp-wollscheid,D,True,,,1.0,3.0,4.0,7.0,,1.0,1.0,,,,,,,,1.0,3.0,,,1.0,,,,,1.0,,,45.0,,,,,,,6.7,,,,,2.0,,,,4.0,,7.0,6.0,13.0,0,2.0,19.0,1.0,,,
2015-16,6767954,2,110,Stoke_City,Away,1204,9047,Glen Johnson,glen-johnson,D,False,1.0,,1.0,14.0,20.0,33.0,,,5.0,,,,2.0,,,3.0,6.0,,,1.0,,,,,,3.0,1.0,,90.0,,,,,,,5.7,,,,,,1.0,2.0,,1.0,,19.0,21.0,38.0,0,,64.0,2.0,,,
2015-16,6767954,2,110,Stoke_City,Away,17063,39487,Erik Pieters,erik-pieters,D,False,2.0,,1.0,23.0,18.0,39.0,,1.0,8.0,,,,,,,1.0,4.0,12.0,,,2.0,,,,,2.0,1.0,,90.0,,1.0,,,,,7.1,,,,,2.0,2.0,7.0,,2.0,,33.0,22.0,48.0,0,5.0,82.0,1.0,5.0,1.0,
2015-16,6767954,2,110,Stoke_City,Away,48988,50089,Geoff Cameron,geoff-cameron,D,False,,,,12.0,21.0,33.0,,5.0,3.0,,,,2.0,,,1.0,3.0,9.0,,,,,,,,2.0,,,90.0,,2.0,,,,,6.6,,,,,7.0,2.0,,,2.0,,17.0,24.0,41.0,0,1.0,59.0,,1.0,2.0,
2015-16,6767954,2,110,Stoke_City,Away,54311,61595,Marc Muniesa,marc-muniesa,D,False,,,5.0,15.0,27.0,42.0,2.0,1.0,8.0,,,,1.0,,,1.0,6.0,3.0,,,1.0,,,,,5.0,,,90.0,,1.0,,,,,6.5,,,,,2.0,2.0,,,8.0,,20.0,27.0,47.0,0,1.0,62.0,,,1.0,
2015-16,6767954,2,110,Stoke_City,Away,94329,69960,Philipp Wollscheid,philipp-wollscheid,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2015-16,6767963,3,110,Stoke_City,Away,1204,9047,Glen Johnson,glen-johnson,D,False,,,,19.0,20.0,39.0,,,5.0,,,,1.0,,,6.0,8.0,3.0,,,,,,,,,,,90.0,,,,,,,5.8,,,,,2.0,2.0,4.0,,2.0,1.0,29.0,21.0,46.0,0,2.0,77.0,,,1.0,
2015-16,6767963,3,110,Stoke_City,Away,17063,39487,Erik Pieters,erik-pieters,D,False,,,2.0,19.0,20.0,39.0,1.0,2.0,2.0,,,,,,,,2.0,5.0,,,1.0,,,,,1.0,,,90.0,,,,,,,6.9,,,,,1.0,,,,4.0,,26.0,21.0,47.0,0,2.0,64.0,,1.0,,
2015-16,6767963,3,110,Stoke_City,Away,48988,50089,Geoff Cameron,geoff-cameron,D,False,,,1.0,13.0,31.0,44.0,1.0,3.0,7.0,,,,1.0,,,1.0,4.0,6.0,,,1.0,,,,,2.0,,,90.0,,1.0,,,,,6.6,,,,,1.0,2.0,,,5.0,,20.0,34.0,54.0,0,1.0,64.0,,,2.0,
2015-16,6767963,3,110,Stoke_City,Away,54311,61595,Marc Muniesa,marc-muniesa,D,False,,,2.0,15.0,25.0,40.0,,1.0,3.0,,,,,,,,1.0,1.0,,,1.0,,,,,4.0,,,90.0,,3.0,,,,,6.9,,,,,8.0,,,,6.0,,18.0,28.0,46.0,0,,63.0,,,,
2015-16,6767963,3,110,Stoke_City,Away,94329,69960,Philipp Wollscheid,philipp-wollscheid,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
