season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025047,1,6,Tottenham_Hotspur,Home,94758,115556,Ben Davies,ben-davies,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025047,1,6,Tottenham_Hotspur,Home,794953,135720,Kevin Danso,kevin-danso,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025047,1,6,Tottenham_Hotspur,Home,829932,221632,Cristian Romero,cristian-romero,D,False,,,2.0,20.0,58.0,78.0,2.0,4.0,,3.0,,,,,,,5.0,5.0,,1.0,0.0202256,,,3.0,0.0,,,,,,,,0.27,3.81,1.06,0.18,3.45,90.0,,2.0,,,11.0,,,7.2,,,,,,3.0,,,,4.0,,29.0,59.0,88.0,,,0,,95.0,1.0,1.0,,
2025-26,14025047,1,6,Tottenham_Hotspur,Home,913654,441164,Pedro Porro,pedro-porro,D,False,2.0,,5.0,30.0,16.0,46.0,1.0,,,4.0,,,,3.0,,,6.0,4.0,,,0.257314,0.0223,,2.0,0.0,,,,,,3.0,,0.74,4.66,1.47,0.31,3.12,90.0,,,,,23.0,,,7.6,,,1.0,,,2.0,1.0,8.0,,13.0,,38.0,24.0,62.0,,,1,2.0,94.0,1.0,1.0,1.0,
2025-26,14025047,1,6,Tottenham_Hotspur,Home,945798,232859,Djed Spence,djed-spence,D,False,,,1.0,31.0,17.0,48.0,1.0,1.0,,2.0,,,,,,,2.0,2.0,,,0.0692794,0.1793,0.1153,1.0,0.0,,,,,,,,0.65,3.84,1.21,0.48,3.31,90.0,1.0,,,,5.0,,,7.1,,,1.0,,,3.0,1.0,2.0,,3.0,,34.0,17.0,51.0,,,2,,62.0,,,1.0,
2025-26,14025047,1,6,Tottenham_Hotspur,Home,998247,491279,Micky van de Ven,micky-van-de-ven,D,False,,,,16.0,47.0,63.0,2.0,3.0,,4.0,,,,,,,3.0,5.0,,,0.00544451,0.5881,,,0.0,,,,,1.0,,1.0,0.39,3.64,1.02,0.29,3.76,90.0,,,,,7.0,,,6.9,,,2.0,,,4.0,1.0,,,3.0,,19.0,49.0,68.0,,,2,1.0,82.0,1.0,1.0,,1.0
2025-26,14025047,1,6,Tottenham_Hotspur,Home,1405212,,Luka Vušković,luka-vuskovic,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025083,2,6,Tottenham_Hotspur,Away,94758,115556,Ben Davies,ben-davies,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025083,2,6,Tottenham_Hotspur,Away,794953,135720,Kevin Danso,kevin-danso,D,True,,,,1.0,1.0,2.0,,1.0,,,,,,,,,,1.0,,,7.223e-05,,,,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,1.0,1.0,2.0,,,0,,4.0,,,,
2025-26,14025083,2,6,Tottenham_Hotspur,Away,829932,221632,Cristian Romero,cristian-romero,D,False,,,2.0,4.0,29.0,33.0,,,,6.0,,,,,,,1.0,4.0,,,0.00079788,,,1.0,0.0,,,,,3.0,,,,,,,,90.0,,1.0,,,8.0,,,7.1,,,,,,3.0,,,,6.0,,10.0,30.0,40.0,,,0,3.0,53.0,1.0,1.0,,2.0
