season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2019-20,8243390,1,21,West_Ham_United,Home,9127,18987,Robert Snodgrass,robert-snodgrass,M,True,1.0,,,11.0,3.0,13.0,1.0,1.0,3.0,1.0,,,1.0,,1.0,4.0,2.0,,,1.0,,,,,,1.0,,34.0,,,,,,,,5.0,,6.4,,,,,,3.0,,1.0,,15.0,3.0,15.0,0,,22.0,,1.0,,
2019-20,8243390,1,21,West_Ham_United,Home,11796,20658,Pablo Zabaleta,pablo-zabaleta,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243390,1,21,West_Ham_United,Home,14229,40694,Roberto Jiménez,roberto-jimenez,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243390,1,21,West_Ham_United,Home,15479,37096,Łukasz Fabiański,ukasz-fabianski,G,False,,,10.0,8.0,9.0,17.0,,,10.0,,,,,,,,1.0,,,,,,,,,,,90.0,,,,,1.0,,,12.0,,5.8,2.0,4.0,,,1.0,,,21.0,,17.0,12.0,29.0,0,,42.0,,,1.0,
2019-20,8243390,1,21,West_Ham_United,Home,21164,40669,Angelo Ogbonna,angelo-ogbonna,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243390,1,21,West_Ham_United,Home,26995,42824,Carlos Sánchez,carlos-sanchez,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243390,1,21,West_Ham_United,Home,34312,,Javier Hernández,javier-hernandez,F,True,,,,3.0,4.0,7.0,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,24.0,1.0,,,,,,,1.0,,6.2,,,1.0,,,,,,,3.0,4.0,7.0,2,,10.0,,,,
2019-20,8243390,1,21,West_Ham_United,Home,38094,54102,Jack Wilshere,jack-wilshere,M,False,,,1.0,12.0,9.0,21.0,,3.0,5.0,,,,1.0,,1.0,2.0,7.0,,,,,,,,,,,56.0,,,,,,,,5.0,,6.5,,,,,,,,1.0,,15.0,9.0,24.0,0,1.0,36.0,1.0,3.0,,
2019-20,8243390,1,21,West_Ham_United,Home,43443,55459,Aaron Cresswell,aaron-cresswell,D,False,,,1.0,10.0,13.0,23.0,2.0,,2.0,,,,1.0,,2.0,6.0,2.0,,,,,,,,,,,90.0,,1.0,,,,,,12.0,,5.4,,,,,1.0,1.0,,2.0,,17.0,14.0,30.0,0,1.0,47.0,,1.0,,1.0
2019-20,8243390,1,21,West_Ham_United,Home,47772,57531,Michail Antonio,michail-antonio,F,False,,,,9.0,3.0,12.0,3.0,5.0,,,,,,,2.0,6.0,6.0,,,,,,,,1.0,1.0,,45.0,,,,,,,,17.0,,6.4,,,,,2.0,1.0,,,,17.0,4.0,20.0,0,,33.0,3.0,,1.0,
