season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2023-24,11352250,1,21,West_Ham_United,Away,15479,37096,Łukasz Fabiański,ukasz-fabianski,G,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352250,1,21,West_Ham_United,Away,21164,40669,Angelo Ogbonna,angelo-ogbonna,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352250,1,21,West_Ham_United,Away,47772,57531,Michail Antonio,michail-antonio,F,False,,,1.0,5.0,2.0,7.0,3.0,4.0,3.0,,,,1.0,,,3.0,9.0,10.0,,,0.0083385,0.0,0.0,1.0,,,,,,,,,78.0,,1.0,,,,,,,18.0,,6.7,,,,1.0,4.0,1.0,,2.0,,10.0,4.0,13.0,0,1.0,36.0,6.0,2.0,3.0,
2023-24,11352250,1,21,West_Ham_United,Away,96531,84182,Alphonse Aréola,alphonse-areola,G,False,,,5.0,5.0,1.0,6.0,,,8.0,,,,1.0,,,,1.0,,,,0.00068564,0.0,0.0,,,,0.4041,2.0,,,,,90.0,,,,,,,,,15.0,1.0,7.1,1.0,4.0,,1.0,,,,20.0,,19.0,2.0,21.0,0,,31.0,,,,
2023-24,11352250,1,21,West_Ham_United,Away,130181,84939,Danny Ings,danny-ings,F,True,,,,,1.0,1.0,1.0,,,,,1.0,,,,,3.0,1.0,,,1.653e-05,0.1237,0.0,1.0,,,,,,,,,12.0,,,,,,,,,5.0,,6.6,,,,1.0,2.0,,,,1.0,2.0,1.0,3.0,1,,10.0,1.0,,1.0,
2023-24,11352250,1,21,West_Ham_United,Away,138024,164555,Vladimír Coufal,vladimir-coufal,D,False,1.0,,1.0,7.0,14.0,20.0,,1.0,7.0,,,,,,,,1.0,4.0,,,0.160053,0.0,0.0,,,,,,,3.0,2.0,,90.0,,,,,,,,,20.0,,6.7,,,,2.0,1.0,2.0,,7.0,,18.0,19.0,35.0,0,2.0,67.0,2.0,1.0,,
2023-24,11352250,1,21,West_Ham_United,Away,139227,103192,Kurt Zouma,kurt-zouma,D,False,,,4.0,4.0,15.0,19.0,,2.0,2.0,,,,,,,,1.0,2.0,,,0.0012208,0.0,0.0,1.0,,,,,,,,,90.0,,1.0,,,,,,,6.0,,6.9,,,,10.0,,,,8.0,,8.0,17.0,25.0,0,,37.0,,,,
2023-24,11352250,1,21,West_Ham_United,Away,155997,109533,Emerson,emerson,D,False,1.0,,2.0,13.0,10.0,22.0,,3.0,3.0,,,,1.0,,,,3.0,7.0,,,0.246919,0.0,0.0,2.0,,,,,,1.0,2.0,,90.0,,1.0,,,,,,,14.0,,7.1,,,,1.0,,2.0,,4.0,,20.0,13.0,31.0,0,4.0,50.0,2.0,,,2.0
2023-24,11352250,1,21,West_Ham_United,Away,280439,149519,Maxwel Cornet,maxwel-cornet,F,True,,,,,1.0,1.0,1.0,,,,,,1.0,,,,2.0,1.0,,,2.17e-05,0.0,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,0,1.0,2.0,,,,
2023-24,11352250,1,21,West_Ham_United,Away,281277,201057,Thilo Kehrer,thilo-kehrer,D,True,,,,,2.0,2.0,,1.0,,,,,,,,,,1.0,,,3.743e-05,0.0,0.0,,,,,,,,,,11.0,,,,,,,,,,,6.6,,,,,,,,,,,2.0,2.0,0,,2.0,,,,
