season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2021-22,9576414,1,21,West_Ham_United,Away,9741,18073,Mark Noble,mark-noble,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576414,1,21,West_Ham_United,Away,15479,37096,Łukasz Fabiański,ukasz-fabianski,G,False,,,6.0,5.0,11.0,16.0,,,5.0,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,11.0,,6.2,1.0,1.0,,2.0,,,,16.0,,14.0,12.0,26.0,0,,33.0,,,,
2021-22,9576414,1,21,West_Ham_United,Away,21164,40669,Angelo Ogbonna,angelo-ogbonna,D,False,,,2.0,10.0,39.0,49.0,,3.0,4.0,,,,,,,,5.0,,,,,,,,,1.0,,,90.0,,,,,,,,,2.0,,6.8,,,,2.0,,,,2.0,,11.0,39.0,50.0,0,2.0,57.0,1.0,,,2.0
2021-22,9576414,1,21,West_Ham_United,Away,41116,56377,Andriy Yarmolenko,andriy-yarmolenko,M,True,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,5.0,1.0,6.0,0,,6.0,,,,
2021-22,9576414,1,21,West_Ham_United,Away,43443,55459,Aaron Cresswell,aaron-cresswell,D,False,1.0,,2.0,30.0,29.0,58.0,,1.0,8.0,,,,,,,1.0,5.0,,,,,1.0,,,,1.0,1.0,,90.0,1.0,1.0,,,,,,,14.0,,7.9,,,1.0,1.0,1.0,6.0,,4.0,,40.0,30.0,64.0,2,4.0,97.0,1.0,,,3.0
2021-22,9576414,1,21,West_Ham_United,Away,47772,57531,Michail Antonio,michail-antonio,F,False,1.0,,,14.0,3.0,16.0,,3.0,2.0,1.0,2.0,1.0,,,,2.0,6.0,,,1.0,1.0,1.0,,,1.0,,1.0,,89.0,2.0,,,,,1.0,,,15.0,,7.4,,,1.0,1.0,3.0,2.0,,,,23.0,3.0,24.0,4,,40.0,4.0,1.0,2.0,
2021-22,9576414,1,21,West_Ham_United,Away,50027,60232,Craig Dawson,craig-dawson,D,False,,,1.0,14.0,33.0,47.0,3.0,4.0,2.0,,,1.0,1.0,,,4.0,4.0,,,,,,,,,1.0,,,90.0,,2.0,,,,,,,4.0,,6.7,,,,5.0,,,,2.0,,17.0,33.0,50.0,1,,61.0,1.0,,,
2021-22,9576414,1,21,West_Ham_United,Away,96531,84182,Alphonse Aréola,alphonse-areola,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576414,1,21,West_Ham_United,Away,106920,81012,Ryan Fredericks,ryan-fredericks,D,True,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0,,3.0,,,,
2021-22,9576414,1,21,West_Ham_United,Away,138024,164555,Vladimír Coufal,vladimir-coufal,D,False,,,1.0,24.0,13.0,37.0,2.0,3.0,6.0,1.0,,,,,,3.0,7.0,,,1.0,,,,,,,2.0,,90.0,,,,,,,,,19.0,,7.1,,,,4.0,,,,5.0,,36.0,17.0,53.0,0,4.0,73.0,2.0,,,3.0
