season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2020-21,8896949,1,21,West_Ham_United,Home,9741,18073,Mark Noble,mark-noble,M,False,,,2.0,23.0,15.0,38.0,,,1.0,,,,,,1.0,3.0,1.0,,,2.0,,,,,,1.0,67.0,,,,,,,,,8.0,,6.6,,,,,,,1.0,,2.0,,30.0,15.0,44.0,0,1.0,47.0,,,,
2020-21,8896949,1,21,West_Ham_United,Home,13060,32259,Darren Randolph,darren-randolph,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896949,1,21,West_Ham_United,Home,15479,37096,Łukasz Fabiański,ukasz-fabianski,G,False,,,4.0,2.0,14.0,16.0,,,8.0,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,7.0,,6.0,,,,,2.0,,,,11.0,,8.0,15.0,23.0,0,,31.0,,,,
2020-21,8896949,1,21,West_Ham_United,Home,21164,40669,Angelo Ogbonna,angelo-ogbonna,D,False,,,3.0,17.0,37.0,54.0,5.0,5.0,7.0,,,,1.0,,,7.0,6.0,,,1.0,,,,1.0,1.0,,90.0,,3.0,,,,,,,9.0,,7.1,,,1.0,,5.0,,,,6.0,,22.0,41.0,63.0,1,1.0,78.0,,,,
2020-21,8896949,1,21,West_Ham_United,Home,41116,56377,Andriy Yarmolenko,andriy-yarmolenko,M,True,,,,10.0,4.0,14.0,,,1.0,,,1.0,,,1.0,2.0,1.0,,,1.0,,,,,,,23.0,1.0,,,,,,,,6.0,,6.7,,,1.0,,,,3.0,,,,15.0,4.0,16.0,3,1.0,26.0,,,,1.0
2020-21,8896949,1,21,West_Ham_United,Home,43443,55459,Aaron Cresswell,aaron-cresswell,D,False,2.0,,1.0,18.0,23.0,39.0,2.0,1.0,7.0,,,,1.0,,,3.0,3.0,,,,,,,,,,90.0,,,,,,,,,18.0,,6.4,,,,,1.0,,6.0,,8.0,,33.0,24.0,51.0,0,2.0,67.0,,,,
2020-21,8896949,1,21,West_Ham_United,Home,47772,57531,Michail Antonio,michail-antonio,F,False,,,,8.0,,8.0,3.0,4.0,1.0,,,3.0,,,3.0,9.0,8.0,,,2.0,,,,,1.0,1.0,90.0,1.0,,,,,,,,20.0,,6.6,,,,,,4.0,6.0,,,,18.0,,12.0,4,,42.0,2.0,3.0,1.0,
2020-21,8896949,1,21,West_Ham_United,Home,106920,81012,Ryan Fredericks,ryan-fredericks,D,False,2.0,,2.0,23.0,11.0,32.0,3.0,1.0,3.0,,,,,,,7.0,2.0,,,3.0,,,,,2.0,5.0,90.0,,,,,,,,,10.0,,7.0,,,,,3.0,1.0,6.0,,2.0,1.0,31.0,11.0,36.0,0,1.0,57.0,,1.0,,
2020-21,8896949,1,21,West_Ham_United,Home,149731,103123,Sébastien Haller,sebastien-haller,F,True,,,,4.0,2.0,6.0,4.0,1.0,3.0,,,,,,,4.0,1.0,,,1.0,,,,,,1.0,23.0,1.0,,,,,,,,3.0,,6.8,,,1.0,,,,,,,1.0,6.0,3.0,9.0,2,,11.0,,,,
2020-21,8896949,1,21,West_Ham_United,Home,152276,101537,Felipe Anderson,felipe-anderson,M,True,,,,2.0,,2.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,3.0,,3.0,0,1.0,4.0,,,,1.0
2020-21,8896949,1,21,West_Ham_United,Home,220315,86934,Manuel Lanzini,manuel-lanzini,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
