season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2024-25,12436877,1,21,West_Ham_United,Home,15479,37096,Łukasz Fabiański,ukasz-fabianski,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436877,1,21,West_Ham_United,Home,43443,55459,Aaron Cresswell,aaron-cresswell,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436877,1,21,West_Ham_United,Home,47772,57531,Michail Antonio,michail-antonio,F,False,,,2.0,3.0,3.0,6.0,,,,4.0,,,1.0,,,1.0,2.0,,,,0.00380711,0.1515,,1.0,0.0,,,,,,,,73.0,,,,,,,10.0,,,6.6,,,1.0,,,,1.0,,2.0,,6.0,4.0,9.0,,,2,,21.0,4.0,,,
2024-25,12436877,1,21,West_Ham_United,Home,96531,84182,Alphonse Aréola,alphonse-areola,G,False,,,7.0,3.0,20.0,23.0,,,,11.0,,,,1.0,,,1.0,1.0,,,0.00049476,,,,0.0,,-0.6716,1.0,,,,,90.0,,,,,,,4.0,,1.0,6.8,,1.0,,,1.0,,,,11.0,,5.0,22.0,27.0,,,0,1.0,38.0,,,,1.0
2024-25,12436877,1,21,West_Ham_United,Home,130181,84939,Danny Ings,danny-ings,F,True,,,,1.0,1.0,2.0,,,,,,1.0,,,,,,,,,0.00087102,0.2511,0.2076,,0.0,,,,,,,,13.0,1.0,,,,,,2.0,,,6.2,,,,,,,1.0,,,,3.0,1.0,3.0,,,1,,5.0,,,,
2024-25,12436877,1,21,West_Ham_United,Home,132645,91889,Niclas Füllkrug,niclas-fullkrug,F,True,,,,2.0,2.0,4.0,,1.0,,2.0,,,,,,,1.0,1.0,,,0.00223915,,,1.0,0.0,,,,,,,,17.0,,,,,,,1.0,,,6.5,,,,,1.0,,,,,,2.0,2.0,4.0,,,0,,6.0,1.0,,,
2024-25,12436877,1,21,West_Ham_United,Home,138024,164555,Vladimír Coufal,vladimir-coufal,D,False,1.0,,1.0,11.0,8.0,18.0,2.0,,,1.0,,,,1.0,,2.0,8.0,1.0,,,0.100521,,,4.0,0.0,,,,,2.0,1.0,,85.0,,2.0,,,,,8.0,,,6.6,,,,,4.0,,3.0,,2.0,,15.0,9.0,21.0,,,0,,44.0,,1.0,,
2024-25,12436877,1,21,West_Ham_United,Home,155997,109533,Emerson,emerson,D,False,,,,19.0,21.0,40.0,,1.0,,5.0,,,,,,,2.0,1.0,,,0.0186834,0.0432,0.4803,2.0,0.0,,,,,,,,90.0,1.0,,,,,,6.0,,,6.5,,,,,1.0,,1.0,,2.0,,22.0,23.0,44.0,,,1,,58.0,1.0,,,
2024-25,12436877,1,21,West_Ham_United,Home,161717,101178,James Ward-Prowse,james-ward-prowse,M,True,,,,7.0,4.0,11.0,,,,,,,,,,,,1.0,,,0.00141899,,,,0.0,,,,,,,,16.0,,,,,,,4.0,,,6.5,,,,,,,3.0,,,,11.0,4.0,12.0,,,0,1.0,17.0,,,,
2024-25,12436877,1,21,West_Ham_United,Home,552884,178186,Jarrod Bowen,jarrod-bowen,M,False,1.0,,,10.0,,9.0,1.0,,,2.0,,,,1.0,,2.0,7.0,1.0,,,0.0715906,,,1.0,0.0,,,,,,1.0,,73.0,,,,,,,10.0,,,6.3,,,,,1.0,2.0,4.0,,1.0,,15.0,,11.0,,,0,,26.0,1.0,1.0,,
