season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest
2015-16,6767931,1,21,West_Ham_United,Away,788768,173792,Reece Oxford,reece-oxford,D,False,,,1.0,5.0,13.0,18.0,1.0,,3.0,,,,3.0,,,,4.0,4.0,,,,,,,,2.0,,,79.0,,2.0,,,,,,,6.8,,,,1.0,,,,2.0,,6.0,13.0,19.0,0,3.0,29.0,,1.0,
2015-16,6767947,2,21,West_Ham_United,Home,1227,5306,Kevin Nolan,kevin-nolan,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767947,2,21,West_Ham_United,Home,9741,18073,Mark Noble,mark-noble,M,False,,,7.0,38.0,21.0,59.0,,,8.0,,,1.0,1.0,,,,3.0,6.0,,,1.0,,,,,1.0,1.0,,90.0,,,,,,,,,7.2,,,,,2.0,1.0,,10.0,,44.0,24.0,67.0,1,1.0,81.0,,4.0,1.0
2015-16,6767947,2,21,West_Ham_United,Home,13060,32259,Darren Randolph,darren-randolph,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767947,2,21,West_Ham_United,Home,14120,48717,Winston Reid,winston-reid,D,False,,,12.0,18.0,44.0,62.0,1.0,3.0,5.0,,,,,,,,2.0,6.0,,,1.0,,,,,,,,90.0,,2.0,,,,,,,7.1,,,,5.0,,,,13.0,,22.0,47.0,69.0,0,2.0,79.0,,1.0,
2015-16,6767947,2,21,West_Ham_United,Home,14216,37901,Dimitri Payet,dimitri-payet,M,False,,,6.0,30.0,7.0,37.0,1.0,,,,,2.0,,,,2.0,6.0,2.0,,,1.0,,1.0,,1.0,,3.0,,90.0,1.0,,,,,,,,7.5,,,,,4.0,17.0,,9.0,,57.0,7.0,47.0,3,,76.0,1.0,,2.0
2015-16,6767947,2,21,West_Ham_United,Home,20095,18818,Matt Jarvis,matt-jarvis,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767947,2,21,West_Ham_United,Home,21164,40669,Angelo Ogbonna,angelo-ogbonna,D,False,,,3.0,21.0,48.0,69.0,2.0,12.0,7.0,,,,1.0,,,,4.0,14.0,,,1.0,,,,,1.0,,,90.0,,,,,,,,,7.1,,,,12.0,,,,10.0,,25.0,54.0,79.0,0,2.0,94.0,,,
2015-16,6767947,2,21,West_Ham_United,Home,27005,42954,Modibo Maiga,modibo-maiga,F,True,,,,3.0,,3.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,6.0,,6.0,0,,7.0,,,
2015-16,6767947,2,21,West_Ham_United,Home,32124,49413,James Tomkins,james-tomkins,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767947,2,21,West_Ham_United,Home,32893,49696,Mauro Zárate,mauro-zarate,F,False,1.0,,3.0,23.0,9.0,31.0,3.0,,2.0,,,1.0,1.0,,,,11.0,4.0,,,1.0,,,,,,1.0,,83.0,,,,,,,,,6.4,,,,,8.0,4.0,,3.0,,28.0,9.0,33.0,1,,53.0,2.0,2.0,2.0
2015-16,6767947,2,21,West_Ham_United,Home,43443,55459,Aaron Cresswell,aaron-cresswell,D,False,2.0,,10.0,36.0,26.0,60.0,2.0,3.0,3.0,,,,1.0,,,4.0,8.0,7.0,,,1.0,,,,,1.0,1.0,,90.0,,,,,,,,,6.4,,,,2.0,1.0,7.0,,14.0,,47.0,26.0,66.0,0,2.0,102.0,,1.0,1.0
