season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2016-17,7089872,1,21,West_Ham_United,Away,9729,8380,James Collins,james-collins,D,False,,,3.0,4.0,21.0,25.0,1.0,3.0,6.0,,,,1.0,,,,4.0,5.0,,,2.0,,1.0,,,3.0,1.0,,90.0,1.0,1.0,,,,,,7.0,,7.6,,,1.0,7.0,,,,7.0,,7.0,25.0,32.0,2,2.0,49.0,,,,2.0
2016-17,7089872,1,21,West_Ham_United,Away,9741,18073,Mark Noble,mark-noble,M,False,,,5.0,9.0,34.0,43.0,1.0,,12.0,,,,1.0,,,2.0,8.0,6.0,,,2.0,,,,,1.0,,,90.0,,,,,,,,9.0,,6.6,,,1.0,,2.0,,,6.0,,12.0,35.0,47.0,1,3.0,61.0,1.0,3.0,,1.0
2016-17,7089872,1,21,West_Ham_United,Away,13060,32259,Darren Randolph,darren-randolph,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7089872,1,21,West_Ham_United,Away,14120,48717,Winston Reid,winston-reid,D,False,,,8.0,10.0,27.0,37.0,2.0,1.0,6.0,,,,,,,,3.0,4.0,,,1.0,,,,,2.0,,,90.0,,,,,,,,9.0,,6.8,,,,5.0,,,,15.0,,16.0,30.0,46.0,0,1.0,56.0,,2.0,,1.0
2016-17,7089872,1,21,West_Ham_United,Away,14216,37901,Dimitri Payet,dimitri-payet,M,True,1.0,,1.0,5.0,4.0,8.0,1.0,,1.0,,,1.0,,,,,2.0,2.0,,,,,,,,,1.0,,23.0,1.0,,,,,,,4.0,,6.7,,,,,1.0,3.0,,1.0,,8.0,4.0,9.0,2,,17.0,,2.0,,
2016-17,7089872,1,21,West_Ham_United,Away,18998,40142,Andy Carroll,andy-carroll,F,False,,,,8.0,5.0,13.0,9.0,11.0,5.0,,,,1.0,,,2.0,14.0,17.0,,,1.0,,,,,1.0,1.0,,90.0,,1.0,,,,,,23.0,,7.0,,,,1.0,3.0,,,,,21.0,7.0,28.0,0,1.0,47.0,4.0,5.0,1.0,1.0
2016-17,7089872,1,21,West_Ham_United,Away,21164,40669,Angelo Ogbonna,angelo-ogbonna,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7089872,1,21,West_Ham_United,Away,22337,43626,Håvard Nordtveit,havard-nordtveit,D,False,,,2.0,5.0,17.0,22.0,,2.0,2.0,,,,3.0,,,2.0,6.0,3.0,,,1.0,,,,,2.0,,,67.0,,,,,,,,15.0,,6.1,,,,3.0,,,,7.0,,13.0,22.0,35.0,0,1.0,43.0,,,,1.0
2016-17,7089872,1,21,West_Ham_United,Away,27035,45124,André Ayew,andre-ayew,F,False,,,,2.0,1.0,3.0,3.0,,1.0,,,,1.0,,,,4.0,1.0,,,,,,,,,,,35.0,,,,,,,,5.0,,6.5,,,,,,,,1.0,,6.0,1.0,7.0,0,1.0,9.0,1.0,,,1.0
2016-17,7089872,1,21,West_Ham_United,Away,45944,55037,Cheikhou Kouyaté,cheikhou-kouyate,M,False,,,,9.0,10.0,19.0,1.0,2.0,3.0,,,,2.0,,,3.0,9.0,6.0,,,2.0,,,,,3.0,1.0,,90.0,,1.0,,,,,,11.0,,6.5,,,,2.0,1.0,,,2.0,,13.0,12.0,25.0,0,4.0,41.0,1.0,,,2.0
