season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2021-22,9576081,1,2,Leeds_United,Away,39327,55914,Liam Cooper,liam-cooper,D,False,,,3.0,4.0,42.0,46.0,,,2.0,,,,,,,1.0,2.0,7.0,,,1.0,,,,,,2.0,1.0,,90.0,,1.0,,,,,7.0,,6.7,,,,,,1.0,,7.0,1.0,8.0,44.0,51.0,0,7.0,66.0,,,,4.0
2021-22,9576081,1,2,Leeds_United,Away,44900,72222,Mateusz Klich,mateusz-klich,M,False,,,,17.0,16.0,33.0,,,6.0,,,,,,,1.0,3.0,3.0,,,2.0,,,,,,,,,90.0,1.0,,,,,,14.0,,6.5,,,1.0,,1.0,1.0,,2.0,,25.0,19.0,43.0,2,2.0,53.0,1.0,,1.0,1.0
2021-22,9576081,1,2,Leeds_United,Away,78454,87873,Stuart Dallas,stuart-dallas,D,False,,,2.0,11.0,16.0,27.0,1.0,,4.0,,,,2.0,,,,3.0,4.0,,,,1.0,,,,,1.0,1.0,,90.0,,1.0,,,,,7.0,,6.3,,,,1.0,1.0,,,2.0,,15.0,18.0,33.0,0,1.0,49.0,,2.0,1.0,1.0
2021-22,9576081,1,2,Leeds_United,Away,102624,66588,Luke Ayling,luke-ayling,D,False,1.0,,5.0,14.0,40.0,53.0,2.0,2.0,9.0,,,,3.0,,,,7.0,6.0,,,,,1.0,,,,1.0,,,90.0,1.0,1.0,,,,,20.0,,6.7,,,1.0,3.0,2.0,3.0,,9.0,,23.0,47.0,67.0,2,2.0,92.0,2.0,2.0,,1.0
2021-22,9576081,1,2,Leeds_United,Away,103117,80179,Adam Forshaw,adam-forshaw,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576081,1,2,Leeds_United,Away,138891,165808,Hélder Costa,helder-costa,F,True,,,,1.0,4.0,5.0,1.0,,1.0,,,,,,,,2.0,2.0,,,1.0,,,,,,,,,20.0,,,,,,,1.0,,6.7,,,1.0,,,,,,,1.0,4.0,5.0,1,,10.0,1.0,2.0,,
2021-22,9576081,1,2,Leeds_United,Away,204336,106617,Patrick Bamford,patrick-bamford,F,False,,,1.0,5.0,7.0,12.0,2.0,,1.0,,1.0,,1.0,,,1.0,5.0,,,,1.0,,,,,,1.0,1.0,,77.0,,,,,,,8.0,,6.1,,,1.0,,,,,1.0,1.0,7.0,7.0,14.0,1,,26.0,5.0,,,
2021-22,9576081,1,2,Leeds_United,Away,542472,80954,Rodrigo,rodrigo,M,False,,,,6.0,9.0,15.0,,1.0,1.0,,,,,,,,,4.0,,,,,,,,,,,,45.0,,,,,,,3.0,,6.8,,,,,2.0,,,,,7.0,11.0,18.0,0,1.0,21.0,,,2.0,1.0
2021-22,9576081,1,2,Leeds_United,Away,581302,193645,Robin Koch,robin-koch,D,False,,,1.0,9.0,11.0,20.0,1.0,3.0,9.0,,,,2.0,,,,4.0,8.0,,,1.0,,,,,,3.0,,,90.0,,,,,,,8.0,,6.7,,,,3.0,3.0,,,2.0,,11.0,16.0,27.0,0,2.0,41.0,1.0,,3.0,1.0
2021-22,9576081,1,2,Leeds_United,Away,786028,155405,Kalvin Phillips,kalvin-phillips,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576081,1,2,Leeds_United,Away,796144,173821,Tyler Roberts,tyler-roberts,F,True,1.0,,,3.0,,2.0,2.0,,,1.0,,,,,,,2.0,1.0,,,,,,,,,,1.0,,13.0,,,,,,,1.0,,7.1,,,1.0,,,1.0,,,,3.0,,2.0,1,1.0,6.0,1.0,,,
2021-22,9576081,1,2,Leeds_United,Away,829570,221399,Jack Harrison,jack-harrison,F,False,,,,8.0,6.0,14.0,1.0,,3.0,,,,1.0,,,,3.0,3.0,,,1.0,,,,,,1.0,2.0,,70.0,1.0,,,,,,11.0,,6.5,,,,,1.0,1.0,,1.0,1.0,14.0,7.0,20.0,1,1.0,32.0,4.0,1.0,1.0,
2021-22,9576081,1,2,Leeds_United,Away,831005,219961,Raphinha,raphinha,M,False,2.0,,,13.0,13.0,24.0,,,5.0,1.0,1.0,1.0,1.0,,,,3.0,7.0,,,1.0,,,,,,1.0,1.0,,90.0,,,,,,,24.0,,6.6,,,1.0,,2.0,7.0,,6.0,,30.0,14.0,37.0,2,4.0,66.0,4.0,2.0,1.0,3.0
2021-22,9576081,1,2,Leeds_United,Away,836675,222694,Pascal Struijk,pascal-struijk,D,False,,,3.0,2.0,42.0,44.0,1.0,2.0,6.0,,,,2.0,,,,3.0,4.0,,,,,,,,,3.0,,,90.0,,,,,,,11.0,,6.0,,,,3.0,,,,8.0,,7.0,48.0,55.0,0,2.0,64.0,,,,1.0
2021-22,9576081,1,2,Leeds_United,Away,858254,223081,Kristoffer Klaesson,kristoffer-klaesson,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576081,1,2,Leeds_United,Away,906076,437495,Illan Meslier,illan-meslier,G,False,,1.0,7.0,,21.0,21.0,,1.0,10.0,,,,,,,,,1.0,,,,,,,1.0,,,,,90.0,,,,,,,17.0,2.0,5.9,1.0,3.0,,4.0,,,1.0,23.0,,8.0,29.0,37.0,0,,58.0,,,,
2021-22,9576081,1,2,Leeds_United,Away,914835,443967,Junior Firpo,junior-firpo,D,True,,,1.0,12.0,15.0,27.0,,,6.0,,,,,,,,1.0,1.0,,,1.0,,,,,,1.0,,,45.0,,,,,,,5.0,,6.0,,,,,,,,1.0,,13.0,16.0,29.0,0,,39.0,1.0,1.0,,
2021-22,9576081,1,2,Leeds_United,Away,917005,450070,Crysencio Summerville,crysencio-summerville,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
