season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025059,1,2,Leeds_United,Home,123689,59735,Karl Darlow,karl-darlow,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025059,1,2,Leeds_United,Home,254713,113564,Sam Byram,sam-byram,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025059,1,2,Leeds_United,Home,803185,174594,Lukas Nmecha,lukas-nmecha,F,True,,,,2.0,2.0,4.0,1.0,,,2.0,,,1.0,,,1.0,2.0,1.0,,,0.00576718,0.8672,0.8478,,0.0,1.0,,,,,,,0.21,0.94,0.5,0.09,0.59,12.0,1.0,,,,,,,2.0,,,7.1,,,,,1.0,,1.0,,,,2.0,2.0,4.0,,,2,,10.0,,1.0,,
2025-26,14025059,1,2,Leeds_United,Home,826167,437738,Sebastiaan Bornauw,sebastiaan-bornauw,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025059,1,2,Leeds_United,Home,828639,200617,Daniel James,daniel-james,M,False,1.0,,,6.0,3.0,9.0,,1.0,,1.0,,,2.0,1.0,,,3.0,1.0,,,0.0502321,0.1407,,,0.0,,,,,,1.0,,0.57,3.17,1.26,0.32,2.95,78.0,,,,,,,,16.0,,,6.4,,,,,1.0,2.0,6.0,,2.0,,13.0,3.0,16.0,,,2,,31.0,2.0,,,
2025-26,14025059,1,2,Leeds_United,Home,828640,214225,Joe Rodon,joe-rodon,D,False,,,2.0,11.0,36.0,47.0,3.0,3.0,,2.0,,,,,,,3.0,4.0,,,0.00414143,,,,0.0,,,,,2.0,,,0.4,5.29,1.24,0.11,3.15,90.0,,,,,,,,7.0,,,7.0,,,,,6.0,,,,7.0,,15.0,39.0,54.0,,,0,,65.0,,1.0,,
2025-26,14025059,1,2,Leeds_United,Home,829570,221399,Jack Harrison,jack-harrison,F,True,,,,5.0,,5.0,,1.0,,,,,,,,,,2.0,,,0.00348714,,,,0.0,,,,,,,,0.16,0.96,0.3,0.07,0.6,12.0,,,,,,,,4.0,,,6.7,,,,,,,2.0,,1.0,,7.0,,7.0,,,0,1.0,10.0,,,,
2025-26,14025059,1,2,Leeds_United,Home,834308,243526,Gabriel Gudmundsson,gabriel-gudmundsson,D,False,2.0,,2.0,23.0,17.0,40.0,2.0,2.0,,6.0,,,3.0,,,1.0,4.0,7.0,,,0.142624,0.169,,,0.0,,,,,2.0,2.0,,0.5,5.64,1.12,0.23,3.03,90.0,,1.0,,,,,,17.0,,,7.5,,,,,4.0,5.0,4.0,,3.0,,29.0,19.0,48.0,,,3,1.0,79.0,1.0,,4.0,1.0
2025-26,14025059,1,2,Leeds_United,Home,836675,222694,Pascal Struijk,pascal-struijk,D,False,,,4.0,32.0,37.0,69.0,3.0,2.0,,5.0,,,,,,,3.0,2.0,,,0.0117064,0.1089,,,0.0,,,,,,1.0,,0.38,4.84,1.1,0.08,3.09,90.0,,,,,,,,1.0,,,7.1,,,1.0,,8.0,,,,5.0,,33.0,37.0,70.0,,,1,,80.0,,,,
2025-26,14025059,1,2,Leeds_United,Home,847097,199598,Ethan Ampadu,ethan-ampadu,M,False,,,3.0,20.0,30.0,50.0,1.0,2.0,,2.0,,,,,,,2.0,6.0,,,0.0161814,,,1.0,0.0,,,,,1.0,,,0.19,5.22,1.14,0.08,2.2,78.0,,,,,,,,15.0,,,7.0,,,,,,,1.0,,7.0,,27.0,35.0,62.0,,,0,3.0,72.0,,1.0,,
2025-26,14025059,1,2,Leeds_United,Home,850823,235826,Joël Piroe,joel-piroe,F,False,,,1.0,6.0,9.0,15.0,4.0,1.0,,3.0,,1.0,2.0,1.0,,1.0,7.0,1.0,,,0.0357479,0.3335,0.2033,1.0,0.0,,,,,,,,0.74,4.8,1.43,0.16,2.06,78.0,1.0,,,,,,,5.0,,,6.1,,,,,,,,,1.0,,8.0,9.0,17.0,,,3,,27.0,1.0,,,
2025-26,14025059,1,2,Leeds_United,Home,866191,180135,Sean Longstaff,sean-longstaff,M,True,,,,1.0,,1.0,,,,,,,,,,,,,,,0.00057448,,,,0.0,,,,,,,,0.03,0.3,0.13,0.0,0.11,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,0,,2.0,,,,
2025-26,14025059,1,2,Leeds_United,Home,871290,201595,Lucas Perri,lucas-perri,G,False,,,4.0,2.0,15.0,17.0,,2.0,,8.0,,,,,,,,2.0,,,0.00121747,,,,0.0,,0.1047,1.0,,,,,0.0,1.03,0.04,0.0,3.85,90.0,,,,,,,,12.0,,2.0,6.6,1.0,1.0,,,2.0,,,,16.0,,13.0,16.0,29.0,,,0,,36.0,,,,
2025-26,14025059,1,2,Leeds_United,Home,871886,248056,Ao Tanaka,ao-tanaka,M,False,,,2.0,22.0,20.0,42.0,1.0,,,5.0,,,,1.0,,1.0,5.0,2.0,,,0.0363234,0.0962,,1.0,0.0,,,,,1.0,2.0,,0.56,5.53,1.95,0.1,2.64,89.0,,,,,,,,8.0,,,6.6,,,2.0,,,1.0,2.0,,2.0,,26.0,20.0,46.0,,,2,,58.0,,2.0,,
2025-26,14025059,1,2,Leeds_United,Home,889861,466525,Anton Stach,anton-stach,M,False,3.0,,4.0,35.0,13.0,48.0,1.0,2.0,,3.0,,1.0,1.0,,,,5.0,5.0,,,0.295512,0.2593,0.0201,1.0,0.0,,,,,1.0,4.0,,0.66,6.18,1.6,0.2,3.06,90.0,1.0,1.0,,,,,,19.0,,,7.3,,,2.0,,5.0,4.0,6.0,,5.0,,40.0,19.0,59.0,,,4,2.0,86.0,1.0,1.0,1.0,2.0
2025-26,14025059,1,2,Leeds_United,Home,909966,,Largie Ramazani,largie-ramazani,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025059,1,2,Leeds_United,Home,911679,486520,Ilia Gruev,ilia-gruev,M,True,,,,2.0,2.0,4.0,1.0,,,,,,,,,,1.0,,,,0.00248283,,,,0.0,,,,,,,,0.12,1.07,0.42,0.01,0.6,12.0,,,,,,,,1.0,,,6.5,,,,,1.0,,,,,,3.0,2.0,5.0,,,0,,6.0,,,,
2025-26,14025059,1,2,Leeds_United,Home,929132,226182,Jayden Bogle,jayden-bogle,D,False,,,1.0,7.0,10.0,17.0,,2.0,,3.0,,,1.0,1.0,,1.0,3.0,5.0,,,0.0123543,0.0303,,1.0,0.0,,,,,,,,0.44,5.13,1.71,0.22,3.11,90.0,,1.0,,,,,,11.0,,,7.1,,,,,2.0,1.0,1.0,,4.0,1.0,12.0,13.0,25.0,,,1,2.0,46.0,,,1.0,
2025-26,14025059,1,2,Leeds_United,Home,973431,427637,Brenden Aaronson,brenden-aaronson,M,True,1.0,,,5.0,,5.0,,,,,1.0,,,1.0,,1.0,3.0,3.0,,,0.207285,,,1.0,0.0,,,,,,2.0,,0.2,1.93,0.55,0.06,0.93,23.0,,,,,,,,2.0,,,7.2,,,,,,,1.0,,,,5.0,,5.0,,,0,2.0,15.0,1.0,1.0,,1.0
2025-26,14025059,1,2,Leeds_United,Home,998951,492859,Wilfried Gnonto,wilfried-gnonto,F,False,,,2.0,15.0,13.0,28.0,2.0,,,1.0,,,1.0,1.0,,1.0,6.0,4.0,,,0.0143408,0.1277,,,0.0,,,,,2.0,,,0.51,3.14,0.9,0.11,2.46,67.0,,,,,,,,11.0,,,6.7,,,2.0,,,2.0,2.0,,3.0,,19.0,14.0,33.0,,,3,4.0,52.0,,,,3.0
2025-26,14025065,2,2,Leeds_United,Away,123689,59735,Karl Darlow,karl-darlow,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025065,2,2,Leeds_United,Away,254713,113564,Sam Byram,sam-byram,D,True,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,1.15e-06,,,1.0,0.0,,,,,,,,,,,,,8.0,,,,,,,,,,,6.2,,,,,,,,,,,,1.0,1.0,,,0,,1.0,,,,
2025-26,14025065,2,2,Leeds_United,Away,803185,174594,Lukas Nmecha,lukas-nmecha,F,True,,,,1.0,4.0,5.0,,1.0,,,,,,,,,1.0,2.0,,,0.00065999,,,1.0,0.0,,,,,,,,,,,,,32.0,,,,,,,,4.0,,,6.6,,,,,,,,,,,3.0,5.0,8.0,,,0,,11.0,1.0,1.0,,
2025-26,14025065,2,2,Leeds_United,Away,826167,437738,Sebastiaan Bornauw,sebastiaan-bornauw,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025065,2,2,Leeds_United,Away,828639,200617,Daniel James,daniel-james,M,False,,,1.0,2.0,4.0,6.0,,,,4.0,,,2.0,,,,,2.0,,,0.00301214,0.0701,,,0.0,,,,,,,,,,,,,66.0,,,,,,,,8.0,,,6.8,,,,,,1.0,1.0,,1.0,,5.0,6.0,11.0,,,2,,22.0,2.0,1.0,1.0,
2025-26,14025065,2,2,Leeds_United,Away,828640,214225,Joe Rodon,joe-rodon,D,False,,,,3.0,24.0,27.0,3.0,2.0,,2.0,,,,,,,4.0,5.0,,,0.00070696,,,2.0,0.0,,,,,2.0,,,,,,,,90.0,,2.0,,,,,,6.0,,,5.8,,,,,9.0,1.0,,,3.0,,6.0,27.0,33.0,,,0,1.0,52.0,,1.0,1.0,1.0
2025-26,14025065,2,2,Leeds_United,Away,829570,221399,Jack Harrison,jack-harrison,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
