season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025038,1,56,Sunderland,Home,958718,,Anthony Patterson,anthony-patterson,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025038,1,56,Sunderland,Home,1012928,498016,Robin Roefs,robin-roefs,G,False,,,4.0,2.0,9.0,11.0,,2.0,,10.0,,,,,,,,2.0,,,0.00078472,,,,0.0,,0.3685,1.0,,,,,0.01,1.36,0.05,0.0,3.82,90.0,,,,,,,,,13.0,,3.0,7.1,3.0,4.0,,,,3.0,,,,16.0,,12.0,11.0,23.0,,,0,,35.0,,,,
2025-26,14025071,2,56,Sunderland,Away,958718,,Anthony Patterson,anthony-patterson,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025071,2,56,Sunderland,Away,1012928,498016,Robin Roefs,robin-roefs,G,False,,1.0,4.0,3.0,13.0,16.0,,,,8.0,,,,1.0,,,1.0,,,,0.00246909,,,,0.0,,-0.4184,1.0,,,,,,,,,,90.0,,,,,,,,,8.0,,,5.9,,,,,,1.0,,,1.0,12.0,,9.0,15.0,24.0,,,0,,30.0,,,,
2025-26,14025112,3,56,Sunderland,Home,958718,,Anthony Patterson,anthony-patterson,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025112,3,56,Sunderland,Home,1012928,498016,Robin Roefs,robin-roefs,G,False,,,7.0,6.0,34.0,40.0,,,,9.0,,,,,,,,,,,0.00385154,,,,0.0,,0.45,1.0,,,,,,,,,,90.0,,,,,1.0,,1.0,,11.0,,,7.5,2.0,3.0,,,,,,,,18.0,,17.0,34.0,51.0,,,0,,56.0,,,,
2025-26,14025133,4,56,Sunderland,Away,958718,,Anthony Patterson,anthony-patterson,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025133,4,56,Sunderland,Away,1012928,498016,Robin Roefs,robin-roefs,G,False,,,6.0,4.0,25.0,29.0,,2.0,,15.0,,,,,,,,2.0,,,0.00201296,,,,0.0,,1.3646,2.0,,,,,,,,,,90.0,,,,,,,,,11.0,,1.0,9.2,4.0,6.0,,,,1.0,,,,16.0,,14.0,25.0,39.0,,,0,,54.0,,1.0,,
2025-26,14025172,5,56,Sunderland,Home,958718,,Anthony Patterson,anthony-patterson,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025172,5,56,Sunderland,Home,1012928,498016,Robin Roefs,robin-roefs,G,False,,,8.0,7.0,8.0,15.0,,,,5.0,,,,,,,,,1.0,,0.00204263,,,,0.0,,-0.8476,1.0,,,,,,,,,,90.0,,,,,,,,,16.0,,1.0,5.9,1.0,1.0,,,,1.0,,,,24.0,,22.0,9.0,31.0,,,0,,36.0,,,,
