matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
803167,1.0,2015-08-08 15:00:00,56,Sunderland,Away,199.0,14.0,3.0,6.0,3.0,4.0,,154.0,8.0,4.0,7.0,8.0,4.0,32.0,347.0,,2.0,20.0,16.0,25.0,5.0,2.0,,,,,,,,,,1.0,,8.0,,,,,,11.0,16.0,4.0,,56.0,61.0,2.0,,2.0,3.0,15.0,2.0,6.0,,1.0,3.0,5.0,9.0,,14.0,4.0,57.0,60.0,3.0,13.0,3.0,1.0,3.0,53.0,17.0,12.0,1.0,,3.0,3.0,,171.0,2.0,,2.0,2.0,,,10.0,,,2.0,3.0,,,,1.0,3.0,,11.0,11.0,1.0,7.0,110.0,91.0,56.0,6.0,,4.0,5.0,5.0,414.0,,,4.0,,,53.0,46.0,31.0,1.0,1.0,1.0,,152.0,151.0,4.0,26.0,21.0,56.0,,,15.0,0.0,,,,105.0,3.0,1.0,4.0,,,,4.0,1.0,2.0,57.0,324.0,6.0,9.0,230.0,30.0,14.0,10.0,3.0,20.0,17.0,,91.0,13.0,232.0,3.0,4.0,22.0,5.0,63.0,1.0,442.0,,0.0,11.0,19.0,2.0,25.0,4.0,636.0,17.0,5.0,3.0,15.0,0.0
803179,2.0,2015-08-15 15:00:00,56,Sunderland,Home,166.0,13.0,2.0,3.0,1.0,2.0,,104.0,1.0,2.0,4.0,5.0,10.0,24.0,267.0,,,15.0,18.0,9.0,3.0,1.0,,,,,,,,,,,,4.0,,,,,1.0,6.0,9.0,9.0,,56.0,58.0,,,,4.0,30.0,1.0,15.0,,,6.0,4.0,1.0,,11.0,2.0,55.0,52.0,4.0,15.0,6.0,,1.0,59.0,7.0,6.0,,,2.0,2.0,,170.0,,,,,,,5.0,,,,1.0,,,,,7.0,,17.0,17.0,2.0,4.0,80.0,93.0,38.0,6.0,,3.0,1.0,2.0,368.0,,,8.0,,,45.0,50.0,21.0,,,,,168.0,163.0,3.0,26.0,20.0,43.9,,,30.0,0.0,,,,80.0,1.0,2.0,3.0,,1.0,,3.0,,2.0,35.0,259.0,17.0,4.0,200.0,32.0,20.0,10.0,6.0,13.0,7.0,,84.0,12.0,199.0,1.0,2.0,33.0,10.0,74.0,2.0,386.0,,0.0,6.0,31.0,1.0,20.0,1.0,575.0,12.0,6.0,6.0,24.0,0.0
803190,3.0,2015-08-22 15:00:00,56,Sunderland,Home,109.0,5.0,2.0,3.0,1.0,4.0,,110.0,4.0,1.0,3.0,11.0,2.0,21.0,216.0,,,11.0,18.0,22.0,4.0,2.0,,,,,,2.0,,,,,,4.0,,,,,3.0,9.0,10.0,10.0,,40.0,77.0,,,,1.0,6.0,3.0,10.0,,1.0,3.0,7.0,5.0,,5.0,3.0,51.0,67.0,1.0,14.0,4.0,,,49.0,16.0,9.0,,,3.0,1.0,2.0,139.0,1.0,,1.0,1.0,,,7.0,,,1.0,1.0,,,,2.0,4.0,,14.0,14.0,2.0,3.0,67.0,79.0,36.0,4.0,1.0,4.0,3.0,2.0,295.0,,,4.0,3.0,,36.0,32.0,17.0,,,,,148.0,145.0,3.0,25.0,38.0,39.3,,,6.0,0.0,,,,72.0,3.0,5.0,8.0,,,,5.0,,3.0,37.0,203.0,1.0,7.0,130.0,18.0,17.0,16.0,3.0,16.0,13.0,,77.0,19.0,204.0,1.0,1.0,32.0,4.0,58.0,4.0,318.0,,0.0,10.0,25.0,,15.0,4.0,490.0,10.0,12.0,3.0,18.0,0.0
803198,4.0,2015-08-29 15:00:00,56,Sunderland,Away,138.0,13.0,1.0,2.0,1.0,3.0,,105.0,7.0,1.0,3.0,9.0,8.0,25.0,241.0,,1.0,11.0,29.0,22.0,3.0,1.0,,1.0,,,,1.0,,,,,,4.0,,,,,,6.0,14.0,7.0,,52.0,61.0,1.0,1.0,,1.0,12.0,1.0,15.0,,,4.0,5.0,3.0,,12.0,1.0,78.0,67.0,1.0,30.0,16.0,,,48.0,14.0,8.0,1.0,,1.0,1.0,1.0,148.0,1.0,,,1.0,,,12.0,,,1.0,1.0,,,,,19.0,,22.0,22.0,1.0,3.0,57.0,73.0,26.0,5.0,1.0,2.0,3.0,3.0,305.0,,,4.0,1.0,,11.0,41.0,15.0,1.0,1.0,1.0,,147.0,138.0,2.0,27.0,23.0,38.0,,1.0,12.0,0.0,,,,72.0,2.0,2.0,4.0,,2.0,,3.0,,3.0,33.0,227.0,7.0,6.0,153.0,22.0,39.0,13.0,4.0,13.0,9.0,,73.0,12.0,189.0,1.0,1.0,34.0,9.0,65.0,1.0,329.0,1.0,0.0,7.0,32.0,2.0,14.0,1.0,537.0,14.0,5.0,4.0,29.0,0.0
803211,5.0,2015-09-13 13:30:00,56,Sunderland,Home,88.0,12.0,1.0,2.0,1.0,5.0,,134.0,4.0,3.0,8.0,8.0,5.0,28.0,220.0,1.0,1.0,21.0,9.0,25.0,10.0,,1.0,,,,,,,,,,,12.0,,1.0,1.0,,,7.0,8.0,7.0,,43.0,66.0,1.0,1.0,,3.0,14.0,5.0,9.0,,,6.0,12.0,5.0,,17.0,2.0,55.0,65.0,3.0,21.0,9.0,,2.0,59.0,11.0,12.0,,,2.0,1.0,,141.0,,,,,,,8.0,,,,4.0,,,,,11.0,2.0,13.0,13.0,2.0,8.0,69.0,82.0,42.0,8.0,,5.0,5.0,2.0,287.0,,,5.0,2.0,,64.0,47.0,32.0,,,,,166.0,157.0,3.0,28.0,20.0,43.9,2.0,,14.0,0.0,,,,60.0,2.0,1.0,3.0,,,1.0,5.0,,3.0,62.0,206.0,11.0,10.0,104.0,27.0,30.0,17.0,5.0,23.0,18.0,1.0,103.0,18.0,232.0,4.0,3.0,27.0,7.0,63.0,2.0,313.0,1.0,0.0,12.0,22.0,2.0,25.0,2.0,543.0,9.0,8.0,6.0,18.0,0.0
803218,6.0,2015-09-19 15:00:00,56,Sunderland,Away,176.0,13.0,2.0,3.0,1.0,5.0,,144.0,3.0,1.0,1.0,11.0,22.0,42.0,317.0,,,20.0,18.0,21.0,4.0,1.0,,,,,1.0,2.0,,,,1.0,,6.0,,,,,1.0,9.0,7.0,8.0,,75.0,59.0,1.0,2.0,,1.0,22.0,4.0,17.0,,1.0,3.0,4.0,6.0,,11.0,1.0,72.0,73.0,1.0,14.0,6.0,,,62.0,15.0,13.0,,,2.0,,2.0,164.0,,,,,,,6.0,,,,,,,,1.0,10.0,,18.0,18.0,2.0,1.0,79.0,83.0,43.0,7.0,,2.0,3.0,2.0,388.0,,,6.0,3.0,,60.0,48.0,18.0,,,,,157.0,153.0,3.0,26.0,26.0,46.9,,,22.0,0.0,,,,98.0,1.0,2.0,3.0,1.0,,,3.0,,3.0,57.0,295.0,12.0,5.0,195.0,27.0,18.0,26.0,2.0,12.0,10.0,,103.0,15.0,233.0,,1.0,44.0,23.0,90.0,4.0,416.0,,1.0,9.0,25.0,,26.0,4.0,619.0,9.0,14.0,3.0,18.0,0.0
803230,7.0,2015-09-26 15:00:00,56,Sunderland,Away,140.0,7.0,,2.0,2.0,3.0,1.0,91.0,6.0,1.0,3.0,13.0,5.0,29.0,229.0,,,6.0,8.0,11.0,8.0,1.0,,,,,,,,,,,,6.0,,,,,3.0,7.0,6.0,6.0,,50.0,67.0,1.0,1.0,,2.0,7.0,4.0,11.0,,,2.0,2.0,,,10.0,2.0,51.0,53.0,2.0,11.0,,,,37.0,17.0,12.0,,,2.0,2.0,,137.0,,,,,,,13.0,,,,2.0,,,,2.0,3.0,,14.0,14.0,2.0,3.0,65.0,75.0,31.0,5.0,,1.0,8.0,4.0,280.0,,,4.0,3.0,,29.0,26.0,14.0,,,,,129.0,122.0,2.0,37.0,19.0,33.8,,,7.0,0.0,,,,59.0,1.0,3.0,4.0,,,,1.0,1.0,2.0,33.0,211.0,7.0,9.0,159.0,20.0,18.0,17.0,2.0,6.0,4.0,,60.0,10.0,158.0,2.0,2.0,36.0,6.0,74.0,,311.0,,0.0,9.0,23.0,,11.0,3.0,473.0,10.0,9.0,2.0,17.0,0.0
803241,8.0,2015-10-03 15:00:00,56,Sunderland,Home,139.0,5.0,1.0,2.0,1.0,9.0,,143.0,7.0,1.0,1.0,11.0,8.0,27.0,280.0,,2.0,16.0,21.0,15.0,6.0,1.0,,,,,,,,,,,1.0,10.0,,,,,1.0,9.0,12.0,8.0,,61.0,48.0,1.0,1.0,,6.0,7.0,4.0,9.0,,,1.0,3.0,2.0,,11.0,,62.0,52.0,6.0,22.0,14.0,1.0,,50.0,14.0,9.0,1.0,,3.0,2.0,,153.0,2.0,1.0,2.0,1.0,1.0,,13.0,,,1.0,3.0,,,,,17.0,,12.0,12.0,1.0,1.0,80.0,85.0,44.0,8.0,1.0,3.0,6.0,3.0,331.0,,,5.0,3.0,,37.0,35.0,19.0,,,,,137.0,127.0,3.0,16.0,17.0,44.1,,,7.0,0.0,,,,73.0,,4.0,4.0,1.0,,,5.0,,3.0,52.0,261.0,2.0,9.0,156.0,16.0,32.0,12.0,1.0,8.0,7.0,,92.0,19.0,219.0,3.0,1.0,24.0,10.0,62.0,2.0,367.0,,1.0,12.0,25.0,2.0,18.0,2.0,547.0,8.0,4.0,1.0,21.0,0.0
803250,9.0,2015-10-17 15:00:00,56,Sunderland,Away,118.0,16.0,1.0,3.0,2.0,1.0,,141.0,4.0,1.0,2.0,11.0,10.0,32.0,256.0,,1.0,12.0,29.0,22.0,7.0,1.0,,,,,,,,,,,,5.0,,,,,2.0,5.0,7.0,2.0,,52.0,48.0,1.0,1.0,,6.0,9.0,6.0,8.0,,1.0,5.0,8.0,5.0,,6.0,1.0,59.0,62.0,6.0,34.0,13.0,1.0,,58.0,13.0,10.0,,,2.0,1.0,,141.0,,,,,,,9.0,,,,2.0,,,,,18.0,,11.0,11.0,2.0,2.0,87.0,82.0,38.0,1.0,,1.0,7.0,2.0,325.0,,,2.0,2.0,,51.0,41.0,28.0,,,,,154.0,145.0,,25.0,16.0,43.8,,,9.0,0.0,,,,72.0,1.0,,1.0,,,,1.0,2.0,3.0,60.0,242.0,3.0,8.0,144.0,27.0,43.0,10.0,5.0,19.0,14.0,,100.0,8.0,227.0,3.0,1.0,39.0,10.0,78.0,5.0,352.0,,0.0,9.0,24.0,3.0,19.0,2.0,540.0,10.0,7.0,5.0,15.0,0.0
803256,10.0,2015-10-25 12:00:00,56,Sunderland,Home,95.0,14.0,1.0,4.0,3.0,4.0,,129.0,6.0,,3.0,6.0,7.0,29.0,220.0,,,20.0,14.0,17.0,5.0,1.0,1.0,,,,,,,,,,,6.0,1.0,1.0,,,,8.0,13.0,8.0,,48.0,47.0,2.0,,3.0,2.0,15.0,5.0,15.0,,,1.0,6.0,3.0,1.0,6.0,4.0,60.0,42.0,2.0,18.0,10.0,,,75.0,12.0,7.0,1.0,,2.0,1.0,,143.0,2.0,,1.0,1.0,1.0,1.0,9.0,,,1.0,,,,,,13.0,1.0,14.0,14.0,1.0,3.0,60.0,65.0,33.0,10.0,1.0,1.0,7.0,3.0,290.0,,,5.0,1.0,,42.0,51.0,25.0,,,,1.0,140.0,133.0,3.0,18.0,20.0,39.7,1.0,2.0,15.0,0.0,,,,60.0,4.0,4.0,8.0,,1.0,1.0,1.0,1.0,3.0,71.0,207.0,10.0,8.0,115.0,29.0,25.0,18.0,1.0,11.0,10.0,2.0,121.0,18.0,207.0,,,25.0,8.0,66.0,,311.0,,0.0,9.0,14.0,2.0,23.0,0.0,495.0,12.0,5.0,1.0,9.0,0.0
