matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
321664,1.0,2010-08-14 15:00:00,56,Sunderland,Home,76.0,12.0,1.0,6.0,5.0,5.0,,134.0,6.0,,,5.0,16.0,22.0,204.0,,2.0,15.0,20.0,18.0,6.0,1.0,,,,,,,,,,,7.0,1.0,,,,,,7.0,6.0,,42.0,50.0,1.0,1.0,1.0,3.0,1.0,1.0,,3.0,11.0,8.0,,8.0,1.0,50.0,42.0,3.0,22.0,12.0,,1.0,87.0,15.0,10.0,1.0,,3.0,,,151.0,,,,,,,11.0,,,,,,,,2.0,28.0,,10.0,7.0,1.0,,59.0,96.0,40.0,6.0,,5.0,2.0,2.0,,,1.0,,,47.0,49.0,20.0,,,,1.0,199.0,172.0,,20.0,17.0,44.1,,,0.0,,,,52.0,2.0,2.0,1.0,1.0,,6.0,,3.0,70.0,7.0,96.0,30.0,49.0,13.0,3.0,22.0,19.0,,133.0,12.0,230.0,,,21.0,17.0,59.0,2.0,304.0,,1.0,9.0,9.0,4.0,33.0,2.0,514.0,15.0,5.0,3.0,7.0,0.0
321674,2.0,2010-08-21 15:00:00,56,Sunderland,Away,64.0,17.0,2.0,6.0,4.0,5.0,1.0,137.0,5.0,,,8.0,10.0,20.0,195.0,,1.0,18.0,18.0,15.0,4.0,2.0,,,2.0,,,3.0,,,,,4.0,,,,,,2.0,5.0,7.0,,38.0,39.0,,,,4.0,3.0,7.0,,6.0,7.0,9.0,,4.0,2.0,47.0,51.0,4.0,16.0,5.0,,,94.0,14.0,15.0,,,9.0,4.0,3.0,144.0,,,,,,,11.0,,,,1.0,,,,1.0,11.0,,13.0,7.0,1.0,,60.0,83.0,34.0,4.0,,3.0,3.0,2.0,,,1.0,2.0,,57.0,44.0,22.0,,,,,181.0,169.0,,20.0,12.0,45.3,,2.0,0.0,,,,61.0,1.0,1.0,,,,6.0,,3.0,76.0,6.0,80.0,31.0,28.0,9.0,6.0,26.0,20.0,,144.0,17.0,249.0,1.0,,27.0,11.0,49.0,3.0,303.0,,0.0,11.0,17.0,1.0,30.0,2.0,487.0,9.0,4.0,6.0,14.0,0.0
321684,3.0,2010-08-29 15:00:00,56,Sunderland,Home,95.0,15.0,2.0,7.0,5.0,2.0,,197.0,1.0,,1.0,4.0,19.0,16.0,285.0,,,24.0,12.0,7.0,9.0,1.0,1.0,,1.0,,,1.0,,,,,13.0,1.0,,,,,1.0,7.0,3.0,,53.0,71.0,,,1.0,1.0,6.0,9.0,,3.0,10.0,17.0,,9.0,2.0,55.0,61.0,1.0,17.0,10.0,,1.0,77.0,5.0,9.0,1.0,1.0,3.0,1.0,1.0,166.0,,,,,,,4.0,,,,,,,,,14.0,,27.0,24.0,3.0,1.0,83.0,73.0,28.0,8.0,,6.0,4.0,3.0,,,6.0,1.0,,53.0,74.0,29.0,,,,1.0,191.0,182.0,2.0,36.0,29.0,41.7,,,0.0,,,,90.0,2.0,,,1.0,1.0,9.0,,2.0,88.0,10.0,120.0,34.0,26.0,31.0,2.0,30.0,28.0,1.0,143.0,7.0,302.0,1.0,,30.0,20.0,48.0,2.0,392.0,,0.0,18.0,33.0,3.0,29.0,0.0,644.0,11.0,11.0,3.0,24.0,0.0
321696,4.0,2010-09-11 15:00:00,56,Sunderland,Away,76.0,16.0,,3.0,3.0,1.0,,97.0,5.0,,,7.0,6.0,20.0,170.0,,,17.0,16.0,13.0,3.0,,,,,,,1.0,,,,,4.0,,,,,,1.0,6.0,13.0,,38.0,42.0,1.0,,1.0,1.0,3.0,11.0,,1.0,3.0,5.0,,8.0,2.0,54.0,57.0,1.0,14.0,6.0,,,82.0,11.0,18.0,1.0,,4.0,1.0,1.0,134.0,1.0,,1.0,1.0,,,15.0,,,1.0,5.0,,,,,15.0,,28.0,21.0,3.0,,43.0,97.0,28.0,5.0,,1.0,3.0,1.0,,,3.0,4.0,,27.0,48.0,16.0,,,,,174.0,159.0,,17.0,16.0,36.0,,3.0,0.0,,,,60.0,1.0,1.0,1.0,2.0,,2.0,1.0,3.0,48.0,4.0,89.0,39.0,29.0,12.0,1.0,10.0,9.0,,115.0,7.0,196.0,5.0,,33.0,6.0,63.0,,275.0,1.0,1.0,6.0,21.0,2.0,22.0,1.0,462.0,12.0,4.0,1.0,15.0,0.0
321703,5.0,2010-09-18 17:30:00,56,Sunderland,Home,109.0,24.0,1.0,6.0,5.0,8.0,,188.0,11.0,,2.0,15.0,18.0,35.0,291.0,1.0,2.0,25.0,20.0,32.0,10.0,1.0,,,,,,,,,,,13.0,,,,,,1.0,7.0,9.0,,55.0,69.0,3.0,3.0,1.0,2.0,4.0,9.0,,11.0,16.0,16.0,,8.0,2.0,58.0,82.0,2.0,14.0,8.0,1.0,,92.0,12.0,13.0,1.0,,3.0,3.0,,179.0,,,,,,,13.0,,,,,,,,,11.0,,22.0,16.0,3.0,2.0,84.0,95.0,56.0,3.0,,6.0,5.0,4.0,,,1.0,4.0,,55.0,71.0,37.0,,1.0,1.0,,201.0,197.0,3.0,33.0,24.0,53.5,,,0.0,,,,89.0,2.0,1.0,,3.0,,11.0,,3.0,113.0,11.0,135.0,47.0,18.0,18.0,10.0,45.0,35.0,,182.0,29.0,317.0,,,37.0,20.0,65.0,2.0,407.0,2.0,0.0,19.0,28.0,4.0,29.0,3.0,651.0,13.0,9.0,11.0,22.0,0.0
321712,6.0,2010-09-25 15:00:00,56,Sunderland,Away,84.0,10.0,2.0,4.0,2.0,4.0,,160.0,5.0,,1.0,8.0,13.0,21.0,240.0,,,13.0,10.0,16.0,5.0,1.0,,,,,,,,,,,7.0,1.0,,,,,1.0,7.0,7.0,,43.0,63.0,1.0,,1.0,2.0,,12.0,,3.0,8.0,7.0,,14.0,2.0,57.0,58.0,1.0,18.0,8.0,1.0,1.0,97.0,8.0,15.0,2.0,,4.0,2.0,,164.0,1.0,,1.0,1.0,,,10.0,,,1.0,,,,,,16.0,,30.0,25.0,2.0,1.0,73.0,102.0,39.0,3.0,,6.0,1.0,3.0,,,1.0,5.0,,44.0,53.0,28.0,,,,1.0,189.0,173.0,4.0,30.0,23.0,45.1,,1.0,0.0,,,,67.0,1.0,2.0,,1.0,,7.0,,3.0,86.0,7.0,94.0,34.0,33.0,19.0,2.0,19.0,17.0,,158.0,12.0,272.0,,,32.0,14.0,67.0,1.0,347.0,,0.0,10.0,21.0,,18.0,1.0,551.0,8.0,6.0,3.0,14.0,0.0
321722,7.0,2010-10-02 15:00:00,56,Sunderland,Home,103.0,15.0,1.0,5.0,4.0,5.0,1.0,162.0,2.0,,2.0,7.0,18.0,25.0,260.0,1.0,,16.0,19.0,10.0,14.0,,,,,,,,,,,,14.0,,,,1.0,,4.0,3.0,9.0,,56.0,68.0,1.0,1.0,,2.0,9.0,7.0,,10.0,14.0,14.0,,9.0,1.0,53.0,46.0,2.0,15.0,8.0,,,86.0,11.0,7.0,,,3.0,3.0,,164.0,,,,,,,8.0,,,,4.0,,,,1.0,15.0,1.0,15.0,9.0,,2.0,63.0,100.0,46.0,4.0,,4.0,10.0,3.0,,,4.0,1.0,,37.0,67.0,36.0,,,,,188.0,176.0,3.0,26.0,29.0,48.0,1.0,,0.0,,,,83.0,,1.0,,1.0,,8.0,1.0,2.0,91.0,14.0,111.0,36.0,27.0,12.0,8.0,39.0,31.0,,165.0,16.0,294.0,4.0,,31.0,19.0,65.0,,366.0,1.0,0.0,20.0,25.0,,21.0,1.0,571.0,7.0,4.0,10.0,15.0,0.0
321729,8.0,2010-10-18 20:00:00,56,Sunderland,Away,104.0,14.0,,6.0,6.0,5.0,,206.0,2.0,,1.0,14.0,15.0,34.0,304.0,,2.0,21.0,27.0,34.0,10.0,1.0,2.0,,,,,2.0,,,,,11.0,,,,,,1.0,4.0,5.0,,49.0,53.0,3.0,3.0,,,4.0,6.0,,3.0,10.0,13.0,,8.0,1.0,59.0,60.0,,31.0,14.0,,,91.0,14.0,12.0,,,4.0,1.0,2.0,186.0,,,,,,,7.0,,,,1.0,,,,3.0,21.0,,24.0,17.0,1.0,1.0,95.0,104.0,50.0,5.0,,6.0,5.0,4.0,,,1.0,2.0,,56.0,72.0,28.0,,,,,198.0,185.0,1.0,25.0,18.0,57.0,,5.0,0.0,,,,98.0,2.0,,,,2.0,9.0,,2.0,88.0,11.0,126.0,27.0,44.0,10.0,2.0,26.0,24.0,2.0,153.0,19.0,328.0,1.0,,49.0,15.0,74.0,2.0,428.0,,0.0,17.0,10.0,8.0,22.0,1.0,635.0,16.0,3.0,3.0,9.0,0.0
321742,9.0,2010-10-23 15:00:00,56,Sunderland,Home,94.0,13.0,2.0,5.0,3.0,2.0,,150.0,1.0,,1.0,17.0,10.0,24.0,239.0,,1.0,18.0,22.0,20.0,12.0,2.0,1.0,,,,,,,,,,11.0,,,,,,1.0,10.0,2.0,,57.0,61.0,,,,4.0,4.0,7.0,1.0,4.0,12.0,4.0,,13.0,2.0,59.0,58.0,4.0,27.0,12.0,,,83.0,12.0,13.0,,,3.0,4.0,,147.0,,,,,,,11.0,,,,,,,,,17.0,,10.0,10.0,2.0,1.0,72.0,94.0,43.0,11.0,,9.0,5.0,1.0,,,5.0,5.0,,52.0,64.0,19.0,,,,,180.0,165.0,7.0,17.0,30.0,47.7,,3.0,0.0,,,,60.0,3.0,,,2.0,1.0,9.0,,3.0,82.0,14.0,107.0,21.0,42.0,11.0,2.0,22.0,20.0,1.0,133.0,10.0,251.0,,,40.0,10.0,52.0,5.0,336.0,,0.0,14.0,19.0,1.0,22.0,1.0,552.0,9.0,6.0,4.0,14.0,0.0
321755,10.0,2010-10-31 13:30:00,56,Sunderland,Away,131.0,16.0,3.0,5.0,2.0,6.0,,136.0,1.0,,3.0,11.0,15.0,20.0,262.0,,1.0,7.0,17.0,17.0,9.0,1.0,2.0,,,,,,,,,,9.0,,,,,,2.0,15.0,10.0,,46.0,64.0,2.0,1.0,1.0,5.0,3.0,8.0,,6.0,4.0,7.0,,7.0,3.0,63.0,63.0,5.0,10.0,5.0,,,60.0,19.0,9.0,1.0,1.0,1.0,1.0,,135.0,1.0,,1.0,,1.0,,6.0,,,,,,,,,15.0,,7.0,6.0,,3.0,77.0,72.0,38.0,8.0,,4.0,7.0,5.0,,,8.0,3.0,,33.0,44.0,16.0,1.0,1.0,1.0,,150.0,135.0,2.0,37.0,21.0,45.6,,,0.0,,,,79.0,1.0,2.0,,1.0,2.0,6.0,,3.0,56.0,11.0,148.0,37.0,25.0,15.0,6.0,18.0,12.0,2.0,97.0,11.0,207.0,,,23.0,17.0,43.0,5.0,337.0,,1.0,14.0,34.0,3.0,9.0,6.0,527.0,12.0,3.0,6.0,20.0,0.0
