matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgRight,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalDistance,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
2561899,1,2025-08-16 15:00:00,56,Sunderland,Home,124.0,6.0,3.0,5.0,2.0,,,131.0,3.0,,2.0,5.0,8.0,18.0,250.0,,,11.0,19.0,18.0,2.0,3.0,5.0,1.0,0.0,,,,,,,,,1.0,5.0,0.0,,,,,,6.0,7.0,5.0,9.0,1.0,65.0,38.0,1.0,2.0,,5.0,6.0,1.0,7.0,1.0,,5.0,6.0,5.0,1.0,6.0,1.0,46.0,42.0,5.0,32.0,15.0,,1.0,0.315043,0.7534,,1.6411,0.3685,48.0,8.0,10.0,1.0,,1.0,1.0,,143.0,2.0,,1.0,2.0,1.0,1.0,6.0,2.0,1.0,,15.0,,9.0,9.0,,0.0,3.0,67.0,52.0,22.0,7.0,0.0,3.0,4.0,5.0,307.0,6.0,1.0,0.0,63.0,55.0,18.0,,,,,,113.0,113.0,1.0,20.0,10.0,37.2,,,,3.0,18.0,0.0,48.0,4.0,,4.0,1.0,1.0,4.0,,1.0,4.0,61.0,240.0,6.0,7.0,143.0,17.0,32.0,7.0,5.0,17.0,12.0,105329.91,2.0,94.0,2.0,197.0,2.0,,31.0,9.0,55.0,,323.0,1.0,0.0,10.0,14.0,,17.0,0.0,497.0,15.0,8.0,0.0,1.0,5.0,5.0,0.0
2561908,2,2025-08-23 15:00:00,56,Sunderland,Away,232.0,9.0,1.0,5.0,5.0,2.0,,303.0,7.0,1.0,4.0,4.0,10.0,16.0,530.0,,1.0,18.0,15.0,19.0,6.0,1.0,2.0,,0.0,,,,,,,,,1.0,6.0,0.0,,,,,1.0,2.0,4.0,3.0,6.0,3.0,98.0,43.0,2.0,2.0,,1.0,9.0,5.0,3.0,,,3.0,9.0,14.0,0.0,15.0,,45.0,48.0,1.0,27.0,20.0,,,0.609293,0.7732,,0.6952,1.5816,68.0,5.0,9.0,,,,,,187.0,,,,,,,8.0,0.0,1.0,,20.0,,7.0,7.0,2.0,0.0,4.0,181.0,79.0,49.0,4.0,0.0,3.0,4.0,1.0,593.0,1.0,3.0,0.0,111.0,76.0,35.0,,,,,,144.0,144.0,1.0,19.0,18.0,58.1,,,,,24.0,0.0,150.0,,,,,,3.0,,0.0,5.0,138.0,512.0,9.0,7.0,251.0,27.0,27.0,9.0,2.0,24.0,23.0,111840.71,,180.0,5.0,389.0,1.0,1.0,18.0,10.0,44.0,2.0,616.0,,0.0,9.0,18.0,5.0,19.0,1.0,801.0,17.0,11.0,0.0,2.0,3.0,8.0,0.0
2561922,3,2025-08-30 15:00:00,56,Sunderland,Home,187.0,14.0,,3.0,3.0,,,156.0,3.0,,1.0,5.0,11.0,23.0,340.0,,,16.0,22.0,24.0,4.0,,2.0,1.0,0.0,,,,,,,,,,5.0,1.0,,,,,,4.0,5.0,2.0,9.0,3.0,70.0,34.0,1.0,,2.0,1.0,3.0,3.0,8.0,,,3.0,6.0,8.0,0.0,6.0,1.0,49.0,65.0,1.0,34.0,17.0,,,0.414421,1.5429,,1.0843,1.45,70.0,11.0,10.0,1.0,,2.0,1.0,,154.0,1.0,,1.0,1.0,,,5.0,1.0,1.0,1.0,17.0,,7.0,7.0,1.0,0.0,1.0,98.0,68.0,41.0,4.0,0.0,3.0,2.0,3.0,398.0,1.0,1.0,0.0,65.0,69.0,32.0,,1.0,1.0,1.0,1.0,120.0,120.0,3.0,12.0,13.0,54.1,,,3.0,,10.0,0.0,97.0,2.0,1.0,3.0,,1.0,6.0,,1.0,3.0,70.0,325.0,3.0,5.0,201.0,27.0,34.0,7.0,3.0,18.0,15.0,108057.67,1.0,114.0,2.0,236.0,1.0,,17.0,12.0,51.0,1.0,419.0,,0.0,12.0,28.0,1.0,22.0,3.0,599.0,16.0,10.0,0.0,4.0,3.0,14.0,0.0
2561929,4,2025-09-13 15:00:00,56,Sunderland,Away,192.0,13.0,1.0,4.0,3.0,2.0,,122.0,3.0,,3.0,4.0,9.0,21.0,310.0,1.0,,15.0,14.0,21.0,4.0,2.0,,,0.0,,,,,,,,,,4.0,0.0,,,,,1.0,4.0,8.0,6.0,5.0,1.0,58.0,46.0,,,,2.0,4.0,2.0,2.0,,,3.0,7.0,6.0,0.0,3.0,3.0,33.0,53.0,2.0,34.0,21.0,,,0.506746,0.3619,,,1.3646,60.0,8.0,9.0,,,2.0,2.0,,124.0,,,,,,,7.0,0.0,2.0,1.0,21.0,,10.0,10.0,1.0,0.0,4.0,100.0,67.0,34.0,5.0,0.0,4.0,2.0,,369.0,4.0,1.0,0.0,54.0,45.0,32.0,,,,,,120.0,120.0,1.0,18.0,18.0,44.1,,,,1.0,14.0,0.0,104.0,4.0,2.0,6.0,1.0,,4.0,1.0,0.0,3.0,49.0,303.0,4.0,6.0,211.0,28.0,34.0,18.0,2.0,17.0,15.0,108474.36,,88.0,3.0,192.0,2.0,,19.0,9.0,51.0,2.0,386.0,1.0,0.0,6.0,13.0,,21.0,1.0,572.0,17.0,11.0,0.0,11.0,3.0,9.0,0.0
2561942,5,2025-09-21 14:00:00,56,Sunderland,Home,94.0,7.0,1.0,2.0,1.0,1.0,,59.0,4.0,,2.0,5.0,3.0,16.0,151.0,1.0,,9.0,17.0,14.0,6.0,3.0,2.0,,0.0,,,,,,,,,,7.0,0.0,,1.0,,,2.0,6.0,6.0,6.0,10.0,4.0,27.0,30.0,1.0,1.0,1.0,2.0,8.0,4.0,,,,6.0,3.0,3.0,0.0,11.0,,40.0,47.0,2.0,34.0,17.0,1.0,1.0,0.398194,1.036,,0.9853,0.1524,41.0,14.0,8.0,1.0,,,,,88.0,1.0,,1.0,1.0,,,13.0,1.0,1.0,1.0,17.0,1.0,8.0,8.0,1.0,0.0,2.0,53.0,48.0,19.0,5.0,0.0,4.0,6.0,4.0,192.0,6.0,2.0,0.0,29.0,29.0,22.0,,,,,,104.0,104.0,6.0,10.0,9.0,28.6,1.0,,1.0,1.0,15.0,0.0,50.0,1.0,,1.0,1.0,,6.0,1.0,0.0,5.0,27.0,140.0,8.0,10.0,106.0,23.0,34.0,5.0,6.0,12.0,6.0,99990.33,,62.0,6.0,124.0,1.0,,17.0,3.0,49.0,,218.0,1.0,1.0,14.0,20.0,,15.0,2.0,386.0,16.0,8.0,0.0,5.0,6.0,13.0,0.0
2561953,6,2025-09-27 17:30:00,56,Sunderland,Away,163.0,20.0,1.0,3.0,2.0,1.0,,98.0,6.0,,4.0,6.0,4.0,33.0,258.0,,1.0,8.0,15.0,13.0,4.0,,2.0,1.0,0.0,,,,,,,,,1.0,6.0,0.0,,,,,3.0,5.0,15.0,7.0,8.0,3.0,57.0,49.0,2.0,2.0,1.0,4.0,8.0,3.0,9.0,,,4.0,8.0,6.0,1.0,11.0,3.0,46.0,40.0,4.0,42.0,25.0,,1.0,0.708652,1.6563,,1.3864,1.6927,42.0,6.0,10.0,,,4.0,2.0,,117.0,1.0,1.0,1.0,,1.0,,12.0,0.0,4.0,,25.0,,6.0,6.0,1.0,0.0,4.0,77.0,46.0,19.0,7.0,0.0,,5.0,3.0,295.0,6.0,2.0,0.0,49.0,28.0,24.0,,,,,,109.0,109.0,,24.0,15.0,35.4,,,,1.0,16.0,0.0,67.0,4.0,2.0,6.0,,1.0,5.0,,0.0,5.0,46.0,243.0,8.0,5.0,180.0,30.0,42.0,12.0,3.0,19.0,16.0,112234.45,1.0,71.0,3.0,157.0,4.0,,20.0,5.0,62.0,1.0,318.0,1.0,0.0,11.0,10.0,1.0,13.0,2.0,517.0,21.0,9.0,0.0,7.0,4.0,7.0,0.0
2561962,7,2025-10-04 15:00:00,56,Sunderland,Away,171.0,10.0,1.0,4.0,3.0,1.0,,174.0,3.0,,5.0,3.0,15.0,16.0,341.0,,,14.0,14.0,20.0,5.0,1.0,2.0,,0.0,,,,,,,,,,5.0,0.0,,,,,,5.0,11.0,4.0,5.0,3.0,63.0,47.0,2.0,2.0,,1.0,9.0,1.0,7.0,,1.0,3.0,8.0,9.0,0.0,8.0,4.0,48.0,61.0,1.0,31.0,22.0,,1.0,0.362395,0.7097,,0.9379,2.0742,48.0,12.0,9.0,,,1.0,,,153.0,,,,,,,7.0,0.0,,1.0,22.0,,10.0,10.0,1.0,0.0,5.0,116.0,80.0,46.0,2.0,0.0,3.0,3.0,3.0,404.0,2.0,1.0,0.0,70.0,73.0,30.0,,,,,1.0,143.0,143.0,3.0,16.0,18.0,49.8,,,,,17.0,0.0,96.0,2.0,2.0,4.0,,,4.0,,0.0,5.0,71.0,325.0,9.0,6.0,191.0,25.0,31.0,20.0,3.0,20.0,17.0,116635.23,,106.0,4.0,257.0,,,19.0,16.0,52.0,2.0,428.0,1.0,0.0,8.0,21.0,1.0,20.0,4.0,636.0,14.0,14.0,0.0,11.0,3.0,9.0,0.0
2561972,8,2025-10-18 15:00:00,56,Sunderland,Home,132.0,13.0,1.0,3.0,2.0,3.0,1.0,119.0,7.0,,,4.0,3.0,15.0,248.0,,,7.0,34.0,27.0,5.0,1.0,1.0,,0.0,,,,,,,,,,6.0,0.0,,,1.0,,,3.0,8.0,8.0,5.0,3.0,56.0,39.0,2.0,1.0,1.0,2.0,6.0,3.0,7.0,,,2.0,2.0,6.0,1.0,6.0,1.0,60.0,60.0,2.0,36.0,22.0,,2.0,0.429548,0.6471,,0.2218,0.2698,47.0,5.0,12.0,,,1.0,2.0,,145.0,1.0,,1.0,1.0,,,16.0,1.0,1.0,,22.0,1.0,7.0,7.0,2.0,0.0,,72.0,59.0,21.0,2.0,0.0,3.0,4.0,2.0,311.0,4.0,1.0,0.0,47.0,41.0,30.0,,,,,,141.0,141.0,1.0,23.0,11.0,41.2,1.0,,,,14.0,0.0,68.0,2.0,1.0,3.0,,,3.0,,0.0,4.0,56.0,233.0,6.0,7.0,151.0,21.0,36.0,17.0,2.0,12.0,10.0,112199.85,,101.0,9.0,202.0,1.0,,26.0,4.0,56.0,2.0,341.0,,0.0,8.0,14.0,,17.0,0.0,515.0,17.0,11.0,0.0,8.0,3.0,9.0,0.0
2561979,9,2025-10-25 15:00:00,56,Sunderland,Away,122.0,7.0,,1.0,1.0,2.0,,109.0,3.0,,4.0,7.0,4.0,19.0,230.0,,1.0,8.0,10.0,17.0,5.0,,,3.0,0.0,1.0,,1.0,,,,,,,6.0,0.0,,,,,1.0,7.0,10.0,6.0,7.0,3.0,50.0,43.0,1.0,1.0,1.0,1.0,5.0,4.0,9.0,,,1.0,4.0,2.0,0.0,5.0,,40.0,48.0,1.0,33.0,18.0,,,0.417485,1.3077,0.0409,1.5775,0.9874,55.0,13.0,15.0,1.0,,2.0,2.0,1.0,135.0,1.0,,1.0,1.0,,1.0,8.0,1.0,3.0,,18.0,,8.0,8.0,1.0,0.0,5.0,64.0,62.0,34.0,9.0,0.0,1.0,5.0,4.0,267.0,4.0,2.0,0.0,33.0,44.0,23.0,,,,,,99.0,99.0,4.0,17.0,11.0,31.6,,,3.0,1.0,10.0,0.0,44.0,4.0,2.0,6.0,1.0,3.0,2.0,1.0,1.0,3.0,52.0,216.0,5.0,6.0,134.0,13.0,33.0,7.0,1.0,9.0,8.0,112497.35,4.0,90.0,5.0,168.0,4.0,,24.0,5.0,49.0,2.0,293.0,,0.0,10.0,14.0,1.0,13.0,1.0,461.0,17.0,10.0,0.0,4.0,1.0,8.0,0.0
2561992,10,2025-11-03 20:00:00,56,Sunderland,Home,234.0,13.0,1.0,6.0,5.0,1.0,1.0,221.0,2.0,,4.0,3.0,12.0,29.0,449.0,,,9.0,20.0,19.0,10.0,2.0,2.0,1.0,0.0,,,,,,,,,,11.0,0.0,,,,,3.0,4.0,5.0,3.0,12.0,5.0,74.0,54.0,1.0,1.0,,,7.0,7.0,6.0,,,4.0,11.0,5.0,0.0,3.0,1.0,50.0,52.0,,21.0,13.0,,,1.07415,1.2246,,1.3733,0.736,80.0,10.0,12.0,,,1.0,1.0,,168.0,1.0,,1.0,1.0,,,5.0,1.0,3.0,,13.0,,5.0,5.0,1.0,0.0,4.0,140.0,60.0,28.0,1.0,1.0,5.0,8.0,3.0,511.0,3.0,1.0,0.0,73.0,70.0,39.0,,,,,,143.0,143.0,3.0,21.0,23.0,60.7,,,1.0,,12.0,0.0,147.0,,1.0,1.0,1.0,1.0,7.0,1.0,0.0,2.0,109.0,436.0,7.0,13.0,246.0,23.0,21.0,18.0,4.0,21.0,17.0,109771.03,1.0,156.0,4.0,304.0,3.0,,19.0,12.0,59.0,2.0,529.0,,0.0,17.0,14.0,1.0,17.0,3.0,714.0,29.0,23.0,0.0,7.0,4.0,10.0,0.0
