matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPostLeft,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
855179,1.0,2016-08-13 17:30:00,56,Sunderland,Away,56.0,10.0,1.0,3.0,2.0,3.0,,51.0,3.0,,3.0,3.0,3.0,13.0,104.0,,1.0,18.0,16.0,21.0,3.0,,3.0,,,1.0,1.0,1.0,,,,2.0,,,1.0,8.0,9.0,8.0,4.0,3.0,,23.0,49.0,2.0,1.0,1.0,4.0,15.0,2.0,13.0,,,6.0,9.0,3.0,,3.0,2.0,46.0,59.0,4.0,24.0,13.0,,2.0,43.0,14.0,11.0,1.0,3.0,3.0,1.0,106.0,1.0,,1.0,1.0,,9.0,,,1.0,1.0,,,,1.0,16.0,,12.0,12.0,,3.0,32.0,61.0,18.0,9.0,,1.0,3.0,3.0,164.0,,,4.0,3.0,1.0,18.0,25.0,25.0,1.0,1.0,1.0,,137.0,137.0,3.0,26.0,12.0,23.1,,,,1.0,15.0,0.0,,,,28.0,1.0,2.0,3.0,,3.0,,2.0,,3.0,24.0,93.0,12.0,4.0,74.0,23.0,35.0,13.0,5.0,20.0,15.0,,63.0,11.0,135.0,1.0,,25.0,3.0,57.0,2.0,189.0,,0.0,7.0,17.0,2.0,27.0,2.0,395.0,9.0,16.0,11.0,6.0,13.0,0.0
855186,2.0,2016-08-21 13:30:00,56,Sunderland,Home,125.0,11.0,2.0,6.0,4.0,1.0,,188.0,2.0,1.0,5.0,6.0,5.0,19.0,307.0,1.0,,25.0,17.0,18.0,9.0,4.0,2.0,,,,,,,,,13.0,,,2.0,7.0,3.0,5.0,13.0,5.0,,43.0,63.0,,,1.0,,27.0,7.0,7.0,,,8.0,11.0,2.0,1.0,19.0,,63.0,68.0,,11.0,4.0,,,66.0,11.0,14.0,,1.0,1.0,,144.0,,,,,,4.0,,,1.0,,,,,,4.0,,15.0,15.0,1.0,5.0,89.0,68.0,26.0,1.0,,5.0,8.0,5.0,380.0,,,3.0,3.0,,70.0,68.0,34.0,,,,,159.0,159.0,4.0,16.0,36.0,46.9,,,,,27.0,0.0,,,,125.0,,1.0,1.0,,,,6.0,1.0,3.0,103.0,290.0,16.0,13.0,137.0,28.0,12.0,32.0,7.0,21.0,14.0,,159.0,5.0,285.0,,1.0,24.0,5.0,51.0,2.0,401.0,2.0,0.0,18.0,16.0,3.0,27.0,1.0,633.0,37.0,13.0,21.0,8.0,11.0,0.0
855198,3.0,2016-08-27 15:00:00,56,Sunderland,Away,82.0,16.0,1.0,4.0,3.0,1.0,1.0,101.0,2.0,4.0,2.0,3.0,7.0,22.0,179.0,,,13.0,11.0,20.0,2.0,1.0,1.0,,,1.0,1.0,,,,,1.0,1.0,,1.0,4.0,1.0,15.0,4.0,1.0,,40.0,57.0,1.0,1.0,1.0,,16.0,1.0,10.0,,1.0,5.0,4.0,5.0,,11.0,5.0,45.0,58.0,,31.0,16.0,1.0,,70.0,8.0,15.0,1.0,5.0,2.0,1.0,120.0,,,,,,10.0,,,,1.0,,,,,17.0,,16.0,16.0,2.0,2.0,53.0,66.0,26.0,5.0,,2.0,1.0,2.0,240.0,,,4.0,,,41.0,46.0,28.0,,,,1.0,130.0,130.0,1.0,27.0,21.0,36.2,,2.0,,3.0,16.0,0.0,,,,57.0,1.0,5.0,6.0,,1.0,,2.0,,3.0,54.0,166.0,9.0,3.0,97.0,30.0,36.0,16.0,5.0,16.0,11.0,,109.0,2.0,189.0,1.0,4.0,25.0,9.0,67.0,2.0,270.0,1.0,0.0,5.0,13.0,1.0,16.0,2.0,453.0,16.0,6.0,11.0,5.0,10.0,0.0
855209,4.0,2016-09-12 20:00:00,56,Sunderland,Home,79.0,9.0,2.0,3.0,1.0,,,133.0,1.0,,1.0,6.0,9.0,17.0,209.0,,,10.0,5.0,12.0,6.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,9.0,,,,4.0,15.0,5.0,7.0,4.0,,37.0,52.0,,1.0,,1.0,9.0,8.0,7.0,,1.0,5.0,6.0,1.0,,17.0,4.0,51.0,43.0,1.0,15.0,8.0,,,52.0,11.0,7.0,,1.0,,1.0,108.0,,,,,,9.0,,,,,,,,,8.0,,16.0,16.0,1.0,2.0,72.0,54.0,19.0,5.0,,,7.0,2.0,259.0,,,3.0,2.0,,53.0,38.0,19.0,,,,,132.0,132.0,3.0,25.0,19.0,33.3,,,,,9.0,0.0,,,,66.0,3.0,3.0,6.0,,1.0,1.0,1.0,,3.0,72.0,198.0,2.0,7.0,92.0,19.0,18.0,25.0,5.0,12.0,7.0,1.0,110.0,3.0,203.0,,,22.0,9.0,56.0,,283.0,,0.0,11.0,11.0,,12.0,1.0,457.0,23.0,15.0,13.0,5.0,7.0,0.0
855219,5.0,2016-09-18 16:30:00,56,Sunderland,Away,67.0,2.0,1.0,4.0,3.0,1.0,1.0,77.0,3.0,1.0,1.0,2.0,2.0,13.0,140.0,1.0,,11.0,19.0,10.0,3.0,2.0,1.0,,,,,,,,,4.0,,,1.0,11.0,16.0,15.0,5.0,1.0,,26.0,56.0,2.0,2.0,,3.0,8.0,1.0,13.0,,1.0,1.0,4.0,1.0,,9.0,6.0,63.0,53.0,3.0,26.0,17.0,1.0,,43.0,16.0,7.0,,1.0,1.0,,108.0,,,,,,19.0,,,,2.0,,,,1.0,20.0,,15.0,15.0,2.0,1.0,47.0,60.0,17.0,14.0,,3.0,2.0,2.0,190.0,,,7.0,1.0,,31.0,34.0,17.0,,,,,123.0,123.0,3.0,28.0,16.0,26.3,,,,,8.0,0.0,,,,43.0,4.0,4.0,8.0,1.0,,,3.0,,3.0,25.0,131.0,5.0,5.0,85.0,8.0,32.0,17.0,1.0,7.0,6.0,,57.0,4.0,146.0,2.0,1.0,20.0,2.0,61.0,,224.0,1.0,1.0,6.0,26.0,,17.0,5.0,407.0,10.0,13.0,10.0,1.0,23.0,0.0
855229,6.0,2016-09-24 15:00:00,56,Sunderland,Home,114.0,20.0,,2.0,2.0,1.0,,148.0,4.0,1.0,1.0,7.0,11.0,31.0,260.0,1.0,,13.0,20.0,19.0,5.0,,2.0,,,,,,,,,9.0,,,,9.0,15.0,6.0,6.0,5.0,,56.0,64.0,,1.0,2.0,1.0,14.0,3.0,12.0,,,3.0,10.0,5.0,,12.0,3.0,61.0,54.0,1.0,29.0,16.0,,,73.0,15.0,12.0,2.0,2.0,3.0,,153.0,,,,,,10.0,,,2.0,1.0,,,,,18.0,,19.0,19.0,1.0,1.0,80.0,82.0,34.0,5.0,,3.0,2.0,4.0,331.0,,,4.0,2.0,,40.0,59.0,31.0,,,,,157.0,157.0,7.0,21.0,29.0,44.6,,3.0,,,14.0,0.0,,,,71.0,1.0,,1.0,,2.0,,4.0,,3.0,79.0,241.0,9.0,5.0,129.0,37.0,39.0,11.0,3.0,21.0,18.0,,137.0,7.0,252.0,1.0,1.0,30.0,11.0,75.0,3.0,360.0,1.0,0.0,11.0,15.0,2.0,17.0,0.0,564.0,21.0,14.0,8.0,3.0,8.0,0.0
855237,7.0,2016-10-01 15:00:00,56,Sunderland,Home,127.0,15.0,2.0,2.0,,,,203.0,5.0,2.0,8.0,5.0,4.0,41.0,328.0,,1.0,11.0,18.0,19.0,3.0,2.0,2.0,,1.0,,1.0,,,,1.0,4.0,,,,5.0,9.0,8.0,6.0,1.0,,50.0,67.0,2.0,1.0,1.0,6.0,13.0,1.0,1.0,,,6.0,6.0,7.0,,7.0,3.0,43.0,55.0,6.0,28.0,18.0,,,80.0,7.0,12.0,,3.0,1.0,1.0,162.0,1.0,,1.0,1.0,,9.0,,,1.0,3.0,,,,,20.0,,24.0,24.0,2.0,9.0,106.0,72.0,35.0,5.0,,3.0,3.0,2.0,397.0,,,3.0,1.0,,78.0,72.0,34.0,,,,,149.0,149.0,5.0,19.0,27.0,56.0,,,1.0,2.0,13.0,0.0,,,,106.0,2.0,4.0,6.0,,,,4.0,,3.0,93.0,308.0,6.0,6.0,145.0,30.0,32.0,17.0,6.0,20.0,14.0,,153.0,1.0,299.0,3.0,2.0,33.0,4.0,92.0,2.0,424.0,,0.0,7.0,17.0,2.0,12.0,1.0,631.0,16.0,13.0,7.0,6.0,13.0,0.0
855250,8.0,2016-10-15 15:00:00,56,Sunderland,Away,128.0,10.0,1.0,2.0,1.0,,,140.0,2.0,1.0,6.0,6.0,6.0,20.0,266.0,2.0,,20.0,14.0,13.0,7.0,1.0,1.0,,,1.0,1.0,,,,,9.0,,,,9.0,10.0,8.0,5.0,6.0,,43.0,61.0,,,,5.0,8.0,6.0,7.0,,,4.0,5.0,8.0,,14.0,1.0,50.0,40.0,5.0,13.0,7.0,,,73.0,13.0,10.0,,3.0,2.0,1.0,138.0,,,,,,8.0,,,,2.0,,,,,7.0,,14.0,14.0,2.0,6.0,100.0,81.0,34.0,6.0,,2.0,6.0,1.0,328.0,,,8.0,,,53.0,43.0,23.0,,,,,139.0,139.0,2.0,22.0,23.0,42.8,,,,1.0,8.0,0.0,,,,76.0,1.0,3.0,4.0,,,,4.0,,3.0,73.0,254.0,6.0,8.0,142.0,22.0,15.0,11.0,2.0,17.0,15.0,,123.0,2.0,232.0,2.0,1.0,31.0,7.0,69.0,2.0,357.0,2.0,0.0,11.0,10.0,1.0,23.0,1.0,532.0,16.0,11.0,8.0,4.0,8.0,0.0
855261,9.0,2016-10-22 15:00:00,56,Sunderland,Away,91.0,9.0,,4.0,4.0,,2.0,120.0,4.0,,6.0,4.0,12.0,16.0,207.0,,,11.0,13.0,6.0,6.0,1.0,,,,,1.0,,1.0,,1.0,8.0,,,1.0,12.0,12.0,8.0,4.0,6.0,,45.0,60.0,,1.0,,4.0,11.0,4.0,18.0,,,2.0,7.0,6.0,,8.0,,56.0,38.0,4.0,27.0,18.0,,,60.0,13.0,10.0,,3.0,2.0,1.0,132.0,,,,,,10.0,,,,2.0,,,,1.0,20.0,,17.0,17.0,4.0,6.0,62.0,70.0,27.0,6.0,,4.0,3.0,2.0,270.0,,,7.0,4.0,,59.0,44.0,19.0,,,,,136.0,136.0,2.0,30.0,15.0,35.6,,,,,11.0,0.0,,,,57.0,1.0,1.0,2.0,,,,4.0,,3.0,60.0,193.0,2.0,7.0,113.0,21.0,33.0,11.0,1.0,16.0,15.0,,94.0,2.0,199.0,3.0,,24.0,13.0,56.0,1.0,296.0,,0.0,10.0,16.0,,16.0,5.0,480.0,14.0,12.0,6.0,2.0,10.0,0.0
855268,10.0,2016-10-29 12:30:00,56,Sunderland,Home,96.0,10.0,,4.0,4.0,3.0,1.0,127.0,5.0,2.0,,5.0,8.0,35.0,219.0,,,15.0,17.0,14.0,1.0,,,,1.0,,1.0,,,,,1.0,1.0,,,6.0,14.0,7.0,1.0,2.0,,52.0,53.0,,,1.0,1.0,9.0,1.0,13.0,,,,10.0,4.0,,13.0,1.0,57.0,48.0,1.0,23.0,11.0,,,65.0,9.0,12.0,1.0,4.0,2.0,1.0,125.0,,,,,,10.0,,,,1.0,,,,1.0,11.0,,9.0,9.0,1.0,,65.0,64.0,34.0,8.0,,,1.0,1.0,273.0,,,2.0,1.0,,60.0,63.0,18.0,,,,1.0,138.0,138.0,3.0,23.0,22.0,34.5,,,,1.0,9.0,0.0,,,,60.0,2.0,1.0,3.0,,1.0,,1.0,,3.0,68.0,199.0,7.0,1.0,105.0,22.0,23.0,14.0,,16.0,16.0,,120.0,8.0,213.0,1.0,3.0,21.0,9.0,67.0,6.0,302.0,,0.0,3.0,16.0,,18.0,4.0,475.0,6.0,14.0,8.0,,15.0,0.0
