matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
360575,11.0,2011-11-05 15:00:00,56,Sunderland,Away,121.0,12.0,1.0,5.0,4.0,5.0,,161.0,1.0,,2.0,19.0,8.0,36.0,277.0,,,12.0,11.0,11.0,7.0,,,,,,,,,,,,,,,,,9.0,5.0,,54.0,58.0,,,,3.0,2.0,8.0,1.0,2.0,9.0,5.0,,5.0,3.0,40.0,43.0,3.0,17.0,5.0,,,78.0,15.0,5.0,,,,,,131.0,,,,,,,6.0,,,,3.0,,,,1.0,14.0,,24.0,17.0,3.0,2.0,87.0,79.0,35.0,6.0,,5.0,2.0,1.0,,,4.0,,1.0,32.0,69.0,13.0,,,,,,144.0,127.0,2.0,25.0,21.0,42.7,,1.0,0.0,,,,92.0,4.0,2.0,,,,6.0,,3.0,72.0,7.0,135.0,24.0,34.0,5.0,2.0,17.0,15.0,,122.0,12.0,246.0,3.0,,49.0,10.0,69.0,2.0,364.0,,0.0,9.0,24.0,1.0,18.0,2.0,543.0,8.0,3.0,2.0,16.0,0.0
360584,12.0,2011-11-19 15:00:00,56,Sunderland,Home,150.0,24.0,2.0,10.0,8.0,2.0,,257.0,1.0,1.0,3.0,6.0,16.0,39.0,397.0,,1.0,16.0,23.0,10.0,8.0,2.0,,,,,,1.0,,,8.0,,,2.0,,,,8.0,7.0,,81.0,59.0,,,,,5.0,4.0,1.0,6.0,16.0,15.0,,8.0,1.0,48.0,42.0,,9.0,4.0,,,94.0,8.0,12.0,,,2.0,1.0,1.0,188.0,,,,,,,8.0,,,,2.0,,,,,7.0,2.0,9.0,8.0,,3.0,108.0,96.0,53.0,7.0,,3.0,7.0,3.0,,,7.0,3.0,,79.0,96.0,30.0,,,,,,167.0,162.0,3.0,25.0,20.0,51.9,2.0,3.0,0.0,,,,115.0,2.0,2.0,,,,5.0,,2.0,134.0,10.0,166.0,39.0,14.0,11.0,6.0,38.0,32.0,,190.0,7.0,364.0,2.0,1.0,26.0,17.0,67.0,5.0,492.0,1.0,0.0,13.0,14.0,1.0,17.0,1.0,674.0,10.0,6.0,6.0,10.0,0.0
360596,13.0,2011-11-26 15:00:00,56,Sunderland,Home,132.0,25.0,1.0,8.0,7.0,6.0,2.0,210.0,3.0,,3.0,4.0,8.0,34.0,334.0,1.0,2.0,19.0,7.0,7.0,10.0,3.0,,,,,1.0,1.0,1.0,,14.0,,,,,,2.0,6.0,6.0,,49.0,67.0,2.0,3.0,1.0,2.0,3.0,12.0,,3.0,19.0,6.0,,15.0,,49.0,58.0,2.0,4.0,1.0,1.0,,84.0,12.0,13.0,,,5.0,4.0,1.0,169.0,,,,,,,6.0,,,1.0,1.0,,,,,4.0,,11.0,8.0,,3.0,109.0,96.0,50.0,2.0,1.0,6.0,7.0,9.0,,,3.0,,,56.0,78.0,30.0,1.0,1.0,1.0,,,158.0,155.0,2.0,26.0,23.0,52.9,,,0.0,,,,104.0,1.0,1.0,,,,7.0,,3.0,107.0,13.0,144.0,52.0,7.0,11.0,3.0,32.0,29.0,,169.0,10.0,319.0,1.0,,16.0,10.0,68.0,2.0,431.0,1.0,0.0,19.0,30.0,3.0,21.0,3.0,621.0,9.0,8.0,3.0,24.0,0.0
360608,14.0,2011-12-04 16:00:00,56,Sunderland,Away,118.0,13.0,1.0,6.0,5.0,,,180.0,,1.0,1.0,10.0,10.0,31.0,292.0,,3.0,17.0,27.0,8.0,13.0,1.0,4.0,,,,,,,,16.0,,1.0,,,,2.0,9.0,8.0,,59.0,70.0,1.0,2.0,,6.0,5.0,9.0,,3.0,5.0,9.0,,5.0,4.0,57.0,50.0,5.0,20.0,13.0,,,81.0,12.0,10.0,,,1.0,,,168.0,1.0,,,1.0,,1.0,5.0,,,1.0,4.0,,,,,31.0,,23.0,12.0,1.0,1.0,99.0,111.0,48.0,8.0,1.0,5.0,10.0,9.0,,,8.0,,,40.0,67.0,25.0,,,,,1.0,192.0,169.0,1.0,38.0,16.0,45.1,,,0.0,,,,86.0,2.0,1.0,,1.0,4.0,6.0,,2.0,86.0,15.0,149.0,32.0,42.0,9.0,3.0,17.0,14.0,5.0,144.0,5.0,280.0,4.0,1.0,43.0,12.0,71.0,2.0,412.0,2.0,0.0,20.0,27.0,7.0,27.0,3.0,647.0,12.0,5.0,3.0,21.0,0.0
360616,15.0,2011-12-11 13:30:00,56,Sunderland,Home,136.0,23.0,4.0,11.0,7.0,4.0,,293.0,1.0,,11.0,2.0,14.0,36.0,418.0,,,23.0,10.0,6.0,11.0,,,1.0,2.0,,,3.0,,,19.0,,,,,,,2.0,1.0,,83.0,69.0,1.0,1.0,,,8.0,6.0,,9.0,22.0,24.0,,13.0,1.0,46.0,41.0,,11.0,6.0,,,120.0,11.0,7.0,,,4.0,2.0,3.0,219.0,,,,,,,3.0,,,1.0,3.0,,,,,16.0,1.0,13.0,9.0,1.0,11.0,137.0,95.0,46.0,,2.0,3.0,8.0,5.0,,,,1.0,,111.0,104.0,40.0,,,,,,216.0,203.0,2.0,16.0,31.0,67.6,,,0.0,,,,104.0,1.0,,,,,10.0,,2.0,147.0,11.0,152.0,44.0,24.0,16.0,9.0,57.0,48.0,,230.0,12.0,448.0,3.0,,22.0,15.0,66.0,2.0,543.0,1.0,0.0,23.0,18.0,1.0,26.0,2.0,771.0,5.0,10.0,9.0,16.0,0.0
360626,16.0,2011-12-18 15:00:00,56,Sunderland,Away,113.0,11.0,,4.0,4.0,6.0,,159.0,5.0,2.0,2.0,11.0,23.0,24.0,268.0,,1.0,11.0,10.0,9.0,6.0,,,,,,1.0,1.0,,,7.0,,,,,,,10.0,9.0,,65.0,63.0,1.0,1.0,,4.0,1.0,6.0,,,7.0,7.0,,16.0,1.0,46.0,50.0,4.0,14.0,6.0,,,93.0,8.0,5.0,,,5.0,3.0,1.0,137.0,,,,,,,13.0,,,,1.0,,,,,7.0,,28.0,23.0,3.0,2.0,88.0,87.0,38.0,6.0,,3.0,3.0,4.0,,,7.0,1.0,,75.0,61.0,19.0,,,,,,170.0,165.0,3.0,32.0,23.0,39.7,,1.0,0.0,,,,77.0,2.0,1.0,,2.0,,3.0,,3.0,71.0,6.0,137.0,30.0,19.0,9.0,,17.0,17.0,,127.0,16.0,247.0,1.0,2.0,31.0,26.0,53.0,3.0,367.0,,0.0,8.0,33.0,2.0,19.0,2.0,581.0,11.0,3.0,,28.0,0.0
360629,17.0,2011-12-21 20:00:00,56,Sunderland,Away,77.0,7.0,6.0,8.0,2.0,5.0,1.0,122.0,3.0,,1.0,7.0,18.0,18.0,191.0,,,20.0,26.0,25.0,10.0,1.0,5.0,,,,,1.0,,,9.0,,,,1.0,,2.0,11.0,10.0,,48.0,53.0,2.0,2.0,1.0,1.0,8.0,5.0,1.0,11.0,9.0,4.0,1.0,16.0,2.0,63.0,72.0,1.0,16.0,6.0,1.0,,80.0,12.0,10.0,1.0,,1.0,1.0,1.0,135.0,2.0,2.0,2.0,,2.0,,10.0,,,1.0,2.0,,,,1.0,16.0,1.0,26.0,25.0,1.0,1.0,60.0,91.0,32.0,8.0,1.0,5.0,8.0,6.0,,,9.0,1.0,,51.0,37.0,16.0,,,,,,200.0,173.0,2.0,22.0,13.0,42.8,1.0,,0.0,,,,51.0,1.0,3.0,,1.0,5.0,5.0,1.0,2.0,58.0,13.0,95.0,20.0,43.0,15.0,11.0,25.0,14.0,5.0,114.0,14.0,224.0,3.0,,28.0,20.0,53.0,4.0,294.0,,0.0,19.0,27.0,,30.0,2.0,572.0,10.0,10.0,11.0,20.0,0.0
360646,18.0,2011-12-26 15:00:00,56,Sunderland,Home,112.0,18.0,1.0,5.0,4.0,2.0,,169.0,2.0,,1.0,15.0,14.0,42.0,276.0,,,15.0,20.0,10.0,8.0,1.0,1.0,,,,,2.0,,,,,,,,,1.0,8.0,3.0,,65.0,53.0,,,,2.0,7.0,1.0,,5.0,7.0,4.0,,10.0,2.0,42.0,43.0,2.0,13.0,11.0,,,88.0,7.0,14.0,,,,,2.0,161.0,1.0,,1.0,1.0,,,10.0,,,,1.0,,,,1.0,16.0,,20.0,13.0,1.0,1.0,71.0,96.0,51.0,6.0,1.0,3.0,7.0,2.0,,,3.0,1.0,,45.0,58.0,28.0,1.0,1.0,1.0,,,190.0,179.0,1.0,23.0,19.0,48.3,,,0.0,,,,79.0,1.0,,,,1.0,3.0,,3.0,78.0,10.0,137.0,41.0,24.0,8.0,5.0,19.0,14.0,,131.0,8.0,258.0,1.0,,45.0,14.0,79.0,5.0,376.0,,0.0,12.0,16.0,,24.0,0.0,578.0,27.0,3.0,5.0,12.0,0.0
360656,19.0,2012-01-01 15:00:00,56,Sunderland,Home,82.0,9.0,,,,2.0,,124.0,5.0,,1.0,11.0,8.0,19.0,206.0,,1.0,22.0,12.0,8.0,5.0,1.0,,,,,,,,,6.0,,,,,,,14.0,13.0,,42.0,56.0,3.0,2.0,1.0,2.0,2.0,10.0,,1.0,5.0,5.0,,10.0,3.0,49.0,38.0,2.0,27.0,10.0,,,47.0,7.0,6.0,1.0,,1.0,,,119.0,1.0,,1.0,1.0,,,15.0,,,1.0,1.0,,,,,13.0,,18.0,14.0,5.0,1.0,61.0,87.0,39.0,10.0,,3.0,4.0,3.0,,,6.0,3.0,,56.0,59.0,11.0,,,,,,171.0,148.0,,25.0,23.0,31.2,,2.0,0.0,,,,71.0,3.0,2.0,,1.0,,3.0,,3.0,52.0,7.0,102.0,21.0,50.0,14.0,1.0,11.0,10.0,,87.0,11.0,202.0,1.0,,30.0,9.0,47.0,,293.0,,0.0,8.0,20.0,1.0,27.0,2.0,513.0,12.0,4.0,1.0,16.0,0.0
360667,20.0,2012-01-03 19:45:00,56,Sunderland,Away,129.0,20.0,2.0,7.0,6.0,,1.0,124.0,6.0,1.0,3.0,4.0,15.0,30.0,246.0,,,9.0,5.0,3.0,6.0,1.0,1.0,1.0,,,,1.0,,,9.0,,,,,,1.0,7.0,16.0,,60.0,47.0,3.0,2.0,2.0,4.0,3.0,7.0,1.0,6.0,12.0,3.0,,8.0,1.0,30.0,36.0,4.0,10.0,4.0,,,47.0,7.0,10.0,,,2.0,1.0,1.0,116.0,1.0,,1.0,1.0,,,13.0,,,3.0,1.0,,,,1.0,10.0,,21.0,17.0,3.0,3.0,73.0,75.0,37.0,9.0,4.0,2.0,6.0,6.0,,,7.0,1.0,,46.0,45.0,6.0,,,,,,123.0,112.0,3.0,26.0,10.0,36.6,,,0.0,,,,63.0,1.0,3.0,,,1.0,2.0,,3.0,51.0,8.0,145.0,35.0,21.0,12.0,6.0,21.0,16.0,1.0,77.0,6.0,188.0,1.0,1.0,17.0,15.0,55.0,2.0,312.0,,0.0,11.0,15.0,,11.0,0.0,485.0,8.0,8.0,6.0,13.0,0.0
