matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgLeft,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,ballRecovery,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,savedIbox,savedObox,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,wonContest,wonCorners,wonTackle,yellowCard
284109,11,2009-10-31 15:00:00,56,Sunderland,Home,108.0,17.0,2.0,8.0,6.0,5.0,,204.0,5.0,,5.0,13.0,19.0,25.0,304.0,2.0,5.0,22.0,17.0,17.0,11.0,3.0,,3.0,1.0,,,,1.0,,,,,,,,,1.0,,,2.0,9.0,8.0,,,67.0,,,4.0,5.0,1.0,7.0,19.0,11.0,,16.0,2.0,56.0,80.0,,12.0,10.0,,1.0,86.0,13.0,17.0,,,,,1.0,,,,,,,9.0,,1.0,,15.0,1.0,23.0,23.0,,5.0,88.0,43.0,3.0,2.0,9.0,5.0,7.0,,2.0,,85.0,61.0,31.0,,,,,173.0,165.0,2.0,29.0,25.0,56.9,1.0,,0.0,3.0,3.0,,2.0,3.0,10.0,,1.0,118.0,,14.0,122.0,26.0,20.0,17.0,7.0,39.0,32.0,,177.0,15.0,320.0,1.0,,37.0,22.0,55.0,2.0,403.0,3.0,1.0,21.0,34.0,8.0,30.0,3.0,719.0,,12.0,7.0,26.0,0.0
284116,12,2009-11-07 15:00:00,56,Sunderland,Away,94.0,12.0,3.0,7.0,4.0,4.0,,179.0,3.0,1.0,4.0,8.0,15.0,28.0,266.0,,1.0,17.0,14.0,10.0,11.0,1.0,,1.0,,1.0,,,1.0,,,,,,,,1.0,,,1.0,1.0,7.0,8.0,,,56.0,,2.0,3.0,7.0,,4.0,13.0,8.0,,14.0,1.0,62.0,48.0,2.0,19.0,13.0,,,86.0,19.0,9.0,,,,,1.0,,,,,,,6.0,,1.0,,18.0,1.0,21.0,21.0,1.0,4.0,78.0,31.0,4.0,,6.0,6.0,7.0,,7.0,,73.0,57.0,28.0,,,,1.0,168.0,156.0,,19.0,31.0,49.1,1.0,,0.0,1.0,,,,1.0,8.0,,3.0,94.0,,12.0,106.0,32.0,31.0,15.0,4.0,26.0,22.0,,151.0,11.0,281.0,1.0,1.0,27.0,16.0,55.0,5.0,361.0,1.0,0.0,18.0,22.0,2.0,29.0,2.0,631.0,,7.0,4.0,14.0,0.0
284128,13,2009-11-21 15:00:00,56,Sunderland,Home,79.0,13.0,1.0,2.0,1.0,1.0,,109.0,3.0,,1.0,5.0,11.0,16.0,186.0,,1.0,18.0,6.0,12.0,2.0,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,4.0,8.0,,,68.0,,9.0,,8.0,,2.0,10.0,4.0,,10.0,1.0,39.0,58.0,7.0,22.0,11.0,,,91.0,10.0,10.0,1.0,,,,1.0,1.0,,,1.0,,,11.0,,,,17.0,,25.0,25.0,4.0,1.0,94.0,41.0,6.0,,2.0,2.0,2.0,,4.0,,49.0,33.0,22.0,,,,,170.0,157.0,4.0,23.0,34.0,35.5,,1.0,0.0,1.0,1.0,,,1.0,6.0,,3.0,53.0,,4.0,93.0,25.0,33.0,12.0,2.0,18.0,16.0,,120.0,5.0,216.0,,,36.0,13.0,54.0,3.0,291.0,,0.0,8.0,29.0,3.0,28.0,2.0,579.0,,7.0,2.0,20.0,0.0
284138,14,2009-11-28 15:00:00,56,Sunderland,Away,98.0,12.0,1.0,5.0,4.0,6.0,,150.0,4.0,1.0,3.0,11.0,18.0,18.0,243.0,,1.0,27.0,17.0,23.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,7.0,10.0,,,76.0,,1.0,4.0,11.0,,8.0,10.0,10.0,,19.0,3.0,64.0,58.0,1.0,18.0,11.0,1.0,,91.0,14.0,12.0,,,,,,,,,,,,8.0,,2.0,1.0,20.0,,25.0,25.0,1.0,3.0,111.0,51.0,5.0,,3.0,2.0,,,3.0,,50.0,62.0,24.0,,,,,194.0,180.0,1.0,31.0,30.0,51.3,,1.0,0.0,4.0,2.0,,2.0,,5.0,,3.0,77.0,,5.0,111.0,28.0,32.0,8.0,7.0,30.0,23.0,,141.0,25.0,281.0,2.0,1.0,35.0,19.0,53.0,2.0,362.0,,0.0,9.0,19.0,6.0,34.0,3.0,652.0,,4.0,8.0,15.0,0.0
284144,15,2009-12-06 15:00:00,56,Sunderland,Away,101.0,15.0,,3.0,3.0,7.0,,153.0,7.0,,4.0,11.0,11.0,35.0,251.0,,,30.0,17.0,11.0,3.0,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,6.0,10.0,,,46.0,,,1.0,4.0,,8.0,16.0,9.0,,9.0,1.0,48.0,38.0,,26.0,10.0,,,105.0,14.0,8.0,,,,,1.0,,,,,,,15.0,,2.0,,17.0,,18.0,18.0,,4.0,105.0,40.0,4.0,,1.0,3.0,4.0,,3.0,,73.0,51.0,23.0,,,,,204.0,185.0,4.0,16.0,14.0,53.2,,,0.0,1.0,,,2.0,,3.0,,3.0,95.0,,4.0,120.0,39.0,45.0,9.0,7.0,33.0,26.0,,176.0,24.0,287.0,3.0,,36.0,13.0,80.0,2.0,374.0,,0.0,8.0,14.0,1.0,39.0,2.0,641.0,,5.0,8.0,6.0,0.0
284158,16,2009-12-12 15:00:00,56,Sunderland,Home,81.0,19.0,3.0,9.0,6.0,3.0,,142.0,1.0,,1.0,9.0,5.0,28.0,214.0,2.0,,15.0,19.0,19.0,11.0,1.0,,1.0,,,1.0,,1.0,,,,,,,,,1.0,,,,3.0,6.0,,,60.0,,2.0,7.0,7.0,,9.0,9.0,4.0,,16.0,2.0,67.0,68.0,2.0,23.0,14.0,,,85.0,13.0,14.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,5.0,,3.0,1.0,24.0,1.0,28.0,27.0,1.0,2.0,98.0,34.0,6.0,,4.0,9.0,4.0,,1.0,,53.0,45.0,21.0,,,,,191.0,174.0,1.0,22.0,28.0,45.0,1.0,1.0,0.0,1.0,3.0,,1.0,1.0,7.0,1.0,2.0,81.0,,13.0,101.0,46.0,40.0,20.0,9.0,23.0,14.0,,138.0,12.0,245.0,3.0,,38.0,5.0,67.0,3.0,323.0,2.0,0.0,18.0,28.0,2.0,28.0,4.0,627.0,,7.0,9.0,24.0,0.0
284166,17,2009-12-15 19:45:00,56,Sunderland,Home,98.0,22.0,2.0,10.0,8.0,11.0,,208.0,6.0,,,18.0,22.0,38.0,296.0,,1.0,31.0,20.0,24.0,10.0,2.0,,1.0,,,,,,,,,,,,,,,,,3.0,5.0,6.0,,,56.0,,,5.0,2.0,,7.0,9.0,9.0,,17.0,,62.0,58.0,,18.0,6.0,,1.0,105.0,16.0,14.0,,,,,,,,,,,,9.0,,1.0,,9.0,,28.0,28.0,,,91.0,48.0,1.0,,6.0,6.0,2.0,,1.0,,73.0,43.0,37.0,,,,,203.0,196.0,4.0,28.0,18.0,57.6,,1.0,0.0,,1.0,1.0,2.0,1.0,10.0,,3.0,100.0,,12.0,130.0,46.0,25.0,10.0,6.0,28.0,22.0,,178.0,32.0,330.0,1.0,,37.0,26.0,67.0,,432.0,1.0,1.0,17.0,17.0,5.0,46.0,1.0,713.0,,3.0,7.0,12.0,0.0
284175,18,2009-12-19 15:00:00,56,Sunderland,Away,80.0,14.0,2.0,4.0,2.0,3.0,,103.0,1.0,2.0,2.0,11.0,7.0,22.0,179.0,,,24.0,15.0,24.0,3.0,2.0,,,,,,,,,,1.0,,,,,,,,,1.0,10.0,4.0,,,45.0,,1.0,1.0,4.0,,4.0,4.0,3.0,1.0,10.0,1.0,42.0,61.0,1.0,11.0,5.0,,,107.0,8.0,13.0,1.0,,,,,2.0,,2.0,2.0,,,8.0,,,1.0,9.0,,19.0,19.0,3.0,2.0,100.0,32.0,6.0,1.0,3.0,4.0,5.0,,1.0,,53.0,45.0,24.0,1.0,1.0,1.0,,211.0,201.0,2.0,18.0,16.0,44.4,,,0.0,1.0,1.0,,2.0,,4.0,1.0,3.0,57.0,,7.0,115.0,44.0,21.0,10.0,3.0,12.0,9.0,,145.0,21.0,230.0,,2.0,40.0,7.0,63.0,5.0,333.0,,1.0,10.0,20.0,,35.0,2.0,565.0,,4.0,4.0,12.0,0.0
284187,19,2009-12-26 15:00:00,56,Sunderland,Home,61.0,15.0,2.0,8.0,6.0,2.0,,126.0,4.0,1.0,1.0,16.0,18.0,21.0,179.0,,,7.0,16.0,26.0,7.0,2.0,,2.0,,,,,1.0,,,,,,,,,,,,2.0,9.0,6.0,,,68.0,,11.0,3.0,9.0,,4.0,8.0,9.0,,5.0,,59.0,68.0,10.0,28.0,15.0,,,82.0,22.0,19.0,1.0,,,,1.0,1.0,,1.0,1.0,,1.0,9.0,,1.0,1.0,32.0,,20.0,19.0,2.0,1.0,96.0,39.0,12.0,,3.0,7.0,5.0,,6.0,,40.0,40.0,33.0,,,,,176.0,151.0,5.0,26.0,24.0,38.9,,,0.0,,,,,2.0,3.0,1.0,2.0,63.0,,10.0,79.0,26.0,52.0,12.0,4.0,24.0,20.0,,133.0,14.0,233.0,2.0,1.0,48.0,18.0,62.0,2.0,288.0,,0.0,11.0,19.0,4.0,13.0,1.0,550.0,,4.0,4.0,12.0,0.0
284191,20,2009-12-28 15:00:00,56,Sunderland,Away,55.0,4.0,1.0,2.0,1.0,2.0,,87.0,5.0,1.0,,7.0,17.0,9.0,140.0,,1.0,16.0,38.0,18.0,6.0,,,1.0,,,,,,,,,,,,,,,,,2.0,11.0,11.0,,,58.0,,6.0,4.0,7.0,,4.0,7.0,7.0,,13.0,1.0,82.0,53.0,6.0,9.0,4.0,,1.0,93.0,20.0,6.0,2.0,1.0,,,,1.0,,1.0,1.0,,1.0,16.0,,5.0,,23.0,,12.0,12.0,,1.0,112.0,26.0,4.0,,2.0,5.0,6.0,,5.0,,64.0,31.0,13.0,,,,,241.0,212.0,2.0,20.0,22.0,44.6,,,0.0,2.0,1.0,,6.0,1.0,4.0,1.0,,52.0,,7.0,84.0,24.0,38.0,12.0,4.0,18.0,14.0,,136.0,12.0,223.0,5.0,1.0,43.0,19.0,56.0,2.0,289.0,,0.0,14.0,21.0,6.0,31.0,4.0,549.0,,8.0,4.0,17.0,0.0
