playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,blockedShots,overruns,totalTackles,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,oboxBlocked,cornersTakenInclShortCorners,aerialDuels,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,straightRedCards,openPlayPasses,totalLossesOfPossession,tacklesWon,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,totalShots,unsuccessfulCrossesOpenPlay,throwInsToOppositionPlayer,putthroughBlockedDistributionWon,shotsOffTargetIncWoodwork,cornersWon,successfulDribbles,blocks,throwInsToOwnPlayer,punches,savesMade,savesMadeFromOutsideBox,goalKicks,aerialDuelsWon,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,shotsOnTargetIncGoals,expectedGoalsOnTarget,goals,awayGoals,iboxTarget,shotsOnTargetInBox,homeGoals,rightFootGoals,handballsConceded,substituteOn,offsides,headedGoals,shotsOnTargetOutsideBox,oboxTarget,leftFootGoals,unsuccessfulLayoffs,goalAssists
571779,César Palacios,Midfielder,Fulham,54,Spain,2026-27,10.0,0.0282,0.0,2.0,1.0,2.0,,11.0,3.0,5.0,3.0,12.0,91.0,,,5.0,,210.0,3.0,9.0,6.0,7.0,77.0,,10.0,4.8437,1.0,,2.0,6.0,2.0,7.0,33.0,,0.0,19.0,16.0,8.0,3.0,1.0,2.0,48.0,6.0,1.0,3.0,2.0,14.0,0.0,90.0,26.0,1.0,13.0,5.0,1.0,,2.0,29.0,134.0,3.0,,1.0,31.0,,0.9774,1.0,1.0,4.0,,6.0,1.0,,6.0,4.0,2.0,5.0,,,,,,,2.0,,,,,2.0,0.6355,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
209289,Emile Smith Rowe,Midfielder,Fulham,54,England,2026-27,5.0,0.0271,0.0,1.0,,,,2.0,2.0,,,2.0,22.0,,,3.0,,25.0,3.0,,1.0,,20.0,,3.0,0.3919,2.0,,,,1.0,2.0,3.0,,0.0,5.0,5.0,1.0,2.0,,1.0,16.0,,,2.0,1.0,2.0,0.0,22.0,4.0,,11.0,,,,,3.0,30.0,,,,4.0,,0.0581,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
153366,Harrison Reed,Midfielder,Fulham,54,England,2026-27,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551050,Hugo Larsson,Midfielder,Fulham,54,Sweden,2026-27,1.0,0.2213,0.0,1.0,,1.0,,3.0,1.0,,,3.0,17.0,,,,,11.0,,1.0,,1.0,14.0,,3.0,,,,,,1.0,1.0,4.0,,0.0,2.0,6.0,,1.0,1.0,,9.0,,,,1.0,2.0,0.0,17.0,3.0,,4.0,,,,,3.0,21.0,,,,5.0,,0.1278,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
577725,Josh King,Midfielder,Fulham,54,England,2026-27,18.0,0.3407,0.0,2.0,1.0,5.0,,16.0,3.0,5.0,3.0,18.0,109.0,,,2.0,,270.0,2.0,12.0,8.0,12.0,89.0,,25.0,5.9184,3.0,,2.0,7.0,2.0,16.0,21.0,2.0,0.0,30.0,20.0,10.0,3.0,2.0,9.0,52.0,7.0,4.0,11.0,2.0,28.0,0.0,99.0,43.0,3.0,29.0,3.0,1.0,,2.0,39.0,160.0,,,1.0,39.0,2.0,0.9542,0.0,2.0,3.0,,5.0,4.0,,1.0,2.0,5.0,5.0,1.0,,,,,,,,,,,3.0,0.5704,2.0,0.0,,,2.0,1.0,,,,,1.0,1.0,1.0,,
500033,Manuel Ángel,Midfielder,Fulham,54,Spain,2026-27,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477555,Oscar Bobb,Midfielder,Fulham,54,Norway,2026-27,15.0,0.9217,0.0,1.0,1.0,5.0,1.0,14.0,3.0,1.0,3.0,15.0,74.0,,9.0,4.0,3.0,214.0,3.0,12.0,5.0,11.0,59.0,3.0,15.0,4.5989,6.0,,,6.0,1.0,12.0,5.0,3.0,0.0,27.0,15.0,8.0,3.0,4.0,6.0,48.0,6.0,5.0,9.0,1.0,23.0,0.0,73.0,32.0,1.0,32.0,2.0,2.0,5.0,,22.0,119.0,3.0,,1.0,14.0,1.0,0.3189,0.0,1.0,2.0,,2.0,,,1.0,1.0,2.0,3.0,,,,,,,1.0,,,,,1.0,0.1488,,,1.0,1.0,,,,,,,,,,1.0,
184349,Ryan Sessegnon,Midfielder,Fulham,54,England,2026-27,7.0,0.4471,0.0,1.0,,1.0,1.0,5.0,3.0,1.0,,9.0,40.0,1.0,2.0,2.0,2.0,50.0,1.0,6.0,3.0,5.0,31.0,,6.0,1.3195,1.0,,,1.0,,6.0,8.0,,0.0,13.0,15.0,3.0,3.0,1.0,3.0,23.0,1.0,6.0,5.0,,11.0,0.0,39.0,23.0,,5.0,,2.0,2.0,1.0,12.0,74.0,,1.0,3.0,10.0,,0.1326,0.0,4.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,4.0,,7.0,,,,,1.0,,,,,1.0,0.0913,,,1.0,1.0,,,,3.0,,,,,,,
207189,Sander Berge,Midfielder,Fulham,54,Norway,2026-27,9.0,0.3246,0.0,1.0,,1.0,1.0,8.0,3.0,3.0,2.0,9.0,151.0,,,4.0,,185.0,3.0,2.0,1.0,1.0,140.0,,3.0,3.8484,4.0,,,5.0,1.0,6.0,49.0,,0.0,11.0,24.0,6.0,3.0,1.0,,64.0,5.0,1.0,2.0,1.0,7.0,0.0,149.0,14.0,,49.0,1.0,,,2.0,29.0,162.0,2.0,,1.0,78.0,1.0,0.0294,0.0,1.0,3.0,,,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,
463210,Shea Charles,Midfielder,Fulham,54,Northern Ireland,2026-27,5.0,0.1258,0.0,1.0,,1.0,,6.0,3.0,1.0,1.0,8.0,104.0,1.0,,4.0,,124.0,3.0,3.0,2.0,2.0,95.0,,5.0,3.8847,3.0,,,4.0,,2.0,25.0,,0.0,8.0,26.0,11.0,3.0,1.0,,51.0,4.0,1.0,,,4.0,0.0,102.0,12.0,1.0,40.0,,4.0,,1.0,13.0,124.0,1.0,1.0,1.0,45.0,,0.0906,0.0,2.0,3.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,
