playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,totalRedCards,blockedShots,shotsOnTargetIncGoals,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,totalFoulsWon,winningGoal,duels,recoveries,appearances,tacklesLost,lastPlayerTackle,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,totalFoulsConceded,interceptions,successfulLongPasses,touches,throwInsToOwnPlayer,unsuccessfulLaunches,successfulPassesOwnHalf,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,goalAssists,offsides,substituteOn,unsuccessfulLayoffs,shotsOffTargetIncWoodwork,substituteOff,handballsConceded,cornersTakenInclShortCorners,successfulCornersIntoBox,penaltyGoalsConceded,unsuccessfulCornersIntoBox,setPiecesGoals,foulWonPenalty,goals,awayGoals,homeGoals,rightFootGoals,leftFootGoals,headedGoals,otherGoals,attemptsFromSetPieces,clearancesOffTheLine,hitWoodwork,penaltiesConceded,ownGoalScored,penaltiesTaken,penaltyGoals,punches,catches,savesMade,savesMadeFromOutsideBox,goalKicks,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeFromInsideBox,savesMadeCaught,penaltiesFaced,goalkeeperSmother,drops,crossesNotClaimed,savesMadeParried
37036,Andranik Teymourian,Midfielder,Fulham,54,Iran,2009-10,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37417,Bjørn Helge Riise,Midfielder,Fulham,54,Norway,2009-10,35.0,2.0,0.0,3.0,,20.0,1.0,3.0,28.0,12.0,14.0,5.0,34.0,23.0,166.0,6.0,,8.0,406.0,6.0,38.0,2.0,38.0,130.0,6.0,,7.0,1.0,6.0,12.0,29.0,13.0,0.0,73.0,23.0,12.0,5.0,,9.0,81.0,10.0,36.0,19.0,67.0,,0.0,163.0,12.0,94.0,15.0,5.0,,6.0,13.0,2.0,312.0,4.0,5.0,59.0,0.0,6.0,8.0,,1.0,7.0,,1.0,3.0,3.0,20.0,6.0,2.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80965,Christopher Buchtmann,Midfielder,Fulham,54,Germany,2009-10,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1256,Damien Duff,Midfielder,Fulham,54,Ireland,2009-10,110.0,32.0,0.0,19.0,23.0,50.0,37.0,12.0,148.0,32.0,133.0,30.0,166.0,84.0,1052.0,19.0,7.0,68.0,2543.0,16.0,130.0,3.0,127.0,871.0,46.0,3.0,47.0,1.0,26.0,31.0,94.0,61.0,2.0,240.0,142.0,32.0,13.0,,25.0,580.0,28.0,152.0,64.0,221.0,3.0,0.0,1040.0,27.0,409.0,37.0,16.0,4.0,18.0,57.0,15.0,1726.0,29.0,18.0,374.0,2.0,18.0,43.0,3.0,7.0,2.0,,14.0,9.0,2.0,81.0,26.0,,49.0,,,6.0,2.0,4.0,1.0,5.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,
1812,Danny Murphy,Midfielder,Fulham,54,England,2009-10,145.0,4.0,0.0,12.0,8.0,75.0,16.0,20.0,289.0,25.0,68.0,25.0,354.0,10.0,1470.0,61.0,6.0,9.0,2141.0,39.0,125.0,2.0,103.0,1017.0,19.0,,27.0,5.0,39.0,26.0,106.0,15.0,4.0,270.0,156.0,25.0,26.0,,4.0,600.0,24.0,32.0,36.0,209.0,22.0,0.0,1426.0,11.0,450.0,49.0,13.0,8.0,36.0,77.0,99.0,1860.0,1.0,30.0,525.0,5.0,65.0,75.0,,1.0,,,8.0,7.0,,16.0,2.0,,11.0,,,5.0,2.0,3.0,5.0,,,,4.0,1.0,,,,3.0,3.0,,,,,,,,,,,,,,
10454,Dickson Etuhu,Midfielder,Fulham,54,Nigeria,2009-10,66.0,,0.0,2.0,3.0,47.0,8.0,3.0,118.0,20.0,27.0,14.0,128.0,2.0,679.0,37.0,5.0,,1331.0,15.0,82.0,1.0,60.0,520.0,6.0,,2.0,2.0,31.0,15.0,51.0,8.0,0.0,148.0,75.0,20.0,13.0,,2.0,282.0,14.0,2.0,12.0,111.0,22.0,0.0,676.0,3.0,160.0,34.0,5.0,8.0,36.0,35.0,31.0,866.0,,8.0,269.0,3.0,10.0,38.0,,,6.0,,5.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863,Jonathan Greening,Midfielder,Fulham,54,England,2009-10,84.0,2.0,0.0,1.0,2.0,45.0,5.0,3.0,116.0,23.0,27.0,15.0,138.0,14.0,876.0,39.0,2.0,7.0,1501.0,12.0,89.0,2.0,62.0,680.0,9.0,,10.0,3.0,25.0,19.0,72.0,13.0,2.0,173.0,97.0,23.0,7.0,,7.0,328.0,17.0,28.0,23.0,134.0,27.0,0.0,857.0,7.0,210.0,38.0,4.0,4.0,33.0,35.0,58.0,1107.0,3.0,12.0,417.0,5.0,22.0,40.0,1.0,,8.0,3.0,3.0,5.0,2.0,12.0,4.0,1.0,7.0,,,1.0,0.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
46967,Kagisho Dikgacoi,Midfielder,Fulham,54,South Africa,2009-10,39.0,,1.0,3.0,,22.0,3.0,3.0,63.0,12.0,10.0,7.0,79.0,3.0,344.0,24.0,,,587.0,15.0,40.0,1.0,31.0,244.0,4.0,,4.0,,15.0,13.0,24.0,5.0,0.0,79.0,40.0,12.0,6.0,,3.0,114.0,12.0,3.0,10.0,55.0,9.0,1.0,342.0,2.0,103.0,16.0,4.0,4.0,9.0,16.0,21.0,443.0,,11.0,151.0,1.0,16.0,16.0,,,5.0,,3.0,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2559,Simon Davies,Midfielder,Fulham,54,Wales,2009-10,56.0,6.0,0.0,3.0,4.0,28.0,6.0,8.0,74.0,17.0,46.0,12.0,92.0,19.0,473.0,18.0,2.0,14.0,1000.0,13.0,47.0,,42.0,364.0,14.0,4.0,18.0,3.0,18.0,9.0,43.0,9.0,0.0,103.0,56.0,17.0,7.0,,14.0,241.0,9.0,36.0,22.0,85.0,5.0,0.0,462.0,9.0,167.0,21.0,5.0,1.0,7.0,23.0,17.0,703.0,31.0,9.0,154.0,1.0,18.0,24.0,2.0,2.0,5.0,1.0,2.0,5.0,,29.0,8.0,1.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18430,Zoltán Gera,Midfielder,Fulham,54,Hungary,2009-10,203.0,7.0,0.0,14.0,16.0,51.0,29.0,8.0,199.0,27.0,73.0,19.0,217.0,18.0,877.0,102.0,4.0,7.0,1870.0,65.0,132.0,2.0,95.0,637.0,61.0,1.0,31.0,2.0,29.0,25.0,138.0,34.0,0.0,335.0,129.0,27.0,15.0,,17.0,420.0,23.0,19.0,72.0,233.0,37.0,0.0,874.0,10.0,333.0,36.0,10.0,6.0,38.0,54.0,23.0,1301.0,11.0,7.0,247.0,2.0,18.0,42.0,3.0,3.0,8.0,5.0,13.0,6.0,2.0,3.0,,1.0,1.0,,,2.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
