playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,foulWonPenalty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,throughBalls,successfulLaunches,leftFootGoals,goalAssists,unsuccessfulLayoffs,clearancesOffTheLine,expectedGoalsFreekick,freekickTotal,attemptsFromSetPieces,hitWoodwork,headedGoals,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,ownGoalScored,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltiesTaken,penaltyGoals,penaltiesConceded,lastPlayerTackle,setPiecesGoals
42518,Alexander Kacaniklic,Midfielder,Fulham,54,Sweden,2013-14,92.0,9.0,1.6202,0.0,4.0,5.0,4.0,0.4739,11.0,15.0,54.0,23.0,15.0,2.0,15.0,56.0,32.0,336.0,1.0,3.0,0.0,2.0,8.0,34.0,21.0,1.0,1.0,18.0,3.0,1299.0,3.0,13.0,63.0,10.0,39.0,55.0,274.0,9.0,48.0,1.0,3.0,23.9394,22.0,7.0,30.0,2.0,79.0,92.0,24.0,0.0,155.0,22.0,1.0,83.0,70.0,23.0,1.0,1.0,3.0,30.0,197.0,20.0,56.0,60.0,2.0,134.0,8.0,0.0,331.0,10.0,8.0,196.0,8.0,20.0,1.0,64.0,9.0,11.0,21.0,6.0,97.0,636.0,3.0,10.0,2.0,2.0,101.0,1.0,1.0,1.1564,0.0,2.0,15.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18427,Ashkan Dejagah,Midfielder,Fulham,54,Iran,2013-14,118.0,12.0,2.4374,0.0,6.0,9.0,4.0,3.0035,27.0,16.0,90.0,22.0,35.0,,13.0,104.0,39.0,522.0,5.0,4.0,1.0,1.0,9.0,16.0,36.0,1.0,1.0,18.0,3.0,1301.0,3.0,25.0,94.0,6.0,52.0,83.0,401.0,5.0,61.0,1.0,1.0,34.76,20.0,15.0,38.0,5.0,93.0,91.0,22.0,1.0,212.0,30.0,4.0,146.0,83.0,22.0,1.0,4.0,5.0,25.0,323.0,32.0,53.0,67.0,5.0,176.0,11.0,0.0,519.0,7.0,16.0,257.0,22.0,34.0,2.0,145.0,17.0,8.0,9.0,17.0,140.0,868.0,1.0,8.0,1.0,5.0,113.0,4.0,3.0,2.3391,5.0,14.0,16.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
37084,Bryan Ruiz,Midfielder,Fulham,54,Costa Rica,2013-14,92.0,3.0,1.037,0.0,3.0,3.0,2.0,0.7984,13.0,8.0,63.0,12.0,26.0,,8.0,70.0,9.0,353.0,1.0,1.0,0.0,3.0,4.0,32.0,51.0,1.0,1.0,11.0,1.0,773.0,1.0,33.0,64.0,2.0,16.0,46.0,266.0,8.0,11.0,,,12.8587,12.0,9.0,14.0,,59.0,63.0,20.0,0.0,156.0,8.0,1.0,94.0,45.0,12.0,1.0,,1.0,7.0,171.0,12.0,34.0,38.0,,105.0,18.0,0.0,339.0,5.0,8.0,162.0,12.0,14.0,2.0,111.0,3.0,4.0,19.0,17.0,85.0,550.0,2.0,5.0,3.0,,123.0,1.0,,0.7352,0.0,7.0,14.0,,1.0,,1.0,3.0,3.0,,0.1475,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
129761,Chris David,Midfielder,Fulham,54,Netherlands,2013-14,7.0,4.0,0.2485,0.0,,2.0,,0.4173,3.0,3.0,4.0,1.0,,,,4.0,5.0,41.0,1.0,,0.0,,1.0,1.0,,,1.0,4.0,,67.0,,,6.0,1.0,1.0,6.0,34.0,,6.0,,,1.8547,3.0,,2.0,,7.0,5.0,2.0,0.0,13.0,,1.0,10.0,1.0,1.0,1.0,,2.0,1.0,31.0,1.0,6.0,6.0,,13.0,,0.0,40.0,1.0,,17.0,1.0,1.0,,13.0,1.0,1.0,,3.0,13.0,68.0,,,,,10.0,,1.0,0.1027,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1256,Damien Duff,Midfielder,Fulham,54,Ireland,2013-14,38.0,5.0,0.9308,0.0,2.0,2.0,,0.2092,10.0,5.0,26.0,15.0,21.0,,9.0,28.0,23.0,193.0,,3.0,,1.0,6.0,13.0,8.0,2.0,,10.0,2.0,695.0,2.0,5.0,27.0,4.0,13.0,24.0,165.0,5.0,17.0,,,8.6497,8.0,10.0,13.0,1.0,33.0,32.0,9.0,0.0,65.0,6.0,,37.0,26.0,15.0,,,3.0,5.0,109.0,9.0,29.0,20.0,1.0,57.0,3.0,0.0,190.0,3.0,5.0,88.0,7.0,5.0,2.0,46.0,6.0,6.0,6.0,,78.0,328.0,2.0,7.0,1.0,2.0,66.0,1.0,,0.6588,1.0,2.0,8.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8763,Derek Boateng,Midfielder,Fulham,54,Ghana,2013-14,15.0,,0.0083,0.0,,,,,4.0,,8.0,3.0,1.0,,2.0,12.0,,69.0,,,,,1.0,,8.0,,,,,155.0,,4.0,11.0,,,7.0,50.0,,1.0,,,0.6019,1.0,11.0,1.0,,11.0,14.0,3.0,0.0,26.0,,,21.0,10.0,3.0,,,1.0,2.0,25.0,1.0,,3.0,,18.0,4.0,0.0,65.0,,,17.0,3.0,1.0,1.0,23.0,5.0,4.0,,7.0,11.0,100.0,,2.0,,1.0,32.0,4.0,,,2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80066,George Williams,Midfielder,Fulham,54,Wales,2013-14,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6994,Giorgos Karagounis,Midfielder,Fulham,54,Greece,2013-14,30.0,3.0,0.5964,0.0,3.0,3.0,,0.412,29.0,5.0,31.0,14.0,15.0,,6.0,50.0,6.0,408.0,,1.0,,3.0,8.0,24.0,5.0,,3.0,10.0,,656.0,,1.0,69.0,4.0,8.0,65.0,305.0,5.0,2.0,,,13.7459,13.0,3.0,17.0,,29.0,129.0,30.0,0.0,99.0,7.0,,101.0,46.0,14.0,3.0,,3.0,2.0,175.0,13.0,27.0,14.0,,94.0,4.0,0.0,378.0,2.0,5.0,100.0,26.0,9.0,1.0,110.0,7.0,9.0,18.0,53.0,68.0,572.0,4.0,6.0,3.0,4.0,193.0,1.0,1.0,0.2721,1.0,19.0,8.0,1.0,,,,,,,0.0499,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,
106610,Larnell Cole,Midfielder,Fulham,54,England,2013-14,1.0,,0.0025,0.0,,,,,1.0,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,10.0,,,1.0,,1.0,1.0,1.0,,1.0,,,0.0209,1.0,,,,1.0,,,0.0,2.0,1.0,,,,1.0,,,,,1.0,,,1.0,,2.0,,0.0,1.0,,,1.0,1.0,,,,,,,,1.0,4.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113993,Lasse Vigen,Midfielder,Fulham,54,Denmark,2013-14,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
