season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025020,1,54,Fulham,Away,190877,167074,Kenny Tete,kenny-tete,D,False,,,5.0,18.0,15.0,33.0,,1.0,,5.0,,,,1.0,,,,2.0,7.0,,,0.00661333,,,1.0,0.0,,,,,1.0,,,0.53,4.33,1.37,0.19,3.32,90.0,,,,,,,5.0,,,7.4,,,,,,3.0,,2.0,,5.0,,18.0,16.0,34.0,,,0,3.0,51.0,,3.0,,2.0
2025-26,14025020,1,54,Fulham,Away,329417,166477,Timothy Castagne,timothy-castagne,D,True,,,,4.0,,4.0,1.0,,,,,,,,,,,1.0,,,,0.00180083,,,,0.0,,,,,,,,0.21,0.91,0.31,0.08,0.4,14.0,,,,,,,2.0,,,6.5,,,,,,,,1.0,,,,5.0,,5.0,,,0,,8.0,,,,
2025-26,14025020,1,54,Fulham,Away,362682,174874,Joachim Andersen,joachim-andersen,D,False,,,5.0,13.0,30.0,43.0,1.0,2.0,,1.0,,,,,,,,2.0,7.0,,,0.0137911,,,1.0,0.0,,,,,1.0,,,0.49,4.75,1.52,0.09,3.03,90.0,,,,,,,9.0,,,7.2,,,,,,4.0,1.0,,,7.0,,18.0,33.0,51.0,,,0,3.0,66.0,,2.0,1.0,2.0
2025-26,14025020,1,54,Fulham,Away,825719,219924,Issa Diop,issa-diop,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025020,1,54,Fulham,Away,861972,232892,Calvin Bassey,calvin-bassey,D,False,,,3.0,17.0,26.0,43.0,1.0,2.0,,4.0,,,,1.0,,,2.0,6.0,6.0,,,0.00956051,,,1.0,0.0,,,,,,,,0.51,4.74,1.21,0.31,3.01,90.0,,,,,,,17.0,,,6.4,,,,,,2.0,2.0,,,4.0,,25.0,31.0,56.0,,,0,2.0,79.0,,1.0,1.0,1.0
2025-26,14025020,1,54,Fulham,Away,868715,246301,Jorge Cuenca,jorge-cuenca,D,False,,,1.0,14.0,36.0,50.0,,1.0,,4.0,,,,1.0,,,,1.0,2.0,,,0.0137456,,,,0.0,,,,,,,,0.41,4.02,0.95,0.1,2.53,84.0,,,,,,,6.0,,,6.5,,,,,,2.0,,,,6.0,,18.0,38.0,56.0,,,0,1.0,60.0,,,,1.0
2025-26,14025080,2,54,Fulham,Home,190877,167074,Kenny Tete,kenny-tete,D,False,1.0,,2.0,21.0,17.0,38.0,1.0,4.0,19.0,3.0,,,,,,,,1.0,10.0,,,0.373363,,,,0.0,,,,,,1.0,,,,,,,90.0,,,,,,,14.0,2.0,,8.2,,,,,185.40193364649,1.0,1.0,4.0,,3.0,1.0,26.0,20.0,46.0,53.644010683754,64.753513260108,0,3.0,75.0,1.0,2.0,1.0,2.0
2025-26,14025080,2,54,Fulham,Home,329417,166477,Timothy Castagne,timothy-castagne,D,False,1.0,,,12.0,3.0,15.0,2.0,2.0,7.0,1.0,,,1.0,,,,,4.0,3.0,,,0.0429162,0.2975,,2.0,0.0,,,,,1.0,,,,,,,,62.0,1.0,,,,,,4.0,0.0,,6.0,,,,,48.43132686933,1.0,,1.0,,,,15.0,3.0,18.0,9.6523844102454,,2,,27.0,1.0,1.0,,
2025-26,14025080,2,54,Fulham,Home,362682,174874,Joachim Andersen,joachim-andersen,D,False,,,8.0,18.0,42.0,60.0,1.0,3.0,19.0,2.0,,,,,,,,3.0,4.0,,,0.641427,,,2.0,0.0,,,,,2.0,1.0,,,,,,,90.0,,,,,,,7.0,1.0,,8.1,,,,,174.5455007888,8.0,,1.0,,12.0,,24.0,42.0,66.0,130.88297204558,21.840423439119,0,1.0,81.0,,,,1.0
2025-26,14025080,2,54,Fulham,Home,803174,169528,Antonee Robinson,antonee-robinson,D,True,1.0,,1.0,11.0,5.0,16.0,1.0,,9.0,,,,,1.0,,,,2.0,,,,0.0206547,,,,0.0,,,,,,1.0,,,,,,,28.0,,,,,,,5.0,1.0,,6.7,,,,,84.949048874027,1.0,,2.0,,1.0,,13.0,5.0,18.0,60.075369541592,27.049533896169,0,,25.0,1.0,,,
