matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
803163,1.0,2015-08-08 15:00:00,45,Norwich,Home,157.0,12.0,1.0,4.0,3.0,3.0,,235.0,3.0,1.0,3.0,4.0,11.0,33.0,388.0,,,21.0,8.0,10.0,10.0,1.0,,,,,1.0,,,,,,14.0,,,,,1.0,6.0,8.0,3.0,,,,56.0,44.0,,1.0,,4.0,8.0,2.0,10.0,,2.0,1.0,9.0,7.0,,12.0,3.0,46.0,50.0,4.0,23.0,21.0,,1.0,75.0,14.0,18.0,,,3.0,1.0,1.0,178.0,1.0,,,1.0,,4.0,,,1.0,1.0,,,,,23.0,,7.0,7.0,,3.0,118.0,58.0,36.0,4.0,,6.0,6.0,6.0,442.0,,,2.0,,,59.0,92.0,32.0,,,,,126.0,123.0,3.0,23.0,14.0,62.9,,,1.0,8.0,0.0,,,,118.0,2.0,2.0,4.0,,,,9.0,,3.0,98.0,370.0,4.0,12.0,176.0,31.0,26.0,5.0,1.0,18.0,17.0,,142.0,4.0,312.0,1.0,1.0,17.0,11.0,63.0,4.0,470.0,,0.0,17.0,20.0,,23.0,1.0,652.0,,7.0,3.0,1.0,17.0,0.0
803179,2.0,2015-08-15 15:00:00,45,Norwich,Away,134.0,10.0,1.0,6.0,5.0,2.0,,260.0,4.0,,6.0,7.0,4.0,33.0,388.0,,1.0,26.0,9.0,18.0,9.0,1.0,,,,,2.0,,,,,,14.0,,,,,,3.0,3.0,3.0,,,,89.0,62.0,,,1.0,3.0,30.0,8.0,6.0,,,6.0,13.0,3.0,2.0,19.0,,52.0,55.0,3.0,33.0,28.0,,,89.0,7.0,7.0,,,2.0,,2.0,206.0,2.0,,1.0,2.0,,6.0,,,2.0,,,,,1.0,29.0,,11.0,11.0,2.0,6.0,97.0,76.0,38.0,6.0,1.0,2.0,10.0,6.0,471.0,,,1.0,1.0,,105.0,102.0,28.0,,,,,175.0,174.0,5.0,16.0,32.0,56.1,,,,30.0,0.0,,,,98.0,,1.0,1.0,,,,4.0,,3.0,145.0,373.0,13.0,12.0,155.0,22.0,34.0,27.0,3.0,19.0,16.0,,201.0,9.0,354.0,,,26.0,4.0,66.0,1.0,490.0,,0.0,18.0,15.0,1.0,33.0,2.0,726.0,,19.0,15.0,6.0,11.0,0.0
803189,3.0,2015-08-22 15:00:00,45,Norwich,Home,95.0,11.0,1.0,5.0,4.0,2.0,1.0,166.0,5.0,,5.0,4.0,2.0,22.0,256.0,,2.0,21.0,10.0,11.0,12.0,1.0,,,1.0,,1.0,,,,,1.0,13.0,,,,,3.0,7.0,4.0,2.0,,,,45.0,46.0,4.0,6.0,,,9.0,5.0,5.0,,,9.0,10.0,4.0,1.0,12.0,,44.0,44.0,,19.0,13.0,,,48.0,16.0,5.0,,,3.0,2.0,1.0,122.0,1.0,,1.0,,1.0,8.0,,,,1.0,,,,2.0,13.0,1.0,10.0,10.0,1.0,5.0,77.0,55.0,26.0,,,6.0,8.0,7.0,310.0,,,1.0,2.0,,60.0,56.0,32.0,,,,,123.0,120.0,6.0,15.0,19.0,42.6,,,1.0,9.0,0.0,,,,82.0,,,,,,,8.0,,2.0,79.0,246.0,5.0,14.0,106.0,22.0,22.0,9.0,8.0,24.0,16.0,,121.0,5.0,244.0,1.0,,13.0,2.0,49.0,2.0,326.0,,0.0,20.0,22.0,2.0,26.0,4.0,503.0,,7.0,6.0,9.0,16.0,0.0
803197,4.0,2015-08-30 13:30:00,45,Norwich,Away,138.0,10.0,1.0,3.0,2.0,1.0,,120.0,7.0,,4.0,3.0,6.0,25.0,255.0,,,15.0,22.0,15.0,4.0,1.0,,,,,,,,,,,5.0,,,,,,4.0,17.0,6.0,,,,60.0,59.0,1.0,1.0,,2.0,9.0,2.0,10.0,,,4.0,6.0,5.0,,7.0,5.0,57.0,37.0,2.0,20.0,11.0,,1.0,62.0,12.0,4.0,,,,,,142.0,,,,,,16.0,,,,6.0,,,,,13.0,,11.0,11.0,1.0,4.0,69.0,76.0,30.0,6.0,,2.0,3.0,1.0,313.0,,,1.0,,,31.0,64.0,23.0,,,,,144.0,136.0,2.0,26.0,17.0,38.9,,,,9.0,0.0,,,,77.0,4.0,1.0,5.0,1.0,1.0,,3.0,,3.0,51.0,235.0,4.0,5.0,155.0,25.0,28.0,13.0,3.0,14.0,11.0,,93.0,5.0,207.0,6.0,,16.0,7.0,72.0,,348.0,,1.0,6.0,14.0,1.0,23.0,0.0,503.0,,8.0,4.0,4.0,7.0,0.0
803203,5.0,2015-09-12 15:00:00,45,Norwich,Home,151.0,6.0,,2.0,2.0,2.0,,187.0,5.0,2.0,5.0,9.0,8.0,32.0,336.0,1.0,,11.0,11.0,16.0,7.0,,,,,,,,,,,,9.0,,,,1.0,,3.0,5.0,2.0,,,,72.0,56.0,1.0,,1.0,2.0,17.0,,5.0,,,4.0,12.0,2.0,,8.0,1.0,38.0,54.0,2.0,10.0,5.0,,,69.0,10.0,11.0,2.0,,3.0,2.0,,181.0,2.0,,2.0,2.0,,7.0,,,3.0,2.0,,,,1.0,8.0,1.0,19.0,19.0,2.0,5.0,76.0,74.0,32.0,4.0,1.0,6.0,3.0,4.0,408.0,,,2.0,3.0,,74.0,82.0,24.0,,,,,148.0,143.0,2.0,20.0,26.0,47.7,1.0,,,17.0,0.0,,,,103.0,1.0,,1.0,,,,8.0,,3.0,101.0,321.0,7.0,9.0,169.0,14.0,15.0,12.0,3.0,19.0,16.0,,147.0,7.0,282.0,3.0,2.0,34.0,10.0,73.0,,432.0,1.0,0.0,12.0,21.0,,16.0,2.0,604.0,,9.0,7.0,4.0,19.0,0.0
803217,6.0,2015-09-20 16:00:00,45,Norwich,Away,142.0,5.0,,2.0,2.0,2.0,,139.0,2.0,2.0,9.0,5.0,16.0,18.0,279.0,,,17.0,16.0,8.0,6.0,,,,,,,,,,,,6.0,,,,,,7.0,14.0,9.0,,,,62.0,81.0,1.0,1.0,,,25.0,1.0,12.0,,,2.0,9.0,3.0,1.0,9.0,4.0,57.0,39.0,,20.0,9.0,,2.0,55.0,13.0,4.0,,1.0,,,,163.0,,,,,,9.0,,,,4.0,,,,,9.0,,16.0,16.0,2.0,9.0,85.0,93.0,32.0,6.0,,4.0,2.0,2.0,376.0,,,9.0,1.0,,75.0,59.0,18.0,,,,,175.0,168.0,6.0,39.0,20.0,41.1,,,1.0,25.0,0.0,,,,89.0,4.0,2.0,6.0,,1.0,,4.0,,2.0,75.0,272.0,9.0,6.0,170.0,12.0,27.0,22.0,2.0,14.0,12.0,,128.0,7.0,243.0,4.0,2.0,39.0,16.0,74.0,1.0,399.0,3.0,0.0,7.0,15.0,,24.0,2.0,591.0,,7.0,12.0,2.0,12.0,0.0
803229,7.0,2015-09-26 15:00:00,45,Norwich,Away,220.0,6.0,,4.0,4.0,1.0,,170.0,6.0,,3.0,8.0,13.0,26.0,386.0,1.0,,13.0,21.0,15.0,11.0,,,,1.0,,1.0,,,,,,12.0,,,,,,6.0,13.0,6.0,,,,82.0,70.0,1.0,1.0,1.0,1.0,17.0,4.0,6.0,,,5.0,8.0,5.0,,12.0,4.0,58.0,44.0,1.0,31.0,18.0,1.0,,71.0,17.0,6.0,,,2.0,1.0,1.0,164.0,1.0,,,1.0,,8.0,,,2.0,1.0,,,,,20.0,,18.0,18.0,1.0,3.0,125.0,69.0,25.0,7.0,1.0,4.0,8.0,7.0,459.0,,,4.0,1.0,,67.0,61.0,26.0,,,,,147.0,142.0,5.0,33.0,25.0,57.1,,,3.0,17.0,0.0,,,,111.0,5.0,,5.0,,,,5.0,,3.0,87.0,374.0,9.0,12.0,242.0,18.0,36.0,13.0,3.0,17.0,14.0,,131.0,4.0,257.0,1.0,,39.0,14.0,71.0,,482.0,1.0,0.0,16.0,16.0,1.0,17.0,0.0,675.0,,11.0,8.0,5.0,12.0,0.0
803232,8.0,2015-10-03 15:00:00,45,Norwich,Home,154.0,15.0,4.0,10.0,6.0,4.0,1.0,242.0,7.0,1.0,8.0,7.0,19.0,44.0,386.0,,,31.0,21.0,29.0,11.0,3.0,,,,,,,,,,,10.0,,1.0,,,,2.0,15.0,1.0,,,,62.0,54.0,1.0,,1.0,3.0,24.0,6.0,10.0,,,16.0,22.0,11.0,,17.0,3.0,66.0,61.0,3.0,36.0,30.0,,1.0,78.0,4.0,4.0,,,,1.0,,191.0,1.0,,1.0,,1.0,11.0,,,,1.0,,,,,36.0,2.0,8.0,8.0,1.0,8.0,120.0,74.0,44.0,8.0,,8.0,7.0,2.0,466.0,,,3.0,1.0,,79.0,106.0,51.0,1.0,1.0,1.0,,191.0,183.0,4.0,15.0,27.0,66.2,1.0,,,24.0,0.0,,,,113.0,3.0,,3.0,,,,9.0,1.0,3.0,135.0,371.0,7.0,15.0,172.0,28.0,44.0,28.0,14.0,48.0,34.0,,187.0,14.0,362.0,1.0,2.0,22.0,20.0,74.0,2.0,486.0,,0.0,17.0,14.0,,34.0,0.0,745.0,,8.0,14.0,17.0,8.0,0.0
803248,9.0,2015-10-18 16:00:00,45,Norwich,Away,141.0,14.0,4.0,9.0,5.0,3.0,1.0,242.0,5.0,1.0,2.0,5.0,5.0,26.0,374.0,,,17.0,16.0,23.0,10.0,2.0,,,1.0,,1.0,,,1.0,,,12.0,,,1.0,1.0,,1.0,10.0,1.0,,,,57.0,46.0,1.0,,1.0,2.0,16.0,6.0,11.0,,,7.0,13.0,7.0,,8.0,,49.0,73.0,2.0,18.0,10.0,,1.0,75.0,10.0,10.0,1.0,,3.0,2.0,1.0,181.0,2.0,,2.0,2.0,,6.0,,,2.0,2.0,,,,,12.0,2.0,10.0,10.0,2.0,2.0,110.0,76.0,51.0,3.0,1.0,5.0,9.0,6.0,437.0,,,3.0,,,61.0,90.0,40.0,,,,,140.0,134.0,2.0,21.0,17.0,55.8,2.0,,,16.0,0.0,,,,115.0,,,,,2.0,,6.0,1.0,3.0,106.0,354.0,8.0,14.0,154.0,27.0,24.0,21.0,7.0,29.0,22.0,,156.0,13.0,338.0,2.0,1.0,18.0,5.0,53.0,1.0,463.0,1.0,0.0,18.0,26.0,1.0,20.0,1.0,661.0,,8.0,16.0,7.0,19.0,0.0
803261,10.0,2015-10-24 15:00:00,45,Norwich,Home,157.0,10.0,3.0,9.0,6.0,3.0,,229.0,2.0,1.0,6.0,3.0,13.0,38.0,377.0,,,13.0,25.0,24.0,8.0,2.0,,,1.0,,1.0,,,,1.0,,12.0,,,,,,8.0,4.0,3.0,,,,67.0,58.0,1.0,1.0,,3.0,11.0,4.0,5.0,,,13.0,19.0,13.0,,7.0,3.0,50.0,48.0,3.0,38.0,25.0,,,59.0,11.0,6.0,,,3.0,3.0,1.0,171.0,,,,,,7.0,,,,1.0,,,,,29.0,,8.0,8.0,1.0,6.0,117.0,79.0,40.0,3.0,,7.0,3.0,3.0,452.0,,,,1.0,,103.0,73.0,43.0,,,,,167.0,160.0,5.0,15.0,31.0,60.6,,,,11.0,0.0,,,,111.0,,3.0,3.0,,,,9.0,,1.0,151.0,368.0,2.0,10.0,175.0,19.0,45.0,13.0,11.0,46.0,35.0,,188.0,6.0,337.0,1.0,1.0,24.0,14.0,75.0,4.0,466.0,,0.0,16.0,8.0,,17.0,1.0,673.0,,15.0,10.0,13.0,7.0,0.0
