matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
1059702,1,2019-08-09 20:00:00,45,Norwich,Away,175.0,18.0,1.0,1.0,,2.0,,104.0,9.0,,6.0,3.0,2.0,19.0,278.0,,2.0,22.0,15.0,7.0,8.0,1.0,1.0,,,,1.0,1.0,1.0,,,10.0,,1.0,,,,8.0,12.0,4.0,8.0,4.0,74.0,49.0,1.0,,1.0,5.0,16.0,2.0,11.0,,,2.0,1.0,,,15.0,4.0,56.0,38.0,5.0,35.0,23.0,,,,,,,,32.0,9.0,9.0,1.0,,2.0,,1.0,146.0,1.0,,1.0,1.0,,15.0,1.0,2.0,,23.0,1.0,11.0,11.0,6.0,,6.0,76.0,52.0,23.0,11.0,,5.0,5.0,5.0,332.0,3.0,,1.0,54.0,39.0,10.0,,,,,,130.0,130.0,3.0,19.0,15.0,42.1,1.0,,,16.0,0.0,67.0,2.0,2.0,4.0,,,5.0,1.0,,3.0,51.0,255.0,6.0,10.0,210.0,38.0,35.0,16.0,1.0,2.0,1.0,,69.0,2.0,155.0,2.0,,16.0,3.0,52.0,5.0,363.0,,0.0,12.0,12.0,2.0,28.0,2.0,577.0,17.0,12.0,,10.0,2.0,8.0,0.0
1059718,2,2019-08-17 15:00:00,45,Norwich,Home,286.0,14.0,3.0,4.0,1.0,1.0,,247.0,6.0,,5.0,4.0,6.0,28.0,529.0,1.0,1.0,15.0,9.0,14.0,10.0,2.0,3.0,,,,,,,,,12.0,,,,,,5.0,10.0,2.0,12.0,3.0,118.0,58.0,3.0,2.0,1.0,,18.0,4.0,7.0,,,7.0,6.0,,,10.0,2.0,38.0,49.0,,23.0,12.0,,,,,,,,49.0,9.0,11.0,3.0,,2.0,2.0,,180.0,2.0,,1.0,2.0,,7.0,2.0,1.0,,12.0,,5.0,5.0,1.0,,5.0,154.0,55.0,38.0,5.0,,3.0,11.0,8.0,584.0,1.0,3.0,,82.0,102.0,29.0,,,,,,119.0,119.0,3.0,31.0,18.0,63.3,,,,18.0,0.0,151.0,2.0,1.0,3.0,,,3.0,,,3.0,116.0,512.0,5.0,14.0,310.0,35.0,23.0,15.0,7.0,15.0,8.0,,151.0,1.0,308.0,1.0,,15.0,6.0,53.0,2.0,603.0,1.0,0.0,15.0,14.0,2.0,15.0,1.0,780.0,28.0,15.0,,11.0,7.0,11.0,0.0
1059727,3,2019-08-24 12:30:00,45,Norwich,Home,255.0,11.0,1.0,2.0,1.0,3.0,,138.0,7.0,,5.0,1.0,6.0,14.0,391.0,,1.0,19.0,17.0,12.0,1.0,2.0,1.0,,,,,,,,,3.0,,1.0,,,2.0,6.0,12.0,11.0,5.0,1.0,79.0,65.0,1.0,,1.0,1.0,22.0,,21.0,,,1.0,3.0,1.0,,11.0,2.0,72.0,39.0,1.0,29.0,9.0,,,,,,,,43.0,9.0,7.0,1.0,,2.0,2.0,,171.0,2.0,,2.0,2.0,,10.0,2.0,,1.0,9.0,1.0,11.0,11.0,1.0,,5.0,122.0,52.0,22.0,8.0,1.0,1.0,4.0,5.0,459.0,10.0,3.0,,70.0,46.0,14.0,,,,,,140.0,140.0,7.0,31.0,21.0,46.6,1.0,,1.0,22.0,0.0,109.0,2.0,3.0,5.0,,,1.0,,,3.0,60.0,374.0,15.0,5.0,281.0,25.0,29.0,20.0,1.0,7.0,6.0,,90.0,5.0,207.0,,,19.0,6.0,50.0,,481.0,,0.0,6.0,16.0,1.0,22.0,1.0,682.0,14.0,13.0,,5.0,1.0,7.0,0.0
1059741,4,2019-08-31 15:00:00,45,Norwich,Away,226.0,15.0,,3.0,3.0,,,210.0,5.0,,7.0,1.0,5.0,18.0,433.0,,,19.0,17.0,8.0,5.0,,1.0,,,,,,,,,7.0,,,1.0,,,6.0,14.0,4.0,5.0,3.0,87.0,61.0,2.0,2.0,,3.0,14.0,2.0,22.0,1.0,,2.0,7.0,3.0,,21.0,3.0,77.0,56.0,3.0,15.0,5.0,,,,,,,,64.0,10.0,15.0,,,4.0,2.0,,162.0,,,,,,6.0,,,,5.0,1.0,7.0,7.0,1.0,,7.0,126.0,51.0,34.0,8.0,,2.0,3.0,3.0,475.0,4.0,1.0,,89.0,66.0,20.0,,,,,,124.0,124.0,2.0,27.0,24.0,51.4,1.0,,2.0,14.0,0.0,125.0,5.0,1.0,5.0,,,3.0,,,3.0,87.0,411.0,9.0,5.0,244.0,23.0,15.0,27.0,2.0,14.0,12.0,,120.0,1.0,270.0,,,6.0,6.0,33.0,3.0,500.0,,0.0,8.0,14.0,1.0,23.0,1.0,710.0,18.0,9.0,,19.0,2.0,10.0,0.0
1059747,5,2019-09-14 17:30:00,45,Norwich,Home,162.0,12.0,2.0,2.0,,2.0,,76.0,6.0,,6.0,5.0,4.0,15.0,236.0,1.0,,13.0,19.0,11.0,2.0,1.0,3.0,,,1.0,,1.0,,,,3.0,,,,,,4.0,18.0,7.0,6.0,1.0,55.0,56.0,3.0,1.0,2.0,4.0,18.0,1.0,20.0,,,3.0,,1.0,,6.0,2.0,62.0,42.0,4.0,50.0,24.0,,,,,,,,21.0,8.0,7.0,1.0,,3.0,2.0,1.0,130.0,3.0,1.0,3.0,2.0,1.0,12.0,2.0,1.0,,24.0,,16.0,16.0,4.0,,6.0,78.0,47.0,16.0,16.0,2.0,2.0,4.0,3.0,292.0,10.0,3.0,,36.0,28.0,11.0,,,,,,117.0,117.0,3.0,34.0,5.0,31.4,,,2.0,18.0,0.0,55.0,6.0,,6.0,,,3.0,,,2.0,29.0,225.0,6.0,6.0,203.0,19.0,50.0,17.0,3.0,6.0,3.0,,46.0,4.0,121.0,1.0,,34.0,4.0,62.0,1.0,318.0,1.0,0.0,7.0,16.0,,15.0,3.0,524.0,15.0,10.0,,8.0,3.0,12.0,0.0
1059753,6,2019-09-21 15:00:00,45,Norwich,Away,248.0,12.0,,1.0,1.0,2.0,,190.0,5.0,,8.0,1.0,3.0,21.0,437.0,,,16.0,13.0,13.0,8.0,,,,,,,,,,1.0,11.0,,,1.0,,,4.0,8.0,5.0,5.0,6.0,85.0,67.0,,1.0,,3.0,22.0,3.0,7.0,,,3.0,6.0,1.0,,9.0,1.0,43.0,53.0,3.0,19.0,11.0,,,,,,,,43.0,10.0,11.0,,1.0,,,,176.0,,,,,,7.0,,2.0,1.0,11.0,1.0,5.0,5.0,1.0,,8.0,140.0,49.0,24.0,7.0,,4.0,4.0,2.0,504.0,4.0,3.0,,66.0,64.0,23.0,,,,,,139.0,139.0,2.0,32.0,22.0,58.6,1.0,,,22.0,0.0,127.0,3.0,1.0,4.0,,,6.0,1.0,,3.0,116.0,419.0,6.0,8.0,284.0,21.0,19.0,15.0,3.0,10.0,7.0,,146.0,4.0,254.0,2.0,,29.0,3.0,61.0,,528.0,,0.0,11.0,19.0,3.0,20.0,1.0,714.0,25.0,17.0,,10.0,3.0,12.0,0.0
1059765,7,2019-09-28 15:00:00,45,Norwich,Away,241.0,13.0,1.0,3.0,2.0,,1.0,200.0,6.0,1.0,6.0,4.0,,25.0,438.0,,1.0,19.0,15.0,11.0,8.0,1.0,,,,,,,,,,9.0,,,,,1.0,8.0,12.0,3.0,7.0,3.0,92.0,59.0,1.0,1.0,,3.0,21.0,5.0,11.0,,,5.0,5.0,1.0,,8.0,1.0,54.0,53.0,3.0,22.0,7.0,,,,,,,,49.0,10.0,14.0,,,3.0,2.0,,197.0,,,,,,8.0,,1.0,,7.0,,13.0,13.0,2.0,,6.0,122.0,59.0,37.0,5.0,,2.0,7.0,3.0,499.0,5.0,,,69.0,50.0,28.0,1.0,1.0,1.0,,,140.0,140.0,2.0,36.0,15.0,55.4,,,1.0,21.0,0.0,113.0,,1.0,1.0,1.0,,2.0,1.0,,3.0,101.0,416.0,9.0,9.0,277.0,35.0,22.0,21.0,5.0,13.0,8.0,,135.0,1.0,260.0,1.0,1.0,23.0,,60.0,1.0,524.0,1.0,0.0,10.0,17.0,1.0,22.0,1.0,726.0,27.0,22.0,,11.0,5.0,5.0,0.0
1059778,8,2019-10-05 15:00:00,45,Norwich,Home,194.0,17.0,,1.0,1.0,,,190.0,6.0,,7.0,2.0,5.0,16.0,383.0,1.0,,14.0,14.0,10.0,12.0,,3.0,1.0,,,,,,,1.0,18.0,,,,,,5.0,12.0,10.0,15.0,6.0,62.0,57.0,,1.0,1.0,,21.0,8.0,4.0,,1.0,10.0,10.0,,,9.0,4.0,47.0,64.0,,20.0,10.0,1.0,2.0,,,,,,39.0,14.0,17.0,,,3.0,,,180.0,,,,,,9.0,1.0,,1.0,10.0,,7.0,7.0,2.0,,7.0,122.0,49.0,28.0,6.0,,4.0,8.0,5.0,438.0,3.0,1.0,,64.0,50.0,42.0,,1.0,1.0,1.0,,139.0,139.0,5.0,22.0,22.0,57.6,,,1.0,21.0,0.0,108.0,4.0,3.0,7.0,,1.0,8.0,3.0,,3.0,120.0,356.0,9.0,12.0,217.0,31.0,20.0,24.0,10.0,20.0,10.0,1.0,170.0,2.0,275.0,,,11.0,5.0,37.0,,472.0,1.0,0.0,21.0,20.0,1.0,14.0,1.0,698.0,55.0,14.0,,17.0,10.0,14.0,0.0
1059782,9,2019-10-19 15:00:00,45,Norwich,Away,201.0,9.0,2.0,3.0,1.0,2.0,,180.0,6.0,,2.0,12.0,3.0,34.0,378.0,,,21.0,18.0,25.0,9.0,1.0,2.0,,,,,,,,,8.0,,,,,,7.0,5.0,6.0,3.0,7.0,84.0,56.0,,,,2.0,16.0,3.0,8.0,,,7.0,6.0,1.0,,8.0,2.0,53.0,56.0,2.0,33.0,22.0,,,,,,,,48.0,11.0,8.0,,,,,,160.0,,,,,,11.0,,,,22.0,,9.0,9.0,2.0,,2.0,119.0,62.0,36.0,6.0,,6.0,4.0,1.0,446.0,3.0,2.0,,69.0,48.0,21.0,,,,,,136.0,136.0,5.0,30.0,18.0,52.3,,,1.0,16.0,0.0,106.0,2.0,,2.0,,,6.0,,,3.0,91.0,364.0,6.0,10.0,228.0,24.0,33.0,18.0,7.0,14.0,7.0,,128.0,8.0,255.0,,,28.0,3.0,67.0,2.0,469.0,,0.0,10.0,14.0,,22.0,3.0,663.0,21.0,13.0,,10.0,7.0,9.0,0.0
1059798,10,2019-10-27 16:30:00,45,Norwich,Home,215.0,7.0,,,,,,115.0,7.0,,4.0,2.0,5.0,17.0,330.0,1.0,,19.0,6.0,4.0,6.0,,1.0,,,,,,,,,8.0,,,,,1.0,8.0,13.0,8.0,6.0,4.0,67.0,68.0,1.0,1.0,,3.0,19.0,2.0,19.0,,,1.0,4.0,,,14.0,6.0,61.0,53.0,3.0,16.0,9.0,1.0,1.0,,,,,,29.0,13.0,10.0,,,1.0,1.0,,139.0,,,,,,8.0,1.0,,1.0,9.0,,8.0,8.0,,,4.0,119.0,54.0,27.0,10.0,,4.0,2.0,3.0,394.0,2.0,2.0,,61.0,44.0,14.0,,2.0,2.0,2.0,,138.0,138.0,4.0,36.0,22.0,46.1,,,1.0,19.0,0.0,92.0,7.0,1.0,8.0,,,5.0,,,3.0,55.0,310.0,8.0,6.0,245.0,19.0,16.0,23.0,1.0,6.0,5.0,,85.0,1.0,178.0,,,16.0,6.0,42.0,1.0,417.0,1.0,0.0,10.0,26.0,1.0,19.0,2.0,619.0,16.0,18.0,,13.0,1.0,14.0,0.0
